TextDatabase_AC1
AC1_Graphic_text_00237	Another Code
AC1_Graphic_text_00238	Another Code: R
AC1_Graphic_text_00239	Vintage clothes!
AC1_Graphic_text_00241	Happy Birthday\nAshley
AC1_Graphic_text_00242	DAS Notification\nNow\nRecognized the ANOTHER key.
AC1_Graphic_text_00243	Wells's Diary
AC1_Graphic_text_00244	11 13 17\n1    2   4\n6    7   9\n18 20 25
AC1_Graphic_text_00245	?
AC1_Graphic_text_00246	Français (France)
AC1_Graphic_text_00247	Français (Canada)
AC1_Graphic_text_00248	Español (España)
AC1_Graphic_text_00249	Español (Lat. Am.)
AC1_Graphic_text_00250	R
AC1_Graphic_text_00251	Thanks for playing!
AC1_Graphic_text_00252	¡Gracias por jugar!
AC1_Graphic_text_00253	Merci d'avoir joué !
AC1_Graphic_text_00254	Grazie di aver giocato!
AC1_Graphic_text_00255	Danke fürs Spielen!
AC1_Graphic_text_00256	Thank you for playing
AC1_Graphic_text_00257	B.E.
AC1_Item_flavor_00138	DAS
AC1_Item_flavor_00139	A mysterious device I received in\nthe mail. The buttons make it look\nlike a game console.
AC1_Item_flavor_00248	A mysterious device Dad sent me.\nIt looks like a game console, but\napparently it's something special\nthat only I can use.
AC1_Item_flavor_00140	Key on a Key Chain
AC1_Item_flavor_00141	A key attached to a key chain of\na bear and its child. The small\nbell makes a nice jingling sound\nwhen shaken.
AC1_Item_flavor_00142	Jessica's Glasses
AC1_Item_flavor_00143	Jessica's favorite glasses. They\nwere on the ground in front of\nthe mansion. They don't look\nbroken, which is a small relief.
AC1_Item_flavor_00144	Research Paper Cover
AC1_Item_flavor_00145	The cover to a research paper\nMom and Dad co-wrote. They\ncalled it "Research into ANOTHER."\nIt looks like someone took the\nactual research part though.
AC1_Item_flavor_00146	Lighter
AC1_Item_flavor_00147	A lighter with a fancy silver lid.\nI found it in the room with the\npiano. It looks new. Who left\nit laying around?
AC1_Item_flavor_00148	A lighter I found in the room with\nthe piano. It came in handy when\nI needed to light a candle. Could\nthis belong to Bill?
AC1_Item_flavor_00149	Mansion Map
AC1_Item_flavor_00151	Flower Key
AC1_Item_flavor_00152	A key with a flower design. The\nattention to detail in the petals\nis impressive. It was in the safe\nin the butler's room.
AC1_Item_flavor_00153	The key to Frannie's room. It was\nin the safe in the butler's room.\nThe attention to detail in the\npetals is impressive.
AC1_Item_flavor_00154	Three-Leaf Clover Key
AC1_Item_flavor_00155	A gold key with a simple three-leaf\nclover carving. It was in the safe\nin the butler's room.
AC1_Item_flavor_00156	A key to Henry and Marie's room.\nIt was in the safe in the butler's\nroom. It has a distinct three-leaf\nclover carving.
AC1_Item_flavor_00157	Photo of Mom
AC1_Item_flavor_00158	A photo of me with Mom when I\nwas just a baby. She was so pretty.\nShe has a gentle expression, just\nlike I saw in my dreams. I'll never\nforget her face again.
AC1_Item_flavor_00159	Doll of a Woman
AC1_Item_flavor_00160	A doll of a woman that Frannie\nmade herself. It's wearing a cute\npolka-dot dress. Apparently it\nwas modeled after Frannie's mom.
AC1_Item_flavor_00161	Platter with Flying Bird
AC1_Item_flavor_00162	A silver platter with a large image\nof a bird. It's a beautiful design,\nbut tarnished by cigarette ash.
AC1_Item_flavor_00163	Small Dish with Chirping Bird
AC1_Item_flavor_00164	A small silver dish with a picture of\na baby bird. It was kept safe in the\ndrawer of Wells's desk.
AC1_Item_flavor_00165	Small Dish with Pecking Bird
AC1_Item_flavor_00166	A small silver dish with a picture of\na baby bird. It was on the desk in\nthe art studio along with some\nhalf-eaten chocolate.
AC1_Item_flavor_00169	ANOTHER Key 01
AC1_Item_flavor_00170	A startup key for the ANOTHER,\nfound in a box in the piano. Dad's\nlooking for this. It's got a strange\npattern on it...
AC1_Item_flavor_00171	W Key
AC1_Item_flavor_00172	A key from Dad. It has a big W on\nit. It opens the door on the second\nfloor of the west wing.
AC1_Item_flavor_00173	I thought this key was from Dad,\nbut it was actually Bill... I was able\nto get into the west wing thanks\nto this, but Bill was using me the\nwhole time.
AC1_Item_flavor_00174	Doll Missing Its Right Arm
AC1_Item_flavor_00175	A doll with a mustache missing its\nright arm. Apparently it was \nhandmade by Frannie based on\nher dad.
AC1_Item_flavor_00176	Sheet Music
AC1_Item_flavor_00177	Sheet music for a song D\nliked. I found it in the Golden\nBird Room. It seems to be\nmissing something though...
AC1_Item_flavor_00178	Sprout Key
AC1_Item_flavor_00179	A golden key with a sprout design.\nIt's lighter than the other keys. It\nwas on a shelf in Frannie's room.
AC1_Item_flavor_00180	A golden key with a sprout design.\nIt's lighter than the other keys.
AC1_Item_flavor_00181	Candle
AC1_Item_flavor_00182	A candle from the study. It looks\nwell used, but it's still got some\nwick left. I should be able to get\nsome use out of it.
AC1_Item_flavor_00183	Half-Moon Coin
AC1_Item_flavor_00184	A coin with an image of a half\nmoon. The moon is changing\nfrom a full moon to a new moon.
AC1_Item_flavor_00185	Crescent-Moon Coin
AC1_Item_flavor_00186	A coin with an image of a crescent\nmoon. If you look at it sideways...\nit kind of looks like it's smiling.
AC1_Item_flavor_00187	Full-Moon Coin
AC1_Item_flavor_00188	A coin with an image of a full\nmoon. The attention to detail\nis impressive. I can see the\ncraters and everything.
AC1_Item_flavor_00189	Waning-Gibbous Moon Coin
AC1_Item_flavor_00190	A coin with an image of a moon\nthat's missing just a small sliver.\nApparently this is called the "moon\nof the 16th night" in Japan.
AC1_Item_flavor_00191	New-Moon Coin
AC1_Item_flavor_00192	A coin with nothing on it. The\nother coins all had images of\nmoons... So maybe this is a\nnew moon?
AC1_Item_flavor_00193	Frannie Doll
AC1_Item_flavor_00194	A doll of a girl made by Frannie.\nApparently it's modeled after\nFrannie herself. The pink dress\nis pretty cute.
AC1_Item_flavor_00195	ANOTHER Key 02
AC1_Item_flavor_00196	A startup key for the ANOTHER,\nfound in a briefcase in a hidden\nroom. Dad's looking for this. The\npattern on it looks like a crack.
AC1_Item_flavor_00197	ANOTHER Key 03
AC1_Item_flavor_00198	A startup key for ANOTHER, found\ninside the radio in the lounge. How\ndid it get in there? Dad's looking\nfor this. Its pattern is intricate.
AC1_Item_flavor_00199	Wine Cellar Key
AC1_Item_flavor_00200	A key to the wine cellar. I found it\non a shelf in the Silver Bird Room.\nIt's plain, black, and has some\nweight to it.
AC1_Item_flavor_00201	2nd Sprout Key
AC1_Item_flavor_00202	A silver key with a sprout on it. It\nwas hiding beneath the water in\nthe fountain. Its shape is a little\ndifferent compared to the Golden\nBird Room's key.
AC1_Item_flavor_00203	The key to the Silver Bird Room.\nI found it in the fountain. It has\nthe same sprout design as the\nGolden Bird Room's key, but the\nshape is slightly different.
AC1_Item_flavor_00204	E Key
AC1_Item_flavor_00205	A key I found in the room with the\npiano. It has a big E carved into\nit. It must stand for something,\nbut I'm not sure what...
AC1_Item_flavor_00206	A key used for the door to the\nsecond floor of the east wing.\n(The E is for East, not Edward.)
AC1_Item_flavor_00207	Marie's Letter
AC1_Item_flavor_00208	A letter written by Frannie's mom,\nMarie. It talks about how Henry\nsealed himself off in the Silver\nBird Room and how she decided\nto leave him.
AC1_Item_flavor_00211	Four-Leaf Clover Key
AC1_Item_flavor_00212	I combined the gold and silver\nsprout keys to make a single key\nwith a four-leaf clover design.\nThere's some significance to the\nfact that this is only possible when\nyou have both keys.
AC1_Item_flavor_00213	The key to Lawrence's room. It's\ntwo sprout keys combined into one\nto form a four-leaf clover key.
AC1_Item_flavor_00214	Birthday Card
AC1_Item_flavor_00215	A birthday card Frannie wrote for\nD. The kitten on the front is cute!
AC1_Item_flavor_00219	Orange Security Key
AC1_Item_flavor_00220	One of the security keys needed\nto operate the switchboard\ncontrol panel. It slipped out and\ninto the panel cover.
AC1_Item_flavor_00221	Blue Security Key
AC1_Item_flavor_00222	One of the security keys needed\nto operate the switchboard\ncontrol panel. It was hidden in\na shelf of files.
AC1_Item_flavor_00223	Green Security Key
AC1_Item_flavor_00224	One of the security keys needed\nto operate the switchboard\ncontrol panel. I found it on the\nshelf of a blackboard.
AC1_Item_flavor_00225	Phillips-Head Screwdriver
AC1_Item_flavor_00226	A screwdriver with a plus-shaped\ntip. It was found in a coffee cup.\nKind of gross...
AC1_Item_flavor_00227	Article About Mom's Death
AC1_Item_flavor_00228	A newspaper from 11 years ago,\nfound in the dining room. It says\nthat Mom was murdered and Dad\nwas a suspect...
AC1_Item_flavor_00229	Dad did not kill Mom. I'm so glad I\nremembered the truth.
AC1_Item_flavor_00230	Photo of a Parent and Child
AC1_Item_flavor_00231	A photo that was on Bill's desk. A\nboy who looks too serious is with\nhis kind-looking mother.
AC1_Item_flavor_00232	Long Board
AC1_Item_flavor_00233	A long and sturdy wooden board.\nIt was near the forest path. It\nmight be strong enough to support\nsomeone's weight.
AC1_Item_flavor_00234	Sprout Stone Fragment
AC1_Item_flavor_00235	I found this in front of a grave in\nthe corner of the graveyard.\nThere's a sprout carved into it.
AC1_Item_flavor_00236	Clover Stone Fragment
AC1_Item_flavor_00237	I found this inside a toolshed in\nthe graveyard. There's a four-leaf\nclover carved into it.
AC1_Item_flavor_00238	Frannie's Challenge
AC1_Item_flavor_00239	A letter from Frannie I found in\nthe study. But there's not much\nwritten on it... It's just a picture\nof scales and the fireplace.
AC1_Item_flavor_00240	Frannie's Challenge
AC1_Item_flavor_00241	A letter from Frannie I found in\nthe study. Some strange symbols\nappeared when I held it up to a\nflame. It was drawn in special ink!
AC1_Item_flavor_00247	Small Card
AC1_Item_flavor_00242	This can't be used here.
AC1_Item_flavor_00243	This can't be used right now.
AC1_Item_flavor_00244	This can't be used right now.
AC1_Item_flavor_00245	This item can't be combined.
AC1_Part_00001	*happy noise*
AC1_Part_00002	*angry noise*
AC1_Part_00003	*sad noise*
AC1_Part_00004	*questioning noise*
AC1_Part_00005	Aha!
AC1_Part_00006	*hesitant noise*
AC1_Part_00007	*scared noise*
AC1_Part_00008	Wow...!
AC1_Part_00009	Amazing...
AC1_Part_00010	Oh, um--!
AC1_Part_00011	HEY!
AC1_Part_00013	Oh, hey.
AC1_Part_00014	Oh!
AC1_Part_00015	Uh, um...
AC1_Part_00016	Wait, wait!
AC1_Part_00017	Hang on!
AC1_Part_00018	Hey...
AC1_Part_00019	Hey.
AC1_Part_00020	H-hey...
AC1_Part_00021	Excuse me.
AC1_Part_00023	Got a sec?
AC1_Part_00028	What do you mean?
AC1_Part_00035	You mean--?!
AC1_Part_00037	But that means...
AC1_Part_00038	So you mean...
AC1_Part_00039	So then...?
AC1_Part_00042	Yup!
AC1_Part_00044	Yeah...
AC1_Part_00045	Yep.
AC1_Part_00046	Oh yeah!
AC1_Part_00047	Totally!
AC1_Part_00048	Yeah!
AC1_Part_00049	That's right...
AC1_Part_00050	You're right.
AC1_Part_00051	Is that right?
AC1_Part_00052	That's right!
AC1_Part_00055	Yeah!
AC1_Part_00056	Yeah!
AC1_Part_00057	Yeah...
AC1_Part_00058	Yeah.
AC1_Part_00059	...Yeah?
AC1_Part_00060	Y-yeah...
AC1_Part_00068	Got it!
AC1_Part_00069	Yeah, I got it.
AC1_Part_00071	Got it.
AC1_Part_00074	Of course!
AC1_Part_00077	But!
AC1_Part_00079	But...
AC1_Part_00080	But.
AC1_Part_00081	But...!
AC1_Part_00083	Nuh-uh.
AC1_Part_00084	Nah.
AC1_Part_00085	Nuh-uh...
AC1_Part_00086	Nuh-uh.
AC1_Part_00087	Um...no.
AC1_Part_00088	Nope!
AC1_Part_00090	No...
AC1_Part_00091	No.
AC1_Part_00109	*sigh*
AC1_Part_00110	*hmph*
AC1_Part_00111	*sigh*
AC1_Part_00112	*sigh*
AC1_Part_00113	Hmm...
AC1_Part_00114	*sigh*
AC1_Part_00115	Oh yeah!
AC1_Part_00117	Come to think of it...
AC1_Part_00118	Oh yeah.
AC1_Part_00120	C-come to think of it...
AC1_Part_00124	Hmm, yeah.
