MESS_ARCHIVE_Fld_拠点_ラムの村_出入口


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waここが村の出入り口だ。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Waこの道をずっとゆくと\nソフィア城まで続いている。$k
MID_ADV調べる_mihari_ARUM_LOOP_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa村に近づく者を監視するための\n見張り台だ。$k
MID_ADV調べる_mihari_ARUM_LOOP_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa盗賊に襲われたときは\nじいさんが撃退してくれる。$k
MID_ADV調べる_umadome_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa馬止めの柵だ。\nあまり使われてはいないけど……$k
MID_ADV調べる_umadome_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Waもしものときの為に\nないよりはましかな……。$k
MID_ADV調べる_yumiya_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waこの矢はロビンが練習していたものかな。$k
MID_ADV調べる_saku_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Waグレイと僕が剣の練習でつけた傷だ。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|村の入り口ね。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E悲,|この村も、昔より少し\n荒れてしまったみたい。$k
MID_ADV調べる_mihari_CELLICA_LOOP_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|村を守るための見張り台だわ。$k
MID_ADV調べる_mihari_CELLICA_LOOP_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa$E特殊1,|アルムたちがよく登って\n怒られていたわね。$k
MID_ADV調べる_umadome_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa侵入者を止めるための\n馬止めだわ。$k
MID_ADV調べる_umadome_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Waこれが必要なことになんて\nならなければいいけど……$k
MID_ADV調べる_yumiya_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa袋に矢が刺さっているわ。$k
MID_ADV調べる_saku_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa柵に傷がついているわ。\n誰がつけたのかしら。$k
MID_ADV_調べるエリア_mihari: 見張り台
MID_ADV_調べるエリア_umadome: 馬止め
MID_ADV_調べるエリア_yumiya: 刺さった矢
MID_ADV_調べるエリア_saku: 柵の傷
