MESS_ARCHIVE_GMap


Message Name: Message


MID_GMAP_N人: $a$a0人
MID_GMAP_軍団戦力: 軍団戦力
MID_GMAP_部隊数: 部隊数
MID_GMAP_入る: 入る
MID_GMAP_メニュー: メニュー
MID_GMAP_移動: 移動
MID_GMAP_戦闘警告: 敵の部隊がいます。戦いますか？
MID_GMAP_侵入警告: $a$a0に入りますか？
MID_GMAP_増援通知: $a$a0に\n$a1があらわれた！
MID_GMAP_COMMENT_ラムの村: バレンシア大陸の\n南端部に位置する、\n辺境の小さな村。
MID_GMAP_COMMENT_ラムの林: 緑豊かな林。\nラムの村に至る\nひっそりとした\n細い道が通っている。
MID_GMAP_COMMENT_盗賊の森: 鬱蒼とした少し暗い森。\n近年は盗賊が\n多く出没するため\n森の中を抜ける街道の\n通行には危険が伴う。
MID_GMAP_COMMENT_盗賊のほこら: 自然に出来た洞窟に\n手を加え、女神ミラを\n祀るためのほこらとして\n使われていた場所。\n近年は盗賊のたまり場\nになってしまっている。
MID_GMAP_COMMENT_ラムの谷: 南ソフィア平原と\nソフィアの南端部を\n隔てる、天然の\n関所のごとき場所。\n道幅は狭く、\n険しい山道が続く。
MID_GMAP_COMMENT_南の砦: ソフィア南部の防衛の\nために建造された\n戦闘用の古い砦。\n規模は小さいものの、\n無骨で実戦的な造り。
MID_GMAP_COMMENT_南の砦内部: ソフィア南部の防衛の\nために建造された\n戦闘用の古い砦。\n規模は小さいものの、\n無骨で実戦的な造り。
MID_GMAP_COMMENT_ソフィアの南１: 広大な平野が広がる\n南ソフィア平原の\n南端部。ソフィア城に\n至る街道が続いている。
MID_GMAP_COMMENT_ソフィアの南２: 広大な平野が広がる\n南ソフィア平原の北部。\nソフィア城に至る\n街道が続いている。
MID_GMAP_COMMENT_解放軍のアジト: 地下に造られた\n広大な敷地の墓地。\n平民だけではなく、\n貴族や王家の人間も\nここに葬られている。
MID_GMAP_COMMENT_ソフィアの門: ソフィア城の南側を\n防衛する巨大な門。\n門自体が砦としての\n機能をもっており、\n外部からの攻撃に対し\n高い防衛力を持つ。
MID_GMAP_COMMENT_ソフィア城: ソフィア王国の中枢\nたる城。城壁内には\n巨大な城下町も持つ。\n絢爛豪華で、贅を\n極めた造りの城である。
MID_GMAP_COMMENT_修道院: ノーヴァ島の修道院。\n敷地内で葡萄をはじめ\nいくつかの作物を\n栽培しており\n自給自足の体制が\nできあがっている。
MID_GMAP_COMMENT_ノーヴァの墓地: ノーヴァ島の人々が\n埋葬されている墓地。\n近年は怪しい瘴気に\n覆われ魔物のはびこる\n恐ろしい場所に\nなってしまっている。
MID_GMAP_COMMENT_ノーヴァの港: ノーヴァ島にある港町。\n小さいながらも\n盛り場や出店が並び、\nそれなりに賑っている。
MID_GMAP_COMMENT_海１: ノーヴァ島とソフィアの\n本土を結ぶ航路。\n近年は海賊が多く\n出没し、船の航行が\n脅かされている。
MID_GMAP_COMMENT_海２: ノーヴァ島とソフィアの\n本土を結ぶ航路。\n近年は海賊が多く\n出没し、船の航行が\n脅かされている。
MID_GMAP_COMMENT_海賊の砦: 海賊からの防衛用に\n古い時代に建築された\n砦だったものが、\n占拠され海賊の本拠地\nとして利用されて\nしまっている。
MID_GMAP_COMMENT_海賊の砦内部: 海賊からの防衛用に\n古い時代に建築された\n砦だったものが、\n占拠され海賊の本拠地\nとして利用されて\nしまっている。
MID_GMAP_COMMENT_海３: ノーヴァ島とソフィアの\n本土を結ぶ航路。\n近年は海賊が多く\n出没し、船の航行が\n脅かされている。
MID_GMAP_COMMENT_海のほこら: ノーヴァ海峡に\n浮かぶ小島にもともと\n存在していた洞窟を\n利用して女神を祀る\n祭壇が造られている。\n訪れるものは少ない。
MID_GMAP_COMMENT_海のほこら内部: ノーヴァ海峡に\n浮かぶ小島にもともと\n存在していた洞窟を\n利用して女神を祀る\n祭壇が造られている。\n訪れるものは少ない。
MID_GMAP_COMMENT_海４: ノーヴァ島とソフィアの\n本土を結ぶ航路。\n近年は海賊が多く\n出没し、船の航行が\n脅かされている。
MID_GMAP_COMMENT_海５: ノーヴァ島とソフィアの\n本土を結ぶ航路。\n近年は海賊が多く\n出没し、船の航行が\n脅かされている。
MID_GMAP_COMMENT_ソフィアの港: ソフィア王国最大の\n貿易港。人口が多く、\n発展している。\nごくまれに違う大陸の\n船が入港することも\nあるという。
MID_GMAP_COMMENT_ソフィアの西: ソフィア城から\nソフィアの港に至る\n細い山道の中間地点。
MID_GMAP_COMMENT_ソフィアの海岸: ミラ神殿に至る\nソフィア東部の交易路\n海岸線の道沿いに\n簡易的な砦が\n築かれている。
MID_GMAP_COMMENT_山の墓場: 山の中に作られた墓地。\n近年は怪しい瘴気に\n覆われ魔物がはびこる\n恐ろしい場所に\nなってしまっている。
MID_GMAP_COMMENT_山の村: 山間に作られた集落。\n度重なる盗賊たちの\n襲撃に脅かされている。
MID_GMAP_COMMENT_ミラへの谷: ミラ神殿に至る道の\n途中を塞ぐように\n存在する深い谷。\n神殿に向かう巡礼者に\nとって試練となる。
MID_GMAP_COMMENT_竜のほこら: 広大な自然洞窟。\n中には死者を蘇らせる\n井戸があり、それを\n竜が守っているとも\n噂される。
MID_GMAP_COMMENT_砂漠の砦: ソフィア王国により\nかなり昔に造られ、\n今は放棄された砦。\n砂漠特有の気候により\n風化が進み\n壊れ始めている。
MID_GMAP_COMMENT_砂漠の砦内部: ソフィア王国により\nかなり昔に造られ、\n今は放棄された砦。\n砂漠特有の気候により\n風化が進み\n壊れ始めている。
MID_GMAP_COMMENT_砂漠の北: 砂漠を横断する道の\n北側のルート。\n熱と砂嵐が旅人の\n体力を容赦なく奪う。
MID_GMAP_COMMENT_砂漠の南: 砂漠を横断する道の\n南側のルート。\n熱と砂嵐が旅人の\n体力を容赦なく奪う。
MID_GMAP_COMMENT_ギースの砦: 砂漠の東部、\nソフィアの東海岸に\n建造された古い砦。\nギースが拠点として\n使用している。
MID_GMAP_COMMENT_ギースの砦内部: 砂漠の東部、\nソフィアの東海岸に\n建造された古い砦。\nギースが拠点として\n使用している。
MID_GMAP_COMMENT_ミラ神殿: 女神のために作られた\n神殿でありミラ信仰の\n中心部でもある。\n美しく荘厳な佇まいは\nソフィアの至宝とも\n謳われる。
MID_GMAP_COMMENT_ミラ神殿内部: 女神のために作られた\n神殿でありミラ信仰の\n中心部でもある。\n美しく荘厳な佇まいは\nソフィアの至宝とも\n謳われる。
MID_GMAP_COMMENT_北の門: ソフィア城の北門。\n南門と同様に、堅牢な\n造りをしている。
MID_GMAP_COMMENT_ソフィアの北: ソフィア城の\n北に位置する平野部。\nソフィアの西側の\n交易路の起点であり、\n整備された道ははるか\n水門まで続いている。
MID_GMAP_COMMENT_ソフィアの森１: ソフィア北部に広がる\n広大な大森林地帯の\n入り口の地点。
MID_GMAP_COMMENT_森の村: 付近の森の村の住人\nたちの手によって多くの\n樹木が切りだされた、\n少し開けた場所。
MID_GMAP_COMMENT_森の村内部: 深い森を切り開いた\n場所に、人目を避ける\nように作られた村。\n度重なる略奪により\n人々は疲弊している。
MID_GMAP_COMMENT_ドゼーの砦: 宰相ドゼーの本拠地。\n巨大で堅牢な砦。\nその建設にはドゼーが\nこれまで蓄えこんだ\n莫大な私財が\nつぎ込まれたという。
MID_GMAP_COMMENT_ドゼーの砦内部: 宰相ドゼーの本拠地。\n巨大で堅牢な砦。\nその建設にはドゼーが\nこれまで蓄えこんだ\n莫大な私財が\nつぎ込まれたという。
MID_GMAP_COMMENT_ソフィアの森２: ソフィア北部に広がる\n広大な大森林地帯の\n出口となる地点。
MID_GMAP_COMMENT_森のほこら: もともとははるか昔の\n時代に作られた\n何らかの遺跡だったが、\nその空間を利用して、\n女神を祀る祭壇が\n作られている。
MID_GMAP_COMMENT_森の北: 大森林地帯の北に\n位置する平野部。\n交易路が続いている。
MID_GMAP_COMMENT_水門: 大陸を隔てる深い\n谷の出口を塞ぐように\n築かれた超巨大建造物。\n蓄えられた水は水門に\nよって放水量を調整され\n海や運河へ流されている。
MID_GMAP_COMMENT_水門内部: 大陸を隔てる深い\n谷の出口を塞ぐように\n築かれた超巨大建造物。\n蓄えられた水は水門に\nよって放水量を調整され\n海や運河へ流されている。
MID_GMAP_COMMENT_死人の沼: 一面に毒の沼が広がり\n訪れるものを拒む\n死の大地。\n周囲には鼻をつく\n腐臭がただよう。
