MESS_ARCHIVE_JobIntro


Message Name: Message


MID_兵種紹介_使用武器_1種: $a武器：$a0
MID_兵種紹介_使用武器_2種: $a武器：$a0、$a1
MID_兵種紹介_キャッチコピー_村人男: 無限の可能性
MID_兵種紹介_キャッチコピー_ソルジャー男: 前線を担う槍歩兵
MID_兵種紹介_キャッチコピー_ナイト男: 機動力に優れる騎兵
MID_兵種紹介_キャッチコピー_ペガサスナイト女: 天翔ける純白の騎士
MID_兵種紹介_キャッチコピー_アーチャー男: 射程外からの一撃
MID_兵種紹介_キャッチコピー_パラディン女: 誉れ高き聖騎士
MID_兵種紹介_キャッチコピー_ボウナイト男: 脅威なる弓騎兵
MID_兵種紹介_キャッチコピー_魔戦士男: 異形なる影
MID_兵種紹介_キャッチコピー_聖女: 神聖なる乙女
MID_兵種紹介_キャッチコピー_ゴールドナイト男: 高潔なる騎士の頂点
MID_兵種紹介_キャッチコピー_戦士男: 勇敢なる旗印
MID_兵種紹介_キャッチコピー_魔道士女: 魔道のエキスパート
MID_兵種紹介_キャッチコピー_魔道士男: 魔道のエキスパート
MID_兵種紹介_キャッチコピー_シスター女: つつましき修道女
MID_兵種紹介_キャッチコピー_傭兵男: 戦闘のプロフェッショナル
MID_兵種紹介_キャッチコピー_アーマー男: 頼もしき軍団の盾
MID_兵種紹介_キャッチコピー_スナイパー男: 敵を撃ちぬく遠距離射撃
MID_兵種紹介_キャッチコピー_剣士男: 研ぎ上げられた必殺の刃
MID_兵種紹介_キャッチコピー_バロン男: 鉄壁の移動要塞
MID_兵種紹介_キャッチコピー_ファルコンナイト女: 神に祝福されし聖なる翼
MID_兵種紹介_キャッチコピー_賢者男: 叡智を極めし存在
MID_兵種紹介_キャッチコピー_神官セ: 美しき魔法剣士
MID_兵種紹介_説明_村人男: 武器を手にとった\n平凡な村人。\n戦闘能力は低いが\nさまざまなクラスに\n変わることができる\n大きな可能性を\n秘めている。
MID_兵種紹介_説明_ソルジャー男: 槍を持って戦う\n最も基本的な歩兵。\n攻撃力と守備力が\n少しだけ優れる。\nこれといった\n弱点も見当たらない。
MID_兵種紹介_説明_ナイト男: 軍馬にまたがり\n高い機動力をもって\n戦場を駆ける騎士。\n足場が不安定な\n場所では移動力が\n大きく低下してしまう。
MID_兵種紹介_説明_ペガサスナイト女: 天馬に跨った騎士。\nあらゆる障害物を\n飛び越えて移動できる\nという特徴を持つ。\n空中にいるため、\n地形効果の恩恵を\n受けることはできない。
MID_兵種紹介_説明_アーチャー男: 弓を扱うことが\n出来る兵士。\n敵が反撃できない\n遠く離れた場所から\n矢を射掛ける\nことが出来る。
MID_兵種紹介_説明_パラディン女: 高位なる名高き騎士\n戦闘能力や機動力に\n磨きがかかり\nあらゆる戦況に\n柔軟に対応\nすることができる。
MID_兵種紹介_説明_ボウナイト男: 弓を持った騎兵。\n極めて長い射程に加え、\n高い機動力までも\n身につけた\n戦場において\n非常に頼もしい存在。
MID_兵種紹介_説明_魔戦士男: どこか異国の雰囲気を\n帯びた神秘的な剣士。\n高い身体能力を\n持つばかりでなく、\n魔法に対しても\n非常に高い耐性を持つ。
MID_兵種紹介_説明_聖女: 神に仕える\nきよらかな乙女。\n戦闘能力こそ\n高くはないものの、\n強大な癒やしの力で\n仲間たちを\n頼もしく支援する。
MID_兵種紹介_説明_ゴールドナイト男: 黄金の鎧を全身に\nまとう、最高の騎士。\n全クラスの中でも\n最大の移動力と\n一騎当千の強さを誇る\n隙のない存在。
MID_兵種紹介_説明_戦士男: 剣を扱うことができ、\n各能力のバランスが\n非常によい。\nあらゆる戦況に\n対応することができる\n万能型ユニット。
MID_兵種紹介_説明_魔道士女: 強い魔力を持ち、\n黒魔法を使いこなす\n女性の魔道士。\n魔法は敵の\n地形効果の影響を\n受けないという\n大きな特徴がある。
MID_兵種紹介_説明_魔道士男: 強い魔力を持ち、\n黒魔法を使いこなす\n男性の魔道士。\n魔法は敵の\n地形効果の影響を\n受けないという\n大きな特徴がある。
MID_兵種紹介_説明_シスター女: 神に仕える修道女。\n白魔法を扱える\n軍団の貴重な回復役。\n戦闘能力は低く、\n前線に立たせるのは\nリスクをともなう。
MID_兵種紹介_説明_傭兵男: 剣を手に数多の\n戦場を渡り歩く戦いの\nプロフェッショナル。\n速さと技の能力が高く\n必殺の一撃を\nくり出しやすい。
MID_兵種紹介_説明_アーマー男: 高い守備力を誇り\n前線において\n頼もしい盾となる。\n厚い装甲の代償として\n素早い身のこなしが\n犠牲となっている。
MID_兵種紹介_説明_スナイパー男: 弓の扱いを極めた\n遠距離攻撃の\nエキスパート。\n長い射程を持ち、\n遠方の敵をも\n確実に仕留める。
MID_兵種紹介_説明_剣士男: すぐれた技を持つ\n剣の達人。\n数々の戦いを通じて\n磨きぬかれた剣技は\n確実に敵の\n息の根を止める。
MID_兵種紹介_説明_バロン男: 他を圧倒する攻撃力と\n絶大な守備力を誇る。\n機動力において\n他に一歩譲るものの、\n全体的に隙がない。
MID_兵種紹介_説明_ファルコンナイト女: 角のある天馬に\nまたがり天空を\n駆ける神聖な騎士。\n聖なる力を持ち、\n魔物に対して圧倒的な\n攻撃力を持つ。
MID_兵種紹介_説明_賢者男: 経験をつんだ男の\n魔道士が到達できる\n偉大なる存在。\n強力な黒魔法に加え、\n白魔法も扱うことが\nできる。
MID_兵種紹介_説明_神官セ: 神に仕える\n美しき魔法剣士。\n剣のみならず\n白黒両方の魔法を\n自在に使いこなす\nことができる。
