MESS_ARCHIVE_Link


Message Name: Message


MID_LINK_NSD_CONFIRM: 配信データが壊れています。\n配信データを消去します。
MID_LINK_EXT_CONFIRM: 追加データが壊れています。\n追加データを作り直します。
MID_LINK_DLC_CONFIRM: 追加コンテンツが壊れています。\n追加コンテンツの再構築を行います。
MID_LINK_NSD_RESULT: 配信データを消去しました。\nいつの間に通信を\n登録し直してください。
MID_LINK_EXT_RESULT: 追加データを作り直しました。\nいつの間に通信や追加コンテンツを\n登録し直してください。
MID_LINK_DLC_RESULT: 追加コンテンツを再構築しました。
MID_LINK_PC_P2P: 『他のユーザーとのインターネット通信』が\n保護者により制限されているため\nこの機能を利用できません。
MID_LINK_PC_RICH_UGC: 『写真や画像・音声・\n動画・長文テキストの送受信』が\n保護者により制限されているため\nこの機能を利用できません。
MID_EXT_NOT_FOUND: ＳＤカードが認識できませんでした。\n電源を切ってから\nＳＤカードを差し直して下さい。
MID_EXT_FAILD: ＳＤカードが認識できませんでした。\n電源を切ってから\nＳＤカードを差し直して下さい。
MID_EXT_CREATE: ＳＤカードに\n追加データを作成します。
MID_EXT_CREATING: 追加データを作成中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_EXT_CREATED: ＳＤカードに\n追加データを作成しました。
MID_EXT_READ: 追加データの読み込み中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_EXT_FORMAT: 追加データを作り直しています。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_EXT_NOT_MEDIA: ＳＤカードが認識できませんでした。\n電源を切ってから\nＳＤカードを差し直して下さい。
MID_EXT_NOT_SPACE: ＳＤカードの空きブロックが不足しています。\n本体設定の「データ管理」から\nＳＤカードの不要なデータを消去してください。
MID_EXT_NOT_WRITE: ＳＤカードが書き込み禁止になっています。\n電源を切ってＳＤカードの\n書き込み禁止スイッチを解除し\n差し直してください。
MID_EXT_NOT_ACCESS: ＳＤカードを認識できませんでした。
MID_EXT_BAD_FORMAT: ＳＤカードを認識できませんでした。
MID_EXT_ERROR: ＳＤカードを認識できませんでした。
MID_DLC_READ: 追加コンテンツの読込中
MID_DLC_MOUNT: 追加コンテンツの確認中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_DLC_EXTSAVE: ＳＤカードに\n追加データを作成しました。
MID_DLC_RESTORE: 追加コンテンツの再構築中。\nＳＤカードや電源ボタンに\nさわらないでください。
MID_DLC_RESTORE_FAILED: 追加コンテンツが消去されているため\n再構築に失敗した可能性があります。\n追加コンテンツをダウンロードし直してください。
MID_DLC_NOT_MEDIA: ＳＤカードを認識できませんでした。
MID_DLC_NOT_ACCESS: ＳＤカードを認識できませんでした。
MID_DLC_NOT_ARCHIVE: ＳＤカードを認識できませんでした。
MID_DLC_BAD_FORMAT: ＳＤカードを認識できませんでした。
