MESS_ARCHIVE_LinkMenu


Message Name: Message


MID_LINKMENU_新規登録促す: 通信機能を利用するには\nプロフィールカードの登録が必要です。
MID_LINKMENU_あいさつカード: プロフィールカード
MID_LINKMENU_あいさつカード_説明: 自身のプロフィールカードの編集を行います
MID_LINKMENU_グローバルランキング: グローバルランキング
MID_LINKMENU_グローバルランキング_説明: 現在のランキングを確認できます
MID_LINKMENU_すれ違いランキング: すれちがいレコード
MID_LINKMENU_すれ違いランキング_説明: すれちがいの履歴を確認できます
MID_LINKMENU_DLC: 追加コンテンツ
MID_LINKMENU_DLC_説明: 追加コンテンツを利用します
MID_LINKMENU_通信設定: 通信設定
MID_LINKMENU_通信設定_説明: 通信に関する設定を行います
MID_LINKMENU_いつの間に通信設定: いつの間に通信
MID_LINKMENU_いつの間に通信設定_説明: いつの間に通信のオン/オフを設定します
MID_LINKMENU_プレイ内容送信設定: プレイ内容の送信
MID_LINKMENU_プレイ内容送信設定_説明: プレイ内容の送信のオン/オフを設定します
MID_LINKMENU_データ受信: データ受信
MID_LINKMENU_データ受信_説明: 特定のデータの受信操作を行います
MID_LINKMENU_ログイン中: しばらくお待ちください…
MID_LINKMENU_ログアウト中: しばらくお待ちください…
MID_LINKMENU_通信エラー_無線OFF: 無線通信機能がOFFになっているため\n通信できません。\n無線通信機能をONにしてください。
MID_LINKMENU_通信エラー_汎用: エラーが発生しました。\n■しばらく待ってやり直してください。\n■症状が直らない場合は\n　本体の取り扱い説明書に記載されている\n　任天堂テクニカルサポートセンターへ\n　お問い合わせください。
MID_LINKMENU_ランキング取得中: ランキング取得中です…
MID_LINKMENU_ランキング_総合: 総合ランキング
MID_LINKMENU_ランキング_国別: 地域ランキング
MID_LINKMENU_ランキング_週間: 週間ランキング
MID_LINKMENU_すれちがい_データなし: まだすれちがったことがありません
MID_LINKMENU_すれちがい_タイトル: すれちがいレコード
MID_LINKMENU_すれちがい_回数: 回数
MID_LINKMENU_すれちがい_勲章: 勲章
MID_LINKMENU_すれちがい_見る: プロフィールカードを見る
MID_LINKMENU_すれちがい_星ON: ★をつける
MID_LINKMENU_すれちがい_星OFF: ★をはずす
MID_LINKMENU_すれちがい_ウワサ: ウワサを聞く
MID_LINKMENU_すれちがい_プレゼント: プレゼントを受け取る
MID_LINKMENU_すれちがい_ウワサ_敵: $a$a0に何者かがあらわれたらしい
MID_LINKMENU_すれちがい_ウワサ_宝: $a$a0に宝があるらしい
