MESS_ARCHIVE_System


Message Name: Message


MID_SYS_クラシック: クラシック
MID_SYS_カジュアル: カジュアル
MID_SYS_フェニックス: フェニックス
MID_SYS_ノーマル: ノーマル
MID_SYS_ハード: ハード
MID_SYS_EN_レベル: Lv.
MID_SYS_EN_レベル２: LV
MID_SYS_EN_経験値: Ex.
MID_SYS_EN_経験値２: EXP
MID_SYS_ＨＰ: ＨＰ
MID_SYS_EN_ＨＰ: HP
MID_SYS_EN_ＭＨＰ: MHP
MID_SYS_クラス: クラス
MID_SYS_力: 力
MID_SYS_魔力: 魔力
MID_SYS_技: 技
MID_SYS_速さ: 速さ
MID_SYS_幸運: 幸運
MID_SYS_守備: 守備
MID_SYS_魔防: 魔防
MID_SYS_移動: 移動
MID_SYS_射程: 射程
MID_SYS_クラス_E: CLASS
MID_SYS_力_E: ATK
MID_SYS_魔力_E: ATK
MID_SYS_技_E: TEC
MID_SYS_速さ_E: SPD
MID_SYS_幸運_E: LUC
MID_SYS_守備_E: DEF
MID_SYS_魔防_E: RES
MID_SYS_移動_E: MOV
MID_SYS_特効: 特効
MID_SYS_EN_射程_魔力／２: HALF
MID_SYS_EN_射程_∞: INF
MID_SYS_射程_魔力: ATK
MID_SYS_射程_全体: 全体
MID_SYS_攻撃: 攻撃
MID_SYS_命中: 命中
MID_SYS_必殺: 必殺
MID_SYS_回避: 回避
MID_SYS_必殺回避: 必殺回避
MID_SYS_物理回避: 物理回避
MID_SYS_魔法回避: 魔法回避
MID_SYS_命中_E: HIT
MID_SYS_必殺_E: CRT
MID_SYS_物理回避_E: P.AVO
MID_SYS_魔法回避_E: M.AVO
MID_SYS_威力: 威力
MID_SYS_回復力: 回復力
MID_SYS_重さ: 重さ
MID_SYS_消費ＨＰ: 消費ＨＰ
MID_SYS_ＨＰ回復: ＨＰ回復
MID_SYS_疲労回復: 疲労回復
MID_SYS_疲労回復_なし: なし
MID_SYS_疲労回復_小: 小
MID_SYS_疲労回復_中: 中
MID_SYS_疲労回復_大: 大
MID_SYS_武器: 武器
MID_SYS_剣: 剣
MID_SYS_槍: 槍
MID_SYS_斧: 斧
MID_SYS_弓: 弓
MID_SYS_魔法: 魔法
MID_SYS_魔道書: 魔
MID_SYS_杖: 杖
MID_SYS_竜石: 竜石
MID_SYS_獣石: 獣石
MID_SYS_魔物: 爪
MID_SYS_ボス: 息吹
MID_SYS_道具: 道具
