MESS_ARCHIVE_Amiibo


Message Name: Message


MID_amiibo_初回シーケンス_成功: amiibo菜单开放了！
MID_amiibo_召喚開放: 阿鲁姆与赛莉卡\n可以使用amiibo召唤了！
MID_amiibo_タッチ促す_アルムかセリカ: 请用阿鲁姆或赛莉卡的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_アルムかセリカ_CTR: 请用阿鲁姆或赛莉卡的amiibo\n触碰FC读写器的\nNFC范围。
MID_amiibo_タッチ促す_アルム: 请用阿鲁姆的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_アルム_CTR: 请用阿鲁姆的amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_タッチ促す_セリカ: 请用赛莉卡的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_セリカ_CTR: 请用赛莉卡的amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_タッチ促す_召喚: 请用要召唤的amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_召喚_CTR: 请用要召唤的amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_タッチ促す_誰でも: 请用amiibo\n触碰米拉齿轮。
MID_amiibo_タッチ促す_誰でも_CTR: 请用amiibo触碰\nNFC读写器的NFC范围。
MID_amiibo_NFCRW_接続中: NFC读写器开启电源后，\n请靠近主机。
MID_amiibo_離すな_促す: 请不要拿开amiibo。
MID_amiibo_APP領域作成_離すな_促す: 正在建立\n“FIRE EMBLEM Echoes\n另一位英雄王”的数据。\n请不要拿开amiibo。
MID_amiibo_キャンセル: 动作已取消。
MID_amiibo_削除キャンセル時: 即使不将数据写入amiibo，\n也可以召唤amiibo，或游玩\n使用amiibo挑战的特别迷宫。
MID_amiibo_受付中: 接收中
MID_amiibo_書込中: 写入中
MID_amiibo_復元中: 修复中
MID_amiibo_接続中: 连接中
MID_amiibo_終了中: 结束中
MID_amiibo_作成中: 建立中
MID_NFP_エラー_スリープ: 主机正在休眠状态。\n请重新再试一次。\n（除错：有机会使用吗？？）
MID_NFP_エラー_WiFiオフ: 无线通信功能设为关闭，\n因此无法读取amiibo。\n请开启无线通信功能。
MID_NFP_エラー_タグ未発見: 找不到amiibo，\n可能已远离NFC范围。
MID_NFP_エラー_不正処理: 发生错误，\n请再试一次。
MID_NFP_エラー_接続キャンセル: 与NFC读写器的连接被中断。
MID_NFP_エラー_タイムアウト: 无法连接NFC读写器，\n请确认以下内容。\n‧NFC读写器的电源已开启\n‧红外线收发端确实相互对准
MID_NFP_エラー_赤外線故障: 主机的红外线功能可能已损毁。\n请重新开机后再试一次。\n如果这则错误信息多次出现，\n请咨询服务中心。
MID_NFP_エラー_NFCR&W故障: NFC读写器可能已损毁。\n请重新开启NFC读写器后，再试一次。\n如果这则错误信息多次出现，\n请咨询服务中心。
MID_NFP_エラー_不明タグ: 无法读取amiibo\n以外的数据。\n请确认触碰的物品。
MID_NFP_エラー_タグ初期化: amiibo的数据已损毁。如果是以前游玩过的\n主机，就有可能修复。若要直接使用，\n不修复的话，请从HOME菜单的\namiibo设定中初始化amiibo。
MID_NFP_エラー_未対応バージョン: 未对应本款amiibo。\n请将amiibo移出NFC范围。
MID_NFP_エラー_タグ違い: 非对应的amiibo。
MID_NFP_エラー_書込失敗: 写入时发生错误。\namiibo的数据可能已损毁。\n请再尝试写入一次。
MID_NFP_エラー_作成中_タグ破損: 建立时发生错误。\namiibo的数据可能已损毁。\n要修复数据吗？
MID_NFP_エラー_タグ未破損: amiibo的数据没有损毁，\n因此不需要修复。
MID_NFP_エラー_復旧不能: 未能读取备份数据。\n无法修复amiibo。
MID_NFP_エラー作成済み: 已经建立“FIRE EMBLEM Echoes\n另一位英雄王”的\n数据了。
MID_amiibo_NFCR&W_更新が必要: NFC读写器必须更新。\n可以从HOME菜单的\namiibo设定里进行更新。
MID_NFP_エラー_復旧中_書き込みエラー: 修复时发生错误，\n因此amiibo的数据可能\n没有正常修复。
MID_NFP_エラー_汎用失敗: 未能处理。\n请再试一次。
MID_NFP_エラー_対象外: 触碰的amiibo\n未对应读取。\n请将amiibo移出米拉齿轮。
MID_NFP_エラー_対象外_CTR: 触碰的amiibo\n未对应读取。\n请将amiibo移出NFC范围。
MID_NFP_エラー_セリカ_書き込めない: 现在无法写入\n赛莉卡的amiibo。\n（随着故事进行，将会开放写入。）
MID_NFP_書き込み確認: $a要覆写$a0的\n强度到amiibo上吗？
MID_NFP_復旧確認: amiibo的数据已损毁。\n要修复数据吗？
MID_NFP_作成確認: amiibo里没有“FIRE EMBLEM Echoes\n另一位英雄王”的数据。\n要建立数据吗？
MID_NFP_削除確認: amiibo里已建立了其他游戏的数据，\n因此无法写入。\n要启动amiibo设定，将amiibo内写入的\n其他游戏数据删除吗？
MID_NFP_登録確認: 尚未登录所有者信息。\n要登录吗？
MID_NFP_データ未設定: 尚未登录
MID_NFP_書込成功: 写入成功！
MID_NFP_復旧成功: 修复成功！
MID_NFP_作成成功: 已经建立“FIRE EMBLEM Echoes\n另一位英雄王”的数据了！
