MESS_ARCHIVE_Blacksmith


Message Name: Message


MID_入店: 欢迎光临！
MID_退店: 多谢惠顾。
MID_SMITH_総合説明: 在“炼成”中支付银币或金币，\n就可以强化武器。\n强化的上限会\n根据武器而有所不同。
MID_SMITH_練成: 炼成
MID_H_SMITH_練成: 强化武器
MID_SMITH_錬成不可: 无法炼成
MID_SMITH_名前刻印: 刻名
MID_H_SMITH_名前刻印: 为炼成的武器命名
MID_SMITH_名前消去: 除名
MID_H_SMITH_名前消去: 消除武器的命名
MID_SMITH_還元: 换钱
MID_H_SMITH_還元: 用武器等道具换钱，换成银币或金币
MID_SMITH_両替: 兑换
MID_H_SMITH_両替: 互相兑换银币和金币
MID_SMITH_両替_枚数: 请决定枚数
MID_SMITH_両替_確認: $a要把$a0\n兑换成$a1吗？
MID_SMITH_両替_結果: $a把$a0\n兑换成$a1了
MID_SMITH_練成_確認: $a要把$a0\n炼成$a1吗？
MID_SMITH_練成_結果: $a把$a0\n炼成$a1了
MID_SMITH_進化_確認: $a要进化$a0吗？
MID_SMITH_進化_結果: $a$a0进化成\n$a1了！
MID_SMITH_名前刻印_確認: 要刻印名字吗？
MID_SMITH_名前刻印_不可: 不能再刻印名字了
MID_SMITH_名前刻印_結果: $a刻印为$a0了
MID_SMITH_名前刻印_キャンセル: 已取消刻印
MID_SMITH_名前消去_確認: $a要消除$a0的名字吗？
MID_SMITH_名前消去_結果: 已消除
MID_SMITH_還元_確認: $a要用$a0换钱吗？
MID_SMITH_還元_結果_1: $a交出$a0后，\n获得了\n$a1\n
MID_SMITH_還元_結果_2: $a交出$a0后，\n获得了\n$a1<linefeed>和\n$a2\n
MID_SMITH_所持: 持有
MID_SMITH_不明: ？？？？？？？
MID_SMITH_不明_単文字: ？
