MESS_ARCHIVE_Fld_拠点_ソフィア城_バルコニー


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa从这里可以眺望索菲亚的大地。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa我并不讨厌高的地方。$k
MID_ADV調べる_woodboxA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa连这里都堆满了补给物资。$k
MID_ADV調べる_woodboxB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa连这里都堆满了补给物资。$k
MID_ADV調べる_woodboxC_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa连这里都堆满了补给物资。$k
MID_ADV調べる_sun_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa夕阳好耀眼……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa可以将辽阔的索菲亚大地一览无遗呢。$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里是我从小就最喜欢的地方。$k
MID_ADV調べる_woodboxA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa怎么这么乱呀。\n没有人来收拾吗？$k
MID_ADV調べる_woodboxB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa怎么这么乱呀。\n没有人来收拾吗？$k
MID_ADV調べる_woodboxC_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa怎么这么乱呀。\n没有人来收拾吗？$k
MID_ADV調べる_sun_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa美丽的夕阳照耀着露台。$k
MID_ADV_調べるエリア_woodboxA: 货物
MID_ADV_調べるエリア_woodboxB: 货物
MID_ADV_調べるエリア_woodboxC: 货物
MID_ADV_調べるエリア_sun: 夕阳
