MESS_ARCHIVE_Fld_拠点_ソフィア城_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa每一处都装饰得富丽堂皇的玄关。$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa感觉有点儿震撼……$k
MID_ADV調べる_door_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa与这座城堡相称的\n一扇巨型大门。$k
MID_ADV調べる_bunerA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面挂着索菲亚的旗帜。$k
MID_ADV調べる_bunerB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面挂着索菲亚的旗帜。$k
MID_ADV調べる_bunerC_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面挂着索菲亚的旗帜。$k
MID_ADV調べる_bunerD_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面挂着索菲亚的旗帜。$k
MID_ADV調べる_bunerE_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面挂着索菲亚的旗帜。$k
MID_ADV調べる_bunerF_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上面挂着索菲亚的旗帜。$k
MID_ADV調べる_carpet_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa地上铺着毛茸茸的地毯。$k
MID_ADV調べる_chandelier_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa好华丽的吊灯。\n照亮了整个宽敞的楼层。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是索菲亚城堡的玄关呢。\n还是一样没变……$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa豪华又奢侈的建筑，就像是\n在夸耀这个国家的繁荣丰饶。$k
MID_ADV調べる_door_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa这扇门的另一边，\n通往城堡的中央大厅。$k
MID_ADV調べる_bunerA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面挂着索菲亚的旗帜呢。$k
MID_ADV調べる_bunerB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面挂着索菲亚的旗帜呢。$k
MID_ADV調べる_bunerC_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面挂着索菲亚的旗帜呢。$k
MID_ADV調べる_bunerD_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面挂着索菲亚的旗帜呢。$k
MID_ADV調べる_bunerE_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面挂着索菲亚的旗帜呢。$k
MID_ADV調べる_bunerF_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa上面挂着索菲亚的旗帜呢。$k
MID_ADV調べる_carpet_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是长毛地毯呢。\n感觉连脚踝都要埋进去了。$k
MID_ADV調べる_chandelier_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是吊灯啊。\n上面插满了蜡烛呢。$k
MID_ADV_調べるエリア_carpet: 地毯
MID_ADV_調べるエリア_door: 门
MID_ADV_調べるエリア_chandelier: 吊灯
MID_ADV_調べるエリア_bunerA: 旗帜
MID_ADV_調べるエリア_bunerB: 旗帜
MID_ADV_調べるエリア_bunerC: 旗帜
MID_ADV_調べるエリア_bunerD: 旗帜
MID_ADV_調べるエリア_bunerE: 旗帜
MID_ADV_調べるエリア_bunerF: 旗帜
