MESS_ARCHIVE_Fld_拠点_フリアの港_出入り口


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa$E驚,|这里就是阿卡奈亚大陆……\n竟然真的存在……$k
MID_ADV調べる_empty_ARUM_RANDOM_1: $Z$t0$Wmアルム|6$Wsアルム|$Wa海上吹来的风好冷。\n感觉身体都要冻僵了。$k
MID_ADV調べる_cat_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa是从没见过的长毛猫。\n连生物都跟索菲亚不一样。$k
MID_ADV調べる_fishnet_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa里面装了好多鱼。\n这座港口的渔业似乎也很兴盛。$k
MID_ADV調べる_weaponA_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa有好多武器。\n这里难道也有战争吗？$k
MID_ADV調べる_weaponB_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa总觉得气氛森严……$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa这里就是阿卡奈亚大陆啊。\n不知道和瓦伦西亚有什么不同？$k
MID_ADV調べる_empty_CELLICA_RANDOM_1: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa好冷的风呢。\n是从海上吹来的吗？$k
MID_ADV調べる_cat_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa毛好长的猫咪呢。\n圆滚滚的真可爱啊。$k
MID_ADV調べる_fishnet_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa里面装了好多鱼呢。\n捕鱼方式似乎跟瓦伦西亚一样。$k
MID_ADV調べる_weaponA_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是武器啊。\n竟然有这么多……$k
MID_ADV調べる_weaponB_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa这片大陆难道也有战争吗？$k
MID_ADV_調べるエリア_cat: 猫
MID_ADV_調べるエリア_fishnet: 装着鱼的篮子
MID_ADV_調べるエリア_weaponA: 武器
MID_ADV_調べるエリア_weaponB: 武器
