MESS_ARCHIVE_Poem


Message Name: Message


MID_盗賊のほこら_アルム_00: 洞窟内充满了
MID_盗賊のほこら_アルム_01: 蠢动的人类气息以及霉味。
MID_盗賊のほこら_アルム_02: 这个原本建造用于祭祀女神的场所，
MID_盗賊のほこら_アルム_03: 如今似乎已沦为
MID_盗賊のほこら_アルム_04: 盗贼们的舒适巢穴。
MID_解放軍のアジト_アルム_00: 这座在地底下展开的巨大墓穴，
MID_解放軍のアジト_アルム_01: 是有身份之人所长眠的历史悠久之地。
MID_解放軍のアジト_アルム_02: 而如今，里面却充满了
MID_解放軍のアジト_アルム_03: 化为魔物苏醒的死者腐臭。
MID_海のほこら_セリカ_00: 洞窟里充满了海水味，既冰冷又潮湿……
MID_海のほこら_セリカ_01: 或许是有龙僵尸镇守的缘故，
MID_海のほこら_セリカ_02: 似乎没有人进来过呢。
MID_森のほこら_アルム_00: 在这座建造于远古时代的巨大遗迹中，
MID_森のほこら_アルム_01: 与满是灰尘的空气一同冲进鼻子的，
MID_森のほこら_アルム_02: 除了严重锈蚀的铁锈味外，
MID_森のほこら_アルム_03: 还有数百年历史所带来的沉重感。
MID_森のほこら_アルム_04: 就连这种地方，竟也留有为了邪恶企图
MID_森のほこら_アルム_05: 而出入此地的人类痕迹。
MID_竜のほこら_セリカ_00: 真是不可思议的气氛……
MID_竜のほこら_セリカ_01: 虽然清净，
MID_竜のほこら_セリカ_02: 却又仿佛拒绝所有生物似的。
MID_竜のほこら_セリカ_03: 远处传来的是……海浪声？
MID_竜のほこら_セリカ_04: 小时候我曾听人说过，
MID_竜のほこら_セリカ_05: 在索菲亚的某处，有通往死者国度之海。
MID_恐山のほこら_アルム_00: 里面吹来一阵暖风，夹带着阴森的呻吟。
MID_恐山のほこら_アルム_01: 死者国度响起的，是寻求生命的亡者发出的声音吗？
MID_恐山のほこら_アルム_02: 这里是恐山的内部，瓦伦西亚的最深处。
MID_秘密のほこら_アルム_00: 这个宛如避人耳目般被隐藏起来的神奇空间，
MID_秘密のほこら_アルム_01: 便是被封印的秘密祠堂。
MID_秘密のほこら_アルム_02: 这个地方是为了什么目的而建造的？
MID_迷いの森_セリカ_00: 这是座会迷惑闯入者的、既昏暗又苍郁的森林。
MID_迷いの森_セリカ_01: 巨大的石柱看起来就像
MID_迷いの森_セリカ_02: 监视入侵者的看守。
MID_ドーマの塔_セリカ_00: 这座塔宛如将多玛之力直接化为形体般，巨大又充满压迫感……
MID_ドーマの塔_セリカ_01: 追求无止尽的力量，其尽头究竟会有什么？
MID_ドーマの塔_セリカ_02: 而答案是否就在这座塔的顶端呢？
MID_ドーマ神殿_アルム_00: 通路前方传来非比寻常的气氛。
MID_ドーマ神殿_アルム_01: 感觉后颈的汗毛竖了起来。
MID_ドーマ神殿_アルム_02: 我惧怕着前方的多玛神殿之主。
MID_ドーマ神殿_アルム_03: 但是，为了结束这场战役，
MID_ドーマ神殿_アルム_04: 我们不得不前进。
MID_テーベ地下迷宮_アルム_00: 这里过去是充满魔道之力的都市，
MID_テーベ地下迷宮_アルム_01: 如今则是遭人遗忘、抛弃的巨大遗迹。
MID_テーベ地下迷宮_アルム_02: 是人类之罪的残骸。
MID_テーベ地下迷宮_アルム_03: 我们打破延续数百年的寂静，前往这座迷宫的深处，
MID_テーベ地下迷宮_アルム_04: 里面会有什么等着我们呢？
MID_テーベ地下迷宮_セリカ_00: 沉溺于魔道之力，最后毁灭的古代都市……
MID_テーベ地下迷宮_セリカ_01: 这数百年的沉眠，就是其报应吗？
