MESS_ARCHIVE_Result


Message Name: Message


MID_リザルト_戦果: 战果
MID_リザルト_参加経験値: 参加经验值
MID_リザルト_疲労報告: $a$a0陷入了疲劳状态
MID_リザルト_アルム_完勝: 好，顺利得胜了啊。
MID_リザルト_アルム_辛勝: 呼，总算获胜了。
MID_リザルト_アルム_死亡: 虽然早有了心理准备……
MID_リザルト_アルム_死亡_1: 怎么会……骗人，赛莉卡……！！
MID_リザルト_ルカ_完勝: 赢得真爽快。
MID_リザルト_ルカ_辛勝: 只要能赢就好。
MID_リザルト_ルカ_死亡: 这场胜仗付出的代价真大……
MID_リザルト_ルカ_死亡_1: 克雷贝……我有办法填补你所空出来的位子吗……
MID_リザルト_グレイ_完勝: 嘿嘿，赢得真轻松！
MID_リザルト_グレイ_辛勝: 希望下次能赢得轻松点儿……
MID_リザルト_グレイ_死亡: 就算赢了也不怎么开心……
MID_リザルト_グレイ_死亡_1: 罗宾，你到底在做什么……笨蛋……！
MID_リザルト_ロビン_完勝: 太好了，大获全胜！
MID_リザルト_ロビン_辛勝: 呼，好险啊……
MID_リザルト_ロビン_死亡: 这是……骗人的吧……
MID_リザルト_ロビン_死亡_1: 诶？骗人的吧？格莱……快醒醒啊……
MID_リザルト_クリフ_完勝: 根本不是我们的敌手啊。
MID_リザルト_クリフ_辛勝: 像这样充满刺激感也不错吧？
MID_リザルト_クリフ_死亡: 虽然赢了……但实在难受……
MID_リザルト_エフィ_完勝: 赢得真轻松，都是因为阿鲁姆很强嘛。
MID_リザルト_エフィ_辛勝: 幸好阿鲁姆平安无事……
MID_リザルト_エフィ_死亡: 结果变成这样……真让人伤心……
MID_リザルト_シルク_完勝: 是米拉大人守护了我们吧！
MID_リザルト_シルク_辛勝: 总算赢了……
MID_リザルト_シルク_死亡: 至少让我们向米拉大人祈祷吧……
MID_リザルト_クレア_完勝: 真是完美的胜利，就如同我一样！
MID_リザルト_クレア_辛勝: 希望下次能赢得更漂亮啊。
MID_リザルト_クレア_死亡: 这种胜利，一点儿也不让人高兴……
MID_リザルト_クレア_死亡_1: 哥哥……？这是……骗人的吧……！！
MID_リザルト_クレーベ_完勝: 这场完美的胜利太适合我们了。
MID_リザルト_クレーベ_辛勝: 真想更从容地获胜。
MID_リザルト_クレーベ_死亡: 战斗总是伴随着牺牲……
MID_リザルト_クレーベ_死亡_1: 克莱尔……！啊……怎么会这样……
MID_リザルト_クレーベ_死亡_2: 玛蒂尔达……！失去了你，我该如何活下去才好！？
MID_リザルト_フォルス_完勝: 真希望每次都能像这样优雅地获胜啊。
MID_リザルト_フォルス_辛勝: 真希望能更有效率地战斗啊。
MID_リザルト_フォルス_死亡: 我明白战争本就无情，但……
MID_リザルト_フォルス_死亡_1: 克雷贝大人！啊……我该怎么办……
MID_リザルト_フォルス_死亡_2: 喂，帕伊宋……别开玩笑了……
MID_リザルト_パイソン_完勝: 要是每次都像这样轻松就好了。
MID_リザルト_パイソン_辛勝: 唉，累死了……
MID_リザルト_パイソン_死亡: 抱歉，我没能守住……
MID_リザルト_パイソン_死亡_1: 弗鲁斯，你……到底在干嘛啊……
MID_リザルト_リュート_完勝: 这是当然的，因为有我在啊。
MID_リザルト_リュート_辛勝: 是谁在扯我后腿啊……
MID_リザルト_リュート_死亡: 完全高兴不起来……
MID_リザルト_リュート_死亡_1: 迪优特！！不可能，你快睁开眼……！
MID_リザルト_マチルダ_完勝: 这就是我们的实力。
MID_リザルト_マチルダ_辛勝: 真是场教训惨痛的胜利啊。
MID_リザルト_マチルダ_死亡: 即使如此，我们仍必须前进……
MID_リザルト_マチルダ_死亡_1: 啊……骗人的吧？克雷贝……！！
MID_リザルト_デューテ_完勝: 太好了，都是多亏我的表现吧？
MID_リザルト_デューテ_辛勝: 呼……赢得真惊险啊。
MID_リザルト_デューテ_死亡: 怎么会……不要啊……
MID_リザルト_デューテ_死亡_1: 不要，哥哥！我不要你死――！！
MID_リザルト_ティータ_完勝: 这是大家一起获得的胜利。
MID_リザルト_ティータ_辛勝: 算了，反正赢了就好，对吧？
MID_リザルト_ティータ_死亡: 为什么没能保护得了呢……
MID_リザルト_ティータ_死亡_1: 吉克！不要啊，吉克！！
MID_リザルト_ジーク_完勝: 赢得真爽快。
MID_リザルト_ジーク_辛勝: 真是场值得学习的战斗。
MID_リザルト_ジーク_死亡: 虽说不得已，但内心好难受啊……
MID_リザルト_ジーク_死亡_1: 缇塔……啊……要是少了你，我……
MID_リザルト_マイセン_完勝: 嗯，赢得漂亮。
MID_リザルト_マイセン_辛勝: 看来又得重新锻炼了。
MID_リザルト_マイセン_死亡: 无论经历多少次，还是无法习惯伙伴死去……
MID_リザルト_マイセン_死亡_1: 赛莉卡……你的人生现在才要开始不是吗……！
MID_リザルト_セリカ_完勝: 是米拉大人守护了我们吧。
MID_リザルト_セリカ_辛勝: 总算赢了……大家没事吧？
MID_リザルト_セリカ_死亡: 即便如此我还是得往前迈进……
MID_リザルト_メイ_完勝: 太好了，大获全胜！
MID_リザルト_メイ_辛勝: 呼哇――好险啊！
MID_リザルト_メイ_死亡: 这也是米拉大人的考验吗……
MID_リザルト_メイ_死亡_1: 波依……你到底在干什么啊……！
MID_リザルト_ボーイ_完勝: 真希望每次都能这样。
MID_リザルト_ボーイ_辛勝: 呼……吓死我了。
MID_リザルト_ボーイ_死亡: 赢是赢了，但好痛苦……
MID_リザルト_ボーイ_死亡_1: 喂……梅伊……这可不好笑啊……
MID_リザルト_ジェニー_完勝: 嘿嘿嘿……我很努力了吧？
MID_リザルト_ジェニー_辛勝: 呼……紧张死了……
MID_リザルト_ジェニー_死亡: 怎么会……我不要啊……
MID_リザルト_コンラート_完勝: 因为有我在，这结果理所当然。
MID_リザルト_コンラート_辛勝: 如履薄冰的胜利啊，得再精进……
MID_リザルト_コンラート_死亡: 虽说战斗总是伴随牺牲，但……
MID_リザルト_コンラート_死亡_1: 安蒂洁……我明明只是希望你能幸福……！
MID_リザルト_セーバー_完勝: 真希望每次都像这样轻松获胜。
MID_リザルト_セーバー_辛勝: 哎呀，赢了就是赢了。
MID_リザルト_セーバー_死亡: 赢是赢了，但真难受啊……
MID_リザルト_セーバー_死亡_1: 大小姐……希望你能得到幸福啊。
MID_リザルト_バルボ_完勝: 只要有我在，这不过是小事一桩。
MID_リザルト_バルボ_辛勝: 呼，有点儿不妙呢。
MID_リザルト_バルボ_死亡: 对不起，没能保护得了……
MID_リザルト_カムイ_完勝: 能轻松获胜的感觉真棒。
MID_リザルト_カムイ_辛勝: 唉――感觉莫名的累啊。
MID_リザルト_カムイ_死亡: ……唉，任谁都会死的。
MID_リザルト_レオ_完勝: 呵呵呵，人家真是太完美了――
MID_リザルト_レオ_辛勝: 讨厌，害人家紧张死了。
MID_リザルト_レオ_死亡: 对不起啊，没能帮上忙……
MID_リザルト_レオ_死亡_1: 不要啊，大哥！这让人家该为何而战！？
MID_リザルト_パオラ_完勝: 太好了，这可是完美的胜利！
MID_リザルト_パオラ_辛勝: 总算获胜了。
MID_リザルト_パオラ_死亡: 失去伙伴真难受啊……
MID_リザルト_パオラ_死亡_1: 竟然会……！唉……如果我能代替她死去就好了……
MID_リザルト_カチュア_完勝: 打得好不尽兴啊。
MID_リザルト_カチュア_辛勝: 既然赢了就好。
MID_リザルト_カチュア_死亡: 对不起，没能保护得了……
MID_リザルト_カチュア_死亡_1: 这是……骗人的吧……我们可是缺一不可啊……
MID_リザルト_アトラス_完勝: 太好了，你们活该！
MID_リザルト_アトラス_辛勝: 呼，好险啊。
MID_リザルト_アトラス_死亡: 如果我更强的话……
MID_リザルト_ジェシー_完勝: 哼哼，赢得真轻松。
MID_リザルト_ジェシー_辛勝: 唉，希望下次能赢得轻松点儿。
MID_リザルト_ジェシー_死亡: 离别真令人讨厌……
MID_リザルト_ソニア_完勝: 哎呀，已经结束了？真无趣呢……
MID_リザルト_ソニア_辛勝: 打得真辛苦，一点儿都不像我的作风。
MID_リザルト_ソニア_死亡: 要是不切割情绪，就撑不下去了啊……
MID_リザルト_ディーン_完勝: 真无趣，就这种程度吗？
MID_リザルト_ディーン_辛勝: 挺不错的嘛……
MID_リザルト_ディーン_死亡: 牺牲总是难免，没时间一一哀叹。
MID_リザルト_エスト_完勝: 如果我帮上了各位，那就太开心了。
MID_リザルト_エスト_辛勝: 呼，真是惊险。没事吧？
MID_リザルト_エスト_死亡: 大家不能一起前进，真可惜……
MID_リザルト_エスト_死亡_1: 姐姐！不要不要，我不要这样――！！
MID_リザルト_ノーマ_完勝: 呵呵呵，赢得真轻松。
MID_リザルト_ノーマ_辛勝: 呼，真是吓出一身冷汗。
MID_リザルト_ノーマ_死亡: 看年轻人死去真让老夫难受……
MID_リザルト_ベルクト_完勝: 这是当然的，胜利总是与我同在啊。
MID_リザルト_ベルクト_辛勝: 竟然把我逼到这种地步……
MID_リザルト_ベルクト_死亡: 牺牲总是难免，最好明白明天或许就轮到自己。
MID_リザルト_フェルナン_完勝: 怎么样？这就是我的实力。
MID_リザルト_フェルナン_辛勝: 可恶，竟然如此难对付……
MID_リザルト_フェルナン_死亡: 要是我更有力量……
MID_リザルト_フェルナン_死亡_1: 克雷贝，你……到底在做什么啊……！
