MESS_ARCHIVE_Rewind


Message Name: Message


MID_REWIND_フェイズ_プレイヤー: Player Phase 开始
MID_REWIND_フェイズ_エネミー: Enemy Phase 开始
MID_REWIND_フェイズ_その他: Ally Phase 开始
MID_REWIND_レベルアップ: $a$a0的等级提升了！
MID_REWIND_アイテム交換: $a$a0与$a1交换了道具
MID_REWIND_アイテム入手: $a$a0获得了$a1
MID_REWIND_アイテム使用: $a$a0使用了$a1
MID_REWIND_召喚: $a$a0召唤了$a1
MID_REWIND_撃破: $a击败了$a0
MID_REWIND_死亡: $a$a0被打倒了
MID_REWIND_退却: $a$a0撤退了
MID_REWIND_地形_扉: 门开了
MID_REWIND_攻撃: $a$a0攻击了$a1
MID_REWIND_体当たり: $a$a0冲撞了$a1
MID_REWIND_入れ替え: $a$a0与$a1替换了位置
MID_REWIND_発動: $a$a0发动了$a1
MID_REWIND_増援: $a$a0出现了
MID_REWIND_分裂: $a$a0分裂了
MID_REWIND_アイテム落下: $a$a0遗落了$a1
