MESS_ARCHIVE_Skill


Message Name: Message


MSID_無し: －－－－－－
MSID_命中補正１: 曲射
MSID_威力補正１: 烈击
MSID_回避補正１: 一击即离
MSID_手加減: 手下留情
MSID_体当たり: 冲撞
MSID_入れ替え: 替换
MSID_命中補正２: 交叉斩
MSID_威力補正２: 强弓
MSID_回避補正２: 清流剑
MSID_必殺補正１: 一刀两断
MSID_魔法攻撃: 魔刃
MSID_とどめHP吸収: 生命吸收
MSID_切り込み: 冲敌斩
MSID_切り抜け: 破敌斩
MSID_後手必殺: 狮王架势
MSID_射程＋１: 远雷
MSID_特効馬: 弑骑一击
MSID_特効鎧: 碎铠
MSID_特効鎧２: 击杀破甲冲
MSID_特効魔: 圣天弓
MSID_特効飛: 燕返
MSID_瀕死確殺: 绝杀
MSID_足止め: 合围之箭
MSID_魔封じ: 封魔之箭
MSID_HP吸収: 丰穰之力
MSID_２連撃: 狮子连斩
MSID_HP減少分ダメ: 复仇
MSID_速さダメージ: 龙霞
MSID_技ダメージ: 虎神五行剑
MSID_射程＋２: 大弩枪
MSID_射程＋３: 忘我·无底弓
MSID_地形無視: 迅影刺击
MSID_５連撃: 流星刃
MSID_必殺補正２: 破轮斩
MSID_威力補正３: 太阳冲
MSID_必中: 月光闪
MSID_G防御補正１: 防御态势
MSID_G地形効果二倍: 珊瑚遁法
MSID_G物理間接半減: 圣盾
MSID_G魔法反射: 反魔镜盾
MSID_G物理半減: 大盾
MSID_G魔法半減: 大地的加护
MSID_鉄剣２: 疾风横扫
MSID_雷剣２: 雷迅
MSID_金剣２: 大地的恩惠
MSID_女剣２: 魔焰双连击
MSID_鉄槍２: 长弓枪
MSID_鋼槍２: 旋风枪
MSID_銀槍１: 驾雾
MSID_銀槍２: 战车
MSID_殺弓: 猎箭齐发
MSID_滅殺: 灭杀
MSID_アルム奥義: 霸神断龙剑
MSID_セリカ奥義: 真末世烈焰
MSID_トライアングル: 三角攻阵
MSID_主人公: 主角
MSID_リゲル王家: 利盖尔王族
MSID_ソフィア王家: 索菲亚王族
MSID_隣接回復: 治愈之光
MSID_自動回復: 恢复效果
MSID_自動回復大: 自我再生
MSID_自動回復祈祷師: 肉体召唤
MSID_吸収: 吸收
MSID_一撃死無効: 识破
MSID_神殺し: 弑神
MSID_地形効果無効: 地形效果无效
MSID_呪い: 诅咒
MSID_呪い無効: 咒印
MSID_魔法武器: 魔法武器
MSID_威力固定: 固定威力
MSID_瀕死攻撃: 濒死攻击
MSID_魔法回避: 魔法回避
MSID_良成長: 高成长
MSID_きまぐれ成長: 重塑
MSID_魔法射程＋１: 意念
MSID_魔法射程＋２: 魔道
MSID_魔防＋: 魔防＋５
MSID_魔法命中＋１０: 磨练
MSID_魔法威力＋５: 魔法威力＋５
MSID_必殺全回避: 暴击全回避
MSID_対魔物増強: 退魔
MSID_怨声: 怨声
MSID_命中回避＋２０: 力之业火
MSID_剣ダメージ半減: 剑之伤害减半
MSID_槍ダメージ半減: 枪之伤害减半
MSID_斧ダメージ半減: 斧之伤害减半
MSID_弓ダメージ半減: 重装备
MSID_魔法ダメージ半減: 破邪
MSID_対魔ダメージ半減: 圣域
MSID_弓ダメージ半減_兵種: 重装备
MSID_魔法ダメージ半減_兵種: 破邪
MSID_弓魔ダメージ半減_道具: 妄执
MSID_消耗必殺: 愤怒
MSID_巨大: 巨大
MSID_ダウンロード: 下载
MSID_交換禁止: 禁止交换
MSID_敗北条件: 败北条件
MSID_強制キリバト: 强制切换战斗
MSID_強制オンバト: 强制地图战斗
MSID_キリバト禁止: 禁止切换战斗
MSID_魔女ワープ: 转移
MSID_召喚数乱数のみ: 召唤数量仅随机
MSID_召喚確率高: 高几率召唤
MSID_召喚必ず: 必定召唤
MSID_ディル無効: 灭魔无效
MSID_召喚AI: 召唤AI
MSID_召喚独立: 召唤独立
MSID_ビグル道連れ: 比格鲁同行
MSID_分裂: 分裂
MSID_ダメージ床無効: 地板之伤害无效
MSID_生存ロスト: 亡逝
MSID_祈り: 祈祷
MSID_攻撃時2回攻撃: 攻击时2次攻击
MSID_特殊演出: 特殊演出
MSID_準特殊演出: 准特殊演出
MSID_魔力射程: 魔力射程
MSID_半魔力射程: １／２魔力射程
MSID_四半魔力射程: １／４魔力射程
MSID_弓射程＋１: 弓射程＋１
MSID_弓射程＋２: 弓射程＋２
MSID_被毒: 状态：中毒
MSID_被毒２: 状态：中毒
MSID_被毒３: 状态：中毒
MSID_被足止め: 状态：封锁移动
MSID_被足止め始: 状态：封锁移动
MSID_被魔封じ: 状态：封锁魔法
MSID_被魔封じ始: 状态：封锁魔法
MSID_毒パッシブ: 毒攻击
MSID_足止めパッシブ: 麻痹毒
MSID_魔封じパッシブ: 怪声
MSID_ドーマの加護: 多玛的加护
MSID_メガクェイク: 超级地震
MSID_ダークスパイク: 漆黑刺棘
MSID_邪竜の鱗: 邪龙鳞片
MSID_赤の呪い: 赤红诅咒
MSID_防御無効: 防御无效
MSID_アルム攻撃禁止: 阿鲁姆禁止攻击
MSID_状態異常無効: 异常状态无效
MSID_騎馬: 骑马
MSID_飛行: 飞行
MSID_鎧: 铠兵
MSID_魔物: 魔物
MSID_上級魔物: 上级魔物
MSID_竜族: 龙族
MSID_神: 神
MSID_神_ギムレー: 神
MSID_騎馬特効: 骑马特效
MSID_飛行特効: 飞行特效
MSID_鎧特効: 铠兵特效
MSID_魔物特効: 魔物特效
MSID_女武器威力２倍: 女武器威力２倍
MSID_魔法ＨＰ消費無し: 契约
MSID_ダメージ床無効_公開: 净化
MSID_amiibo召喚: amiibo召唤
MSID_H_無し: 无
MSID_H_命中補正１: 向对手死角射出箭矢\n高命中率
MSID_H_威力補正１: 施以蓄力的一击
MSID_H_回避補正１: 施以着重回避的攻击
MSID_H_手加減: 使对手的ＨＰ剩１
MSID_H_体当たり: 将我方单位\n推进１格
MSID_H_入れ替え: 与我方单位\n交换位置
MSID_H_命中補正２: 施以交叉斩击\n高命中率
MSID_H_威力補正２: 放出提高威力的箭矢
MSID_H_回避補正２: 施以兼具回避的闪击
MSID_H_必殺補正１: 施以大力一击
MSID_H_魔法攻撃: 施以带有魔力的攻击
MSID_H_とどめHP吸収: 若击败对手，\n则吸收其ＨＰ
MSID_H_切り込み: 战斗结束后，\n与对手交换位置
MSID_H_切り抜け: 战斗结束后，\n移动至对手后面１格
MSID_H_後手必殺: 施以强力的一击，\n且必定后攻
MSID_H_射程＋１: 高举剑\n攻击远处的敌人
MSID_H_特効馬: 对持有【骑马】的对手\n具有攻击特效
MSID_H_特効鎧: 对持有【铠兵】的对手\n具有攻击特效
MSID_H_特効鎧２: 对持有【铠兵】的对手\n具有攻击特效
MSID_H_特効魔: 对持有【魔物】系的对手\n具有攻击特效
MSID_H_特効飛: 对持有【飞行】的对手\n具有攻击特效
MSID_H_瀕死確殺: 若能击败对手，\n则攻击必定命中
MSID_H_足止め: 若攻击命中，则封锁\n对手的移动１回合
MSID_H_魔封じ: 若攻击命中，则封锁\n对手的魔法１回合
MSID_H_HP吸収: 以所造成的敌人伤害\n恢复自身ＨＰ
MSID_H_２連撃: 施以二连击
MSID_H_HP減少分ダメ: 以自身所受的一半伤害\n增加攻击力
MSID_H_速さダメージ: 以使用者的速度值\n增加其攻击力
MSID_H_技ダメージ: 以使用者的技巧值\n增加其攻击力
MSID_H_射程＋２: 攻击远处的对手
MSID_H_射程＋３: 攻击极远处的对手
MSID_H_地形無視: 无视地形进行攻击
MSID_H_５連撃: 连续进行五次\n伤害值为一半的攻击
MSID_H_必殺補正２: 使对手的\n一半防御力无效
MSID_H_威力補正３: 施以威力强大的一击
MSID_H_必中: 攻击必定命中
MSID_H_G防御補正１: 物理攻击所造成的\n伤害－５
MSID_H_G地形効果二倍: 地形效果变为两倍
MSID_H_G物理間接半減: 远距离物理攻击所造成的\n伤害减半
MSID_H_G魔法反射: 将魔法攻击反弹
