MESS_ARCHIVE_SoundRoom


Message Name: Message


MID_BGM_BTL_A1: 不知恐惧的白刃
MID_BGM_BTL_A2: 对抗神明的人啊
MID_BGM_BTL_BERKUT1: 傲慢与荣耀
MID_BGM_BTL_BERKUT2: 王的孩子在炼狱中起舞
MID_BGM_BTL_BOSS1: 对立之力
MID_BGM_BTL_BOSS2: 来自怨恨之地
MID_BGM_BTL_BOSS3: 悖德的骑士
MID_BGM_BTL_C1: 随风起舞的刀刃
MID_BGM_BTL_DOMA: 邪神狂澜
MID_BGM_BTL_E1: 欢悦的暴徒
MID_BGM_BTL_LIVE: 治愈的声响
MID_BGM_EVT_AMB: 安稳平静
MID_BGM_EVT_AMB2: 境界
MID_BGM_EVT_BERKUT: 纯黑的皇子
MID_BGM_EVT_BRAVE: 进军
MID_BGM_EVT_CONRAD_A: 容貌
MID_BGM_EVT_CONRAD_B: 兄妹
MID_BGM_EVT_DAILY: 日常
MID_BGM_EVT_DESTINY_A: 命运
MID_BGM_EVT_DETERMINATION: 黎明
MID_BGM_EVT_DISHEARTENED: 别离
MID_BGM_EVT_EMERGENCY: 紧迫
MID_BGM_EVT_ENEMY2: 诅咒
MID_BGM_EVT_FEAR: 动乱
MID_BGM_EVT_KINDNESS: 春阳
MID_BGM_EVT_LOVE_ABC: 遥远的约定
MID_BGM_EVT_MEET: 相遇
MID_BGM_EVT_MIRA: 启示
MID_BGM_EVT_NUIBABA: 颓废之花
MID_BGM_EVT_SAD: 与你在银色庭园
MID_BGM_EVT_SCHEME: 奸计
MID_BGM_EVT_SERIOUS: 晦冥
MID_BGM_EVT_STRAIN1: 叛徒
MID_BGM_EVT_STRAIN2: 逆贼
MID_BGM_EVT_TROOPS: 奋起
MID_BGM_MAP_B_A1: 勇往直前，迈向解放～序
MID_BGM_MAP_B_A2: 勇往直前，迈向解放
MID_BGM_MAP_B_A3: 目的地的尽头
MID_BGM_MAP_B_A4: 神啊，黄昏啊
MID_BGM_MAP_B_A4_INTRO: 对力量的固执
MID_BGM_MAP_B_BERKUT: 赞颂绝望吧
MID_BGM_MAP_B_C1: 与米拉的守护同在～序
MID_BGM_MAP_B_C2: 与米拉的守护同在
MID_BGM_MAP_B_C3: 祭品与圣女
MID_BGM_MAP_B_E1: 大逆不道的气息
MID_BGM_MAP_B_E2: 动乱的脚步声
MID_BGM_MAP_B_E3: 疯狂之神的祝福
MID_BGM_MAP_B_E4: 大逆不道的气息～序
MID_BGM_MAP_B_E5: 动乱的脚步声～序
MID_BGM_MAP_B_RUDLF: 亡国的王者
MID_BGM_MAP_B_T1: 同侪的奋战
MID_BGM_MAP_B_T2: 逼近的威胁
MID_BGM_MAP_D_CASTLE: 胸怀荣耀
MID_BGM_MAP_D_CAVE: 暗流
MID_BGM_MAP_D_CHURCH: 安逸的赞歌
MID_BGM_EVT_DESTINY_B: 伴着一颗星
MID_BGM_MAP_D_DOMA: 多玛的祸音
MID_BGM_MAP_D_EMERGENCY: 跃起的灾厄
MID_BGM_MAP_D_HARD: 小睡片刻的迷宫
MID_BGM_MAP_D_PORT: 海风和旅者
MID_BGM_MAP_D_SHOP: 锤音的去向
MID_BGM_MAP_D_SPIRIT: 水之旋律
MID_BGM_MAP_D_TOWER: 盲从的巅峰
MID_BGM_MAP_D_FOREST: 彷徨之森
MID_BGM_MAP_G1: 风凌大地
MID_BGM_MAP_G2: 晨曦方舟
MID_BGM_MAP_G3: 前进未知的大地
MID_BGM_MAP_G4: 过往之歌
MID_BGM_MAP_G5: 真实
MID_BGM_SYS_BASE_A1: 战备　解
MID_BGM_SYS_BASE_A2: 战备　邂逅
MID_BGM_SYS_BASE_C1: 战备　祈
MID_BGM_SYS_CC: 如您所愿
MID_BGM_SYS_DEAD: 粉碎祈愿
MID_BGM_SYS_ED1: 神与人的轨迹
MID_BGM_SYS_ED2: 呼唤你的声音
MID_BGM_SYS_ED3: 阿卡迪亚的继承者
MID_BGM_SYS_MENU: 回顾
MID_BGM_SYS_GAMEOVER_A: 余光
MID_BGM_SYS_GAMEOVER_B: 余光消逝
MID_BGM_SYS_MAINTHEME: FIRE EMBLEM主题曲
MID_BGM_SYS_RESULT: 战果
MID_BGM_SYS_TITLE: Echoes
