MESS_ARCHIVE_後日談


Message Name: Message


MID_AFT_DLCで死亡: 在战争中倒下辞世……
MID_AFT_汎用死亡: $a安详地长眠于$a0……
MID_AFT_汎用死亡_レギュラー: 由于战争中所受的伤，\n终战后随即\n黯然辞世。
MID_AFT_アルム: 以瓦伦西亚统一王国的第一代国王身份，\n毕生奉献于复兴大陆。\n后世如此传颂：\n“切断诸神的邪恶锁链，\n缔造我等千年王朝之人。\n勿忘――\n我等圣王阿鲁姆一世。”
MID_AFT_セリカ: 尔后与阿鲁姆结为连理，\n成为瓦伦西亚统一王国第一代王妃。\n以她的温柔与才智，\n协助年轻的国王\n奠定了瓦伦西亚王国的基础。\n据说人民相信\n她是米拉的转世，\n并由衷地敬爱她。
MID_AFT_マイセン: 担任瓦伦西亚统一王国的宰相。\n以阿鲁姆一世国王的左右手身份，\n为重建王国尽心尽力。\n据说国王夫妇始终视他为\n亲生祖父般景仰。
MID_AFT_ノーマ: 统一了米拉与多玛\n两个教团，\n并成为其最高祭司。\n即使受\n数万信众所崇拜，\n似乎仍不改\n其顽皮的个性。
MID_AFT_ルカ: 加入了瓦伦西亚统一王国的\n骑士团。\n引退后则开设学堂，\n倾力于\n教育众多人民。\n据说他因沉稳而理智的性格\n而受大家景仰，\n围绕在他身旁的人总是络绎不绝。
MID_AFT_クリフ: 战争后\n便向阿鲁姆告别，从此销声匿迹，\n再也没有人见过他。\n有传言说他到了其他大陆旅行，\n但此说法真伪不明。\n几十年后，一名自称是他儿子的青年\n现身于瓦伦西亚，并随侍于国王身旁。\n据说是名非常优秀的魔道士。
MID_AFT_ロビン: 加入了瓦伦西亚统一王国的\n骑士团。\n由于其耿直的个性，\n毕生以国王阿鲁姆的益友身份，\n随侍国王身旁。\n据传深得国王信赖，\n很快就将一座城交托给他。
MID_AFT_ロビン_1: 因无法接受格莱的死\n而突然销声匿迹。\n几年后，却又忽然现身。\n据说在国王阿鲁姆的劝说下\n加入了骑士团，\n但他变得既寡言又严格，\n与从前判若两人。
MID_AFT_グレイ: 加入了瓦伦西亚统一王国的\n骑士团，\n为复兴大陆尽心尽力。\n在与罗宾的较量中脱颖而出，\n顺利赢得克莱尔的芳心。\n常自豪地说：\n“男人靠的不是外表，而是内在。”
MID_AFT_グレイ_1: 对罗宾的死悲伤不已，\n过着每天借酒浇愁的生活，\n在克莱尔的鼓励下振作起来。\n婉拒加入王国骑士团，\n并与克莱尔静静地共度余生。\n据说他以朋友之名为儿子命名，\n并且疼爱有加。
MID_AFT_グレイ_2: 痛失所爱之人后，\n即使明知不适合自己，\n却仍独自踏上旅途，从此一去不返。\n朋友们想尽办法寻找他的下落，\n但在那之后，\n据说便没有人见过他。
MID_AFT_エフィ: 她回到拉姆村，\n过着原来的生活，\n但却始终无法忘记阿鲁姆。\n据说后来虽与对此毫不在意\n并热烈追求她的男人结为连理，\n但她偶尔还是会消失踪影，\n让家人担心不已。
MID_AFT_クレア: 加入了瓦伦西亚统一王国的\n骑士团，\n为复兴大陆尽心尽力。\n在格莱的热烈追求下，\n与他结为连理。\n但据说即使已为人妻母，\n仍骑着飞马翱翔天际，\n不断让身边的人为她捏把冷汗。
MID_AFT_クレア_1: “格莱啊……\n你实在太自私了。”\n虽然痛恨早一步辞世的格莱，\n但还是加入了瓦伦西亚骑士团，\n为其发展做出贡献。\n据说她那带着忧愁的美貌，\n被誉为骑士团之花。
MID_AFT_クレーベ: 担任瓦伦西亚统一王国的\n骑士团长。\n由于其实力及公正无私的态度，\n广为各阶层的民众所信任，\n并对骑士团的发展做出莫大贡献。\n据说还娶了美丽的妻子，\n令人们羡慕不已。
MID_AFT_クレーベ_1: 心怀痛失玛蒂尔达的哀伤，\n担任瓦伦西亚统一王国的\n骑士团长。\n但几年后，\n在与海盗的战斗中丧命。\n据说人们对他的死感到哀伤不已，\n并深深缅怀这位伟大的骑士。
MID_AFT_フォルス: 加入了瓦伦西亚统一王国的\n骑士团，\n为复兴大陆尽心尽力。\n据说他随着年纪增长，\n变得更加沉稳且深思熟虑，\n以副官之姿，\n经常从旁协助克雷贝。
MID_AFT_フォルス_1: 加入了瓦伦西亚统一王国的\n骑士团，\n并继承故人克雷贝的遗志，\n毕生致力于骑士团的发展。\n随着年纪增长，\n变得更加沉稳且深思熟虑。\n据说人们在他身上，\n仿佛看到了克雷贝的影子。
MID_AFT_フォルス_2: 加入了瓦伦西亚统一王国的\n骑士团。\n或许是因失去帕伊宋的打击，\n他自愿前往边境，\n为平定地区战乱尽心尽力。\n据说随后便与当地的女性结为连理，\n从此再也没有回过王都。
MID_AFT_パイソン: 婉拒加入骑士团，转而担任\n保卫村镇远离盗贼魔爪的\n自卫团团长，\n在边境悠哉度日。\n据说偶尔当旧友来访时，\n便会彻夜饮酒到天明。
MID_AFT_パイソン_1: 加入了瓦伦西亚统一王国的\n骑士团。\n或许是继承了弗鲁斯的遗志，\n他和以前判若两人，\n积极地展开活动。\n但几年后，\n他为镇压内乱而赶赴战场，\n在战争中负伤，年纪轻轻便辞世。
MID_AFT_メイ: 回到了诺瓦岛，\n一如往常，与波依一同\n在修道院工作。\n尽管两人争吵不断，\n仍结为连理，并育有多子。\n据说在岛上度过了幸福的一生。
MID_AFT_メイ_1: 失去了互相拌嘴的好友波依后，\n始终消沉度日。\n不过身边人们的鼓励，\n让她重拾开朗本性。\n据说她在诺瓦岛的修道院\n帮助了许多人，且深受景仰。
MID_AFT_シルク: 为了救助\n战乱中受伤的民众\n而前往旧利盖尔地区，\n从此之后便无她的下落。\n但她在各地拯救民众的轶事，\n据说仍一直流传。
MID_AFT_ジェニー: 似乎与意想不到的对象\n坠入情网，并结为连理。\n至于对象究竟是谁……\n据说不管谁开口问，\n她都只笑而不答。
MID_AFT_ボーイ: 回到了诺瓦岛的修道院，\n历经诸多波折后，与梅伊结为连理。\n虽然育有多子让他们忙碌不堪\n且争吵不断，\n但对他们而言，\n或许这就是幸福吧。
MID_AFT_ボーイ_1: 在梅伊早他一步离去后，\n才初次察觉自己对她的心意。\n他心怀这份悔意努力修行，\n继诺玛之后当上了祭司。\n据说他终其一生在诺瓦岛的修道院度过，\n并为贫穷的人们奉献己身。
MID_AFT_コンラート: 终战后便放下武器，\n展露担任文官的才能。\n于迈森引退后担任宰相，\n为王国的经济发展做出莫大贡献。\n据说倾慕他的女性不计其数，\n但他却选择孤独一生。
MID_AFT_カムイ: 协助杰西\n建立起佣兵王国，\n并暂时居住在那里。\n但或许是流浪者的血脉作祟，\n某天他忽然消失了踪影，\n从此便下落不明。
MID_AFT_カムイ_1: 在过去的吉斯领地上，\n建立起由佣兵组成的新国家。\n似乎与瓦伦西亚统一王国之间\n关系良好，一旦遭逢紧急状况，\n甚至会应国王委托，派兵协助。\n之后他因其功绩\n而被称为沙漠的佣兵王。
MID_AFT_レオ: 加入了瓦伦西亚统一王国的\n骑士团。\n虽与巴尔博寸步不离，\n但因有伤在身而提早引退，\n随后便在城里当贸易商。\n据说总是开朗又自由地\n赞颂着人生。
MID_AFT_レオ_1: 为巴尔博的死深感哀痛，\n因而暂时消失了踪影。\n但之后便加入\n瓦伦西亚统一王国的骑士团，\n展现以一敌十的英姿。\n亦十分热心于教导新人，\n为骑士团的发展做出莫大贡献。
MID_AFT_バルボ: 加入了瓦伦西亚统一王国的\n骑士团，\n并受阿鲁姆所托，\n成功培养出许多年轻士兵。\n据说其豪放磊落又诚实的性格\n深受众人景仰，\n并度过了幸福的晚年生活。
MID_AFT_マチルダ: 她脱下战袍，\n成为克雷贝的妻子，\n此后便完全消失于公众面前，\n暗中支持着丈夫。\n传说的女骑士玛蒂尔达――\n想必此名号将会永久留存于\n瓦伦西亚的历史上吧。
MID_AFT_マチルダ_1: 失去克雷贝后，她无可奈何地\n接手率领瓦伦西亚骑士团，\n并将这份哀伤深藏于心，\n为王国发展做出了莫大贡献。\n传说的女骑士玛蒂尔达――\n想必此名号将会永久留存于\n瓦伦西亚的历史上吧。
