MESS_ARCHIVE_Backup


Message Name: Message


MID_BACKUP_NOT_FOUND: 存取儲存資料失敗。\n請關閉電源再重新插入卡片。
MID_BACKUP_NOT_FORMATTED: 進行開始遊戲的準備。
MID_BACKUP_VERIFICATION_FAILED: 檢測到毀損的儲存資料。\n將刪除毀損的儲存資料。
MID_BACKUP_NOT_ENOUGH_SPACE: 儲存資料的剩餘容量不足。
MID_BACKUP_FORMAT: 正在進行開始遊戲的準備。\n請勿關閉電源，\n或取出卡片。
MID_BACKUP_VERIFICATION_FAILED_FILE: 正在刪除損毀的儲存資料。\n請勿關閉電源，\n或取出卡片。
MID_BACKUP_FORMAT_COMPLETE: 開始遊戲的準備已結束。
MID_BACKUP_EXT_MEDIA_NOT_FOUND: 無法辨識ＳＤ卡。
MID_BACKUP_EXT_OPERATION_DENIED: ＳＤ卡處理失敗。\n請關閉電源再重新插入ＳＤ卡。
MID_BACKUP_EXT_VERIFICATION_FAILED: 檢測到毀損的儲存資料。\n將刪除毀損的儲存資料。
MID_BACKUP_EXT_VERIFICATION_FAILED2: 檢測到毀損的儲存資料。\n將重建毀損的儲存資料。
MID_BACKUP_EXT_NOT_ENOUGH_SPACE: ＳＤ卡的剩餘容量不足。
MID_BACKUP_EXT_WRITE_PROTECT: ＳＤ卡已開啟防寫保護。\n請先關閉電源\n及ＳＤ卡的防寫保護開關，\n再重新插入ＳＤ卡。
