MESS_ARCHIVE_Fld_拠点_修道院_玄関


Message Name: Message


MID_ADV調べる_empty_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這裡是修道院的入口嗎？$k
MID_ADV調べる_door_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa這扇門的另一邊似乎是禮拜堂。$k
MID_ADV調べる_baggage_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa全是可以久放的食物。\n是緊急糧食嗎……$k
MID_ADV調べる_mira_emblem_ARUM_RANDOM_0: $Z$t0$Wmアルム|6$Wsアルム|$Wa上頭裝飾著美拉的紋章。$k
MID_ADV調べる_empty_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是這間修道院的入口呢。$k
MID_ADV調べる_door_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa這扇門的另一邊是禮拜堂喔。$k
MID_ADV調べる_baggage_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是緊急糧食呢。\n全是可以久放的食物。$k
MID_ADV調べる_mira_emblem_CELLICA_RANDOM_0: $Z$t0$Wmセリカ|6$Wsセリカ|$Wa是美拉大人的紋章呢。$k
MID_ADV_調べるエリア_door: 門
MID_ADV_調べるエリア_baggage: 貨物
MID_ADV_調べるエリア_mira_emblem: 美拉的紋章
