MESS_ARCHIVE_LinkMenu


Message Name: Message


MID_LINKMENU_新規登録促す: 必須登錄簡介卡，\n才能使用通訊功能。
MID_LINKMENU_あいさつカード: 簡介卡
MID_LINKMENU_あいさつカード_説明: 編輯自己的簡介卡
MID_LINKMENU_グローバルランキング: 全球排行榜
MID_LINKMENU_グローバルランキング_説明: 可以確認目前的排行榜
MID_LINKMENU_すれ違いランキング: 瞬間交錯記錄
MID_LINKMENU_すれ違いランキング_説明: 可以確認瞬間交錯記錄的歷史記錄
MID_LINKMENU_DLC: 新增內容
MID_LINKMENU_DLC_説明: 使用下載內容
MID_LINKMENU_通信設定: 通訊設定
MID_LINKMENU_通信設定_説明: 進行通訊相關設定
MID_LINKMENU_いつの間に通信設定: 悄悄通訊
MID_LINKMENU_いつの間に通信設定_説明: 設定開啟或關閉悄悄通訊
MID_LINKMENU_プレイ内容送信設定: 傳送遊玩內容
MID_LINKMENU_プレイ内容送信設定_説明: 設定開啟或關閉傳送遊玩內容
MID_LINKMENU_データ受信: 接收資料
MID_LINKMENU_データ受信_説明: 進行接收特定資料的操作
MID_LINKMENU_ログイン中: 請稍候……
MID_LINKMENU_ログアウト中: 請稍候……
MID_LINKMENU_通信エラー_無線OFF: 無線通訊功能設定為關閉，\n因此無法通訊。\n請開啟無線通訊功能。
MID_LINKMENU_通信エラー_汎用: 發生錯誤。\n■請稍後再試。\n■如果錯誤狀況無法修復，\n　請洽詢您主機使用說明書上\n　記載的任天堂技術服務中心。
MID_LINKMENU_ランキング取得中: 正在載入排行榜……
MID_LINKMENU_ランキング_総合: 綜合排行榜
MID_LINKMENU_ランキング_国別: 地區排行榜
MID_LINKMENU_ランキング_週間: 週排行榜
MID_LINKMENU_すれちがい_データなし: 您還沒有瞬間交錯記錄
MID_LINKMENU_すれちがい_タイトル: 瞬間交錯記錄
MID_LINKMENU_すれちがい_回数: 次數
MID_LINKMENU_すれちがい_勲章: 勛章
MID_LINKMENU_すれちがい_見る: 查看簡介卡
MID_LINKMENU_すれちがい_星ON: 加上★
MID_LINKMENU_すれちがい_星OFF: 取消★
MID_LINKMENU_すれちがい_ウワサ: 探聽消息
MID_LINKMENU_すれちがい_プレゼント: 接收禮物
MID_LINKMENU_すれちがい_ウワサ_敵: $a似乎有人出現在$a0
MID_LINKMENU_すれちがい_ウワサ_宝: $a似乎有寶物藏在$a0
