MESS_ARCHIVE_Poem


Message Name: Message


MID_盗賊のほこら_アルム_00: 洞窟內充滿了
MID_盗賊のほこら_アルム_01: 蠢動的人類氣息以及霉味。
MID_盗賊のほこら_アルム_02: 這個原本建造來祭祀女神的場所，
MID_盗賊のほこら_アルム_03: 如今似乎已淪為
MID_盗賊のほこら_アルム_04: 盜賊們的舒適巢穴。
MID_解放軍のアジト_アルム_00: 這座在地底下延伸的巨大墓穴，
MID_解放軍のアジト_アルム_01: 是具有身分之人所沉眠的歷史悠久之地。
MID_解放軍のアジト_アルム_02: 但如今，裡頭卻充滿了
MID_解放軍のアジト_アルム_03: 化為魔物甦醒的死者腐臭。
MID_海のほこら_セリカ_00: 洞窟裡充滿了海水味，既冰冷又潮濕……
MID_海のほこら_セリカ_01: 或許是有龍殭屍鎮守的緣故，
MID_海のほこら_セリカ_02: 似乎沒有人進來過呢。
MID_森のほこら_アルム_00: 在這座建造於遠古時代的巨大遺跡中，
MID_森のほこら_アルム_01: 與滿是灰塵的空氣一同衝上鼻頭的，
MID_森のほこら_アルム_02: 除了嚴重鏽蝕的鐵鏽味外，
MID_森のほこら_アルム_03: 還有數百年歷史所帶來的沉重感。
MID_森のほこら_アルム_04: 就連這種地方，竟也留有為了邪惡企圖
MID_森のほこら_アルム_05: 而出入此地的人類痕跡。
MID_竜のほこら_セリカ_00: 真是不可思議……
MID_竜のほこら_セリカ_01: 雖然瀰漫著清淨的氣息，
MID_竜のほこら_セリカ_02: 卻彷彿拒絕著所有生物。
MID_竜のほこら_セリカ_03: 遠處傳來的是……海浪聲？
MID_竜のほこら_セリカ_04: 小時候我曾聽人說過，
MID_竜のほこら_セリカ_05: 在索菲亞的某處，有通往死者國度之海。
MID_恐山のほこら_アルム_00: 裡頭吹來一陣暖風，夾帶著陰森的呻吟。
MID_恐山のほこら_アルム_01: 死者國度響起的，是尋求生命的亡者發出的聲音嗎？
MID_恐山のほこら_アルム_02: 這裡是恐山的內部，瓦倫西亞的最深處。
MID_秘密のほこら_アルム_00: 這個宛如避人耳目般，被隱藏起來的神奇空間，
MID_秘密のほこら_アルム_01: 便是遭到封印的秘密祠堂。
MID_秘密のほこら_アルム_02: 這個地方是為了什麼目的而建造？
MID_迷いの森_セリカ_00: 這是座會迷惑闖入者，既昏暗又蒼鬱的森林。
MID_迷いの森_セリカ_01: 巨大的石柱看起來就像
MID_迷いの森_セリカ_02: 監視入侵者的看守呢。
MID_ドーマの塔_セリカ_00: 這座塔宛如將多瑪之力直接化為形體般，巨大又充滿壓迫感……
MID_ドーマの塔_セリカ_01: 追求無止盡的力量，其盡頭究竟會有什麼？
MID_ドーマの塔_セリカ_02: 而答案是否就在這座塔的頂端呢？
MID_ドーマ神殿_アルム_00: 通路前方傳來非比尋常的氣氛。
MID_ドーマ神殿_アルム_01: 感覺後頸的汗毛豎了起來。
MID_ドーマ神殿_アルム_02: 我懼怕著前方的多瑪神殿之主。
MID_ドーマ神殿_アルム_03: 但是，為了結束這場戰役，
MID_ドーマ神殿_アルム_04: 我們不得不前進。
MID_テーベ地下迷宮_アルム_00: 這裡過去是充滿魔道之力的都市，
MID_テーベ地下迷宮_アルム_01: 如今則是遭人遺忘、拋棄的巨大遺跡。
MID_テーベ地下迷宮_アルム_02: 是人類之罪的殘骸。
MID_テーベ地下迷宮_アルム_03: 我們打破延續數百年的寂靜，前往這座迷宮的深處，
MID_テーベ地下迷宮_アルム_04: 裡頭會有什麼等著我們？
MID_テーベ地下迷宮_セリカ_00: 沉溺於魔道之力，最後毀滅的古代都市……
MID_テーベ地下迷宮_セリカ_01: 這數百年的沉眠，就是其報應嗎？
