MESS_ARCHIVE_ミラのしもべ・聖なる井戸共通


Message Name: Message


MID_EV_ミラのしもべ2: 似乎沒有資格符合之人。
MID_EV_ミラのしもべ_回復前: 柔和的光芒包圍著房間……
MID_EV_ミラのしもべ_回復後: $a$a0等人的疲勞回復了！
MID_EV_聖なる井戸1_grow: $a$a0之水湧出來了。要讓誰飲用呢？
MID_EV_聖なる井戸1_exp: 經驗之水湧出來了。要讓誰飲用呢？
MID_EV_聖なる井戸1_live: 復活之水湧出來了。要讓誰飲用呢？
MID_EV_聖なる井戸1_fine: 回復疲勞之水湧出來了。\n要飲用嗎？（可無限使用）
MID_EV_聖なる井戸1_2: 確定要飲用嗎？
MID_EV_聖なる井戸2: 聖井乾涸了……
MID_EV_聖なる井戸_枯れている: 聖井仍然乾涸著……
MID_EV_聖なる井戸_grow_上昇: $a$a0提升了$a1！！
MID_EV_聖なる井戸_live_復活: $a$a0復活了！！
MID_EV_聖なる井戸_fine_疲労回復: 隊伍全員的疲勞回復了！！
MID_EV_聖なる井戸_grow_不要: $a$a0之水湧出來了。\n現在似乎不需飲用。
MID_EV_聖なる井戸_exp_不要: 經驗之水湧出來了。\n現在似乎不需飲用。
MID_EV_聖なる井戸_live_不要: 復活之水湧出來了。\n現在似乎不需飲用。
