AlbumSave_UI.msbt
AlbumSave_Top_Help	请选择想要保存到相册的照片。
AlbumSave_Top_Button_Tx	 查看照片　 保存照片
AlbumSave_Top_Button2_Tx	 查看照片　 取消保存
Chara_Name.msbt
C003_Professor	阿镜博士
C004_FriendBoy	菲尔
C005_FriendGirl	莉塔
C006_Photographer	阿彻
C007_Adventurer	威克多
Collection_Info.msbt
Flower001_Info	这是芙罗蕾岛的晶奇花。\n研究机构的标志就是\n参考这种花设计的。\n它的发光原理最近才被解开，\n但还存在着很多未解的谜团。
Flower002_Info	这是美乐斯岛的晶奇花。\n它的特征是拥有\n像轻苹果一样的香甜气味。\n就连宝可梦们也会忍不住\n陶醉在这股芬芳当中。
Flower003_Info	这是珂博亚群岛的晶奇花。\n它的特征是在海中也能开花。\n或许，与其说它是一种花，\n不如说它更接近珊瑚或海藻。
Flower004_Info	这是玻鸥克岛的晶奇花。\n即使在高温干燥的\n环境下也能开花。\n它表现出的性质更接近矿石。
Flower005_Info	这是杜牢斯岛的晶奇花。\n即使照不到阳光也能开花。\n因为它能从蓝蒂尔大地上\n流动的霓光能中直接汲取能量。
Flower006_Info	这是奥朗岛的晶奇花。\n各个岛上检测出的能量的\n要素它全都拥有。\n我推测它是所有晶奇花的祖先。
Remains001_Info	这是在芙罗蕾岛各处\n被发现的遗迹碎片。\n由于几乎看不出原来的形状，\n所以现在还无法知道\n原本是什么样的东西。
Remains002_Info	这是散落在海底的遗迹。\n然而以前却是位于地表。\n像祭坛一样的地方\n应该曾经被用于举行\n平息某种存在的仪式。
Remains003_Info	这是位于丛林里的\n巨树根部的遗迹。\n树木之所以能够成长得\n如此巨大，说不定是受到了\n从遗迹里溢出的能量的影响。
Remains004_Info	这是树海深处的遗迹。\n遗迹分散在一个比较广的范围内，\n由此我推测这里原本\n有很多座小型的建筑物。
Remains005_Info	这是沉在湖底的遗迹。\n这条湖似乎是地面受到\n某种冲击而被削去了\n一大片后所形成的。
Remains006_Info	这是火山深处的遗迹。\n我们看到的几处拱门，\n在当时应该是通往\n神圣之地的入口吧。
Remains007_Info	这是位于火山口的遗迹。\n虽然大部分都埋在土里了，\n但能看出这和火山的\n拱门是一样的东西。\n以前的人们是怎么来到这里的呢？
Remains008_Info	这是在雪原上的\n冰之洞窟里发现的遗迹。\n原本似乎是利用\n天然的洞窟建造而成的，\n现在却被封在了冰雪之中。
Remains009_Info	这是地下深处的遗迹。\n在顶部发光的石头也被\n认为是遗迹的一部分。\n周围的植物多半\n就是靠这光芒生长的吧。
Remains010_Info	这是在洞窟深处发现的\n约2000年前的壁画。\n现在没人知道正中间\n缺失的部分画着什么。
Remains011_Info	这是矢欧护遗迹的入口。\n这座遗迹遍布整个岛屿，\n而且状态保存得相当好。\n我希望有一天能\n解开它所有的谜团。
Remains012_Info	这是描绘了传说的壁画。\n可以看到壁画上有6只\n勇敢面对陨石的霓光宝可梦。\n看来这壁画和哈那离洞窟的\n壁画是相同的。
Collection_Name.msbt
Flower001_Name	晶奇花
Flower002_Name	晶奇花
Flower003_Name	晶奇花
Flower004_Name	晶奇花
Flower005_Name	晶奇花
Flower006_Name	晶奇花
Remains001_Name	古代遗迹
Remains002_Name	古代遗迹
Remains003_Name	古代遗迹
Remains004_Name	古代遗迹
Remains005_Name	古代遗迹
Remains006_Name	古代遗迹
Remains007_Name	古代遗迹
Remains008_Name	古代遗迹
Remains009_Name	古代遗迹
Remains010_Name	古代遗迹
Remains011_Name	古代遗迹
Remains012_Name	古代遗迹
ComWindow_Info.msbt
ComWindow005_Info	不能只输入空格。
ComWindow005_Select1	OK
ComWindow006_Info	要退出调查，并且把照片交给博士看吗？
ComWindow006_Select1	是
ComWindow006_Select2	否
