CoinRushCourseIn\CoinRushCourseIn_00\CoinRushCourseIn_00.msbt
T_Mii_00_PID01	正在挑战自己的纪录！
T_Mii_00_PID02	正在挑战此纪录！
T_Msg_00_PID00	\x0e\x01\t\x02\0\n
CoinRushCourseInTop\CoinRushCourseInTop_00\CoinRushCourseInTop_00.msbt
T_CInWorld_00_PID00	WORLD \x0e\x07\0\0-\x0e\x07\x01\0
T_CInWorld_00_PID01	关卡 １
T_CInWorld_00_PID02	关卡 ２
T_CInWorld_00_PID03	关卡 ３
T_DLC_00_PID00	\x0e\x01\x0c\x02\0@
T_DLC_00_PID01	等级１关卡包
T_DLC_00_PID02	等级２关卡包
T_DLC_00_PID03	等级３关卡包
CoinRushMiiList\CoinRushMiiList_00\CoinRushMiiList_00.msbt
T_StartMii_00	以马力欧挑战
T_StartMii_01	以白尾马力欧挑战
T_StartMy_00	挑战自己的纪录
T_MyData_00	自己的纪录
T_BookMark_00	喜爱
T_MiiChange_00	更改Mii
T_Change_00_PID00	更改Mii
CoinRushMiiListTop\CoinRushABtnTop_00\CoinRushABtnTop_00.msbt
T_Challenge_00_PID00	挑战
T_Challenge_00_PID01	打开
CoinRushMiiListTop\CoinRushMiiListMiiInfoTop_00\CoinRushMiiListMiiInfoTop_00.msbt
T_MiiName_00_PID00	\x0e\x01\t\x02\0\n
T_MiiCourse_00_PID00	\x0e\x01\x0c\x02\0@
T_MiiCourse_00_PID01	等级１关卡包
T_MiiCourse_00_PID02	等级２关卡包
T_MiiCourse_00_PID03	等级３关卡包
T_MiiCourse_00_PID04	非对应关卡包
T_MiiName_01	-----
T_BtnIcon_00	!
T_Caption_00	向瞬缘数据挑战
T_MyBest_00	个人最佳纪录
T_Message_00_PID00	没有瞬缘数据
T_Message_00_PID01	返回前一画面
CoinRushMiiListTop\CoinRushMiiListMyInfoTop_00\CoinRushMiiListMyInfoTop_00.msbt
T_Index_00_PID00	自己的纪录
T_Index_00_PID01	自己的纪录
T_MyName_00_PID00	\x0e\x01\t\x02\0\n
T_NoCoin_00	;----
T_MyCourse_00_PID00	\x0e\x01\x0c\x02\0@
T_MyCourse_00_PID01	等级１关卡包
T_MyCourse_00_PID02	等级２关卡包
T_MyCourse_00_PID03	等级３关卡包
T_MyCourse_00_PID04	非对应关卡包
T_MyCourse_00_PID05	ーーーーー
T_TortalInfo_00	瞬缘次数
T_WinInfo_00	胜利次数
T_HatenaName_00	？？？？？
CoinRushResultTop\CoinRushResultClear1PTop_00\CoinRushResultClear1PTop_00.msbt
T_CRText_00	成功通过！
T_Text_00	;
CoinRushResultTop\CoinRushResultClearMiiTop_00\CoinRushResultClearMiiTop_00.msbt
T_CRText_00	成功通过！
T_Win_00	获得胜利金币！
T_WinlCoin_00	1000
T_MiiText_00	;
T_MyText_00	;
CoinRushResultTop\CoinRushResultfailureTop_00\CoinRushResultfailureTop_00.msbt
T_Failure_00	失败！
CommonWindowA\CommonWindowA_00\CommonWindowA_00.msbt
T_Menu_02_PID00	继续游戏
T_Menu_03_PID00	中断
T_Menu_03_PID01	保存
T_Menu_03_PID02	退出关卡
T_Menu_03_PID03	从头再玩
T_Menu_03_PID04	返回标题画面
T_Menu_03_PID05	退出游戏
T_Menu_03_PID06	退出关卡
T_Menu_04_PID00	返回标题画面
T_Menu_04_PID01	退出挑战
T_Message4_00_PID01	要保存吗？
T_Message4_00_PID02	　保存完毕。
T_Message4_00_PID03	要“中断”游戏\n返回标题画面吗？\n\n只有一次机会可以\n　从这里继续游戏。
T_Message4_00_PID04	　保存完毕。\n\n　即将返回标题画面。
T_Message4_00_PID05	　即将返回标题画面，\n确定可以吗？\n\n未保存的游戏数据\n　将会丢失。
T_Message4_00_PID06	　即将返回地图画面，\n确定可以吗？\n\n　如果退出关卡，\n　就会回到进入关卡前的状态。
T_Message4_00_PID07	　即将退出连接，\n　返回标题画面。\n确定可以吗？\n\n未保存的游戏数据\n　将会丢失。
T_Message4_00_PID08	　即将退出挑战。\n\n　本次收集的金币将会消失，\n确定可以吗？
T_Message4_00_PID09	即将在相同的关卡\n　从头再玩。\n\n　本次收集的金币将会消失，\n确定可以吗？
T_Message4_00_PID10	用{c[ff0000]}５枚星星币{c[000000]}\n　可以向前进。\n要前进吗？
T_Message4_00_PID11	{c[ff0000]}星星币{c[000000]}不够！\n　要向前进的话，\n必须要有{c[ff0000]}５枚星星币{c[000000]}！
T_Message4_00_PID16	用{c[ff0000]}９０枚星星币{c[000000]}\n　可以向前进。\n要前进吗？
T_Message4_00_PID17	{c[ff0000]}星星币{c[000000]}不够！\n　要向前进的话，\n必须要有{c[ff0000]}９０枚星星币{c[000000]}！
T_Message4_00_PID18	用{c[ff0000]}９枚星星币{c[000000]}\n　可以向前进。\n要前进吗？
T_Message4_00_PID19	{c[ff0000]}星星币{c[000000]}不足！\n要向前进的话，\n必须要有{c[ff0000]}９枚星星币{c[000000]}！
T_Message4_00_PID20	马力欧他们的冒险\n　就到此结束了。\n\n　即将退出连接，\n　返回标题画面。
T_Message4_00_PID21	　保存完毕。\n　即将返回标题画面。\n\n　在地图画面的暂停菜单，\n通过“保存”\n　可以随时保存。
T_Message4_00_PID12	　即将返回菜单，\n确定可以吗？\n\n　如果退出关卡，\n　就会回到进入关卡前的状态。
T_Message4_00_PID80	正在保存……
T_Message4_00_PID81	马力欧正在操作中……
T_BtnB_00_PID00	取消
T_BtnB_00_PID01	否
T_BtnA_00_PID00	中断
T_BtnA_00_PID01	OK
T_BtnA_00_PID02	保存
T_BtnA_00_PID03	是
CommonWindowA\CommonWindowA_00\CommonWindowA_00_coinrush.msbt
T_Menu_02_PID00	保存纪录
T_Menu_02_PID01	重试相同关卡
T_Menu_02_PID02	再挑战一次
T_Menu_02_PID03	重试
