challenge_mode.msbt
Challenge_Title_001	Acorn Plains Speed Run
Challenge_Content_001	Reach the goal in 70.00 or less.
Challenge_Message1_001	70.00 or less
Challenge_Message2_001	60.00 or less
Challenge_Message3_001	53.00 or less
Challenge_Title_003	Stone-Eye Desert Dash
Challenge_Content_003	Reach the goal in 80.00 or less.
Challenge_Message1_003	80.00 or less
Challenge_Message2_003	60.00 or less
Challenge_Message3_003	56.00 or less
Challenge_Title_004	Stoneslide Tower Climb
Challenge_Content_004	Reach the goal ring in 90.00 or less.
Challenge_Message1_004	90.00 or less
Challenge_Message2_004	70.00 or less
Challenge_Message3_004	60.00 or less
Challenge_Title_005	Huckit Hustle
Challenge_Content_005	Defeat all of the Huckit Crabs, and reach the goal in\n85.00 or less.
Challenge_Message1_005	85.00 or less
Challenge_Message2_005	72.00 or less
Challenge_Message3_005	67.00 or less
Challenge_Title_006	Lurchin' Urchins
Challenge_Content_006	Reach the goal in 75.00 or less.
Challenge_Message1_006	75.00 or less
Challenge_Message2_006	65.00 or less
Challenge_Message3_006	61.00 or less
Challenge_Title_008	Icicle Skating
Challenge_Content_008	Reach the goal in 100.00 or less.
Challenge_Message1_008	100.00 or less
Challenge_Message2_008	80.00 or less
Challenge_Message3_008	73.00 or less
Challenge_Title_009	Slick Slopes and Bullet Bills
Challenge_Content_009	Reach the goal in 65.00 or less.
Challenge_Message1_009	65.00 or less
Challenge_Message2_009	55.00 or less
Challenge_Message3_009	51.00 or less
Challenge_Title_011	Fliprus Crossing
Challenge_Content_011	Reach the goal in 70.00 or less.
Challenge_Message1_011	70.00 or less
Challenge_Message2_011	58.00 or less
Challenge_Message3_011	55.00 or less
Challenge_Title_012	Poison-Swamp Scramble
Challenge_Content_012	Reach the goal in 80.00 or less.
Challenge_Message1_012	80.00 or less
Challenge_Message2_012	70.00 or less
Challenge_Message3_012	65.00 or less
Challenge_Title_018	Screwtop It Up
Challenge_Content_018	Reach the goal ring in 90.00 or less.
Challenge_Message1_018	90.00 or less
Challenge_Message2_018	75.00 or less
Challenge_Message3_018	65.00 or less
Challenge_Title_020	Waddlewing Wipeout
Challenge_Content_020	Defeat every Waddlewing, and collect at least 40 coins.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you touch the ground before defeating all Waddlewings.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_020	40 coins
Challenge_Message2_020	60 coins
Challenge_Message3_020	67 coins
Challenge_Title_022	Castle Coin Bypass
Challenge_Content_022	Reach the goal, collecting as few coins as possible.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you collect six or more coins.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_022	Five coins
Challenge_Message2_022	Two coins
Challenge_Message3_022	Zero coins
Challenge_Title_023	Hot Hidden-Coin Hunt
Challenge_Content_023	Hit the P Switch, and collect the coins.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends when the P Switch's effect ends.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_023	46 coins
Challenge_Message2_023	50 coins
Challenge_Message3_023	52 coins
Challenge_Title_024	No-Cash Dash
Challenge_Content_024	Reach the goal in 70.00 or less without collecting a\nsingle coin.
Challenge_Message1_024	70.00 or less
Challenge_Message2_024	58.00 or less
Challenge_Message3_024	53.00 or less
Challenge_Title_026	Prickly Goomba's Coinless Run
Challenge_Content_026	Reach the goal, collecting as few coins as possible.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you collect six or more coins.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_026	Five coins
Challenge_Message2_026	Two coins
Challenge_Message3_026	Zero coins
Challenge_Title_028	Ghost House Coin Curse
Challenge_Content_028	Collect as many coins as you can.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends when there are no coins left.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_028	135 coins
Challenge_Message2_028	145 coins
Challenge_Message3_028	150 coins
Challenge_Title_031	Cloud-Top Coin Evasion
Challenge_Content_031	Reach the goal, collecting as few coins as possible.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you collect six or more coins.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_031	Five coins
Challenge_Message2_031	Two coins
Challenge_Message3_031	Zero coins
Challenge_Title_032	Perilous Coin Dodge
Challenge_Content_032	Reach the goal ring, collecting as few coins as possible.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you collect six or more coins.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_032	Five coins
