LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
LayoutMsg\Common_DialogS_00.msbt
Donation_00	今天收到的捐款金額為{color[0000]}{[640e|000100cd]}{color[ffff]}。\n請好好珍惜使用。
LayoutMsg\Common_Dialog_00.msbt
T_Text_ShopBackConfirm	購物車內仍有商品。\n確定要離開商店不購買嗎？
T_Text_ShopBackConfirm_Cancel	返回
T_Text_ShopBackConfirm_OK	離開商店
PersonalityEdit_ExitConfirm	放棄更改微個性並返回。\n\n確定嗎？
PersonalityEdit_ExitConfirm_Cancel	不行！
PersonalityEdit_ExitConfirm_OK	OK
PhraseEdit_ExitConfirm	放棄更改口頭禪並返回。\n\n確定嗎？
PhraseEdit_ExitConfirm_Cancel	不行！
PhraseEdit_ExitConfirm_OK	OK
PhraseEdit_ChangeKindConfirm	超出{color[0000]}{[0208|00cd]}{color[ffff]}\n可登錄的字數上限。\n\n要刪除超出的文字嗎？
PhraseEdit_ChangeKindConfirm_Cancel	不行！
PhraseEdit_ChangeKindConfirm_OK	刪除
RelationNameEdit_ExitConfirm	放棄更改稱呼方式並返回。\n\n確定嗎？
RelationNameEdit_ExitConfirm_Cancel	不行！
RelationNameEdit_ExitConfirm_OK	OK
ChangeClothes_ExitConfirm	放棄更改服裝並返回。\n\n確定嗎？
ChangeClothes_ExitConfirm_Cancel	不行！
ChangeClothes_ExitConfirm_OK	OK
ChangeInterior_ExitConfirm	放棄更改住家布置並返回。\n\n確定嗎？
ChangeInterior_ExitConfirm_Cancel	不行！
ChangeInterior_ExitConfirm_OK	OK
ChangeExterior_ExitConfirm	放棄更改住家外觀並返回。\n\n確定嗎？
ChangeExterior_ExitConfirm_Cancel	不行！
ChangeExterior_ExitConfirm_OK	OK
PlayerName_ExitConfirm	放棄更改稱呼玩家的方式並返回。\n\n確定嗎？
PlayerName_ExitConfirm_Cancel	不行！
PlayerName_ExitConfirm_OK	OK
MiiFirstPerson_ExitConfirm	放棄更改稱呼自己的方式並返回。\n\n確定嗎？
MiiFirstPerson_ExitConfirm_Cancel	不行！
MiiFirstPerson_ExitConfirm_OK	OK
IslandName_ExitConfirm	放棄更改島嶼名稱並返回。\n\n確定嗎？
IslandName_ExitConfirm_Cancel	不行！
IslandName_ExitConfirm_OK	OK
PlayerNickNameEdit_Tutorial	「{color[0000]}這位Mii稱呼你的方式{color[ffff]}」\n可以隨時在「Mii選單」的\n「{color[0000]}話語{color[ffff]}」進行編輯。
FirstTreasureGoods_Tutorial	獲得了「{color[0000]}寶物{color[ffff]}」！{[0004]}想知道寶物有什麼用處？\n\n這個嘛……{[0004]}如果送給Mii當禮物，\n對方說不定會很開心！
MiiAdd_CannotAdd_MiiNumLimit	無法再新增更多Mii。\n\n從選單的「居民列表」\n選擇Mii並刪除，\n就能繼續新增Mii。
MiiAdd_HouseCreate	建造{[c800|0502000d]}的房屋吧！\n\n請決定建造位置。
MiiAdd_HouseCreateFirst	目前可以建造{[c800|0502000d]}的房屋……\n\n從這次開始，\n你可以任意選擇喜歡的地點建造。{[0004]}請決定{[c800|0502000d]}的房屋\n要建造在哪裡吧。
MiiAdd_HouseCreateLocalNetwork	幫鄰近主機通訊後接收的Mii\n建造房屋吧！\n\n請選擇要為其建造房屋的Mii。
MiiAdd_HouseCreateLocalNetworkContinue	幫鄰近主機通訊後接收的剩餘Mii\n建造房屋吧！\n\n請選擇要為其建造房屋的Mii。
MiiAdd_HouseCreateLocalNetworkCancel	島上尚未配置房屋的Mii\n將會被移除。\n\n確定嗎？
MiiAdd_HouseCreateLocalNetworkCancel_Yes	OK
MiiAdd_HouseCreateLocalNetworkCancel_No	不行！
LiveTogether_NewHouse	為{[c800|0502000d]}等人\n建造房屋吧！\n\n請選擇要建造的地點。
LiveTogether_LeaveHome_Alone	為{[c800|0502000d]}\n建造新房屋吧！\n\n請選擇要建造的地點。
Propo_SelectDisableChildren	{[c800|0502000d]}的房屋\n沒有可以讓人同居的空房間。
LiveTogether_NoSpaceCouple	{[c800|0502000d]}已經結婚，\n但目前沒有空房間可以讓配偶入住。\n\n請重新選擇，\n減少要一起同行的Mii人數。
LiveTogether_NoSpaceCouple_OK	OK
Fountain_Common_InsufficientRight	此願望目前還無法實現……\n\n請收集更多心情球再來。
Fountain_SomethingNew	有新的願望可以實現了！
Fountain_RenovationNew_01	「裝修商店」願望能夠增加\n商店販售的家居布置組合。
Fountain_RenovationNew_02	當實現願望時，\n還能獲得新的家居布置組合作為謝禮！
Fountain_Building	「造島商店」願望能夠增加\n商店販售的商品。{[0004]}當實現願望時，\n還能獲得一件新商品作為禮物喔！
Fountain_Laying	「島嶼建設」願望能夠增加\n島嶼建設內可使用的地面種類。
Fountain_Atelier	「物品工坊」願望能夠增加\n物品工坊內可製作的物品。
IslandEdit_Reset_00	將編輯過的島嶼恢復原狀。\n\n確定嗎？
IslandEdit_Reset_01	正在重置……
IslandEdit_Reset_02	重置完成。
IslandEdit_TutorialObject_01	透過「{color[0000]}島嶼建設{color[ffff]}」\n可以自由建設建築物或物件。
IslandEdit_TutorialObject_01_Next	下一個
IslandEdit_TutorialObject_02	按「{color[0000]} 建設{color[ffff]}」\n選擇{color[0000]}長椅{color[ffff]}試試吧。
IslandEdit_TutorialObject_03_2	這次請選擇{color[0000]}長椅{color[ffff]}。
IslandEdit_TutorialObject_04	將長椅設置在\n任意{color[0000]}閃爍中的格子{color[ffff]}吧。
IslandEdit_TutorialObject_05	這次請設置在{color[0000]}閃爍中的格子{color[ffff]}。
IslandEdit_TutorialObject_06	就是這樣！\n\n位置和方向可以稍後更改。
IslandEdit_TutorialObject_08	請按 {color[0000]}{color[ffff]} 結束島嶼建設。
IslandEdit_TutorialFloor_02	這次請選擇{color[0000]}草地{color[ffff]}。\n\n若想使用其他地面\n請稍後再來。
IslandEdit_TutorialFloor_03	這次是首次設置，請先決定位置吧。\n\n將草地設置在{color[0000]}閃爍中的格子{color[ffff]}，\n讓地面連接起來吧。
IslandEdit_TutorialFloor_04	漂亮！\n\n地面連接起來了。
