Achievement.txt
Achievement/NoticeText	“{AchievementName}”达成了！
Achievement/SecretName	？？？
Achievement/SecretDescription	？？？？？？
Achievement/01_WorkOnEarthName	在地球工作
Achievement/01_WorkOnEarthClearCheckerName	在地球\n工作
Achievement/01_WorkOnEarthDescription	从叔叔那里\n得到了打工杂志
Achievement/02_PlanetaryMedalistName	行星奖章获得者
Achievement/02_PlanetaryMedalistClearCheckerName	行星奖章\n获得者
Achievement/02_PlanetaryMedalistDescription	获得了\n9枚奖章
Achievement/03_GalacticMedalistName	银河奖章获得者
Achievement/03_GalacticMedalistClearCheckerName	银河奖章\n获得者
Achievement/03_GalacticMedalistDescription	获得了\n27枚奖章
Achievement/04_CosmicMedalstName	宇宙奖章获得者
Achievement/04_CosmicMedalstClearCheckerName	宇宙奖章\n获得者
Achievement/04_CosmicMedalstDescription	获得了\n54枚奖章
Achievement/05_OmniversalMedalsitName	全宇宙奖章获得者
Achievement/05_OmniversalMedalsitClearCheckerName	全宇宙奖章\n获得者
Achievement/05_OmniversalMedalsitDescription	获得了\n81枚奖章
Achievement/06_BreadwinnerName	工薪阶层
Achievement/06_BreadwinnerClearCheckerName	工薪阶层
Achievement/06_BreadwinnerDescription	一次性得到了\n3000<sprite=1>以上的打工工资
Achievement/07_BigEarnerName	中薪阶级
Achievement/07_BigEarnerClearCheckerName	中薪阶级
Achievement/07_BigEarnerDescription	一次性得到了\n4000<sprite=1>以上的打工工资
Achievement/08_HighlyPaidName	高薪阶层
Achievement/08_HighlyPaidClearCheckerName	高薪阶层
Achievement/08_HighlyPaidDescription	一次性得到了\n5000<sprite=1>以上的打工工资
Achievement/09_EagerBeaverName	努力家
Achievement/09_EagerBeaverClearCheckerName	努力家
Achievement/09_EagerBeaverDescription	在工作中\n搬运的货物数量\n超过了40件
Achievement/10_HardWorkerName	工作小能手
Achievement/10_HardWorkerClearCheckerName	工作小能手
Achievement/10_HardWorkerDescription	在工作中\n搬运的货物数量\n超过了80件
Achievement/11_PersistencePaysOffName	坚持就是力量
Achievement/11_PersistencePaysOffClearCheckerName	坚持就是\n力量
Achievement/11_PersistencePaysOffDescription	在工作中\n搬运的货物数量\n超过了160件
Achievement/12_OverWorkerName	注意不要过劳
Achievement/12_OverWorkerClearCheckerName	注意不要过劳
Achievement/12_OverWorkerDescription	在工作中\n搬运的货物数量\n超过了240件
Achievement/13_DeConservativeName	脱离保守
Achievement/13_DeConservativeClearCheckerName	脱离保守
Achievement/13_DeConservativeDescription	在商店购买了\n1件服装
Achievement/13_DeConservativeSecretDescription	
Achievement/14_FashionistaName	时尚达人
Achievement/14_FashionistaClearCheckerName	时尚达人
Achievement/14_FashionistaDescription	在商店购买了\n10件服装
Achievement/14_FashionistaSecretDescription	
Achievement/15_UniverseBestDandyName	宇宙第一潮男
Achievement/15_UniverseBestDandyClearCheckerName	宇宙第一\n潮男
Achievement/15_UniverseBestDandyDescription	在商店购买了\n所有服装
Achievement/15_UniverseBestDandySecretDescription	
Achievement/16_EarthSaverName	拯救地球的工作小能手
Achievement/16_EarthSaverClearCheckerName	拯救地球的\n工作小能手
Achievement/16_EarthSaverDescription	查看了制作人员名单
EmptyText00	
Achievement/17_EncounterNushiName	与海霸王的相遇
Achievement/17_EncounterNushiClearCheckerName	与海霸王的\n相遇
Achievement/17_EncounterNushiDescription	在海中被神秘的怪物\n吃掉了货物
Achievement/18_IwillBeBackName	I'll be back !
Achievement/18_IwillBeBackClearCheckerName	I'll be back !
Achievement/18_IwillBeBackDescription	被〇〇〇〇〇的〇〇〇〇〇\n逃走了
Achievement/18_IwillBeBackClearDescription	在月球表面\n被外星人的头目\n逃走了
Achievement/19_UfoInTheSeaName	海上UFO
Achievement/19_UfoInTheSeaClearCheckerName	海上UFO
Achievement/19_UfoInTheSeaDescription	配合海边的\n搭配
Achievement/19_UfoInTheSeaClearDescription	换上年轻水手或\n大渔旗并完成了\n海边的工作
Achievement/20_CircusHutUfoName	马戏团小屋UFO
