msg_bgm+jp_ja.msbt
bgm_arrange	アレンジ
bgm_new_arrange	新アレンジ
bgm_random	オレ{r2[きょく]}曲{/r2}セレクトから{r2[ちゅうせん]}抽選{/r2}
bgm_title_0001	地上BGM {size[5000]}(スーパーマリオブラザーズ3){size[6400]}
bgm_author_0001	編曲担当：高田 雅史
bgm_copyright_0001	作曲者：任天堂(株)\r\n編曲者：サウンドプレステージ(同)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0002	砦のボス {size[5000]}(スーパーマリオブラザーズ3){size[6400]}
bgm_author_0002	編曲担当：本田 晃弘
bgm_copyright_0002	作曲者：任天堂(株)\r\n編曲者：(株)Cygames\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0003	魔王クッパ {size[5000]}(スーパーマリオブラザーズ3){size[6400]}
bgm_author_0003	編曲担当：近藤 浩治
bgm_copyright_0003	作曲者：任天堂(株)\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0004	ドルピックタウン
bgm_author_0004	編曲者：岩垂 徳行
bgm_copyright_0004	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0005	地上BGM {size[5000]}(スーパーマリオUSA){size[6400]}
bgm_author_0005	編曲担当：岡部 啓一
bgm_copyright_0005	作曲者：任天堂(株)\r\n編曲者：MONACA\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0006	ルイージマンション : メインテーマ
bgm_author_0006	編曲担当：三好 真亜沙
bgm_copyright_0006	作曲者：任天堂(株)・Next Level Games Inc.\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0007	ドンキーコング / ドンキーコングJR. メドレー
bgm_author_0007	編曲担当：高濱 祐輔
bgm_copyright_0007	作曲者：任天堂(株)\r\n編曲者：(有)ターゲット・エンタテインメント\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0008	THE MAP PAGE / BONUS LEVEL
bgm_author_0008	編曲担当：山口 裕史
bgm_copyright_0008	作曲者：Rare Limited\r\n編曲者：プラチナゲームズ(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0009	THE PIRATE SHIP
bgm_author_0009	編曲者：ACE (工藤ともり / CHiCO)
bgm_copyright_0009	作曲者：Rare Limited\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0010	ラトリーに大へんしん
bgm_author_0010	編曲者：谷岡 久美
bgm_copyright_0010	作曲者：Rare Limited\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0011	けっせん！キャプテンクルール
bgm_author_0011	編曲担当：阿部 壮志
bgm_copyright_0011	作曲者：Rare Limited\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0012	デスマウンテンBGM
bgm_author_0012	編曲担当：本田 晃弘
bgm_copyright_0012	作曲者：任天堂(株)\r\n編曲者：(株)Cygames\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0013	モルド・ゲイラ
bgm_author_0013	編曲者：谷岡 久美
bgm_copyright_0013	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0014	傷だらけのミドナ
bgm_author_0014	編曲担当：小林 秀聡
bgm_copyright_0014	作曲者：任天堂(株)\r\n編曲者：(株)セガゲームス\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0015	タルミナ平原
bgm_author_0015	編曲者：景山 将太
bgm_copyright_0015	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0016	ゼルダの伝説 トライフォース3銃士 : メインテーマ
bgm_author_0016	編曲者：清田 愛未
bgm_copyright_0016	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0017	ゼルダの伝説　ブレス オブ ザ ワイルド : メインテーマ
bgm_author_0017	編曲担当：青木 佳乃
bgm_copyright_0017	作曲者：任天堂(株)\r\n編曲者：(株)ユニークノート\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0018	カッシーワのテーマ
bgm_author_0018	編曲担当：下村 陽子
bgm_copyright_0018	作曲者：任天堂(株)\r\n編曲者：midiplex\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0019	Nintendo Switch Presentation 2017 Trailer BGM
bgm_author_0019	編曲担当：永松 亮
bgm_copyright_0019	作曲者：任天堂(株)\r\n編曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0020	ブリンスタ深部
bgm_author_0020	編曲担当：浅田 靖
bgm_copyright_0020	作曲者：任天堂(株)\r\n編曲者：(株)ノイジークローク \r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0021	vs. リドリー
bgm_author_0021	編曲担当：高濱 祐輔
bgm_copyright_0021	作曲者：任天堂(株)\r\n編曲者：(有)ターゲット・エンタテインメント\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0022	vs. パラサイトクイーン
bgm_author_0022	編曲者：桜庭 統
bgm_copyright_0022	作曲者：任天堂(株)\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0023	F-ZERO メドレー
bgm_author_0023	編曲担当：光吉 猛修\r\n作詞担当：光吉 猛修\r\n歌：光吉 猛修
bgm_copyright_0023	作曲者：任天堂(株)\r\n編曲者・作詞者：(株)セガ・インタラクティブ\r\n作曲、編曲、歌詞、訳詞及び歌唱に係る著作権は、\r\n任天堂(株)に帰属します。
bgm_title_0024	BIG BLUE
bgm_author_0024	編曲担当：倉持 武志
bgm_copyright_0024	作曲者：任天堂(株)\r\n編曲者：(株) INSPION\r\nこの楽曲の作曲及び編曲に係る著作権は、任天堂(株)に帰属します。
bgm_title_0025	SAND OCEAN
bgm_author_0025	編曲者：Hirokazu Tanaka. ex
