msg_bgm+zh_tw.msbt
bgm_arrange	改編
bgm_new_arrange	新改編
bgm_random	從自選樂曲隨機抽選
bgm_title_0001	Ground Theme - Super Mario Bros. 3
bgm_author_0001	擔任編曲者：Masafumi Takada〔高田 雅史〕
bgm_copyright_0001	作曲者：Nintendo\r\n編曲者：Sound Prestige LLC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0002	Fortress Boss - Super Mario Bros. 3
bgm_author_0002	擔任編曲者：Akihiro Honda〔本田 晃弘〕
bgm_copyright_0002	作曲者：Nintendo\r\n編曲者：Cygames, Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0003	King Bowser - Super Mario Bros. 3
bgm_author_0003	擔任編曲者：Koji Kondo〔近藤 浩治〕
bgm_copyright_0003	作曲者：Nintendo\r\n編曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0004	Delfino Plaza
bgm_author_0004	編曲者：Noriyuki Iwadare〔岩垂 徳行〕
bgm_copyright_0004	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0005	Ground Theme - Super Mario Bros. 2
bgm_author_0005	擔任編曲者：Keiichi Okabe〔岡部 啓一〕
bgm_copyright_0005	作曲者：Nintendo\r\n編曲者：MONACA\r\nComposition and arrangement Copyright Nintendo
bgm_title_0006	Main Theme - Luigi's Mansion
bgm_author_0006	擔任編曲者：Maasa Miyoshi〔三好 真亜沙〕
bgm_copyright_0006	作曲者：Nintendo / Next Level Games Inc.\r\n編曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0007	Donkey Kong / Donkey Kong Jr. Medley
bgm_author_0007	擔任編曲者：Yusuke Takahama〔高濱 祐輔〕
bgm_copyright_0007	作曲者：Nintendo\r\n編曲者：TARGET ENTERTAINMENT INC.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0008	The Map Page / Bonus Level
bgm_author_0008	擔任編曲者：Hiroshi Yamaguchi〔山口 裕史〕
bgm_copyright_0008	作曲者：Rare Limited\r\n編曲者：PlatinumGames Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0009	Gang-Plank Galleon
bgm_author_0009	編曲者：ACE（TOMOri Kudo / CHiCO）\r\n　　　　〔ACE（工藤ともり / CHiCO）〕
bgm_copyright_0009	作曲者：Rare Limited\r\nComposition and arrangement Copyright Nintendo
bgm_title_0010	Snakey Chantey
bgm_author_0010	編曲者：Kumi Tanioka〔谷岡 久美〕
bgm_copyright_0010	作曲者：Rare Limited\r\nComposition and arrangement Copyright Nintendo
bgm_title_0011	Crocodile Cacophony
bgm_author_0011	擔任編曲者：Soshi Abe〔阿部 壮志〕
bgm_copyright_0011	作曲者：Rare Limited\r\n編曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0012	Death Mountain
bgm_author_0012	擔任編曲者：Akihiro Honda〔本田 晃弘〕
bgm_copyright_0012	作曲者：Nintendo\r\n編曲者：Cygames, Inc.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0013	Molgera
bgm_author_0013	編曲者：Kumi Tanioka〔谷岡 久美〕
bgm_copyright_0013	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0014	Midna's Lament
bgm_author_0014	擔任編曲者：Hideaki Kobayashi〔小林秀聡〕
bgm_copyright_0014	作曲者：Nintendo\r\n編曲者：SEGA Games Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0015	Termina Field
bgm_author_0015	編曲者：Shota Kageyama〔景山 将太〕
bgm_copyright_0015	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0016	Main Theme - The Legend of Zelda: Tri Force Heroes
bgm_author_0016	編曲者：Manami Kiyota〔清田 愛未〕
bgm_copyright_0016	作曲者：Nintendo\r\nComposition and arrangement Copyright Nintendo
bgm_title_0017	Main Theme - The Legend of Zelda: Breath of the Wild
bgm_author_0017	擔任編曲者：Yoshino Aoki〔青木 佳乃〕
bgm_copyright_0017	作曲者：Nintendo\r\n編曲者：Unique Note Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0018	Kass's Theme
bgm_author_0018	擔任編曲者：Yoko Shimomura〔下村 陽子〕
bgm_copyright_0018	作曲者：Nintendo\r\n編曲者：Midiplex Co., Ltd.\r\nComposition and arrangement Copyright Nintendo
bgm_title_0019	Nintendo Switch Presentation 2017 Trailer BGM
