FlowchartMsg_CNzh_szs\ActivityAchievements.msbt
Conjunction00	此外……！
Conjunction01	而且！
Conjunction02	除此之外……！
Start01	啊！今天竟然……
Start03	啊！\n今天……竟然……！
Start04	啊！！\n今……今天……竟然……！！！
Start05	啊！真是厉害……！！\n今天竟然……！！！
Start09	咦咦！？\n真是厉害……！！今天竟然……！！！！
Start10	咦……！？\n请……请先等一下……
Start00	没……没想到会有这一天……！！\n今天竟然……！！！！
Additional00	除此之外还达成了很多细节喔！\n就这样子继续努力吧！
ExercisedInCustom00	您也在\x0e\0\x03\x02\x01\0自定义模式\x0e\0\x03\x02ÿÿ运动过了吧。\n次数也会被加以统计喔。
Achievement01	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ的累积次数已经超过\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！
Achievement02	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ的累积次数已经突破\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！
Achievement03	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ已经累积达成\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！！
Achievement04	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ已经累积超过\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了！！太棒了！！
Achievement05	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ已经累积达成\n\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了～～～！！！
Achievement06	\x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ\n已经累积达成\x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í次\x0e\0\x03\x02ÿÿ了～～～～！！！！
AchieveComment00	您很努力呢！\n继续维持下去吧！
AchieveComment01	真是太棒了！\n就这样子继续努力吧！
AchieveComment02	这可是相当难达成的次数喔！\n坚持就是力量！
AchieveComment03	您很努力在维持呢！！\n真的非常棒喔！！
AchieveComment04	这是个值得自豪的数字！！\n可不是任何人都做得到的喔！！
AchieveComment05	您之前……有见过这样的数字吗？\n坚持真是种美德呢……
AchieveComment06	竟然做到了这个地步……
AchieveComment07	我已经无话可说了……
AchieveComment08	现在这一瞬间，\n我真的觉得很高兴能够见到您……！
