FlowchartMsg_USen_szs\ActivityAchievements.msbt
Conjunction00	Furthermore!
Conjunction01	But wait!
Conjunction02	And that's not all!
Start01	Oh, hey! Guess what...
Start03	Oooh, guess what!
Start04	Oh! Great news!
Start05	Whoa! I have some great news for you!
Start09	You might want to sit down, because...
Start10	Brace yourself, because...
Start00	At last, the time has finally come!
Additional00	And that's not even all you've done!\nKeep tearing it up out there!
ExercisedInCustom00	It looks like you worked out in \x0e\0\x03\x02\x01\0Multitask\nMode \x0e\0\x03\x02ÿÿtoo. Well done! Those reps will be\nfactored in as well!
Achievement01	Your total \x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\n\x0e\0\x03\x02ÿÿreps have hit \x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í\x0e\0\x03\x02ÿÿ!
Achievement02	Your total \x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\n\x0e\0\x03\x02ÿÿreps have hit \x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í\x0e\0\x03\x02ÿÿ!
Achievement03	Your total \x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\n\x0e\0\x03\x02ÿÿreps have hit \x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í\x0e\0\x03\x02ÿÿ! Wow!
Achievement04	Your total \x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\n\x0e\0\x03\x02ÿÿreps have hit \x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í\x0e\0\x03\x02ÿÿ! Fantastic!
Achievement05	Your total \x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\n\x0e\0\x03\x02ÿÿreps have hit \x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í\x0e\0\x03\x02ÿÿ! Incredible!
Achievement06	Your total \x0e\0\x03\x02\x01\0\x0e\x08\x06\x02\0\0\x0e\0\x03\x02ÿÿ\nreps have hit \x0e\0\x03\x02\x01\0\x0eú\x04\x04\x01\0\0Í\x0e\0\x03\x02ÿÿ! Holy moly!
AchieveComment00	You're putting in the effort, and that's all\nanyone can ask!
AchieveComment01	Wonderful! See if you can keep going at\nthat pace!
AchieveComment02	That's not an easy thing to achieve!\nPersistence is power!
AchieveComment03	You're really seeing this through! I'm so\nproud of you!
AchieveComment04	That's something to take pride in! Not just\nanybody reaches that level.
AchieveComment05	Did you ever think you could make it that\nhigh? It's amazing what persistence can\naccomplish.
AchieveComment06	You've really come a long way.
AchieveComment07	I don't have the words for what you've\naccomplished here.
AchieveComment08	I'm just happy I could be here now to see\nall that you've achieved!
BanzaiTwist_1	You've earned your place as a\n\x0e\0\x03\x02\x01\0Passionate Overhead-Lunge Twister\x0e\0\x03\x02ÿÿ!
BanzaiTwist_2	You've earned your place as an\n\x0e\0\x03\x02\x01\0Elegant Overhead-Lunge Twister\x0e\0\x03\x02ÿÿ!
BanzaiTwist_3	You've earned your place as an\n\x0e\0\x03\x02\x01\0Extreme Overhead-Lunge Twister\x0e\0\x03\x02ÿÿ!
BanzaiTwist_4	You've earned your place as a\n\x0e\0\x03\x02\x01\0Legendary Overhead-Lunge Twister\x0e\0\x03\x02ÿÿ!
BanzaiMorning_1	Allow me to grant you the title of...\n\x0e\0\x03\x02\x01\0Overhead-Bend Dilettante\x0e\0\x03\x02ÿÿ!
BanzaiMorning_2	Allow me to grant you the title of...\n\x0e\0\x03\x02\x01\0Overhead-Bend Enthusiast\x0e\0\x03\x02ÿÿ!
BanzaiMorning_3	Allow me to grant you the title of...\n\x0e\0\x03\x02\x01\0Overhead-Bend Master\x0e\0\x03\x02ÿÿ!
BanzaiMorning_4	Allow me to grant you the title of...\n\x0e\0\x03\x02\x01\0Overhead-Bend Sage\x0e\0\x03\x02ÿÿ!
BanzaiSideBend_1	You've earned the right to be called\nan \x0e\0\x03\x02\x01\0Overhead-Side-Bend Elite\x0e\0\x03\x02ÿÿ!
BanzaiSideBend_2	You've earned the right to be called\nan \x0e\0\x03\x02\x01\0Overhead-Side-Bend Leader\x0e\0\x03\x02ÿÿ!
BanzaiSideBend_3	You've earned the right to be called\nan \x0e\0\x03\x02\x01\0Overhead-Side-Bend Authority\x0e\0\x03\x02ÿÿ!
BanzaiSideBend_4	You've earned the right to be called\nan \x0e\0\x03\x02\x01\0Overhead-Side-Bend Emperor\x0e\0\x03\x02ÿÿ!
BanzaiSquat_1	It would be my pleasure to call you\na \x0e\0\x03\x02\x01\0Regular Overhead Squatter\x0e\0\x03\x02ÿÿ!
BanzaiSquat_2	It would be my pleasure to call you\nan \x0e\0\x03\x02\x01\0Above-Average Overhead Squatter\x0e\0\x03\x02ÿÿ!
BanzaiSquat_3	It would be my pleasure to call you\nan \x0e\0\x03\x02\x01\0Impeccable Overhead Squatter\x0e\0\x03\x02ÿÿ!
BanzaiSquat_4	It would be my pleasure to call you\na \x0e\0\x03\x02\x01\0Perfect Overhead Squatter\x0e\0\x03\x02ÿÿ!
