Bonus.wmbt
Coin_Player_1P	{key[Bonus_Coin_1P|Half]}
Coin_Player_2P	{key[Bonus_Coin_2P|Half]}
Explanation.wmbt
Lifting_00	Use your crew member's special\ntalents to keep the ball in the air.\nDon't let it fall to the ground!
Lifting_01_00	Field the Changes
Lifting_01_01	As you progress, conditions on the\nfield may change and could have all\nkinds of effects on the ball.\n\nFocus on keeping that ball up in the\nair, and try not to get distracted.
Lifting_02_00	2 Players or More
Lifting_02_01	・When playing with more than\n　one player, only hit the ball\n　when it matches your\n　corresponding color.\n\n・Work together, and keep that\n　ball up in the air!
CombatMob_00	The attacks are endless in this game! Challenge\nyourself to defeat as many enemies as you can\nbefore your HP reaches 0. Then it's game over!
CombatMob_01_00	Defeat the Boss
CombatMob_01_01	・Keep fighting back enemies,\n　and soon you'll find yourself\n　face-to-face with a boss.\n\n・They're tougher than the other\n　guys, but if you defeat a boss,\n　you recover some HP.\n\nLet's see how far you get.
SuperWarioCo_00	Quit having fun and get to work!\n\nThis side-scrolling adventure doesn't\nend until you run out of power.
SuperWarioCo_01_00	Time to Sell!
SuperWarioCo_01_01	・Head straight to the office to avoid getting\n　bested by your Rivals...er, coworkers.\n・Sales are calculated when you arrive at the office.\n・Increase your sales by collecting Contracts,\n　switching crew members, etc.
SuperWarioCo_01_02	Rival
SuperWarioCo_01_03	Contract
SuperWarioCo_01_04	Clock-Out Box
SuperWarioCo_02_00	Contracts
SuperWarioCo_02_01	・When you pick up a Contract, it will automatically\n　tag along behind you.\n・Collect every Contract to earn a Contract Bonus.\n・Watch out! Any time you bump into a Sales Rival,\n　they'll steal all your Contracts.
VolleyBall_00	Split into teams! It's volleyball time! All you gotta do\nis hit the ball and knock it into your opponents'\ncourt. And yes. Flying machines are allowed.
VolleyBall_01_00	Five-Second Timer
VolleyBall_01_01	・If you let the ball fall to the\n　ground or don't hit it over the\n　net before it reaches zero...\n　then you're out of luck.\n　\n・The first team with six outs\n　loses. That's the complete\n　opposite of winning!
VolleyBall_02_00	The Strike Zone
VolleyBall_02_01	・When the count reaches 3 or\n　lower, the ball will charge up.\n\n・Hit the ball while it's charged\n　to perform a spike.\n\n・A spike's strength varies\n　based on the angle and attack.
VolleyBall_03_00	What Else Could Happen?
VolleyBall_03_01	・As your volley continues,\n　you may experience some...\n　unexpected events.\n\n・These events could be literal\n　game changers, so beware!
SurvivalBattle_00	Two players take each other on in this split-screen\nmicrogame battle. The last knight standing wins!
SurvivalBattle_01_00	The Rules
SurvivalBattle_01_01	・Every time you fail a game, you lose a life.\n　The first player whose lives drop to 0 loses!\n\n・You can change the number of lives at stake\n　from 1 to 4 (and sometimes up to 8). Change\n   the number of lives based on your abilities\n　or hunger for a worthy challenge!
SurvivalBattle_02_00	Second Mode
SurvivalBattle_02_01	Lightning Round is a contest of speed!\nWhen one player beats a microgame, their\nopponent immediately fails and loses a life.
SurvivalBattle_02_02	You're not seeing double! Both players\ncompete using the same crew member.
SurvivalBattle_03_00	Sudden Death
SurvivalBattle_03_01	・If both players reach 0 lives at the same time,\n　then it's time for...Sudden Death!\n・The Sudden Death match is over as soon\n　as one of the players beats a microgame.
ContributionBattle_00	Two players try to beat a microgame together\nand compete to see who can contribute the most.
ContributionBattle_01_00	Effort Earns ★s
ContributionBattle_01_01	・When the players beat a microgame,\n　the judge will reward the player who\n　contributed the most with a ★.\n\n・If they cannot beat the game, the judge\n　smites the player who held the team back\n　and takes back a ★.\n\n・The first player to earn 5 ★s wins!
BalloonSplit_00	Take turns playing microgames inside the monitor\nwhile players outside inflate the balloon.\n\nDon't linger inside the screen for too long...\nWhoever's in there when the balloon pops loses!
BalloonSplit_01_00	Success!
BalloonSplit_01_01	Fail!
BalloonSplit_01_02	・Beat the microgame to\n　exit the monitor and\n　swap places with the\n　next player.
BalloonSplit_01_03	・If you fail, you've got to\n　play the next game.\n・You can't exit until you\n　beat a game!
BalloonSplit_02_00	Inflation Instructions
BalloonSplit_02_01	・There's more than one way to blow up a balloon!\n・Use each crew member's unique actions to\n　maximize balloon inflation.
PetitParty_00	Strategically place flags to\ncreate triangles, and compete\nto claim the biggest area.\n\nFace off against other players in\na different game each round.\nWhoever places first earns\nthe right to place their flag!
PetitParty_01_00	How to Play
PetitParty_01_01	1. Select a crew member\n2. Play that round's game\n3. Place flags to create triangles\n\nRepeat steps 1-3. The player whose\ntriangles encompass the largest area\nis declared the winner!
PetitParty_02_00	Learn the Games
PetitParty_02_01	・There are 12 types of games.\n\n・Choose your crew member wisely. Games that\n   are well suited to some crew members may be\n   more difficult with others, and vice versa.
PetitParty_02_02	Players with the fewest number of flags\nchoose their crew member first.
PetitParty_03_00	Triangulating
PetitParty_03_01	・The player who won the game\n　places a flag on the board.\n\n・When you've placed three or more\n　flags, you can make a triangle.\n\n・Hint: Create the biggest area\n　by making triangles over the\n　other players' triangles!
PetitScramble_00	Here's the deal. That thing with\nthe game inside is a hockey\npuck, and you're trying to hit it\ninto the goal.\n\nThe lucky player who scores the\ngoal gets to play the microgame.\n\nEveryone else does whatever\nthey can to prevent the player\nfrom beating the game!
PetitScramble_01_00	Go for Goal
PetitScramble_01_01	The puck changes color based on whoever touched\nit last. The game starts once it enters a goal.
PetitScramble_01_02	Goal
PetitScramble_01_03	Puck
PetitScramble_02_00	Get in the Way
PetitScramble_02_01	・While the player who scored\n　the goal tries to beat the game,\n　it's up to the other players to\n　make that as hard as possible.\n\n・Shake the screen! Roll the\n　screen! The goal is to\n　obstruct them at all costs.
PetitScramble_03_00	Win a ★
PetitScramble_03_01	・If the player beats the microgame, they earn\n　a ★. If they fail, then the ★ goes to the players\n　who were making all that trouble.\n\n・The winner is determined by which\n　player can collect ★s the fastest!
PetitScramble_03_02	If you're not good at a certain microgame,\nthen don't go for the goal that round.
CombatVirsus_00	Take control of your crew member, and fight hard.\nYou gotta stay in this game to win. And be on alert!\nCrew members change randomly throughout game.
CombatVirsus_01_00	Win Again and Again and Again
CombatVirsus_01_01	・Attack your opponents\n　to decrease their HP.\n\n・When a crew member's HP\n　runs out, they are retired.\n\n・The player with the highest HP\n　when time's up is the winner!
CombatVirsus_02_00	Sound waves momentarily\nparalyze nearby players.
CombatVirsus_02_01	Use this to increase attack\nand movement speed.
CombatVirsus_02_02	Shields can block attacks\nup to 4 times.
CombatVirsus_02_03	Summon a doppelgänger\nwho will copy your moves.
CombatVirsus_02_04	Release a cloud of stink\nto damage opponents.
CombatVirsus_02_05	Bombs result in some major\ndamage. Going off in 5...4...
CombatVirsus_02_06	Special Items
CombatVirsus_03_00	Surprising Stages
CombatVirsus_03_01	・Each stage has its own unique\n　surprises in store.\n\n・Use them to your advantage\n　in the thick of battle.
WC_Main	Each week, you'll be surprised\nwith a new Challenge.\n\nTest yourself with a variety of games\nhandpicked for each Challenge\nto earn super-awesome rewards!\n\nWant to get ranked? Connect to the\ninternet to join the Rankings system.
WC_Howto_00_00	How to Play
WC_Howto_00_01	There are 2 types of Challenges:\nTimed Attack and Score Attack.
WC_Howto_00_02	Timed Attack
WC_Howto_00_03	This competition's all about how fast you can clear a certain\nnumber of microgames. Better keep winning, because\nwhenever you lose, time is added back to your counter.
WC_Howto_00_04	Score Attack
WC_Howto_00_05	You'll earn points for every microgame you clear. Everyone\ncompetes for the highest total score at the end of the game.
WC_Howto_01_00	・Here's how your score will be\ntallied in a Score Attack game:
WC_Howto_01_01	・Base Score
WC_Howto_01_02	Determined by the crew member's Job Title.
WC_Howto_01_03	・Game Speed
WC_Howto_01_04	Faster microgames yield higher scores.
WC_Howto_01_05	・Game Level
WC_Howto_01_06	There are 3 levels of difficulty. The harder the\nlevel, the higher your score.
WC_Howto_01_07	Score = Base Score × Level × Speed
WC_Howto_02_00	・In some Challenges, you'll pick your own crew.\n　Crew members' base scores will change based on\n　their difficulty rating for each Challenge.
WC_Howto_02_01	A lower difficulty\nrating means that\ncrew member is\nwell suited to that\nparticular Challenge.
WC_Howto_02_02	A higher difficulty\nrating tells you that\nparticular Challenge\nis harder for that\ncrew member.
WC_Howto_02_03	Default Score
WC_Howto_02_04	×
WC_Howto_02_05	Difficulty Rating
WC_Howto_02_06	↓
WC_Howto_02_07	How the base score is calculated!
WC_Howto_02_08	{key[Key|Half]}
WC_Howto_02_09	{key[Key|Half]}
WC_Howto_02_10	{key[Key|Half]}
WC_Multi_00	Double Play
WC_Multi_01	・For some Challenges, you'll\n　have to control 2 crew\n　members with 1 controller.
WC_Ranking_00_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} Let's Talk Rankings!
WC_Ranking_00_01	{[0201|CD00]}・Turn on Ranked Mode if you want to\n   use the internet to participate in\n   Global Rankings and see how your\n　friends stack up compared to you.\n\n・Select the {color[#1DFFFF00]}{/color} button to\n   connect to the internet.
WC_Ranking_00_02	   Nintendo Switch Online membership\n   is required to turn on Ranked Mode.
WC_Ranking_01_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} Challenge Period
WC_Ranking_01_01	・Each Challenge Period\n  lasts for 1 week.\n\n・Upload your personal record\n  during that time to participate\n  in ranked games.
WC_Ranking_02_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} Prize Time
WC_Ranking_02_01	・Once the Challenge Period for ranked\n  games is over, connect to the internet\n  to check the results and receive rewards.\n\n・You will only be able to check the\n  results for 1 week after they are\n  announced, so don't procrastinate!
Present_00	The Emporium is now open!\n\nBuy items on sale, or visit\nthe Cluckade to collect all\nkinds of Prezzies.
Present_01_00	Everyone Loves Prezzies!
Present_01_01	Earn Job Points when\nyou give out Prezzies\nin the Break Room.\n\nYour crew member's Job Title\ncould improve depending on\nhow many points you earn.
Present_01_02	Rare Prezzies or Prezzies\nthe crew member really\nlikes will earn extra points!
Present_02_00	Climbing the Ladder
Present_02_01	Great things await those who\nreach higher Job Titles!
Present_02_02	・Earn more crew colors\n・Unlock special artwork\n・Increase your Wario Cup\n　score more easily
Present_02_03	Giving Prezzies is its own reward!
Movie.wmbt
Wario_00	Start! Start! Start!
Seikatsu_00	Mona's House
Seikatsu_01	Mona's Pets
Seikatsu_02	Mona's Boomerang
Seikatsu_03	Next Day
Seikatsu_04	Be good!
Seikatsu_05	Oh no!
Seikatsu_06	Behave!
Fantasy_00	Dribble & Spitz's\nOutta This World Tour
Technology_00	Dr. Crygor's Top Secret Factory
Technology_01	Flatterbot Test: INITIATED
Technology_02	Flatterbot Test: FAILED
Technology_03	Not again!
Nintendo_00	9-Volt's House
Nintendo_01	Epic Augmented Reality Game
Nintendo_02	Quiet!
Nintendo_03	She's coming!
Ikimono_00	Sleepytown Village
Ikimono_01	Prepare for ninja spell...
Ikimono_02	PUPPETRY!
Ikimono_03	NAP TIME!
Ikimono_04	STAR POWER!
Ikimono_05	Ninja spell...
Ikimono_06	LION'S ROAR!
Ikimono_07	Let's get him!
Ikimono_08	You got it, Sis!
Sport_00	Feelin' Groovy Fitness
Sport_01	Start the music!
Tabemono_00	Ashley's Mansion
Tabemono_01	Dinnertime.
Tabemono_02	OK! I'm on it!
Culture_00	Around the World with Orbulon
Culture_01	Greetings!
Culture_02	My travel show begins!
Culture_03	Goro Desert
Culture_04	Takechiko City
Culture_05	Ohlaka Island
