Bonus.wmbt
Coin_Player_1P	{key[Bonus_Coin_1P|Half]}
Coin_Player_2P	{key[Bonus_Coin_2P|Half]}
Explanation.wmbt
Lifting_00	操作角色不停地\n挑球以避免球\n落下来的游戏。
Lifting_01_00	场地的变化
Lifting_01_01	场地会随着时间而发生变化，\n对球会产生各种各样的影响！\n\n不要被打乱节奏，\n继续挑球吧。
Lifting_02_00	两人以上玩的时候
Lifting_02_01	·如果玩家不去挑\n　和自己同样颜色的球，\n　那挑球的次数\n　就不会被计算！\n\n·大家互相帮助，\n　不要让球掉下来。
CombatMob_00	不断打倒袭来的敌人，\n挑战打倒人数的游戏。\n体力为0时，游戏结束。
CombatMob_01_00	打倒头目吧
CombatMob_01_01	·不断打倒敌人，\n　头目就会出现。\n\n·头目比其他敌人\n　要难对付，\n　但打败后可以回复\n　少量自己的体力。
SuperWarioCo_00	作为瓦力欧公司的员工，\n去完成各处的业务吧。\n这是精疲力竭也不会结束的\n横向卷轴游戏。
SuperWarioCo_01_00	去提升营业额吧
SuperWarioCo_01_01	·别被袭来的营业上的劲敌打败，\n　向着公司前进吧！\n·到达公司后，营业额就会计算在内。\n·收集到合同，或是转换角色，\n　营业额就会提升！
SuperWarioCo_01_02	劲敌
SuperWarioCo_01_03	合同
SuperWarioCo_01_04	转换角色砖块
SuperWarioCo_02_00	合同
SuperWarioCo_02_01	·收集到的合同\n　会跟在玩家的身后。\n·全部收集到后，就能获得合同奖励！\n·如果遇到营业上的劲敌，\n　合同会被抢走，要小心哦！
VolleyBall_00	玩家会分为两支队伍进行排球比赛。\n可以使用远程道具，而且随便触球几次都可以。\n总之，把球打到对手的球场上吧。
VolleyBall_01_00	把球打回去吧
VolleyBall_01_01	·球落到自己的球场上，\n　或是没能在倒数5秒内\n　把球打回去，\n　就算失分！\n\n·先失分6次的队伍输！
VolleyBall_02_00	打出杀球吧
VolleyBall_02_01	·倒数到3秒以内时，\n　球就会开始积蓄力量。\n\n·积蓄力量时，\n　如果击球，就能杀球！\n\n·按照击球角度和攻击方式的不同，\n　杀球的强度也会有所变化！
VolleyBall_03_00	会发生什么呢？
VolleyBall_03_01	·不断轮流击球的话，\n　就会发生各种突发情况。\n\n·根据突发情况的不同，\n　局势会发生很大变化……！？
SurvivalBattle_00	分成2个画面，两人玩相同游戏的游戏，\n活到最后的玩家就算赢。
SurvivalBattle_01_00	基本规则
SurvivalBattle_01_01	·如果游戏失败，生命数会减少1！\n　生命率先为0的玩家就算输！\n\n·每个玩家生命数可以在\n　1～4（或是1～8）的范围内分别调整！\n　配合双方的实力来调整吧！
SurvivalBattle_02_00	模式的差异
SurvivalBattle_02_01	《比速度对战》就是要比拼速度！\n只要有一方的玩家先完成游戏，\n另一方就无法玩到最后，\n会被判为失败，生命数减少！
SurvivalBattle_02_02	两人也可以使用相同的角色对战，\n来一场硬碰硬的胜负。
SurvivalBattle_03_00	决胜局
SurvivalBattle_03_01	·两人的生命数同时为0时，\n　就会进入决胜局！\n·在决胜局中，只要有一方\n　先完成游戏，就会决出胜负！
ContributionBattle_00	两人玩相同的游戏，\n比拼谁更努力。
ContributionBattle_01_00	好好努力获得★吧
ContributionBattle_01_01	·游戏成功时，神明大人会把★\n　送给更努力的玩家！\n\n·游戏失败时，则会从拖后腿的\n　玩家手上没收★！\n\n·先拿到5颗★的玩家获胜！
BalloonSplit_00	大家轮流进入监视器中玩游戏。\n其余玩家在监视器外面\n不停地让气球膨胀。\n\n气球破裂的时候，\n还在监视器里的玩家就算输。
BalloonSplit_01_00	游戏成功
BalloonSplit_01_01	游戏失败
BalloonSplit_01_02	·玩家可以离开监视器，\n　和下一位玩家交换！
BalloonSplit_01_03	·再玩1次游戏。\n·游戏成功前无法离开！
BalloonSplit_02_00	气球机关
BalloonSplit_02_01	·让气球膨胀的机关\n　有很多种类！\n·使用角色特有的动作，\n　可以让气球膨胀很多！
PetitParty_00	通过插上旗子，\n制作大量的三角形，\n比拼面积的大小。\n\n在对战游戏中，\n第1名的玩家\n能插上一面旗子。
PetitParty_01_00	游戏的流程
PetitParty_01_01	1. 选择要使用的角色。\n2. 进行对战游戏。\n3. 插上旗子，制作三角形。\n\n重复1～3的步骤，\n制作出最大面积的\n玩家获胜！
PetitParty_02_00	挑战对战游戏
PetitParty_02_01	·对战游戏共有12种。\n\n·根据游戏的不同，\n　会有擅长和不擅长该游戏的角色，\n　请仔细考虑后选择角色吧。
PetitParty_02_02	旗子少的玩家可以先选择\n想要用的角色。
PetitParty_03_00	制作三角形
PetitParty_03_01	·在对战游戏中赢了的玩家\n　可以在游戏盘上插上旗子。\n\n·插上3面以上旗子后，\n　就可以制作三角形。\n\n·在其他玩家的地盘上\n　制作三角形，\n　以最大的面积为目标吧！
PetitScramble_00	将装有游戏的游戏球\n像打曲棍球那样\n打进球门里吧。\n把球打进球门的玩家\n可以玩那个游戏。\n\n其他玩家要趁机干扰，\n让玩游戏的玩家失败。
PetitScramble_01_00	把游戏球打进球门吧
PetitScramble_01_01	游戏球的颜色会和最后碰到它的玩家颜色相同！\n打进球门后，游戏就会开始！
PetitScramble_01_02	球门
PetitScramble_01_03	游戏球
PetitScramble_02_00	干扰对方吧
PetitScramble_02_01	·把游戏球打进球门的玩家\n　正在玩游戏的时候，\n　其他玩家可以在外围\n　进行干扰！\n\n·像是摇晃或滚动画面……\n　总之，不停地干扰，\n　让对方游戏失败吧！
PetitScramble_03_00	赢得★吧
PetitScramble_03_01	·玩游戏的玩家成功的话，\n　会得到★，但如果失败的话，\n　干扰的玩家会得到★！\n·先收集完★的玩家获胜！
PetitScramble_03_02	遇到不擅长的游戏时，故意不把球打进球门，\n也是一种策略。
CombatVirsus_00	操作角色进行战斗吧！\n活到最后的玩家获胜。\n操作的角色会在中途随机转换。
CombatVirsus_01_00	活到最后吧
CombatVirsus_01_01	·攻击对手，\n　减少对方的体力吧！\n\n·没有体力的角色\n　就会被淘汰！\n\n·时间用尽时，\n　剩下体力最多的\n　玩家获胜！
CombatVirsus_02_00	用音波让周围的\n玩家动弹不得！
CombatVirsus_02_01	攻击和移动的\n速度会提升！
CombatVirsus_02_02	用护盾可以抵挡\n最多4次攻击！
CombatVirsus_02_03	叫出能和自己\n做出相同动作的分身！
CombatVirsus_02_04	释放出给对手\n造成伤害的恶臭烟雾！
CombatVirsus_02_05	会在5秒后爆炸！\n被炸到的话会受到很大伤害！
CombatVirsus_02_06	道具的效果
CombatVirsus_03_00	关卡的机关
CombatVirsus_03_01	·根据关卡的不同，\n　会设置极具特色的机关！\n\n·好好利用，\n　让自己战斗时更有优势吧！
WC_Main	按照每周更新的题目\n来玩游戏。\n\n挑战各种各样的题目，\n获得豪华奖励吧。\n\n连接到互联网后，\n还可以参加排行榜。
WC_Howto_00_00	游玩方法
WC_Howto_00_01	题目里有计时赛和计分赛\n2种游玩方法。
WC_Howto_00_02	计时赛
WC_Howto_00_03	会比拼过关指定数量的游戏所需要的时间。\n失败的话，时间会增加！
WC_Howto_00_04	计分赛
WC_Howto_00_05	每过关一个游戏就会获得分数。\n游戏结束时会比拼合计分数。
WC_Howto_01_00	·在计分赛中，过关游戏时\n　会按照这种方式计算分数。
WC_Howto_01_01	·基础分
WC_Howto_01_02	根据角色的职务等级而定。
WC_Howto_01_03	·游戏的速度
WC_Howto_01_04	速度越快，分数越高。
WC_Howto_01_05	·游戏的等级
WC_Howto_01_06	共有3个等级。越难分数越高。
WC_Howto_01_07	分数 ＝ 基础分 × 等级 × 速度
WC_Howto_02_00	·在可以选择角色的题目中，\n　根据角色倍率的不同，\n　游戏内使用的基础分会变化。
WC_Howto_02_01	角色倍率较低的角色\n比较擅长这个题目。
WC_Howto_02_02	角色倍率较高的角色\n比较不擅长这个题目。
WC_Howto_02_03	原本的基础分
WC_Howto_02_04	×
WC_Howto_02_05	角色倍率
WC_Howto_02_06	↓
WC_Howto_02_07	这会决定游戏中要使用的基础分！
WC_Howto_02_08	{key[Key|Half]}
WC_Howto_02_09	{key[Key|Half]}
WC_Howto_02_10	{key[Key|Half]}
WC_Multi_00	同时操作2个角色
WC_Multi_01	·也有题目需要用\n　1个手柄同时控制\n　2个角色。
WC_Ranking_00_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} 参加排行榜吧
WC_Ranking_00_01	{[0201|CD00]}·开启排行榜模式后，\n　使用互联网，就能和世界上的玩家\n　玩家参加排行榜，\n　或是查看好友排行榜。\n\n·选择带有{color[#1DFFFF00]}{/color}标记的按钮，\n　连接互联网。
WC_Ranking_00_02	※要开启排行榜模式，\n　需要加入Nintendo Switch Online。
WC_Ranking_01_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} 排行榜的期间
WC_Ranking_01_01	·可以参加题目排行榜的\n　“挑战期间”是一星期。\n\n·在挑战期间内\n　登录自己的记录吧。
WC_Ranking_02_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} 公布结果
WC_Ranking_02_01	·排行榜的挑战期间结束后，\n　可以查看最终结果。\n　连接互联网，\n　确认结果，领取奖励吧。\n\n·公布结果一星期之后，\n　就无法再查看最终结果了。\n　不要忘记确认哦。
Present_00	礼物店开放了。\n\n购买发售中的东西，\n或是转动扭扭转蛋，\n来收集礼物吧。
Present_01_00	把礼物送给角色吧。
Present_01_01	在角色房间内\n赠送礼物后，\n能积蓄职务点数。\n\n根据点数，\n角色的职务会提升！
Present_01_02	赠送稀有的礼物\n或是角色喜爱的礼物，\n就能获得更多的点数！
Present_02_00	职务提升的话……？
Present_02_01	职务提升的话，会有很多好处！
Present_02_02	·角色的可以更改的颜色会增加。\n·可以获得特别的插画。\n·在瓦力欧杯中，分数更容易提升。
Present_02_03	试着不断赠送礼物吧。
Movie.wmbt
Wario_00	“游戏开始！！！”
Seikatsu_00	莫娜的家
Seikatsu_01	莫娜兹
Seikatsu_02	莫娜回旋镖
Seikatsu_03	第二天
Seikatsu_04	“我出门了！”
Seikatsu_05	“哦不！”
Seikatsu_06	“我出门了！”
Fantasy_00	德利博与斯皮茨的一飞冲天行星旅行
Technology_00	克莱格博士的秘密工厂
Technology_01	赞赞机器人
Technology_02	“重新制作！”
Technology_03	“为、为什么！？”
Nintendo_00	九伏特的家
Nintendo_01	有趣的AR游戏
Nintendo_02	“嘘！”
Nintendo_03	“妈妈来了！！”
Ikimono_00	乡巴村
Ikimono_01	“忍术”
Ikimono_02	“傀儡术！”
Ikimono_03	“忍术·化解之术！”
Ikimono_04	双胞胎手里剑
Ikimono_05	“忍术”
Ikimono_06	“幻术！”
Ikimono_07	“上，安娜！”
Ikimono_08	“好的，姐姐！”
Sport_00	肌肉力多俱乐部
Sport_01	“音乐开始！”
Tabemono_00	鬼屋
Tabemono_01	“小红魔，上！”
Tabemono_02	“哦！”
Culture_00	奥布伦时间
Culture_01	“哈罗！”
Culture_02	“开始侵略地球！”
Culture_03	哥洛沙漠
Culture_04	竹取城市
Culture_05	奥卡拉岛
Culture_06	瓦力欧的家
Culture_07	“各位！”
Culture_08	“请尽情玩我收集的东西！”
Culture_09	“不错，不错！”
Culture_10	“再来一点，再来一点。”
Opening_00	钻石城市
Opening_01	《蹦罗》热卖中！
Opening_02	瓦力欧的公司
