Bonus.wmbt
Coin_Player_1P	{key[Bonus_Coin_1P|Half]}
Coin_Player_2P	{key[Bonus_Coin_2P|Half]}
Explanation.wmbt
Lifting_00	這個遊戲是要\n操作角色持續挑球，\n不讓球掉下來。
Lifting_01_00	場地的變化
Lifting_01_01	隨著時間經過，場地會發生變化，\n並對球產生各式各樣的影響喔！\n\n小心別被打亂步調，\n持續挑球吧。
Lifting_02_00	兩人以上遊玩時
Lifting_02_01	‧如果球的顏色\n　跟挑球玩家的顏色不同，\n　那次挑球就不會列入計算喔！\n\n‧兩人互相合作吧，\n　別讓球掉下來囉。
CombatMob_00	在這個遊戲中，敵人會不斷來襲，\n玩家要挑戰自己能打倒幾個敵人。\n如果體力歸０的話，就算遊戲結束。
CombatMob_01_00	打倒頭目吧
CombatMob_01_01	‧只要不斷打倒敵人\n　頭目就會出現。\n\n‧頭目會比其他敵人\n　更難對付，\n　但只要打倒他，\n　就可以恢復少量體力喔！\n\n挑戰看看自己的極限吧！
SuperWarioCo_00	化身為瓦利歐公司的員工\n去跑業務吧。\n這是個橫向卷軸遊戲，\n直到精疲力盡前都不會結束喔。
SuperWarioCo_01_00	讓營業額提升吧
SuperWarioCo_01_01	‧注意別被營業勁敵們陷害，\n　朝公司前進吧！\n‧只要抵達公司，營業額就會列入計算。\n‧收集到契約或是轉換角色時，\n　營業額就會提升！
SuperWarioCo_01_02	勁敵
SuperWarioCo_01_03	契約
SuperWarioCo_01_04	轉換角色磚塊
SuperWarioCo_02_00	契約
SuperWarioCo_02_01	‧拿到契約後\n　它就會跟在玩家身後。\n‧收集到全部的契約，就能獲得契約獎勵！\n‧如果撞到營業勁敵，\n　契約就會被搶走，要小心喔！
VolleyBall_00	遊戲中會分成兩組隊伍進行排球比賽。\n可以使用遠程道具，而且不管碰到球幾次都行，\n總之就把球打回對手的球場內吧。
VolleyBall_01_00	把球打回去吧
VolleyBall_01_01	‧當球掉到自己的球場裡，\n　或是沒有在倒數５秒內\n　把球打回去的話，\n　就算失分！\n\n‧先失分６次的隊伍\n　就算落敗！
VolleyBall_02_00	使出殺球吧
VolleyBall_02_01	‧秒數倒數到３時，\n　球就會開始累積力量喔。\n\n‧在累積力量的情況下擊球，\n　就能使出殺球！\n\n‧隨著碰觸角度和攻擊方式不同\n　殺球的威力也會產生變化喔！
VolleyBall_03_00	會有什麼事發生嗎？
VolleyBall_03_01	‧就在雙方繼續輪流擊球時，\n　會發生各式各樣的突發狀況喔。\n\n‧在不同的突發狀況下，\n　戰局可能會大轉變……！？
SurvivalBattle_00	畫面會分隔成２邊，兩人要遊玩同樣的遊戲，\n生存到最後的玩家就算勝出。
SurvivalBattle_01_00	基本規則
SurvivalBattle_01_01	‧如果在遊戲中失敗，生命就會減少１！\n　生命先變為０的玩家就算落敗！\n\n‧每個玩家的生命數可以在１～４\n　（或者１～８）的範圍內個別調整喔！\n　配合雙方的實力來設定吧！
SurvivalBattle_02_00	不同模式的差異
SurvivalBattle_02_01	在「比速度對戰」中就是要比速度！\n只要有其中一名玩家先完成遊戲，\n另一名玩家就會無法遊玩到最後，\n而會直接被判為失敗，讓生命減少喔！
SurvivalBattle_02_02	兩人也可以使用相同的角色對戰，\n來場硬碰硬的比賽。
SurvivalBattle_03_00	決勝局
SurvivalBattle_03_01	‧要是兩名玩家的生命同時變為０\n　遊戲就會進入決勝局！\n‧在決勝局中，只要有一方先完成遊戲\n　就會立刻分出勝負！
ContributionBattle_00	兩名玩家要玩相同的遊戲，\n較量彼此的努力程度。
ContributionBattle_01_00	努力獲得★吧
ContributionBattle_01_01	‧完成遊戲時，神明就會把★\n　送給比較努力的玩家喔！\n\n‧遊戲失敗時，則會從扯後腿的玩家手上\n　沒收★喔！\n\n‧先拿到５顆★的玩家就算勝出！
BalloonSplit_00	大家要輪流進到螢幕裡玩遊戲，\n剩下的玩家則要在螢幕外面\n不停幫氣球灌氣，讓氣球膨脹。\n\n如果氣球爆炸，\n在螢幕裡的玩家就算落敗。
BalloonSplit_01_00	完成遊戲時
BalloonSplit_01_01	遊戲失敗時
BalloonSplit_01_02	‧玩家就可以從螢幕中出來，\n　並跟下一名玩家\n　進行交換喔！
BalloonSplit_01_03	‧玩家必須再玩一次遊戲。\n‧直到完成遊戲\n　才能從螢幕中出來！
BalloonSplit_02_00	氣球機關
BalloonSplit_02_01	‧讓氣球膨脹的機關\n　有各式各樣不同的種類喔！\n‧使用角色特有的動作，\n　就能讓氣球大幅膨脹！
PetitParty_00	遊戲中可以插上旗子，\n圍出許多三角形。\n玩家要互相較量旗子圍出的\n三角形面積大小。\n\n在對戰遊戲中，\n贏得第１名的玩家\n可以插上一面旗子。
PetitParty_01_00	遊戲的流程
PetitParty_01_01	１‧選擇要使用的角色。\n２‧進行對戰遊戲。\n３‧插上旗子，圍出三角形。\n\n重複１～３的步驟，\n圍出總面積最大的玩家\n就算勝出！
PetitParty_02_00	挑戰對戰遊戲
PetitParty_02_01	‧對戰遊戲全部有１２種。\n\n‧隨著遊戲不同，\n　會有擅長跟不擅長該遊戲的角色，\n　請仔細思考，選擇要用的角色吧。
PetitParty_02_02	旗子比較少的玩家\n可以先選擇要使用的角色喔。
PetitParty_03_00	圍出三角形
PetitParty_03_01	‧在對戰遊戲中勝利的玩家\n　可以在遊戲盤插上旗子。\n\n‧只要插上３面以上的旗子，\n　就可以圍出三角形。\n\n‧在其他玩家的三角形上\n　圍出新的三角形，\n　以拿下最大面積為目標吧！
PetitScramble_00	用打曲棍球的方式\n將內有遊戲的遊戲球\n打進球門裡吧。\n先將遊戲球打進球門裡的玩家\n就可以玩遊戲球裡的遊戲。\n\n其他玩家則要趁機干擾\n正在玩遊戲的玩家，\n好讓遊戲失敗。
PetitScramble_01_00	將球打進球門裡吧
PetitScramble_01_01	遊戲球的顏色會跟最後碰到它的玩家顏色相同！\n將球打進球門後，遊戲就會開始！
PetitScramble_01_02	球門
PetitScramble_01_03	遊戲球
PetitScramble_02_00	干擾對方吧
PetitScramble_02_01	‧當進球的玩家在進行遊戲時，\n　其它玩家可以\n　從旁進行干擾喔！\n\n‧像是去搖晃或滾動畫面……\n　總之要不停地干擾，\n　好讓遊戲失敗喔！
PetitScramble_03_00	贏得★吧
PetitScramble_03_01	‧玩遊戲的玩家完成遊戲時可以獲得★，\n　但要是失敗的話，\n　就變成來干擾的玩家獲得★喔！\n\n‧最先集齊★的玩家就算勝出！
PetitScramble_03_02	遇到不擅長的遊戲時，故意不把球打進球門\n也是一種策略喔。
CombatVirsus_00	操作角色進行戰鬥吧！\n存活到最後的玩家就算勝出。\n操作的角色會中途隨機轉換。
CombatVirsus_01_00	存活到最後吧
CombatVirsus_01_01	‧藉由攻擊對手\n　來減少對方的體力！\n\n‧體力耗盡的角色\n　就會被淘汰喔！\n\n‧一旦時間用完，\n　體力剩下最多的玩家\n　就算勝出！
CombatVirsus_02_00	可以用音波讓四周的玩家\n都動彈不得喔！
CombatVirsus_02_01	可以提高攻擊速度和\n移動速度喔！
CombatVirsus_02_02	這個護盾可以抵擋\n最多４次的攻擊喔！
CombatVirsus_02_03	可以叫出能跟自己\n做出相同動作的分身喔！
CombatVirsus_02_04	會釋放出惡臭煙霧，\n讓對手受到傷害喔！
CombatVirsus_02_05	它會在５秒後爆炸！\n被炸到的話會大幅受到傷害！
CombatVirsus_02_06	道具的效果
CombatVirsus_03_00	關卡的機關
CombatVirsus_03_01	‧隨著關卡不同，\n　裡頭會設有極具特色的機關喔！\n\n‧好好利用這些機關，\n　在戰局中取得優勢吧！
WC_Main	依照每週更新的題目\n來選擇遊玩的遊戲。\n\n挑戰各種不同的題目，\n獲得豪華獎勵吧。\n\n如果連接到網路，\n還可以參加排行榜喔。
WC_Howto_00_00	遊玩方式
WC_Howto_00_01	題目裡分成２種遊玩方式：\n時間挑戰賽和分數挑戰賽。
WC_Howto_00_02	時間挑戰賽
WC_Howto_00_03	較量將指定數量的遊戲過關所花的時間。\n萬一在遊戲中失敗，時間就會增加喔！
WC_Howto_00_04	分數挑戰賽
WC_Howto_00_05	每過關一個遊戲都會獲得分數。\n遊戲結束時，會以合計分數來較量排名。
WC_Howto_01_00	‧在分數挑戰賽中，遊戲過關時的分數\n　會用下面的方式來計算喔。
WC_Howto_01_01	‧基本分數
WC_Howto_01_02	會依據角色的職稱等級而定。
WC_Howto_01_03	‧遊戲的速度
WC_Howto_01_04	遊戲速度越快，分數越高。
WC_Howto_01_05	‧遊戲的等級
WC_Howto_01_06	總共有３個等級，遊戲等級越難，分數越高。
WC_Howto_01_07	分數 ＝ 基本分數 × 等級 × 速度
WC_Howto_02_00	‧在可以選擇角色的題目中，\n　遊戲中使用的基本分數\n　會依角色倍率而改變喔。
WC_Howto_02_01	角色倍率較低的角色\n表示比較擅長這道題目
WC_Howto_02_02	角色倍率較高的角色\n表示比較不擅長這道題目
WC_Howto_02_03	原始的基本分數
WC_Howto_02_04	×
WC_Howto_02_05	角色倍率
WC_Howto_02_06	↓
WC_Howto_02_07	這樣就決定遊戲中使用的基本分數了！
WC_Howto_02_08	{[0206|005A0064]}{key[Key|Half]}{/0206}
WC_Howto_02_09	{[0206|005A0064]}{key[Key|Half]}{/0206}
WC_Howto_02_10	{[0206|005A0064]}{key[Key|Half]}{/0206}
WC_Multi_00	同時操作２名角色
WC_Multi_01	‧有些題目會需要\n　用一個控制器\n　同時操控２個角色喔。
WC_Ranking_00_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} 參加排行榜吧
WC_Ranking_00_01	{[0201|CD00]}‧只要開啟排行榜模式，\n　就可以使用網路和全世界的勁敵\n　一起參加排行榜，\n　還可以查看朋友排行榜喔。\n\n‧選擇旁邊有{color[#1DFFFF00]}{/color}標記的按鈕\n　就可以連接到網路。
WC_Ranking_00_02	{[0200|2828F100]}※要開啟排行榜模式\n　需要先加入Nintendo Switch Online。
WC_Ranking_01_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} 排行榜的期間
WC_Ranking_01_01	‧能參加排行榜的\n　「挑戰期間」為一星期。\n\n‧在挑戰期間內 \n　將自己的記錄登錄上去吧。
WC_Ranking_02_00	{[0201|CD00]}{color[#1DFFFF00]}{/color} 結果發表
WC_Ranking_02_01	‧當排行榜的挑戰期間結束，\n　就可以查看最終結果。\n　請連接網路，確認排行榜結果\n　並領取獎勵吧。\n\n‧在結果發表一週之後，\n　就無法查看最終結果了，\n　別忘了去確認喔。
Present_00	禮物店開放了。\n\n購買販售中的商品，\n或是轉動扭扭轉蛋\n來收集禮物吧。
Present_01_00	將禮物贈送給角色吧
Present_01_01	在角色房間內\n贈送禮物給角色，\n就可以累積職稱點數喔。\n\n角色的職稱\n會隨著點數提升！
Present_01_02	贈送越稀有的禮物或是\n角色越喜歡的禮物，\n能獲得的點數\n就會增加喔！
Present_02_00	職稱提升的話……？
Present_02_01	職稱提升的話會有很多好處！
Present_02_02	‧角色在更改顏色時會有更多選擇。\n‧可以獲得特別的插畫。\n‧在瓦利歐盃中的分數更容易提升。
Present_02_03	試著多多贈送禮物給角色吧。
Movie.wmbt
Wario_00	「遊戲開始！！！」
Seikatsu_00	莫娜的家
Seikatsu_01	莫娜茲
