AchieveList.msbt
AchieveListCategoriesHeroKirby	能力
AchieveListNameHeroKirbyWhip	鞭子
AchieveListNameHeroKirbyCutter	弯刀
AchieveListNameHeroKirbySword	利剑
AchieveListNameHeroKirbyNinja	忍者
AchieveListNameHeroKirbyParasol	阳伞
AchieveListNameHeroKirbyHammer	锤子
AchieveListNameHeroKirbyBeam	光束
AchieveListNameHeroKirbyFighter	格斗家
AchieveListNameHeroKirbyBomb	炸弹
AchieveListNameHeroKirbySniper	狙击手
AchieveListNameHeroKirbyBeetle	独角仙
AchieveListNameHeroKirbyBell	铜铃
AchieveListNameHeroKirbyArtist	艺术家
AchieveListNameHeroKirbyWrestler	蒙面摔角手
AchieveListNameHeroKirbyYoyo	溜溜球
AchieveListNameHeroKirbyStick	如意棒
AchieveListNameHeroKirbyWater	清水
AchieveListCategoriesHeroFriends	搭档
AchieveListNameHeroFriendsMetaknight	魅塔骑士
AchieveListNameHeroFriendsKingDedede	帝帝帝大王
AchieveListNameHeroFriendsBandanaWaddledee	头巾瓦豆鲁迪
AchieveListNameHeroFriendsGooey	蛊依
AchieveListNameHeroFriendsMahoroa	魔法洛亚
AchieveListCategoriesGear	稀有帽子
AchieveListNameGearWhipRare1	黑色牛仔帽
AchieveListNameGearWhipRare2	怪盗洛切帽
AchieveListNameGearCutterRare1	弯刀骑士头盔
AchieveListNameGearCutterRare2	庞克摇滚莫西干
AchieveListNameGearSwordRare1	剑骑士帽盔
AchieveListNameGearSwordRare2	究极剑复制品
AchieveListNameGearSwordRare3	炎剑露啾造型
AchieveListNameGearSwordRare4	英雄利剑帽子
AchieveListNameGearNinjaRare1	白头巾
AchieveListNameGearNinjaRare2	武士兜帽
AchieveListNameGearParasolRare1	油纸伞
AchieveListNameGearParasolRare2	塞昆托·女王阳伞
AchieveListNameGearHammerRare1	黑铁之锤
AchieveListNameGearHammerRare2	逆袭之锤·改
AchieveListNameGearBeamRare1	魔噜酷之帽子
AchieveListNameGearBeamRare2	魔法洛亚帽
AchieveListNameGearBeamRare3	冰斧基斯造型
AchieveListNameGearFighterRare1	格斗护头
