AchieveList.msbt
AchieveListCategoriesHeroKirby	能力
AchieveListNameHeroKirbyWhip	鞭子
AchieveListNameHeroKirbyCutter	彎刀
AchieveListNameHeroKirbySword	利劍
AchieveListNameHeroKirbyNinja	忍者
AchieveListNameHeroKirbyParasol	陽傘
AchieveListNameHeroKirbyHammer	錘子
AchieveListNameHeroKirbyBeam	光束
AchieveListNameHeroKirbyFighter	格鬥家
AchieveListNameHeroKirbyBomb	炸彈
AchieveListNameHeroKirbySniper	狙擊手
AchieveListNameHeroKirbyBeetle	獨角仙
AchieveListNameHeroKirbyBell	銅鈴
AchieveListNameHeroKirbyArtist	藝術家
AchieveListNameHeroKirbyWrestler	蒙面摔角手
AchieveListNameHeroKirbyYoyo	溜溜球
AchieveListNameHeroKirbyStick	如意棒
AchieveListNameHeroKirbyWater	清水
AchieveListCategoriesHeroFriends	搭檔
AchieveListNameHeroFriendsMetaknight	魅塔騎士
AchieveListNameHeroFriendsKingDedede	帝帝帝大王
AchieveListNameHeroFriendsBandanaWaddledee	頭巾瓦豆魯迪
AchieveListNameHeroFriendsGooey	蠱依
AchieveListNameHeroFriendsMahoroa	魔法洛亞
AchieveListCategoriesGear	稀有帽子
AchieveListNameGearWhipRare1	黑色牛仔帽
AchieveListNameGearWhipRare2	怪盜洛切帽
AchieveListNameGearCutterRare1	彎刀騎士頭盔
AchieveListNameGearCutterRare2	龐克搖滾莫西干
AchieveListNameGearSwordRare1	劍騎士帽盔
AchieveListNameGearSwordRare2	究極劍複製品
AchieveListNameGearSwordRare3	炎劍露啾造型
AchieveListNameGearSwordRare4	英雄利劍帽子
AchieveListNameGearNinjaRare1	白頭巾
AchieveListNameGearNinjaRare2	武士兜帽
AchieveListNameGearParasolRare1	油紙傘
AchieveListNameGearParasolRare2	塞昆托‧女王陽傘
AchieveListNameGearHammerRare1	黑鐵之錘
AchieveListNameGearHammerRare2	逆襲之錘‧改
AchieveListNameGearBeamRare1	魔嚕酷之帽子
AchieveListNameGearBeamRare2	魔法洛亞帽
AchieveListNameGearBeamRare3	冰斧基斯造型
AchieveListNameGearFighterRare1	格鬥護頭
AchieveListNameGearFighterRare2	戈力犽斯頭
AchieveListNameGearBombRare1	心心炸彈帽
AchieveListNameGearBombRare2	海盜帽
AchieveListNameGearSniperRare1	獵手帽子
AchieveListNameGearSniperRare2	科技帽子
AchieveListNameGearBeetleRare1	盔角蟲頭
