A0.asset
A0_1023_PIKACHU_100_1000	鋼鎧鴉那傢伙，\n竟然把我重要的帽子給帶走了。
A0_1023_PIKACHU_100_2000	開什麼玩笑……\n走，我們去拿回來！
A0_1023_PIKACHU_100_3000	嗯？那是什麼？
A0_1023_PIKACHU_100_4000	喂，提姆！快來這邊！
A0_1030_PIKACHU_100_1000	提姆！快來這邊！
A0_1047_TIM_100_1000	我們得把這本記事本\n送還給霍華德市長。
A0_1047_PIKACHU_100_1000	是啊，但現在要緊的是追上鋼鎧鴉！
A0_1047_TIM_100_2000	嗯。走吧，皮卡丘！
A0_1055_NONAMEBUTLER_100_1000	嗯～該怎麼辦呢……
A0_1055_TIM_100_1000	怎麼回事！？
A0_1055_PIKACHU_100_1000	這下不得了了……！
A0_1070_TIM_100_1000	豆豆鴿暈過去了！？
A0_1070_NONAMEBUTLER_100_1000	你別碰牠。\n要是移動牠的身體，會很危險的。
A0_1070_PIKACHU_100_1000	嘿，那邊那位大個頭的人！\n豆豆鴿是發生了什麼事？
A0_1070_NONAMEBUTLER_100_2000	這下傷腦筋了……\n那招也不管用……
A0_1070_PIKACHU_100_2000	喂～！你有在聽我說話嗎？
A0_1070_NONAMEBUTLER_100_3000	我說！快帶你的皮卡丘去避難，\n別讓牠皮卡皮卡地叫了。
A0_1125_NONAMEBUTLER_100_1000	又得追蹤鋼鎧鴉，又得引導居民避難……\n但是也不能放著豆豆鴿不管。
A0_1125_PIKACHU_100_1000	喂！到底是發生了什麼事！？
A0_1130_TIM_100_1000	皮卡丘，冷靜下來。
A0_1130_TIM_100_2000	你說的話就其他人聽來，\n就只是「皮卡皮卡」而已。
A0_1130_TIM_100_3000	能跟你對話的就只有我喔。
A0_1130_PIKACHU_100_1000	說得是……\n我看到豆豆鴿這樣，心急就忘了。
A0_1130_PIKACHU_100_2000	提姆，拜託了，\n去問問那個大個頭的人吧。
A0_1135_TIM_100_1000	請問……發生了什麼事嗎？
A0_1135_NONAMEBUTLER_100_1000	嗯？哦，你是那個偵探……
A0_1135_TIM_100_2000	我是提姆，這是我的搭檔皮卡丘。
A0_1135_BUTLER_100_2000	我是寶可夢保護局的巴特勒。\n然後牠是警察的救護組派來的差不多娃娃。
A0_1135_TABUNNE_100_1000	差不多……
A0_1135_BUTLER_100_3000	有什麼話之後再說，\n現在要先救豆豆鴿。
A0_1135_BUTLER_100_4000	牠似乎是被鋼鎧鴉掀起的風給吹飛，\n然後失去了意識。
A0_1135_BUTLER_100_5000	雖然靠差不多娃娃的招式治好了牠的傷，\n但是牠沒有醒來。
A0_1135_TABUNNE_100_2000	差不多……
