A0.asset
A0_1023_PIKACHU_100_1000	アーマーガアのヤツ\nオレの　だいじなぼうしを\nもっていっちまった
A0_1023_PIKACHU_100_2000	ふざけやがって……　とりもどしにいくぞ！
A0_1023_PIKACHU_100_3000	ん？　ありゃなんだ？
A0_1023_PIKACHU_100_4000	おい　ティム！　こっちにきてくれ！
A0_1030_PIKACHU_100_1000	ティム　こっちにきてくれ！
A0_1047_TIM_100_1000	この　てちょう\nあとでハワードしちょうに　とどけなきゃ
A0_1047_PIKACHU_100_1000	ああ　だが　いまは　アーマーガアだ！
A0_1047_TIM_100_2000	そうだね　いこう　ピカチュウ！
A0_1055_NONAMEBUTLER_100_1000	うーむ　どうしたものか……
A0_1055_TIM_100_1000	なんだっ！？
A0_1055_PIKACHU_100_1000	こりゃ　たいへんだ……！
A0_1070_TIM_100_1000	マメパトが　たおれてる！？
A0_1070_NONAMEBUTLER_100_1000	キミ　さわらないでくれ\nからだをうごかすと　キケンだからな
A0_1070_PIKACHU_100_1000	おい　そこの　デカイあんた！\nマメパトに　なにがあったんだ？
A0_1070_NONAMEBUTLER_100_2000	さて　こまったぞ……\nあれもダメだったし……
A0_1070_PIKACHU_100_2000	おーい！　きいてるのか？
A0_1070_NONAMEBUTLER_100_3000	キミ！　ピカピカいわせてないで\nピカチュウをつれて　はやくひなんするんだ
A0_1125_NONAMEBUTLER_100_1000	アーマーガアついせきに\nじゅうみんの　ひなんゆうどう……　だが\nマメパトを　ほうっておくわけにはいかない
A0_1125_PIKACHU_100_1000	おい！　なにがあったっていうんだ！？
A0_1130_TIM_100_1000	ピカチュウ　おちついて
A0_1130_TIM_100_2000	ほかのひとには　ピカチュウのことばは\nピカピカとしか　きこえないんだから
A0_1130_TIM_100_3000	ピカチュウと　かいわできるのは\nぼくだけだよ
A0_1130_PIKACHU_100_1000	そうだった……\nマメパトをみて　つい　あせってな
A0_1130_PIKACHU_100_2000	ティム　たのむぜ\nそこのデカイおとこに　きいてくれ
A0_1135_TIM_100_1000	あの……　なにがあったんですか？
A0_1135_NONAMEBUTLER_100_1000	ん？　ああ　キミはたんていの……
A0_1135_TIM_100_2000	ティムです\nそれと　あいぼうのピカチュウ
A0_1135_BUTLER_100_2000	わたしは　ポケモンほごきょくのバトラーだ\nそして　けいさつのきゅうごはん　から\nきた　タブンネ
A0_1135_TABUNNE_100_1000	タブンネ……
A0_1135_BUTLER_100_3000	こまかいはなしは　あとにしよう\nいまは　マメパトきゅうじょが　ゆうせんだ
A0_1135_BUTLER_100_4000	アーマーガアが　おこした　かぜに\nふきとばされて　きを　うしなったようだ
A0_1135_BUTLER_100_5000	タブンネのわざで　ケガは　なおったんだが\nめを　さまさないんだ
A0_1135_TABUNNE_100_2000	タブンネ……
A0_1135_OHPOLICEWOMAN01_100_1000	バトラーきょくちょう！\nじゅうみんのみなさんは　ぜんいん\nぶじの　ようです！
A0_1135_BUTLER_100_6000	うむ！　ごくろう！
A0_1135_BUTLER_100_7000	さて　ひなんゆうどうを　すすめたい\nところだが　きぜつしたマメパトを\nほうっては　おけないな……
A0_1135_BUTLER_100_8000	たんていくん\nキミたちも　はやく　ひなんしたまえ
A0_1135_TIM_100_3000	バトラーさん！
A0_1135_TIM_100_4000	ぼくたちに　マメパトのきゅうじょを\nてつだわせてください
A0_1135_TIM_100_5000	かならず　マメパトが　めをさます\nほうほうを　みつけだします！
