ActorType\ArmorHead.msbt
Armor_015_Head_Name	Hylian Hood
Armor_015_Head_Desc	A hood woven using traditional Hyrulean\nmethods, made from sturdy material.\nA Great Fairy has increased its defense\nto the maximum level.
Armor_004_Head_Name	Hylian Hood
Armor_004_Head_Desc	A hood woven using traditional Hyrulean\nmethods, made from sturdy material.\nA Great Fairy has increased its defense\nby three levels.
Armor_003_Head_Name	Hylian Hood
Armor_003_Head_Desc	A hood woven using traditional Hyrulean\nmethods, made from sturdy material.\nA Great Fairy has increased its defense\nby two levels.
Armor_002_Head_Name	Hylian Hood
Armor_002_Head_Desc	A hood woven using traditional Hyrulean\nmethods, made from sturdy material.\nA Great Fairy has increased its defense\nby one level.
Armor_001_Head_Name	Hylian Hood
Armor_001_Head_Desc	A hood woven using traditional Hyrulean \nmethods. It's made from a sturdy material\nto protect travelers from the harsh\nsun and weather.
Armor_098_Head_Name	Soldier's Helm
Armor_098_Head_Desc	Sturdy headgear for protecting frontline\nsoldiers from vicious monsters. Praised for its\nsuperior defense. A Great Fairy has\nincreased its defense to its maximum level.
Armor_097_Head_Name	Soldier's Helm
Armor_097_Head_Desc	Sturdy headgear for protecting frontline\nsoldiers from vicious monsters. Praised for its\nsuperior defense. A Great Fairy has\nincreased its defense by three levels.
Armor_096_Head_Name	Soldier's Helm
Armor_096_Head_Desc	Sturdy headgear for protecting frontline\nsoldiers from vicious monsters. Praised for its\nsuperior defense. A Great Fairy has\nincreased its defense by two levels.
Armor_095_Head_Name	Soldier's Helm
Armor_095_Head_Desc	Sturdy headgear for protecting frontline\nsoldiers from vicious monsters. Praised for its\nsuperior defense. A Great Fairy has\nincreased its defense by one level.
Armor_020_Head_Name	Soldier's Helm
Armor_020_Head_Desc	Headgear made from sturdy metals for\nfrontline soldiers. Praised for their defensive\ncapabilities, the only helms that remain are\nthose that survived the Calamity.
Armor_140_Head_Name	Amber Earrings
Armor_140_Head_Desc	Earrings made with amber, a gem that\nharnesses the power of the land to increase\nyour defense. A Great Fairy has increased\ntheir defense to its maximum level.
Armor_139_Head_Name	Amber Earrings
Armor_139_Head_Desc	Earrings made with amber, a gem that\nharnesses the power of the land to increase\nyour defense. A Great Fairy has increased\ntheir defense by three levels.
Armor_138_Head_Name	Amber Earrings
Armor_138_Head_Desc	Earrings made with amber, a gem that\nharnesses the power of the land to increase\nyour defense. A Great Fairy has increased\ntheir defense by two levels.
Armor_137_Head_Name	Amber Earrings
Armor_137_Head_Desc	Earrings made with amber, a gem that\nharnesses the power of the land to increase\nyour defense. A Great Fairy has increased\ntheir defense by one level.
Armor_029_Head_Name	Amber Earrings
Armor_029_Head_Desc	One of the items sold by the Gerudo jeweler.\nThese earrings are made with amber, a gem\nthat harnesses the power of the land to\nincrease defense when equipped.
Armor_124_Head_Name	Ruby Circlet
Armor_124_Head_Desc	A traditional Gerudo headpiece. It's set with\na ruby, which uses the power of fire to make\nthe cold more bearable. A Great Fairy\nincreased its defense to its maximum level.
Armor_123_Head_Name	Ruby Circlet
Armor_123_Head_Desc	A traditional Gerudo headpiece. It's set with\na ruby, which harnesses the power of fire to\nmake the cold more bearable. A Great\nFairy increased its defense by three levels.
Armor_122_Head_Name	Ruby Circlet
Armor_122_Head_Desc	A traditional Gerudo headpiece. It's set with\na ruby, which harnesses the power of fire to\nmake the cold more bearable. A Great\nFairy has increased its defense by two levels.
Armor_121_Head_Name	Ruby Circlet
Armor_121_Head_Desc	A traditional Gerudo headpiece. It's set with\na ruby, which harnesses the power of fire to\nmake the cold more bearable. A Great\nFairy has increased its defense by one level.
Armor_025_Head_Name	Ruby Circlet
Armor_025_Head_Desc	A headpiece made by Gerudo craft workers.\nIt's set with a ruby, a gem that harnesses\nthe power of fire to make cold climates\nmore bearable.
Armor_073_Head_Name	Snowquill Headdress
Armor_073_Head_Desc	A Rito accessory made from snow-bird\nfeathers. Adorned with a ruby, a gem that\nharnesses the power of fire. A Great Fairy\nincreased its defense to its maximum level.
Armor_072_Head_Name	Snowquill Headdress
Armor_072_Head_Desc	A Rito accessory made from snow-bird\nfeathers. Adorned with a ruby, a gem that\nharnesses the power of fire. A Great Fairy\nhas increased its defense by three levels.
Armor_071_Head_Name	Snowquill Headdress
Armor_071_Head_Desc	A Rito accessory made from snow-bird\nfeathers. Adorned with a ruby, a gem that\nharnesses the power of fire. A Great Fairy\nhas increased its defense by two levels.
Armor_036_Head_Name	Snowquill Headdress
Armor_036_Head_Desc	A Rito accessory made from snow-bird\nfeathers. Adorned with a ruby, a gem that\nharnesses the power of fire. A Great Fairy\nhas increased its defense by one level.
Armor_009_Head_Name	Snowquill Headdress
Armor_009_Head_Desc	A Rito accessory made from snow-bird\nfeathers. It's adorned with a ruby, a gem\nthat harnesses the power of fire to make\ncold climates more tolerable.
Armor_128_Head_Name	Sapphire Circlet
Armor_128_Head_Desc	A Gerudo headpiece set with a sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nincreased its defense to its maximum level.
Armor_127_Head_Name	Sapphire Circlet
Armor_127_Head_Desc	A Gerudo headpiece set with a sapphire,\nwhich harnesses the power of ice to make\nthe heat more bearable. A Great Fairy\nhas increased its defense by three levels.
