english_dlp_adventure_note.txt
DLP_adventure_note_001_00	Your Adventure Begins
DLP_adventure_note_001_01	You are about to enter a world where you will\tembark on a grand adventure of your very own.
DLP_adventure_note_001_02	Speak to people and check things wherever you\tgo, be it in towns, roads, or caves. Gather\tinformation and hints from every possible source.
DLP_adventure_note_001_03	New paths will open to you when you help people\tin need, overcome challenges, and solve mysteries.
DLP_adventure_note_001_04	At times, you will be challenged by others to a\tbattle. At other times, wild creatures may stand\tin your way. By overcoming such hurdles, you\twill gain great power.
DLP_adventure_note_001_05	However, your adventure is not solely about\tbecoming powerful.
DLP_adventure_note_001_06	On your travels, we hope that you will meet\tcountless people and, through them,\tachieve personal growth.\tThis is the most important objective of\tthis adventure.
DLP_adventure_note_002_00	The Guidebook
DLP_adventure_note_002_01	This \t<color=#F01E1EFF>\tGuidebook \t</color>\texplains how to use various\tfunctions, facilities, and items that will help you\ton your journey.\tMore content will be added to the \t<color=#F01E1EFF>\tGuidebook \t</color>\tas\tyou progress through your adventure.\tThe \t<color=#F01E1EFF>\tGuidebook \t</color>\tcan be found in the \t<color=#F01E1EFF>\tKey Items\t</color>\tpocket of your \t<color=#F01E1EFF>\tBag\t</color>\t, and you can check it at\tany time.
DLP_adventure_note_003_00	The Menu
DLP_adventure_note_003_01	Press the \t<color=#F01E1EFF>\tX Button\t</color>\t to open the \t<color=#F01E1EFF>\tmenu\t</color>\t. From there,\tyou can either open your \t<color=#F01E1EFF>\tBag \t</color>\tto use items or press\tthe \t<color=#F01E1EFF>\tR Button\t</color>\t to \t<color=#F01E1EFF>\tsave\t</color>\t your progress.\tMore functions will be added to the \t<color=#F01E1EFF>\tmenu \t</color>\tas your\tadventure continues.
DLP_adventure_note_004_00	The Pokédex
DLP_adventure_note_004_01	Professor Rowan has entrusted you with the task of\tcompleting your \t<color=#F01E1EFF>\tPokédex\t</color>\t. Each time you catch a\tnew Pokémon, its information will be\tautomatically recorded.\tSelect \t<color=#F01E1EFF>\tPokédex \t</color>\tfrom the menu to view your registries.
DLP_adventure_note_004_02	Your Pokédex stores all sorts of \t<color=#F01E1EFF>\tdata \t</color>\tabout each\tPokémon you add to it, including its category,\tappearance, type, and gender ratios.\tYou can also select \t<color=#F01E1EFF>\tHabitat \t</color>\tto see where a\tPokémon lives in the wild.
DLP_adventure_note_004_03	While on the \t<color=#F01E1EFF>\tCry \t</color>\tscreen of a Pokédex entry,\tyou can listen to that Pokémon’s cry.\tShaking the \t<color=#F01E1EFF>\tJoy-Con\t</color>\t allows you to hear different\tsounds, like added reverberation or a chorus\teffect, so be sure to try it out.
DLP_adventure_note_005_00	Pokémon Centers
DLP_adventure_note_005_01	There are \t<color=#F01E1EFF>\tPokémon Centers\t</color>\t all over the\tSinnoh region.\tVisit a Pokémon Center to restore your tired\tPokémon to full health. These facilities are easily\trecognizable by their distinctive red roofs.
DLP_adventure_note_005_02	You can use the \t<color=#F01E1EFF>\tPC \t</color>\tlocated in every \t<color=#F01E1EFF>\tPokémon\tCenter \t</color>\tto access the \t<color=#F01E1EFF>\tPokémon Storage System\t</color>\t.\tFrom there, you can move your Pokémon into\tand out of \t<color=#F01E1EFF>\tBoxes\t</color>\t.
DLP_adventure_note_006_00	Pokémon Boxes
DLP_adventure_note_006_01	You can use \t<color=#F01E1EFF>\tPokémon Boxes\t</color>\t to swap Pokémon in\tyour party for Pokémon you left at a Pokémon\tCenter’s PC.\tTo access the Boxes, select \t<color=#F01E1EFF>\tPokémon \t</color>\tfrom the\tmenu and then press the \t<color=#F01E1EFF>\tR Button\t</color>\t.
DLP_adventure_note_007_00	The Pokétch
DLP_adventure_note_007_01	The \t<color=#F01E1EFF>\tPokétch\t</color>\t is a convenient and cutting-edge\tgadget designed to help out Trainers on their\tadventures. There are various Pokétch apps\tyou can use, such as the Digital Watch app\tand the Calculator app.
DLP_adventure_note_007_02	To use your \t<color=#F01E1EFF>\tPokétch\t</color>\t, first press the \t<color=#F01E1EFF>\tR Button\t</color>\t.\tPress \t<color=#F01E1EFF>\tR Button\t</color>\t again to enlarge or reduce\tthe screen size.\tUse the \t<color=#F01E1EFF>\tLeft Stick\t</color>\t to move the finger cursor,\tand press the \t<color=#F01E1EFF>\tA Button\t</color>\t, or directly touch the\tscreen, to control your apps.\tToggle through your apps with the \t<color=#F01E1EFF>\tred button\t</color>\t\ton the right side.\tPress and hold the \t<color=#F01E1EFF>\tR Button\t</color>\t to close the Pokétch.
DLP_adventure_note_007_03	You will receive new Pokétch apps as you interact\twith the many people you’ll meet across Sinnoh.\tSome of these apps are necessary to continue on\tyour adventure, so be sure to search far and wide\tfor them.
DLP_adventure_note_008_00	Hidden Moves
