simp_chinese_dlp_adventure_note.txt
DLP_adventure_note_001_00	什么是冒险？
DLP_adventure_note_001_01	你将成为即将开始的世界的主人公，\t并踏上冒险的旅程。
DLP_adventure_note_001_02	尝试去和街角、房子里、道路上、草丛中、\t又或是洞窟以及森林里……\t各种地方的人们多多交流吧。
DLP_adventure_note_001_03	通过助人为乐\t或是解开谜题，\t新的道路就会为你而开。
DLP_adventure_note_001_04	有时，有些人会向你提出挑战。\t又或者会遇到一些野生的生物\t阻碍你前行。\t战胜他们后，你就会逐渐变强。
DLP_adventure_note_001_05	不过你的冒险目的，\t并不仅是一味变强而已。
DLP_adventure_note_001_06	在旅途中去接触各式各样的人，\t促使你的自我成长。\t这才是本次冒险的最大目的。
DLP_adventure_note_002_00	冒险笔记
DLP_adventure_note_002_01	这本\t<color=#F01E1EFF>\t冒险笔记\t</color>\t中\t记载了一些有助于冒险的功能、\t设施以及道具等的使用方式。\t内容会随着你的\t冒险进展逐渐增加。\t<color=#F01E1EFF>\t冒险笔记\t</color>\t放在了\t<color=#F01E1EFF>\t包包\t</color>\t的\t<color=#F01E1EFF>\t重要物品\t</color>\t内，\t随时可以拿出来翻阅。
DLP_adventure_note_003_00	菜单
DLP_adventure_note_003_01	按下\t<color=#F01E1EFF>\tＸ键\t</color>\t能够打开\t<color=#F01E1EFF>\t菜单\t</color>\t。\t在\t<color=#F01E1EFF>\t菜单\t</color>\t的\t<color=#F01E1EFF>\t包包\t</color>\t里能使用道具，\t而在\t<color=#F01E1EFF>\t菜单\t</color>\t中按下\t<color=#F01E1EFF>\tＲ键\t</color>\t就可以写下\t<color=#F01E1EFF>\t记录\t</color>\t了。\t随着冒险的进行，\t<color=#F01E1EFF>\t菜单\t</color>\t中还会逐渐增加新的功能。
DLP_adventure_note_004_00	宝可梦图鉴
DLP_adventure_note_004_01	山梨博士拜托你的事，\t那就是完成\t<color=#F01E1EFF>\t宝可梦图鉴\t</color>\t。\t每当你遇到新种类的宝可梦，\t它就会被自动记录进图鉴里。\t从菜单中选择\t<color=#F01E1EFF>\t图鉴，\t</color>\t就能查看已经被记录的宝可梦了。
DLP_adventure_note_004_02	在图鉴中可以确认宝可梦的分类、外观、\t属性以及性别等所有宝可梦的相关信息。\t另外，还能从分布中了解到它们的栖息地。
DLP_adventure_note_004_03	在叫声画面可以听到宝可梦的叫声。\t挥动Joy-Con，就能听到那只宝可梦的叫声。\t改变挥动方式，叫声会变得模糊，\t或许还能同时听到很多叫声。\t请一定要试试看。
DLP_adventure_note_005_00	宝可梦中心
DLP_adventure_note_005_01	神奥地区各地都设有\t<color=#F01E1EFF>\t宝可梦中心\t</color>\t。\t那里能够使受伤的宝可梦恢复活力。\t红色房顶就是这个设施的标志。
DLP_adventure_note_005_02	你可以将自己的宝可梦\t寄放在\t<color=#F01E1EFF>\t宝可梦中心\t</color>\t的\t<color=#F01E1EFF>\t电脑盒子\t</color>\t里。\t所寄放的宝可梦可以从\t任何\t<color=#F01E1EFF>\t宝可梦中心\t</color>\t的\t<color=#F01E1EFF>\t电脑\t</color>\t中取出来。
DLP_adventure_note_006_00	宝可梦盒
DLP_adventure_note_006_01	使用\t<color=#F01E1EFF>\t宝可梦盒\t</color>\t就能将同行的宝可梦与寄放在\t宝可梦中心电脑中的宝可梦替换。\t从菜单中选择\t<color=#F01E1EFF>\t宝可梦\t</color>\t后按下\t<color=#F01E1EFF>\tＲ键\t</color>\t就能使用。
DLP_adventure_note_007_00	宝可表
DLP_adventure_note_007_01	<color=#F01E1EFF>\t宝可表\t</color>\t能够为宝可梦训练家\t提供很多冒险上的帮助，\t是个十分方便的最新型装置。\t包含数字时钟、计算器等各种不同的应用。
