bag
SS_bag_000	零花钱
SS_bag_001	[VAR 0206(0000)]
SS_bag_002	[VAR 0112(0000)]
SS_bag_004	[VAR 0109(0000)]
SS_bag_006	Lv.[VAR 0202(0000)]
SS_bag_007	[VAR 0102(0000)]
SS_bag_009	/
SS_bag_010	[VAR 0203(0000)]
SS_bag_011	[VAR 0203(0000)]
SS_bag_014	威力
SS_bag_015	[VAR 0202(0000)]
SS_bag_016	命中
SS_bag_017	[VAR 0202(0000)]
SS_bag_018	-
SS_bag_019	PP
SS_bag_020	[VAR 0201(0000)]
SS_bag_022	[VAR 0201(0000)]/[VAR 0201(0001)]
SS_bag_026	[VAR 0109(0000)]
SS_bag_028	×
SS_bag_029	[VAR 0202(0000)]
SS_bag_030	确定
SS_bag_031	返回
SS_bag_032	我的最爱
SS_bag_033	排序
SS_bag_034	空空如也
SS_bag_035	要用于哪只宝可梦？
SS_bag_036	[VAR 0102(0000)]\n和[VAR 0107(0001)]不匹配！\c\n[VAR 0107(0001)]是学不会的！
SS_bag_037	[VAR 0102(0000)]已经\n学会了[VAR 0107(0001)]。
SS_bag_038	启动了招式学习器！[VAR BE05(0009)][VAR BE05(0000)]
SS_bag_039	[VAR 0102(0000)]\n学会了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_040	[VAR 0102(0000)]想要学习\n[VAR 0107(0001)]……\c\n为了学习[VAR 0107(0001)]，\n要忘记其他的招式吗？
SS_bag_041	１[WAIT 20]，２[WAIT 20]…[WAIT 20]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]把[VAR 0107(0001)]的\n使用方法忘得干干净净了！\c\n于是……！\c\n[VAR 0102(0000)]学会了\n[VAR 0107(0002)]！[VAR BE05(0004)][VAR BE05(0001)]
SS_bag_042	[VAR 0102(0000)]没有学习\n[VAR 0107(0001)]就结束了！
SS_bag_043	为了学习[VAR 0107(0000)]，\n请选择要忘记的招式！
SS_bag_044	启动招式记录。
SS_bag_045	招式学习器\n只能使用一次。
SS_bag_046	[VAR 0107(0000)]的\n招式学习器已消失。
SS_bag_047	招式学习器将会消失，\n确认要继续吗？
SS_bag_048	是
SS_bag_049	否
SS_bag_050	[VAR FF00(0002)]能学习！[VAR FF00(0000)]
SS_bag_051	[VAR FF00(0001)]不能学[VAR FF00(0000)]
SS_bag_052	[VAR FF00(0000)]已学会[VAR FF00(0000)]
SS_bag_053	[VAR FF00(0002)]能使用[VAR FF00(0000)]
SS_bag_054	[VAR FF00(0001)]不能使用[VAR FF00(0000)]
SS_bag_065	[VAR 0202(0000)]
SS_bag_066	×
SS_bag_067	[VAR 0206(0000)]
SS_bag_068	收购价
SS_bag_069	那么，我用[VAR 0206(0000)]\n跟您收购吧。\c\n可以吗？
SS_bag_070	是
SS_bag_071	否
SS_bag_072	---
SS_bag_073	要卖出多少个[VAR 0109(0000)]？
SS_bag_074	无法收购[VAR 0109(0000)]。
SS_bag_075	给出[VAR 0109(0000)]，\n拿到了[VAR 0206(0001)]。
SS_bag_076	给出[VAR 0109(0000)]，\n拿到了[VAR 0206(0001)]。
SS_bag_077	类型排序
SS_bag_078	名称排序
SS_bag_079	NEW
SS_bag_080	编号排序
SS_bag_081	我的最爱
SS_bag_082	退出
SS_bag_083	要按什么顺序排列？
SS_bag_084	按类型排序整理了持有物！
SS_bag_085	按名称排序整理了持有物！
SS_bag_086	按编号排序整理了持有物！
SS_bag_087	将我的最爱整理到列表上方了！
SS_bag_088	将新获得的持有物\n整理到列表上方了！
SS_bag_089	使用
SS_bag_090	携带
SS_bag_096	取消
SS_bag_098	[VAR 0102(0000)]的体力回复了[VAR 0202(0001)]！
SS_bag_099	[VAR 0102(0000)]恢复了活力！
SS_bag_100	[VAR 0102(0000)]的毒消失得干干净净！
SS_bag_101	[VAR 0102(0000)]身体的麻痹状态消除了！
SS_bag_102	[VAR 0102(0000)]的灼伤治愈了！
SS_bag_103	[VAR 0102(0000)]身体的冰融化了！
SS_bag_104	[VAR 0102(0000)]醒过来了！
SS_bag_105	[VAR 0102(0000)]变得健康了！
SS_bag_106	[VAR 0102(0000)][VAR 010D(0001)]的\n基础点数上升了！
SS_bag_107	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数降低了！
SS_bag_108	[VAR 0102(0000)]\n和你的亲密度已经最高了！\c\n[VAR 010D(0001)]的基础点数降低了！
SS_bag_109	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数不再降低！
SS_bag_110	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！
SS_bag_111	之前使用的喷雾效果还留着！
SS_bag_112	让宝可梦携带了[VAR 0109(0000)]！
SS_bag_113	收回了[VAR 0109(0000)]，\n让宝可梦携带了[VAR 0109(0001)]！
SS_bag_115	即便使用也无效果哦。
SS_bag_346	查看内容
SS_bag_117	没有宝可梦哦！
SS_bag_118	要用于哪只宝可梦？
SS_bag_119	要让哪只宝可梦携带？
SS_bag_120	蛋是无法携带的。
SS_bag_121	ＰＰ回复了！
SS_bag_122	要把[VAR 0109(0000)]\n替换成[VAR 0109(0001)]吗？
SS_bag_123	要回复哪个招式？
SS_bag_124	要增加哪个招式的ＰＰ？
SS_bag_125	[VAR 0107(0000)]的ＰＰ增加了！
SS_bag_126	包包已满，不能接收道具了！
SS_bag_128	ＰＰ回复了！
SS_bag_130	不能用于昏厥的宝可梦。
SS_bag_131	同行的宝可梦已满，无法分离。
SS_bag_135	[VAR 0107(0000)]
SS_bag_141	下来
SS_bag_142	无法与昏厥的宝可梦合体。
SS_bag_143	无法与那只宝可梦合体。
SS_bag_144	无法与蛋合体。
SS_bag_145	同行的宝可梦已满，无法分离。
SS_bag_146	[VAR 0101(0000)]变成其他样子了！
SS_bag_147	要和哪只宝可梦合体呢？
SS_bag_149	[VAR 0102(0000)]\n忘记了[VAR 0107(0001)]……
SS_bag_151	要改变[VAR 0102(0000)]的特性吗？
SS_bag_152	[VAR 0102(0000)]的特性\n变成了[VAR 0106(0001)]！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_153	攻击
SS_bag_154	防御
SS_bag_155	特攻
SS_bag_156	特防
SS_bag_157	速度
SS_bag_158	[VAR 0202(0000)]
SS_bag_159	+[VAR 0202(0000)]
SS_bag_160	HP
SS_bag_161	要改变[VAR 0102(0000)]的能力吗？
SS_bag_162	因[VAR 0109(0000)]的效果，\n[VAR 0102(0001)]的能力\r\n似乎发生了变化！[VAR BE05(0005)][VAR BE05(0001)]
SS_bag_163	要使用多少个[VAR 0109(0001)]？
SS_bag_165	要使用多少个[VAR 0109(0001)]？
