bag.dat
msg_ui_bag_okodukai_00	盘缠
msg_ui_bag_okodukai_01	[VAR 0206(0000,0000)]
msg_ui_bag_category	[VAR 0112(0000)]
msg_ui_bag_itemname	[VAR 0109(0000)]
msg_ui_bag_lv_00	Lv.[VAR 0202(0000)]
msg_ui_bag_pokename	[VAR 0102(0000)]
msg_ui_bag_hp_01	/
msg_ui_bag_hp_02	[VAR 0203(0000,0000)]
msg_ui_bag_hp_03	[VAR 0203(0000,0000)]
msg_ui_bag_wazamachine_power	威力
msg_ui_bag_wazamachine_power_00	[VAR 0202(0000)]
msg_ui_bag_wazamachine_hit	命中
msg_ui_bag_wazamachine_power_01	[VAR 0202(0000)]
msg_ui_bag_wazamachine_nodata	-
msg_ui_bag_wazamachine_pp	PP
msg_ui_bag_wazamachine_pp_00	[VAR 0201(0000)]
msg_ui_bag_pp_00	[VAR 0201(0000)]/[VAR 0201(0001)]
msg_ui_bag_itemname_list	[VAR 0109(0000)]
msg_ui_bag_itemcount_00	×
msg_ui_bag_itemcount_01	[VAR 0202(0000)]
msg_ui_bag_option_decision	确定
msg_ui_bag_option_return	返回
msg_ui_bag_option_favorite	我的最爱
msg_ui_bag_option_sort	整理腰包
msg_ui_bag_noitem	空空如也
msg_ui_bag_wazamashine_msg_00	要用于哪只宝可梦？
msg_ui_bag_wazamashine_msg_01	[VAR 0102(0000)]\n和[VAR 0107(0001)]不匹配！\c\n[VAR 0107(0001)]是学不会的！\c
msg_ui_bag_wazamashine_msg_02	[VAR 0102(0000)]已经\n学会了[VAR 0107(0001)]。\c
msg_ui_bag_wazamashine_msg_05	启动了招式学习器！\c
msg_ui_bag_wazamashine_msg_06	[VAR 0102(0000)]\n学会了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_07	[VAR 0102(0000)]想要学习\n[VAR 0107(0001)]……\c\n为了学习[VAR 0107(0001)]，\n要忘记其他的招式吗？
msg_ui_bag_wazamashine_msg_08	１[WAIT 20]，２[WAIT 20]…[WAIT 20]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]把[VAR 0107(0001)]的\n使用方法忘得干干净净了！\c\n于是……！\c\n[VAR 0102(0000)]学会了\n[VAR 0107(0002)]！[VAR BE05(0004)][VAR BE05(0001)]\c
msg_ui_bag_wazamashine_msg_09	[VAR 0102(0000)]没有学习\n[VAR 0107(0001)]就结束了！\c
msg_ui_bag_wazamashine_msg_10	为了学习[VAR 0107(0000)]，\n请选择要忘记的招式！\c
msg_ui_bag_wazamashine_msg_11	启动招式记录。\c
msg_ui_bag_wazamashine_msg_12	招式记录\n只能使用一次。\c
msg_ui_bag_wazamashine_msg_13	[VAR 0107(0000)]的\n招式记录已损坏。\c
msg_ui_bag_wazamashine_msg_14	招式记录将会损坏，\n确认要继续吗？
msg_ui_bag_wazamashine_msg_15	是
msg_ui_bag_wazamashine_msg_16	否
msg_ui_bag_wazamashine_memory_00	[VAR FF00(0002)]能学习！[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_01	[VAR FF00(0001)]不能学[VAR FF00(0000)]
msg_ui_bag_wazamashine_memory_02	已学会
msg_ui_bag_tokuseicapsule_00	[VAR FF00(0002)]能使用[VAR FF00(0000)]
msg_ui_bag_tokuseicapsule_01	[VAR FF00(0001)]不能使用[VAR FF00(0000)]
msg_ui_bag_shop_01	[VAR 0202(0000)]
msg_ui_bag_shop_02	×
msg_ui_bag_shop_03	[VAR 0207(0000,0000)]
msg_ui_bag_shop_04	收购价
msg_ui_bag_shop_05	那么，我用[VAR 0207(0000,0000)]\n跟您收购吧。\c\n可以吗？
msg_ui_bag_shop_06	是
msg_ui_bag_shop_07	否
msg_ui_bag_shop_08	---
msg_ui_bag_shop_09	要卖出多少个[VAR 0109(0000)]？
msg_ui_bag_shop_10	无法收购[VAR 0109(0000)]。\c
msg_ui_bag_shop_11	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]。\c
msg_ui_bag_shop_11_s	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]。\c
msg_ui_bag_shop_12_01	[~ 57]
msg_ui_bag_shop_12_02	[~ 58]
msg_ui_bag_sort_00	类型排序
msg_ui_bag_sort_01	名称排序
msg_ui_bag_sort_02	NEW
msg_ui_bag_sort_03	编号排序
msg_ui_bag_sort_04	我的最爱
msg_ui_bag_sort_05	退出
msg_ui_bag_sort_msg_00	要按什么顺序排列？
msg_ui_bag_sort_msg_01	按类型排序整理了持有物！\c
msg_ui_bag_sort_msg_02	按名称排序整理了持有物！\c
msg_ui_bag_sort_msg_03	按编号排序整理了持有物！\c
msg_ui_bag_sort_msg_04	将我的最爱\n整理到列表上方了！\c
msg_ui_bag_sort_msg_05	将新获得的持有物\n整理到列表上方了！\c
msg_ui_bag_use	使用
msg_ui_bag_have	携带
msg_ui_bag_leave	取消
msg_ui_bag_use_msg_01	[VAR 0102(0000)]的体力回复了[VAR 0202(0001)]！\c
msg_ui_bag_use_msg_02	[VAR 0102(0000)]恢复了活力！\c
msg_ui_bag_use_msg_03	[VAR 0102(0000)]的毒消失得干干净净！\c
msg_ui_bag_use_msg_04	[VAR 0102(0000)]身体的麻痹状态消除了！\c
msg_ui_bag_use_msg_05	[VAR 0102(0000)]的灼伤治愈了！\c
msg_ui_bag_use_msg_06	[VAR 0102(0000)]身体的冰融化了！\c
msg_ui_bag_use_msg_08	[VAR 0102(0000)]醒过来了！\c
msg_ui_bag_use_msg_09	[VAR 0102(0000)]变得健康了！\c
msg_ui_bag_use_msg_10	[VAR 0102(0000)][VAR 010D(0001)]的\n基础点数上升了！\c
msg_ui_bag_use_msg_11	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数降低了！\c
msg_ui_bag_use_msg_12	[VAR 0102(0000)]\n和你的亲密度已经最高了！\c\n[VAR 010D(0001)]的基础点数降低了！\c
msg_ui_bag_use_msg_13	[VAR 0102(0000)]和你有点亲密了！\c\n[VAR 010D(0001)]的基础点数不再降低！\c
msg_ui_bag_use_msg_14	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_15	之前使用的喷雾效果还留着！\c
msg_ui_bag_use_msg_16	让宝可梦携带了[VAR 0109(0000)]！\c
msg_ui_bag_use_msg_17	收回了[VAR 0109(0000)]，\n让宝可梦携带了[VAR 0109(0001)]！\c
msg_ui_bag_use_msg_19	即便使用也无效果哦。\c
msg_ui_bag_use_msg_20	博士说过……\n[VAR 0100(0000)]！这种东西\r\n是要看场合来用的啊！\c
msg_ui_bag_use_msg_21	没有宝可梦哦！\c
msg_ui_bag_use_msg_22	要用于哪只宝可梦？
msg_ui_bag_use_msg_23	要让哪只宝可梦携带？
msg_ui_bag_use_msg_24	蛋是无法携带的。\c
msg_ui_bag_use_msg_25	ＰＰ回复了！\c
msg_ui_bag_use_msg_26	要把[VAR 0109(0000)]\n替换成[VAR 0109(0001)]吗？
msg_ui_bag_use_msg_27	要回复哪个招式？
msg_ui_bag_use_msg_28	要增加哪个招式的ＰＰ？
