MiscData.pak\TEXT_RequiredEntries.msbt
GEN_Inventory_Numbers	0123456789
GEN_SingleParam	\{0}
GEN_Versions	code:\{0} data:\{1}
Preload\MPR1\GuiSysMP1.pak\TEXT_CrashedShipAreaNames.msbt
[B2B4EED7]_000	Research Frigate Orpheon
[45824A25]_000	Deck Beta Conduit Hall
[F0A0E31D]_000	Deck Beta Security Hall
[CCC00015]_000	Deck Beta Transit Hall
[2CF7ADD2]_000	Biotech Research Area 1
[2834A136]_000	Biohazard Containment
[CFBB9D7A]_000	Reactor Access
[4026B776]_000	Save Station
[F0412CCA]_000	Reactor Core
[5232007D]_000	Main Ventilation Shaft Section A
[9B2D08C2]_000	Main Ventilation Shaft Section B
[6AF70D68]_000	Main Ventilation Shaft Section C
[ADE33280]_000	Cargo Freight Lift to Deck Gamma\n
[0238C356]_000	Frigate Access Tunnel
[622428A4]_000	Connection Elevator to Deck Beta
[84ACB1F8]_000	Hydro Access Tunnel
Preload\MPR1\GuiSysMP1.pak\TEXT_CraterAreaNames.msbt
[B8D3C667]_000	Impact Crater
[5856D93B]_000	Crater Tunnel A
[23485BD8]_000	Crater Tunnel B
[DF9C7D3C]_000	Crater Entry Point
[201FF947]_000	Phazon Core
[E531EDAF]_000	Phazon Infusion Chamber
[58FB8161]_000	Subchamber One
[856D58E4]_000	Subchamber Two
[F81E5EBC]_000	Subchamber Three
[25888739]_000	Subchamber Four
[BFE8F636]_000	Subchamber Five
[9842EBF7]_000	Metroid Prime Lair
[D5D8DD20]_000	Crater Missile Station
[3BBD6FB7]_000	Special Ending
Preload\MPR1\GuiSysMP1.pak\TEXT_IceWorldAreaNames.msbt
[F1ACE236]_000	Phendrana Drifts
[6F9B4863]_000	Phendrana Shorelines
[27157897]_000	Ice Ruins East
[4ED3BCD8]_000	Ice Ruins West
[2146196C]_000	Phendrana Canyon
[2BB2D46B]_000	Ruined Courtyard
[501C1B73]_000	Chapel of the Elders
[768CA684]_000	Chozo Ice Temple
[A31A61D3]_000	Control Tower
[2DACDF33]_000	Research Entrance
[71779F23]_000	Research Lab Hydra
[3BC68CD9]_000	Observatory
[1327ECF0]_000	Research Lab Aether
[3C28345E]_000	Research Core
[2A7752FD]_000	Frozen Pike
[5CB624E9]_000	Frost Cave
[A9374BD0]_000	Phendrana's Edge
[0E1EC680]_000	Hunter Cave
[832CFFC2]_000	Gravity Chamber
[8DF1AB6C]_000	Quarantine Cave
[3B5F7483]_000	Courtyard Access
[473E5158]_000	Shoreline Entrance
[BFFC1AEE]_000	Chamber Access
[22F3FB98]_000	Upper Edge Tunnel
[5E92DE43]_000	Courtyard Entryway
[C39D3F35]_000	Hunter Cave Access
[95098BC3]_000	Transport Access
[08066AB5]_000	Frost Cave Access
[321E3E44]_000	Storage Cave
[F942EDE1]_000	Security Cave
[E447DD59]_000	Quarantine Monitor
[54D106A6]_000	West Tower 
[D2457408]_000	East Tower
[6E69E7E2]_000	Map Station
[E8FD954C]_000	Save Station B
[74674F6E]_000	Specimen Storage
[E968AE18]_000	Ruins Entryway
[B607D038]_000	Lake Tunnel
[2198C111]_000	West Tower Entrance
[A70CB3BF]_000	Aether Lab Entryway
[6C50601A]_000	Lower Edge Tunnel
[715550A2]_000	Ice Ruins Access
[BA098307]_000	Temple Entryway
[3C9DF1A9]_000	Canyon Entryway
[F7C1220C]_000	Plaza Walkway
[069790D9]_000	Hydra Lab Entryway
[8CA504D8]_000	Pike Access
[6DCBC075]_000	Research Core Access
[F0C42103]_000	Observatory Access
[23A146E9]_000	Save Station C
[AB7D1A93]_000	Save Station A
[B48A4CEA]_000	Save Station D
[C0E2A999]_000	Chapel Tunnel
[218C6D34]_000	Quarantine Access
[BC838C42]_000	North Quarantine Tunnel
[5DED48EF]_000	South Quarantine Tunnel
[EAD47FF5]_000	Transport to Magmoor Caverns South
[F7D14F4D]_000	Transport to Magmoor Caverns West
Preload\MPR1\GuiSysMP1.pak\TEXT_InGame.msbt
[0552A456]_CombatVisor	Combat Visor
