Battle\COMMON.msbt
NOT_MOVE	正在觀察狀況……
PANIC	陷入恐慌而無法行動。
CHARM	看得入迷而無法行動。
CHARM_S	看小翼看得入迷了。
CHARM_M	被霧亞迷得神昏顛倒了。
SLEEP	睡著了……
REINFORCEMENT	援兵現身！
REINFORCEMENT_DIV	分身成２個了！
REINFORCEMENT_DIV2	分身成３個了！
REINFORCEMENT_DIV3	分身成４個了！
REINFORCEMENT_DIV4	解除了分身狀態。
POISON_RECOVERY	自中毒狀態回復了。
PANIC_RECOVERY	自混亂狀態回復了。
CHARM_RECOVERY	自魅惑狀態回復了。
SLEEP_RECOVERY	自睡眠狀態回復了。
CLOSE_RECOVERY	自封印狀態回復了。
STUN_RECOVERY	自昏厥狀態回復了。
ZOMBIE_RECOVERY	自殭屍狀態回復了。
MIND_RECOVERY	自心智波動狀態回復了。
S_CHARM_RECOVERY	自魅惑狀態回復了。
FRAME_RECOVERY	自燃燒狀態回復了。
CLOSE_MOVE	被封印了。
MP_LACK	ＥＰ不足……
DOGA_NOT_MOVE	正在尋找新的目標……
MES_US_UNIT_01	對敵方全體攻擊，我方全體ＨＰ全滿！
MES_US_UNIT_02	給予傷害、附加魅惑狀態並以大幅回復作結！
MES_US_UNIT_03	給予強力的打擊並回復ＨＰ與異常狀態！
MES_US_UNIT_04	進行攻擊並同時回復無法戰鬥的狀態！
MES_US_UNIT_05	分別給予敵方單體與全體大幅打擊。
MES_US_UNIT_06	給予敵方單體特大幅傷害！
MES_US_UNIT_07	給予敵方單體傷害！也附加中毒狀態唷！
MES_US_UNIT_08	給予敵方全體傷害，獲得ＳＰ！
MES_ES_1002_2	不覺得……口很渴嗎？
MES_ES_1003_3	熱血沸騰啊啊啊！
MES_ES_1006_1	我有點話想跟你說……
MES_ES_1008_1	要讓你見識……食之奧義嗎？
BTL_ATTR_WEAK	弱
BTL_ATTR_NOR	—
BTL_ATTR_RES	抗
BTL_ATTR_BLOCK	無
BTL_ATTR_REF	反
BTL_ATTR_DRAIN	吸
BTL_ATTR_UNKNOWN	？
BTL_INFO_ESCAPE	逃走
BTL_INFO_CHANGE	替換
BTL_CMD_ATTACK	以裝備的武器進行攻擊。（不會發動協奏。）
BTL_CMD_SKILL	使用已學會的幻影技能。
BTL_CMD_ITEM	使用持有道具。
BTL_CMD_GUARD	採取防禦姿勢，減少受到的傷害。回復微量ＥＰ。
BTL_CMD_TACTICS	向同伴指示作戰方針。
BTL_CMD_ESCAPE	從戰鬥中逃走。
BTL_CMD_CHANGE	替換成其他成員。
BTL_TAC_MES_1	個別指示
BTL_TAC_MES_2	減少使用技能
BTL_TAC_MES_3	重視回復
BTL_TAC_MES_4	重視防禦
BTL_TAC_MES_5	重視攻擊
BTL_TAC_MES_6	————
BTL_MAIN_TEXT_1	請選擇指示。
BTL_MAIN_TEXT_2	請選擇要替換的成員。
BTL_INFO_PARTY_ALL	我方全體
BTL_INFO_ENEMY_ALL	敵方全體
BTL_INFO_BUFATK	的攻擊力上升了。
BTL_INFO_DEBUF_ATK	的攻擊力下降了。
BTL_INFO_BUF_DEF	的防禦力上升了。
BTL_INFO_DEBUF_DEF	的防禦力下降了。
BTL_INFO_BUF_SPD	的命中、迴避上升了。
BTL_INFO_DEBUF_SPD	的命中、迴避下降了。
BTL_INFO_T_BARRIER	展開了物理無效的防護罩。
BTL_INFO_M_BARRIER	展開了魔法無效的防護罩。
BTL_INFO_T_KARN	展開了物理反彈的防護罩。
BTL_INFO_M_KARN	展開了魔法反彈的防護罩。
BTL_INFO_B_BARRIER	展開了異常狀態無效的防護罩。
BTL_INFO_PROTECT	擺出了掩護的姿勢。
BTL_INFO_COUNTER	擺出了反擊的姿勢。
BTL_INFO_PROVOKE	聚集了敵方的視線。
BTL_INFO_SNEAK	從敵方的視線中隱身了。
BTL_INFO_CHARGE	下次的物理攻擊將被強化。
BTL_INFO_CONCENT	下次的魔法攻擊將被強化。
BTL_INFO_GET_ITEM	\xd7\x0e\x02\0\x02\0\0　ＧＥＴ！
BTL_INFO_GET_MONEY	日元　ＧＥＴ！
BTL_INFO_OUT_STAGE	暫時被逐出了舞台。
BTL_INFO_IN_STAGE	來支援了。
BTL_INFO_CLENCH	撐下來了。
BTL_INFO_SERIAL	的連續行動。
BTL_INFO_ITEM_CUT	觸發節省消耗道具。
BTL_INFO_COST_CUT	觸發節省消耗ＥＰ。
BTL_INFO_ESCAPE_MSG	逃走了。
BTL_INFO_ATTR_CHANGE	的抗性改變了。
BTL_INFO_HP_AVERAGE	的ＨＰ被均分了。
BTL_INFO_TENKU	天空
BTL_INFO_GEKKOU	月光
BTL_INFO_TAIYO	太陽
BTL_INFO_ARROW_ICE	箭矢纏繞上了冰。
BTL_INFO_ARROW_FIRE	箭矢纏繞上了火焰。
BTL_INFO_ARROW_IRON	箭矢開始帶有鐵的光澤。
BTL_INFO_WARCRY	可進行連續行動。
BTL_INFO_TACTICS	要更改戰術嗎？
BTL_INFO_PANIC	陷入了混亂……
BTL_INFO_CHARM	被魅惑了……
BTL_INFO_ZOMBIE	正渴求著鮮血……
