AbilityList.msbt
$TownAbilityListAttackText	Power
$TownAbilityListMultiTapText	Rapid-Fire
$TownAbilityListTitleText	Evolution Types
Btn_Set	Set
Btn_Evolution	Evolve
Btn_Strengthen	Power Up
Blueprint_Name	{[0309|0000]} Blueprint
CopyAbility_StrengthenedName	{[0309|0000]}{[0109|0200]}{[0301|0000]}
$TownAbilityListBlueprintDetailText	Needed to Evolve:
$AbilityListDuringSetText	Currently Set
CopyAbility_Detail_Bomb	Hold down the button to aim and throw.\nGot it? Hold, aim, throw! Throw, hit, BOOM!\nYou can run and throw them too, or roll them\nahead of you to get an explosive strike!
CopyAbility_Detail_ChainBomb	Chain your bombs together to explode all of\nthem at once! Hold the button down, aim,\nand throw to place them. The more bombs\nyou connect, the more damage they'll do!
CopyAbility_Detail_SearchBomb	Toss a homing bomb, then watch it get to\nwork! It'll patrol the area until it spots an\nenemy, then race toward them and explode.\nChain bombs together to corner your foes!
CopyAbility_Detail_Crash	DANGER! DANGER! This ability makes the\nbiggest boom of all, and you can hold the\nbutton down to make it even biggest-er!\nNothing will escape that blast. BWOOOSH!
CopyAbility_Detail_TimeCrash	We didn't think the Crash ability's boom\ncould get any biggest-er...but this one can\nbreak time itself! Slow down time, then act\nfast to cause some real destruction!
CopyAbility_Detail_Cutter	Swish! Sling that sharp-edged boomerang!\nUse it to grab far-off items. Hold the button\ndown to freeze it in midair and charge it up.\nThat will make it extra powerful! Swish!
CopyAbility_Detail_ChakramCutter	You can dual wield cutters?! Whoa! Sling\nboth chakrams forward to slash a wide area\nin front of you. It's fun to watch 'em fly...\nas long as you're doing the throwing.
CopyAbility_Detail_MetalCutter	What's the buzz, cuz? This Cutter evolution\nhas increased power and flying distance.\nIt'll also ricochet off walls, so aim carefully\nto send it extra far! Clink, clank, BUZZZZZ!
CopyAbility_Detail_Drill	Burrow underground with your mighty drill!\nYou can use this to dodge enemy attacks.\nIf you dig in certain spots, you might be able\nto sneak into off-limits areas! Heh heh...
CopyAbility_Detail_PencilDrill	This drill evolution is mighty and graphite-y!\nIt's not ideal for writing, but you can use it\nto launch out of the ground and shoot out\npencil rockets. Now that's the write stuff!
CopyAbility_Detail_TwinDrill	Unleash brutal attacks with double the drill\npower! Your speed and damage are both\nincreased, and you can attack enemies\nabove you while still burrowing below!
CopyAbility_Detail_Fire	This ability is hot, hot, hot! Light fuses, burn\nthrough obstacles, and toast your enemies\nwith the power of a raging fire. Run, jump,\nthen attack to blast forward as a fireball!
CopyAbility_Detail_VolcanoFire	BOOM! FWOOSH! This volcano's erupting!\nHarness the power of geothermal energy to\nspew lava in front of you. Blaze through\nenemies and make 'em feel the heat!
CopyAbility_Detail_DragonFire	Become a legendary monster with the power\nof a dragon! Spew fire like a flamethrower.\nJump, attack, and glide through the sky.\nYou can do all sorts of dragon-y stuff!
CopyAbility_Detail_Hammer	A sturdy hammer with intense attack power.\nYour reach is short, but it's worth it to bonk\nenemies—and stakes! Hold the button to\ncharge, then let go to do a Hammer Flip!
CopyAbility_Detail_ToyHammer	Sure, this may be the cutest bonk to ever\nbonk a bonk...but this is no plaything! It has\nrapid, continuous attacks with enough power\nto hammer stakes and crush enemies.
CopyAbility_Detail_RockHammer	This hefty hammer is made from super-tough\nstone! It's too heavy for quick hits, but each\npowerful swing will deal explosive damage.\nYou'll even crack the ground itself!
CopyAbility_Detail_DededeHammer	The self-proclaimed king's hard-hitting\nhammers are now yours! Let the power of\nthe mask take over to unleash devastating\nattacks with a fiery flourish!
CopyAbility_Detail_Ice	Brrr! So cold! Can you see your own breath?\nMake a chunk of ice, then kick it forward!\nSkate and slide wherever you go. You'll\neven glide right over mud and magma!
CopyAbility_Detail_FrostyIce	Frosty Ice gives you chilling powers...and a\nreally cute hat! Blow out freezing blasts of\nair and create a line of snowmen. Aww, they\nall have Frosty's face! He must be so proud.
CopyAbility_Detail_BlizzardIce	Don a beautiful tiara of ice, and become a\nfrigid force of nature! Use this ability to\nskate around enemies, then stop them cold\nwith a volley of foe-freezing icicles. Brrr!
CopyAbility_Detail_Needle	Ouch! Ooch! Careful with those spikes! Jab\nenemies in place, or pick 'em up by rolling\naround. Nab a whole bunch of 'em together,\nthen launch them off all at once! POW!
CopyAbility_Detail_JunkNeedle	Pointy, spiky clutter all rolled up into a ball?\nIt's needles upon needles! What a powerful\nweapon! Roll forward, then release to send\nsharp clutter flying out around you. OUCH!
CopyAbility_Detail_CrystalNeedle	Ooh, how pretty...ouch! And sharp! Release\nthe button while rolling to launch spiky\ncrystals in front of you. You'll also roll\nlonger and leave spikes in your wake!
CopyAbility_Detail_Ranger	Time for some shooting-star sharpshooting!\nPew, pew! Hold the button down to charge\nand aim, then let go to send a sparkling shot\nflying. Charge it up for bigger blasts!
CopyAbility_Detail_EliteRanger	The most experienced of marksmen requires\nthe fanciest of hats. Fire a barrage of shots\nwith dual-wielded pop guns. You can release\na flurry of charged shots too! P-pew, p-pew!
CopyAbility_Detail_SpaceRanger	Blast off, Space Ranger! Fire laser beams\nfrom your trusty laser gun. If a fully charged\nshot hits an enemy, they'll be caught in a\nflurry of sparks and take extra damage!
CopyAbility_Detail_Sleep	Zzz... Just one more minute, please... Zzz...\nOh, c'mon... I'm too sleepy... Zzz... Just let\nme recover some health with a bit of rest...\nZzz... Zzz... Zzzzz...
CopyAbility_Detail_DeepSleep	Mmm... Zzz... Walk to...bed...and get all...\ncuddly cozy... Zzz... You'll show everyone...\nyour full potential...after you wake up...\nZzz... Zzz... Zzzzz...
CopyAbility_Detail_Sword	Slice through this new world as a sword-\nwielding, green-hatted hero! Try charging up\nbefore you swing for extra power. Train hard,\nand become this world's new sword master!
CopyAbility_Detail_GigantSword	This big ol' sword is definitely gigant...ic!\nIt's a bit hard to swing around, but it'll keep\nyou well guarded. Use it to shield yourself\nfrom an attack, then go on the offensive!
CopyAbility_Detail_MetaSword	The Meta Knight Sword has a bunch of cool\nattacks—just like its namesake! Sword Slide,\njump, and attack to use Upper Calibur. With\nfull health, you'll even sling Crescent Shots!
CopyAbility_Detail_MorphoSword	Before the final battle, a fluttering fiend\narrives to cast its judgment. This dangerous\nweapon grants that form to any who wield it.\nFor Kirby, handling this power is...a breeze.
CopyAbility_Detail_Tornado	Pull enemies, blocks, and stars into your\ncyclone, then release them to deal damage!\nThis ability's controls might make you dizzy,\nso whirl, swirl, and twirl...but try not to hurl.
CopyAbility_Detail_SwanTornado	Grace, elegance, beauty...and brutal attacks.\nPull your enemies into a flurry of feathers,\nand turn battles into sophisticated ballets.\nOw! Hurts almost as much as pointe shoes...
