common_AvatarCustomize.msbt
AVATARCLOTHES0000000	白色T恤
AVATARCLOTHES0000001	黑色T恤
AVATARCLOTHES0000002	红色T恤
AVATARCLOTHES0000003	蓝色T恤
AVATARCLOTHES0000004	兔子服装
AVATARCLOTHES0000005	绿色T恤
AVATARCLOTHES0000006	黄色T恤
AVATARCLOTHES0000007	熊服装
AVATARCLOTHES0000008	粉红色T恤
AVATARCLOTHES0000009	灰色T恤
AVATARCLOTHES0000010	和服
AVATARCLOTHES0000011	白袍
AVATARCLOTHES0000012	深蓝色西装
AVATARCLOTHES0000013	灰色西装
AVATARCLOTHES0000014	大象服装
AVATARCLOTHES0000015	领结西装
AVATARCLOTHES0000016	绿色洋装
AVATARCLOTHES0000017	睡衣
AVATARCLOTHES0000018	坦克背心
AVATARCLOTHES0000019	棒球服装
AVATARCLOTHES0000020	足球服装
AVATARCLOTHES0000021	篮球服装
AVATARCLOTHES0000022	美式足球服装
AVATARCLOTHES0000023	忍者服装
AVATARCLOTHES0000024	柔道服
AVATARCLOTHES0000025	消防员服装
AVATARCLOTHES0000026	围裙服装
AVATARCLOTHES0000027	单车服装
AVATARCLOTHES0000028	厨师服装
AVATARCLOTHES0000029	侦探服装
AVATARCLOTHES0000030	连帽上衣
AVATARCLOTHES0000031	条纹服装
AVATARCLOTHES0000032	迷彩服装
AVATARCLOTHES0000033	夏威夷衬衫
AVATARCLOTHES0000034	运动服
AVATARCLOTHES0000035	太空装
AVATARCLOTHES0000036	学士服
AVATARCLOTHES0000037	飞行员服装
AVATARCLOTHES0000038	尖刺服装
AVATARCLOTHES0000039	国王服装
AVATARCLOTHES0000040	皇后服装
AVATARCLOTHES0000041	Polo衫
AVATARCLOTHES0000042	渔夫背心
AVATARCLOTHES0000043	水手服装
AVATARCLOTHES0000044	探险服装
AVATARCLOTHES0000045	魔法洋装
AVATARCLOTHES0000046	破烂服装
AVATARCLOTHES0000047	海盗服装
AVATARCLOTHES0000048	铁盔甲
AVATARCLOTHES0000049	蜜蜂服装
AVATARCLOTHES0000050	毛衣背心制服
AVATARCLOTHES0000051	风衣
AVATARCLOTHES0000052	肌肉服装
AVATARCLOTHES0000053	白色洋装
AVATARCLOTHES0000054	白色西装
AVATARCLOTHES0000055	啦啦队服装
AVATARCLOTHES0000056	小丑服装
AVATARCLOTHES0000057	维京人服装
AVATARCLOTHES0000058	武士盔甲
AVATARCLOTHES0000059	吊带裤
AVATARCLOTHES0000060	燕尾服
AVATARCLOTHES0000061	鲜艳西装
AVATARCLOTHES0000062	黑色大衣
AVATARCLOTHES0000063	青蛙服装
AVATARCLOTHES0000064	魔法师服装
AVATARCLOTHES0000065	吸血鬼服装
AVATARCLOTHES0000066	偶像服装
AVATARCLOTHES0000067	西部牛仔服装
AVATARCLOTHES0000068	古希腊服装
AVATARCLOTHES0000069	芭蕾服装
AVATARCLOTHES0000070	豹纹服装
AVATARCLOTHES0000071	艺术服装
AVATARCLOTHES0000072	爱丽丝服装
AVATARCLOTHES0000073	小红帽服装
AVATARCLOTHES0000074	睡袍
AVATARCLOTHES0000075	舞台服装
AVATARCLOTHES0000076	佛朗明哥服装
