Enemy.msbt
enemy_name_MARIO	Mario
enemy_name_LUCIE	Kersti
enemy_name_KOOPA	Bowser
enemy_name_KPJ	Bowser Jr.
enemy_name_KMK	Kamek
enemy_name_HNB	Wiggler Segment
enemy_name_KUR	Goomba
enemy_name_KUR_K	Shiny Goomba
enemy_name_2MAI_KUR	2-Fold Goomba
enemy_name_2MAI_KUR_K	2-Fold Shiny Goomba
enemy_name_4MAI_KUR	4-Fold Goomba
enemy_name_4MAI_KUR_K	4-Fold Shiny Goomba
enemy_name_KAMI_TGK	Paper-Cone Goomba
enemy_name_KAMI_TGK_K	Shiny-Cone Goomba
enemy_name_16MAI_KUR	Megasparkle Goomba
enemy_name_PTK	Paragoomba
enemy_name_5MAI_PTK	5-Fold Paragoomba
enemy_name_PTK_K	Shiny Paragoomba
enemy_name_NKT	Koopa Troopa
enemy_name_NKT_K	Shiny Koopa Troopa
enemy_name_PTT	Paratroopa
enemy_name_PTT_K	Shiny Paratroopa
enemy_name_MET	Buzzy Beetle
enemy_name_MET_K	Shiny Buzzy Beetle
enemy_name_HMT	Bony Beetle
enemy_name_TMT	Spike Top
enemy_name_DMT	Big Buzzy Beetle
enemy_name_TGZ	Spiny
enemy_name_TGZ_K	Shiny Spiny
enemy_name_BOM	Bob-omb
enemy_name_BOM_K	Shiny Bob-omb
enemy_name_SNB	Pokey
enemy_name_DSB	Tower Power Pokey
enemy_name_PKPK	Cheep Cheep
enemy_name_SPU	Deep Cheep
enemy_name_BIG_PKPK	Big Cheep Cheep
enemy_name_HEI	Shy Guy
enemy_name_MHE	Sombrero Guy
enemy_name_MRHE	Maraca Guy
enemy_name_AHE	Accordion Guy
enemy_name_PHE	Paint Guy
enemy_name_CHE	Clip Guy
enemy_name_YHH	Spear Guy
enemy_name_MCH	Snifit
enemy_name_GSA	Scuttlebug
enemy_name_DGSGS	Big Scuttlebug
enemy_name_EMP	Poison Blooper
enemy_name_BOS_GES	Gooper Blooper
enemy_name_TRS	Boo
enemy_name_TTR	Boo Stack
enemy_name_DTR	Big Boo
enemy_name_SKP	Bowser Snow Statue
enemy_name_THM	Mizzter Blizzard
enemy_name_WAN	Chain Chomp
enemy_name_DWN	Big Chain Chomp
enemy_name_POO	Rocky Wrench
enemy_name_CPO	Monty Mole
enemy_name_PKF	Piranha Plant
enemy_name_IPK	Inky Piranha Plant
enemy_name_FPK	Fire Piranha
enemy_name_FFPK	Ptooie
enemy_name_BPK	Petey Piranha
enemy_name_KIL	Bullet Bill
enemy_name_KHD	Bill Blaster
enemy_name_MKL	Banzai Bill
enemy_name_MKH	Banzai Blaster
enemy_name_HBR	Hammer Bro
enemy_name_BBR	Boomerang Bro
enemy_name_FBR	Fire Bro
enemy_name_IBR	Ice Bro
enemy_name_GBN	Spike
enemy_name_IGB	Snow Spike
enemy_name_BSA	Swoop
enemy_name_KRS	Crowber
enemy_name_KRN	Dry Bones
