common_Kawashima.msbt
Button_Back	返回
Button_Cancel	中止
Button_01	ＯＫ
Button_02	取消
Button_05	左
Button_06	右
Button_07	１個月
Button_08	１週
Button_09	繼續
Button_10	結束
Button_11	繼續挑戰
Button_12	從最初開始
Button_13	可使用
Button_14	不可使用
Button_15	使用
Button_16	不使用
Button_17	ＯＫ
Button_18	修改
Button_19	筆畫數每次相同
Button_20	每次不同
Button_21	參加
Button_22	稍後
Button_23	確認
Button_24	稍後
Button_25	傳送
Button_26	不傳送
Button_27	減少也沒關係
Button_28	不行
Button_29	解鎖
Button_30	靠自己努力
Button_31	查看鬧鐘
Button_32	稍後
Button_33	查看詳情
Button_34	稍後
Button_35	１畫
Button_36	２畫
Advance_03	繼續
Advance_05	ＯＫ
Result_Best	{color[ff0c00ff]}記錄有驚人的進步{color[000000ff]}！\n真是令人佩服！
Result_Better	{color[ff0c00ff]}記錄有慢慢地進步{color[000000ff]}呢！
Result_Keep	{color[ff0c00ff]}維持現狀{color[000000ff]}呢。\n就是這樣了。
Result_Keep_MAX	{color[ff0c00ff]}維持現狀{color[000000ff]}呢。\n做得很好！
Result_Bad	{color[ff0c00ff]}別在意！\n{color[000000ff]}鍛鍊會成為你的食糧。
Result_Worst	{color[ff0c00ff]}成績只是次要的{color[000000ff]}。\n鍛鍊才是最重要的喔。
Result_First	下次要努力\n超越這個記錄！
Result_First_MAX	下次要努力\n保持這個記錄！
Result_Worst2Best	非常好！\n狀態恢復了呢！
Result_Worst2Better	開始恢復狀態了呢！\n繼續努力吧！
Result_Worst2Keep	維持現狀呢。你應該可以\n把目標定得更高的。
Result_Bad2Bad	看來你還是很疲累，\n不過堅持就是勝利喔！
Result_Better2Better	非常好！\n記錄不斷進步呢！
Result_Keep2Keep	順利保持記錄了呢。\n就這樣繼續吧！
Result_Relax	有好好放鬆了嗎？
Result_Stamp	那麼，就來蓋章吧。
Result_ReStamp	那麼，重新來蓋章吧。
Result_Calc25_01	以這個計算速度來說，\n我推薦你玩{color[ff0c00ff]}「計算１００」{color[000000ff]}喔！
Result_Calc25_02	可能有助於\n讓大腦更活化喔。
Result_Sudoku_Failure_01	打起精神，\n下次再加油吧。
Result_Sudoku_Failure_02	如果需要建議……
Result_Sudoku_Failure_03	請按開始前畫面的\n{color[ff0c00ff]}「ｉ」鍵{color[000000ff]}。
Result_Sudoku_Failure_04	我將按照關卡的{color[ff0c00ff]}難度{color[000000ff]}\n說明相應的{color[ff0c00ff]}技巧{color[000000ff]}喔。
Result_Sudoku_Clear	恭喜過關！\n很精彩！
BAC_Info_01	在這裡，會根據隨機挑選的\n{color[ff0c00ff]}３項測試{color[000000ff]}來計算出你的腦年齡。
BAC_Info_03	詳情請看\n「{color[ff0c00ff]}腦年齡檢查的原理{color[000000ff]}」。
BAC_Info	將根據隨機挑選的\n{color[ff0c00ff]}３項測驗{color[000000ff]}檢測腦年齡。
BAC_Info_check01	透過３項測試來評價你的\n{color[ff0c00ff]}抑制力{color[000000ff]}、{color[ff0c00ff]}處理速度{color[000000ff]}與{color[ff0c00ff]}短期記憶{color[000000ff]}……
BAC_Info_check02	然後根據結果\n計算出你{color[ff0c00ff]}現在的腦年齡{color[000000ff]}。
BAC_attention_01	腦年齡檢查\n{color[ff0c00ff]}每天{color[000000ff]}只會留下{color[ff0c00ff]}１次{color[000000ff]}記錄。
BAC_Question_01	在開始腦年齡檢查之前，\n我想請問一下……
BAC_Question_02	你現在可以使用{color[ff0c00ff]}Joy-Con(R){color[000000ff]}嗎？
BAC_First	最初是\n{color[ff0c00ff]}「{[010d]}」{color[000000ff]}。
BAC_Next	然後是\n{color[ff0c00ff]}「{[010d]}」{color[000000ff]}。
BAC_Last	最後是\n{color[ff0c00ff]}「{[010d]}」{color[000000ff]}。
BAC_Test_Janken	現在來評價你的\n{color[ff0c00ff]}抑制（忍耐）力{color[000000ff]}。
BAC_Test_WordMemory	現在來評價你的\n{color[ff0c00ff]}短期記憶力{color[000000ff]}。
BAC_Test_Keisan25	現在來評價你的\n{color[ff0c00ff]}資訊處理速度{color[000000ff]}。
BAC_ResultJoke_01	嗯～你的大腦\n好像滿疲累的……
BAC_ResultJoke_02	呃……咦？
BAC_ResultJoke_03	啊，我把{color[ff0c00ff]}腦年齡算錯了！\n{color[000000ff]}不好意思。
BAC_ResultJoke_04	真正的結果是這個！
BrainAge_Result_Last_00	你實際的年齡\n是{color[ff0c00ff]}{[0110]}歲{color[000000ff]}呢。
BrainAge_Result_Last_00j	跟你的實際年齡一樣呢。
BAC_Start	那就開始了。
BrainAge_Result	辛苦了。計算出的腦年齡\n以{color[ff0c00ff]}２０歲為最佳{color[000000ff]}。
BrainAge_Result_01	{color[ff0c00ff]}我認輸了{color[000000ff]}！你的腦年齡\n簡直無懈可擊！
BrainAge_Result_01_02	請一直{color[ff0c00ff]}保持{color[000000ff]}這個狀態吧！
BrainAge_Result_02	你的腦年齡{color[ff0c00ff]}非常理想{color[000000ff]}。\n太棒了！
BrainAge_Result_02_02	努力{color[ff0c00ff]}保持{color[000000ff]}這個狀態吧。
BrainAge_Result_03	你的腦年齡{color[ff0c00ff]}良好{color[000000ff]}。\n這樣的話……
BrainAge_Result_03_02	可以把目標定得{color[ff0c00ff]}更高{color[000000ff]}喔。
BrainAge_Result_04	你的腦年齡算是不錯了。\n不過……
BrainAge_Result_04_02	不試試拒絶安於現狀，\n把目標定得{color[ff0c00ff]}更高{color[000000ff]}嗎？
BrainAge_Result_05	你的腦年齡保持著\n{color[ff0c00ff]}剛好的狀態{color[000000ff]}呢。不過……
BrainAge_Result_05_02	可不能鬆懈喔。
BrainAge_Result_06	你的腦年齡算是還可以，\n希望你能{color[ff0c00ff]}更努力一點{color[000000ff]}呢。
BrainAge_Result_06_02	{color[ff0c00ff]}不過別擔心{color[000000ff]}。\n一下子就能挽回了。
BrainAge_Result_07	嗯～你的腦年齡\n{color[ff0c00ff]}不是太好{color[000000ff]}啊。
BrainAge_Result_07_02	不過你應該\n{color[ff0c00ff]}還可以多加努力的{color[000000ff]}。
BrainAge_Result_08	你的腦年齡令人有點擔心……
BrainAge_Result_08_02	我推薦你\n給大腦一些{color[ff0c00ff]}新鮮的刺激{color[000000ff]}。
BrainAge_Result_08_03	努力向上爬吧。
BrainAge_Result_09	這可{color[ff0c00ff]}要小心留意{color[000000ff]}囉。\n你的腦年齡正處於緊急狀態。
BrainAge_Result_09_02	不過不要緊，\n還有{color[ff0c00ff]}挽救的機會{color[000000ff]}。
BrainAge_Result_10	哎呀哎呀，你的腦年齡\n正處於{color[ff0c00ff]}嚴重的狀態{color[000000ff]}！
BrainAge_Result_10_02	不過，不要沮喪。
BrainAge_Result_10_03	反過來想，\n你只剩下{color[ff0c00ff]}進步的空間{color[000000ff]}了！
BrainAge_Result_Chart	也分別來看看{color[ff0c00ff]}抑制力{color[000000ff]}、\n{color[ff0c00ff]}處理速度{color[000000ff]}和{color[ff0c00ff]}短期記憶{color[000000ff]}的結果吧。
Sudoku_HintMode01	要使用{color[ff0c00ff]}輔助功能{color[000000ff]}嗎？\n每填寫一個格子都會核對答案。
Sudoku_Resume01	要從上一次{color[ff0c00ff]}中斷{color[000000ff]}的地方\n{color[ff0c00ff]}繼續挑戰{color[000000ff]}嗎？
Greet_Special_01	{color[ff0c00ff]}生日{color[000000ff]}快樂！\n{[010e]}歲了呢！
Greet_Special_02	明天是你的{color[ff0c00ff]}生日{color[000000ff]}呢！
Greet_Special_03	{color[ff0c00ff]}新年快樂！{color[000000ff]}
Greet_Special_04	{color[ff0c00ff]}聖誕快樂！{color[000000ff]}
Greet_Special_05	說起來真不好意思，\n今天是我的{color[ff0c00ff]}生日{color[000000ff]}呢。
Greet_Special_05_02	我今天{[010f]}歲了。
Greet_Special_05_03	哎呀～真難為情啊。
Greet_Special_06	Ｈｅｙ！Ｙｏ！
Greet_Special_06_02	♪太棒了我的頭腦\n♪多鍛鍊你別苦惱
Greet_Special_06_03	我決定放棄大腦研究，\n作為大腦科學饒舌歌手出道啦！
Greet_Special_06_03w	…………
Greet_Special_06_04	開玩笑的！\n這是愚人節的玩笑啦！
