Text/archive_MES
ARC_CHARA_PL0000_001	Cereza
ARC_CHARA_PL1100_001	Cheshire
ARC_CHARA_BA0100_001	Morgana
ARC_CHARA_EM0200_001	The White Wolf
ARC_CHARA_EM1100_001	Mysterious Boy
ARC_CHARA_EM1100_002	Lukaon
ARC_CHARA_EM0050_001	Faerie Leader (?)
ARC_CHARA_EM0050_002	Púca
ARC_CHARA_PL0100_001	Rosa
ARC_CHARA_PL0050_001	Jeanne
ARC_CHARA_BAFB10_001	Colm
ARC_CHARA_BAFB14_001	Forest Sage
ARC_CHARA_BAFB14_002	Ignis
ARC_CHARA_INFO_PL0000_001	A Flower, Yet to Bloom
ARC_CHARA_INFO_PL1100_001	A Demon Trusting Only Power
ARC_CHARA_INFO_BA0100_001	Cereza's Strict Teacher
ARC_CHARA_INFO_EM0200_001	The Majestic White Protector
ARC_CHARA_INFO_EM1100_001	The Boy with a Proposition
ARC_CHARA_INFO_EM1100_002	The Boy with a Proposition
ARC_CHARA_INFO_EM0050_001	Faerie Shrouded in Shadow
ARC_CHARA_INFO_EM0050_002	The Self-Proclaimed King
ARC_CHARA_INFO_PL0100_001	Cereza's Loving Mother
ARC_CHARA_INFO_PL0050_001	Cereza's Best Friend
ARC_CHARA_INFO_BAFB10_001	A Wisp Boy
ARC_CHARA_INFO_BAFB14_001	A Voice Heard Among the Trees
ARC_CHARA_INFO_BAFB14_002	Your Guide to Avalon
ARC_CHARA_EM0000_000	Bánánach
ARC_CHARA_EM0000_001	Fomhórach
ARC_CHARA_EM0000_002	Faun
ARC_CHARA_EM0000_003	Sparcanagh
ARC_CHARA_EM0000_004	Gog-Magog
ARC_CHARA_EM0000_005	Mulciber
ARC_CHARA_EM0000_007	Fomhórach
ARC_CHARA_EM0010_000	Aos Sí
ARC_CHARA_EM0010_001	Aos Sí
ARC_CHARA_EM0010_002	Bogie
ARC_CHARA_EM0010_003	Banchine Model P
ARC_CHARA_EM0010_004	Spriggan
ARC_CHARA_EM0010_005	Barghest
ARC_CHARA_EM0010_006	Salamander
ARC_CHARA_EM0010_007	Gean Cánach
ARC_CHARA_EM0010_008	Dvergr
ARC_CHARA_EM0010_009	Leipreachán
ARC_CHARA_EM0010_010	Aos Sí
ARC_CHARA_EM0010_011	Bogie
ARC_CHARA_EM0010_013	Knocker
ARC_CHARA_EM0010_014	Amadán
ARC_CHARA_EM0015_000	Pixie
ARC_CHARA_EM0050_000	Púca
ARC_CHARA_EM0100_000	Affinity
ARC_CHARA_EM0120_000	Murúch
ARC_CHARA_EM0150_000	Jabberwock
ARC_CHARA_EM0300_000	Amadán Dubh
ARC_CHARA_EM1000_000	Prince Lukaon
ARC_CHARA_EM1100_000	Lukaon
ARC_CHARA_EM2000_000	Morgana
ARC_CHARA_EM2010_000	Lex Talionis
ARC_CHARA_EM2020_000	Forger of the \nForbidden Covenant
ARC_ENEMY_INFO_EM0000_000	Speared Hunter
ARC_ENEMY_INFO_EM0000_001	Stalwart Guardian
ARC_ENEMY_INFO_EM0000_002	Deadly Watcher
ARC_ENEMY_INFO_EM0000_003	Wicked Wizard
ARC_ENEMY_INFO_EM0000_004	Faerie Knight
ARC_ENEMY_INFO_EM0000_005	Heated Berserker
ARC_ENEMY_INFO_EM0010_000	Denizen of the Wood
ARC_ENEMY_INFO_EM0010_001	Denizen of the Wood
ARC_ENEMY_INFO_EM0010_002	Haphazard Shooter
ARC_ENEMY_INFO_EM0010_003	Arsenal of Doom
ARC_ENEMY_INFO_EM0010_004	Stern Defender
ARC_ENEMY_INFO_EM0010_005	Revenant Faerie
ARC_ENEMY_INFO_EM0010_006	Mischievous Firestarter
ARC_ENEMY_INFO_EM0010_007	Fledgling Mage
ARC_ENEMY_INFO_EM0010_008	Elite Warrior
ARC_ENEMY_INFO_EM0010_009	Devious Trapper
ARC_ENEMY_INFO_EM0010_010	Lurker in the Brush
ARC_ENEMY_INFO_EM0010_011	Steadfast Gunner
ARC_ENEMY_INFO_EM0010_013	Excavation Engineer
ARC_ENEMY_INFO_EM0010_014	Apprentice Clown
ARC_ENEMY_INFO_EM0015_000	Wandering Sharpshooter
ARC_ENEMY_INFO_EM0100_000	Púca's Secret Weapon
ARC_ENEMY_INFO_EM0120_000	Cold Assailant
ARC_ENEMY_INFO_EM0150_000	Voracious Faerie Dragon
ARC_ENEMY_INFO_EM0300_000	Lunatic Wisp-Juggler
ARC_ENEMY_INFO_EM1000_000	The True Heir to the Throne
ARC_ENEMY_INFO_EM1100_000	The True Heir to the Throne
ARC_ENEMY_INFO_EM2000_000	A Merciless, Unrivalled Umbran
ARC_ENEMY_INFO_EM2010_000	Thorned Pestilence
ARC_ENEMY_INFO_EM2020_000	Daemon Masquarata
ARC_HITODAMA_0001	Mossy
ARC_HITODAMA_0002	Nail
ARC_HITODAMA_0003	Metalhead
ARC_HITODAMA_0004	Holt
ARC_HITODAMA_0005	Rattles
ARC_HITODAMA_0006	Pinpoint
ARC_HITODAMA_0007	Plop
ARC_HITODAMA_0008	Robin
ARC_HITODAMA_0009	Kingsley
ARC_HITODAMA_0010	Candy
ARC_HITODAMA_0011	Double-O
ARC_HITODAMA_0012	Boxby
ARC_HITODAMA_0013	Flick
ARC_HITODAMA_0014	Fun Guy
ARC_HITODAMA_0015	Vince
ARC_HITODAMA_0016	Captain
ARC_HITODAMA_0017	Fishy
ARC_HITODAMA_0018	Wrapper
ARC_HITODAMA_0019	Big Nails
ARC_HITODAMA_0020	Hardhead
ARC_HITODAMA_0021	Sir Toppie
ARC_HITODAMA_0022	Sawtooth
ARC_HITODAMA_0023	Lil' Slug
ARC_HITODAMA_0024	Snout
ARC_HITODAMA_0025	Punk
ARC_HITODAMA_0026	Angel
ARC_HITODAMA_0027	Bullseye
ARC_HITODAMA_0028	Bruce
ARC_HITODAMA_0029	Cindy
ARC_HITODAMA_0030	Scott
ARC_HITODAMA_0031	Sprout
ARC_HITODAMA_0032	Leatherhead
ARC_HITODAMA_0033	Needy
ARC_HITODAMA_0034	Wired
ARC_HITODAMA_0035	Snipster
ARC_HITODAMA_0036	Straight Edge
ARC_HITODAMA_0037	Pipes
ARC_HITODAMA_0038	Machina
ARC_HITODAMA_0039	Patches
ARC_HITODAMA_0040	Trent
ARC_NOTE_0001	Biologist's Journal 1
ARC_NOTE_0002	Biologist's Journal 2
ARC_NOTE_0003	Biologist's Journal 3
ARC_NOTE_0004	Biologist's Journal 4
ARC_NOTE_0005	Biologist's Journal 5
ARC_NOTE_0006	Biologist's Journal 6
ARC_NOTE_0007	Biologist's Journal 7
ARC_NOTE_0008	Biologist's Journal 8
ARC_NOTE_0009	The Wisp Weekly 1
ARC_NOTE_0010	The Wisp Weekly 2
ARC_NOTE_0011	The Wisp Weekly 3
ARC_NOTE_0012	The Wisp Weekly 4
ARC_NOTE_0013	The Wisp Weekly 5
ARC_NOTE_0014	The Wisp Weekly 6
ARC_NOTE_0015	The Wisp Weekly 7
ARC_NOTE_0016	The Wisp Weekly 8
ARC_NOTE_0017	A Faerie's Research Log 1
ARC_NOTE_0018	A Faerie's Research Log 2
ARC_NOTE_0019	A Faerie's Research Log 3
ARC_NOTE_0020	A Faerie's Research Log 4
ARC_NOTE_0021	A Faerie's Research Log 5
ARC_NOTE_0022	A Faerie's Research Log 6
ARC_NOTE_0023	A Faerie's Research Log 7
ARC_NOTE_0024	A Faerie's Research Log 8
ARC_NOTE_0025	Ignis' Journal 1
ARC_NOTE_0026	Ignis' Journal 2
ARC_NOTE_0027	Ignis' Journal 3
ARC_NOTE_0028	Ignis' Journal 4
ARC_NOTE_0029	Ignis' Journal 5
ARC_NOTE_0030	Ignis' Journal 6
ARC_NOTE_0031	Ignis' Journal 7
ARC_NOTE_0032	Ignis' Journal 8
ARC_NOTE_0033	Faerie Kingdom History 1
ARC_NOTE_0034	Faerie Kingdom History 2
ARC_NOTE_0035	Faerie Kingdom History 3
ARC_NOTE_0036	Faerie Kingdom History 4
ARC_NOTE_0037	Faerie Kingdom History 5
ARC_NOTE_0038	Faerie Kingdom History 6
ARC_NOTE_0039	Faerie Kingdom History 7
ARC_NOTE_0040	Faerie Kingdom History 8
ARC_NOTE_0041	Umbran Apprentice Diary 1
ARC_NOTE_0042	Umbran Apprentice Diary 2
ARC_NOTE_0043	Umbran Apprentice Diary 3
ARC_NOTE_0044	Umbran Apprentice Diary 4
ARC_NOTE_0045	Umbran Apprentice Diary 5
ARC_NOTE_0046	Umbran Apprentice Diary 6
ARC_NOTE_0047	Umbran Apprentice Diary 7
ARC_NOTE_0048	Umbran Apprentice Diary 8
ARC_MEMORY_0001	Forest Oasis
ARC_MEMORY_0002	Presence of Power
ARC_MEMORY_0003	Where the Tracks Lead
ARC_MEMORY_0004	Wisp Watching
ARC_MEMORY_0005	Big Mouth
ARC_MEMORY_0006	The Monster's Cage
ARC_MEMORY_0007	Scheming Faeries
ARC_MEMORY_0008	Beyond the Barrier
ARC_MEMORY_0009	The Sacred Tree
ARC_MEMORY_0010	Keep Quiet!
ARC_MEMORY_0011	Enchanted Water
ARC_MEMORY_0012	The Queen's Quarters
ARC_MEMORY_0013	A Beach, Surprisingly
ARC_MEMORY_0014	Lily Pad Garden
ARC_MEMORY_0015	The Forest's Hero
Text/archive
ARC_ARCHIVE_TXT_01	Read about the characters in this story.
ARC_ARCHIVE_TXT_02	Read about Cereza's many enemies.
ARC_ARCHIVE_TXT_03	Read journals you've discovered.
ARC_ARCHIVE_TXT_04	Reflect on your travels.
ARC_ARCHIVE_TXT_05	See wisps you've saved.
ARC_CH_TXT_PL0000_0000	A beautiful young girl born from a bond between the Lumen Sages of light and the Umbra Witches of darkness. \n\nAs relations between these two clans are strictly forbidden, Cereza's birth resulted in her being labelled an outcast, scorned and mocked by the other Umbra.\n\nIn time, Cereza began to be tortured by nightmares of how powerless she was to help her mother, who had cared so deeply for Cereza. Becoming strong enough to one day help her became Cereza's one motivation for getting through each day.\n\nShe cherishes the stuffed cat toy her mother gave her, which she named "Cheshire". Never leaving her side, Cheshire often listens to the stories of the lonely girl.
ARC_CH_TXT_PL0000_0001	Tormented by the ridicule of her clan, Cereza ran off to live with a witch named Morgana, who resides just outside Avalon Forest. Morgana saw vast potential in Cereza despite her youth, and began training her rigorously in the Umbran Arts.\n\nThough a strict teacher, Cereza can feel a certain kindness from Morgana, and eventually has come to trust her like she would her mother.\n\nOne night, a young boy appears in Cereza's dreams, telling her that deep inside the forbidden Avalon Forest there sleeps something that could aid Cereza to find the power she seeks. She decides to believe the boy and heads off to the forest.\n\nAfter being chased by a pack of malevolent faeries, Cereza attempts to summon a demon, and the medium inadvertently becomes her own stuffed animal. Cereza decides to name the demon Cheshire, after the toy it possesses, and the two begin their strange and fateful journey.
