CHAPTER/chapter01_ev
C01_EV1000_00010_ENZO	亲爱的……\n艾多……！艾多娜……
C01_EV1000_00020_RODN	他刚才想要跑出去，但被我拼命拦住了。
C01_EV1000_00030_RODN	毕竟……他还没把账结清呢。
C01_EV1000_00040_RODN	这里应该能暂时撑一阵……
C01_EV1000_00050_RODN	不过也撑不了太久。
C01_EV1000_00060_BAYO	那些朋友不是你喊来的吗？
C01_EV1000_00070_RODN	开玩笑的吧？\n我已经去打过招呼了，绝对不会错。
C01_EV1000_00080_RODN	那些人不属于天界和魔界……\n是“混沌界”的人。
C01_EV1000_00090_RODN	也就是你们……人类的朋友。
C01_EV1000_00100_JANN	……人类的朋友？
C01_EV1000_00110_GIRL	它们是赫姆库鲁斯。
C01_EV1000_00115_GIRL	人类创造的生物兵器。
C01_EV1000_00120_RODN	这位小姐我也是刚见到，她叫……
C01_EV1000_00130_GIRL	薇欧拉。
C01_EV1000_00135_GIRL	我是你的……
C01_EV1000_00140_GIRL	不，现在没时间说这些了。
C01_EV1000_00150_GIRL	再这样下去这个世界将被消灭……\n不管是城市还是人们，一切都会消失。
C01_EV1000_00160_BAYO	那是你把它们带来的？
C01_EV1000_00170_GIRL	不是的！
C01_EV1000_00180_GIRL	它们就像蝗虫一样不断地入侵多重宇宙……
C01_EV1000_00190_GIRL	并一个个地将这些世界彻底消灭。
C01_EV1000_00200_GIRL	你们一定要相信我！已经没时间了！
C01_EV1000_00210_GIRL	蓓优妮塔……贞德。\n我需要你们的帮助！
C01_EV1000_00220_JANN	你为什么会知道我们的名字？\n看你的样子好像懂一些魔导术。
C01_EV1000_00230_GIRL	那是因为……
C01_EV1000_00240_GIRL	在我的世界里，我见过你们。
C01_EV1000_00250_GIRL	那是无数多重宇宙中的一个世界……
C01_EV1000_00260_GIRL	但那个世界也已被消灭了。
C01_EV1000_00270_GIRL	你，还有你，所有的一切都消失了！
C01_EV1000_00280_GIRL	如今它们的入侵变得更加激烈，\n多重宇宙已经所剩无几……！
C01_EV1000_00290_JANN	多重宇宙……？
C01_EV1000_00300_JANN	如果你说的情况属实，那它们的目的是什么？
C01_EV1000_00310_RODN	这可不能置之不理啊。
C01_EV1000_00320_RODN	如果你说的是真的，那就不只是人类的问题了。
C01_EV1000_00330_RODN	就算是在三位一体的世界中，这个“混沌界”\n也是由无数宇宙通过重叠累加而形成的多层构造。
C01_EV1000_00340_RODN	这就是“多重宇宙”。
C01_EV1000_00350_RODN	如果它们正在逐个消灭宇宙……\n不，用消灭这个词可能不太对。
C01_EV1000_00360_RODN	准确来说是它们想要分解多重宇宙……\n然后将其统合成一个整体。
C01_EV1000_00370_RODN	就像是将切成薄片的火腿剁碎……\n然后揉成一个巨大的肉团。
C01_EV1000_00380_RODN	如果它们成功了，\n恐怕就能得到足以瞬间毁灭魔界与天界的力量……
C01_EV1000_00390_BAYO	你知道得可真多呢。
C01_EV1000_00400_BAYO	你想让我们怎么做？
C01_EV1000_00410_GIRL	简单来说有2个任务。
C01_EV1000_00420_GIRL	贞德，我需要你在这个世界寻找协助者，\n他叫“西格鲁兹”，是一名科学家。
C01_EV1000_00430_GIRL	然后是蓓优妮塔，\n麻烦你和我一起收集跟这个一样的东西。
C01_EV1000_00440_GIRL	这是打倒辛裘拉利提的关键——“混沌的齿轮”。
C01_EV1000_00450_GIRL	而知道怎么用它的协助者——正是西格鲁兹博士。
C01_EV1000_00460_GIRL	两者缺一不可，否则世界将会终结。
C01_EV1000_00470_BAYO	反正继续待在这种让人\n烦闷的地方也只能打打牌。
C01_EV1000_00480_BAYO	如果照你说的做能平息这场闹剧，\n那我可以陪你去。
C01_EV1000_00490_BAYO	至于详细的情况，我们就边走边说吧。
C01_EV1000_00500_GIRL	好、好的……
C01_EV1000_00510_RODN	对了。
C01_EV1000_00515_RODN	这到底是什么东西啊？
C01_EV1000_00530_GIRL	咦？哇！小柴猫你真是的！\n都说了让你别乱动了！
C01_EV1000_00580_BAYO	小柴猫……
C01_EV1010_00010_GIRL	侵略者“辛裘拉利提”。
C01_EV1010_00020_GIRL	他先人一步解析了多重宇宙的构造。
C01_EV1010_00030_GIRL	然后将自己的宇宙称为“阿尔法宇宙”，\n并开始破坏其他宇宙。
C01_EV1010_00040_GIRL	打倒他的方法只有一个……\n那就是进入阿尔法宇宙。
C01_EV1010_00050_GIRL	但我们不能自由往返于多重宇宙之间。
C01_EV1010_00060_GIRL	……除非通过连接所有多重宇宙的场所。
C01_EV1010_00070_GIRL	那就是研究如何与未知世界交流的\n魔女与贤者创造出的传说之岛……
C01_EV1010_00080_GIRL	远海孤岛“图勒”！
C01_EV1010_00090_BAYO	那种连地图上都没有记载的岛屿，真的存在吗？
C01_EV1010_00100_BOS1	信则有，不信则无……
C01_EV1010_00110_BAYO	信则有，不信则无……？
C01_EV1010_00160_GIRL	看，就在那里！
C01_EV1010_00170_BAYO	我明白了。\n看来，我们的一举一动都被人监视了。
C01_EV1010_00180_GIRL	难道是……那家伙？
C01_EV1010_00190_GIRL	我们下去吧，继续待着会很危险。
C01_EV1010_00200_BAYO	那是什么？
C01_EVa100_00010_ANNO	请注意，车门即将关闭。
C01_EVa101_00010_ANNO	请注意，接下来车身将会摇晃。\n请站立的乘客紧握拉手或扶手。
C01_EVa120_00010_BAYO	那该不会就是“混沌的齿轮”吧？
C01_EVa120_00020_BAYO	真是个贪吃鬼呢。\n我来帮它减减肥吧。
C01_EVa121_00010_SDF1	报告总部，接近敌人，距离50。
C01_EVa121_00020_SDF1	目标正朝东北方向移动，完毕。
C01_EVa121_00030_SDF1	总部已收到。
C01_EVa121_00040_SDF1	开始作战。
C01_EVa121_00050_SDF1	明白。
C01_EVa121_00060_SDF1	准备射击。
C01_EVa121_00070_SDF1	开火！
C01_EVa121_00080_SDF1	准备反战车炮。
C01_EVa121_00090_SDF1	开火！
C01_EVa121_00100_SDF1	报告总部，目标毫发未损，\n攻击不起作用。
C01_EVa121_00110_SDF1	重复一遍，攻击不起作用。
C01_EVa121_00120_SDF2	嗯？
C01_EVa121_00140_BAYO	这也有点太顽皮了呢。
C01_EVa121_00150_BAYO	好吧，我来让你停下来。
C01_EV1040_00010_RODN	居然连我和它们都分不清……\n别被杀气冲昏……
C01_EV1040_00020_BAYO	我很冷静哦。
C01_EV1040_00024_RODN	……那就好。
C01_EV1040_00028_RODN	看来在这场混乱中赚不到天界那些家伙的光环了……
C01_EV1040_00030_RODN	不过，诞生自混沌的宝玉也挺有意思。
C01_EV1040_00040_BAYO	你是在谈生意上的事？
C01_EV1040_00050_RODN	呵……你真敏锐。
C01_EV1040_00060_RODN	欢迎来到地狱之门。
C01_EV1040_00070_RODN	这次就用这个来换你想要的东西吧。
C01_EV1040_00080_RODN	当然，依然欢迎你用光环交易。\n我会拿特殊商品跟你交换。
C01_EV1045_00010_RODN	先别走，\n忘记把这个给你了。
C01_EV1045_00020_RODN	既然恶魔奴隶用得这么顺手，那这个应该也不在话下吧。\n要好好疼爱它哦。
C01_EV1045_00040_BAYO	真不错。
C01_EVa122_00050_BAYO	哦……要是太粗暴会惹它不开心呢。
C01_EVa122_00060_BAYO	那我就温柔地陪你玩吧。
CHAPTER/chapter01_ta
C01_TA0001_00010_BAYO	感谢各位的热烈欢迎。\n这里就是门口了吧？
C01_TA0002_00010_BAYO	小猫咪，可别拖人后腿哦。
C01_TA0002_00020_GIRL	别、别喊我小猫咪！\n我一个人就能对付它们！
C01_TA0003_00010_GIRL	这是什么？
C01_TA0003_00020_BAYO	好像是感应到魔力就会打开的箱子。\n看来这座岛上确实有魔女待过。
C01_TA0004_00010_BAYO	那看起来像海市蜃楼的是……
C01_TA0004_00020_GIRL	你说那个啊，肯定是其他次元的平行世界。
C01_TA0004_00030_GIRL	创造了这座岛的人们或许就是在这里\n观察其他世界的……
C01_TA0012_00010_BAYO	这是……\n我感觉到了与月光相似的波动。
C01_TA0014_00010_BAYO	看来这里就是魔力之泉吧。\n这座岛还挺有趣的……
C01_TA0015_00010_BAYO	你应该也想大闹一番了吧！
C01_TA0020_00010_GIRL	没路了……？\n不过，这道墙有点奇怪。
C01_TA0020_00010_BAYO	用魔力敲一下就能打开。\n连墙壁的低语都听不见可不配当魔女哦。
C01_TA0021_00010_BAYO	这次又是什么惊喜呢？
C01_TA0021_00020_GIRL	这难道是……\n能在多重宇宙之间移动的装置？
C01_TA0021_00030_GIRL	喂，蓓优妮塔，\n你别擅自行动啊。
C01_TA0023_00010_BAYO	哎呀，已经太迟了呢。
C01_TA0023_00020_GIRL	蓓优妮塔！！
C01_TA0023_00030_BAYO	看来我们要分开一段时间了，\n你可要保重哦。
C01_TA0025_00010_NARR	
C01_TA0025_00020_NARR	
C01_TA0026_00010_NARR	
C01_TA0026_00020_NARR	
C01_TA0026_00030_NARR	
C01_TA0026_00040_NARR	
C01_TA0026_00050_NARR	
C01_TA0026_00060_NARR	
C01_TA0026_00070_NARR	
C01_TA0040_00010_BAYO	这里的地面……好像很脆弱呢。
C01_TA0041_00010_SDF3	喂，有人在吗？
C01_TA0041_00020_SDF3	喂，有人在就回个话吧～
C01_TA0041_00030_SDF3	该死，要是能开个能让人钻过去的洞，\n我就能带他们出去了……
C01_TA0042_00010_SDF3	谢了。\n你是……
C01_TA0050_00010_SDF4	这里是总部，我们接到报告称，\n有作战队员被困于下水道设施中。
C01_TA0050_00020_SDF4	附近可行动的人员请尽快前往救援。
C01_TA0050_00030_SDF4	重复一遍。
C01_TA0050_00040_SDF4	我们接到报告称，\n有作战队员被困于下水道设施中。
C01_TA0050_00050_SDF4	无法与他们取得联系。\n附近可行动的人员请尽快前往救援。
C01_TA0060_00010_SDF5	总部，总部，请回答。这里是“波云”。
C01_TA0060_00020_SDF5	我们被困在下水道设施内，\n并有数人负伤。
C01_TA0060_00030_SDF5	请求紧急支援，请求紧急支援。
C01_TA0070_00010_SDF6	总部，这里是在代代木区域警戒的“丛云”。\n确认到有2个人影正在追踪目标。
C01_TA0070_00020_SDF6	两者从动作上看并非人类，\n同时也有人目击到了巨大怪物的身影。
C01_TA0070_00030_SDF6	有可能是新的敌人，请多加注意。\n完毕。
C01_TA0070_00030_SDF7	总部，确认到新宿区域上空有巨大飞行物体，\n正朝东北方转向。
C01_TA0070_00050_SDF7	骗人的吧……这怎么可能……\n市政厅消失了！？
C01_TA0070_00060_SDF7	我们该怎么办？\n总部，请立即给予指示，总部……
CHAPTER/chapter02_ev
C02_EV1050_00010_BET1	贞德……
C02_EV1050_00020_BET1	贞德……贞德……
C02_EV1050_00030_BET1	贞——德——！
C02_EV1055_00010_BAYO	刚才那是什么……
C02_EV1055_00020_PHAN	这小不点是谁？
C02_EV1055_00030_PHAN	我感受到了强大的斗气……\n原来只是个人类啊！
C02_EV1055_00040_BAYO	怪物先生，你有什么意见吗？
C02_EV1055_00050_BAYO	瞧你这肌肉发达的样子，\n可别是外强中干啊。
C02_EV1055_00060_PHAN	区区蝼蚁竟敢口出狂言！\n看我不踩扁你！
C02_EV1055_00070_PHAN	哼，态度恶劣、出言不逊……\n你身上的气质果然跟主人相似。
C02_EV1055_00080_PHAN	好吧……在这里遇见你也算是一种缘分。\n那就暂时……与你一起行动吧。
C02_EVa145_00010_PHAN	我的主人在喊我……\n再见了，人类。
C02_EVa145_00020_BAYO	骑在你身上的感觉还挺不错。\n下次见。
C02_EV1060_00010_BAYO	哦？你还挺有骨气的嘛。
C02_EV1060_00020_BAYO	你叫什么？
C02_EV1060_00030_BAYO	我可是很会调教狗狗的哦。
C02_EV1060_00040_BAYO	过来小狗狗，让我来教你各种才艺表演吧。
C02_EV1070_00010_BAYO	这下你明白谁是你的主人了吧？
C02_EV1070_00020_BAYO	那就给我在那儿坐好了。
C02_EV1070_00030_BAYO	该不会是我太严厉了吧？
CHAPTER/chapter02_ta
C02_TA0090_00010_BAYO	感觉会伤到头发……可现在看来也只能继续前进了。
C02_TA0100_00010_BAYO	那个水箱里的水应该能派上用处。\n……不过，我可不想过去。
C02_TA0015_00010_NARR	该死……\n嘿……呜哇……
C02_TA0015_00020_BAYO	这声音是……
C02_TA0015_00030_NARR	
C02_TA0015_00040_NARR	好痛……小柴猫，谢谢你。
C02_TA0015_00050_NARR	那是什么？\n小柴猫，我们去看看吧！
C02_TA0015_00060_BAYO	真热闹啊。\n……小猫咪，看来你没事呢。
C02_TA0140_00010_BAYO	像你这样到处胡闹的坏孩子\n就该被它紧紧绑起来。
C02_TA0050_00010_BAYO	骑在你身上的感觉比我想的要舒服多了。
C02_TA0060_00010_BAYO	哎呀，风景真是不错呢。
C02_TA0093_00010_BAYO	你不是天使或恶魔，也不是人类……\n你究竟是谁？
CHAPTER/chapter03_ev
C03_EV1080_00010_LUKA	你相信命运吗？
C03_EV1080_00020_BAYO	路卡！？
C03_EV1080_00030_LUKA	我们的相遇是命中注定，谁都无法阻碍。
C03_EV1080_00040_LUKA	真是的……这群家伙也太烦人了。
C03_EV1080_00050_LUKA	正好，你能收拾掉它们吗？
C03_EV1080_00060_LUKA	瑟蕾希塔，交给你了！
C03_EV1080_00070_BAYO	等一下……！？
C03_EV1080_00080_BAYO	唉……这行动力真是不佩服不行啊。
C03_EV1100_00010_BAYO	那是……！？
C03_EV1100_00020_BET1	我要找的是你们老大。
C03_EV1100_00030_BET1	所以别来妨碍我！
C03_EV1100_00035_PHAN	让我稍微……休息会儿。
C03_EV1100_00040_BET1	漂亮！
C03_EV1100_00050_BET1	你的意图也太明显了。\n难道是想接受我的调教？
C03_EVa1a3_00005_BET1	来得正好！
C03_EVa1a3_00010_PHAN	主人，让你久等了！
C03_EVa1a3_00020_BET1	我绝不会放过你……！
C03_EVa1a3_00030_BOS1	多说无益。\n这个世界……还有你，都逃不过毁灭的命运。
C03_EV1110_00020_BOS1	已确定毁灭的现象……将加速转向再生。
C03_EV1110_00030_BOS1	“统治者·夏娃”，你的消失\n将成为我阿尔法宇宙的基石……
C03_EV1110_00040_BOS1	并永远支撑世界。
C03_EV1110_00060_BAYO	我切实感受到你的信念了！
C03_EV1110_00070_BAYO	我一定会为你报仇，\n连带贞德的份一起……
C03_EV1110_00080_BOS1	啊……你被那小丫头煽动了吗？\n统治者……夏娃……原型。
C03_EV1110_00090_BOS1	看来你顺利发现了那座岛，并成功越过了世界的边界。
C03_EV1110_00100_BAYO	你自顾自地在说些什么呢。\n那个叫辛裘拉利提的帅哥就是你吧？
C03_EV1110_00110_BOS1	如果你觉得是那就是吧。
C03_EV1110_00120_BAYO	那好。\n我要把你打入地狱！
C03_EV1110_00130_BAYO	朵·欧·亚·蓓优妮塔
C03_EV1110_00140_BAYO	尼拉·达·康榭拉·奥德·阿纳纳埃尔
C03_EV1110_00150_BAYO	伊帕米思·纳克·法芬·尼斯
C03_EV1110_00160_BAYO	阿巴巴格·特里奥·巴兰
C03_EV1120_00010_BAYO	不知道你合不合魔界那帮家伙的胃口，\n但你可要努力满足它们哦。
C03_EV1120_00020_BOS1	这不过是一副躯壳……你想要就自便吧。
C03_EV1120_00030_BOS1	统治者·夏娃已死……这个世界很快就会……分崩离析。
C03_EV1120_00035_BOS1	统治者·夏娃·原型，\n期待与你再次相见。
C03_EV1120_00040_BAYO	这可不好说哦。
C03_EV1120_00050_BAYO	……好了，那孩子是否平安无事呢？
CHAPTER/chapter03_ta
C03_TA0010_00010_BAYO	那条鱼去哪了？
C03_TA0035_00010_BAYO	会喊我“瑟蕾希塔”的，\n只有我世界里的那个路卡。
C03_TA0035_00020_BAYO	在图勒看到的肯定也是他……
C03_TA0035_00030_BAYO	那么，他又为什么会出现在这里？
C03_TA0040_00010_BAYO	哎呀，原来你还会那种才艺啊。
C03_TA0065_00010_BET1	别想逃。
C03_TA0085_00010_BET1	游得这么悠哉，你以为自己逃得了吗？
C03_TA0087_00010_BET1	这么追来追去我也厌了，\n是时候给你个痛快了。
C03_TA0090_00010_BET1	你已经无路可逃了，\n我会好好惩罚你的。
C03_TA0095_00010_BET1	别以为你可以逃出我的手掌心。\n我看中的玩具可是不会放手的！
C03_TA0110_00010_BET1	想吞下我的话麻烦就着鱼子酱一起吞，\n我可不喜欢跟碎石待在一块儿。
CHAPTER/chapter04_ev
C04_EV2020_00010_BAYO	……不能再浪费时间了呢。
C04_EVa200_00010_BOS2	这里的时间轴跟你的世界完全相同。
C04_EVa200_00020_BOS2	虽说文明进化的程度相差甚远，\n但我已确认到2043个同样的世界。
C04_EVa200_00030_BAYO	感谢你的详细说明。
C04_EVa200_00040_BOS2	说起来你已经体验过500年的时间旅行了啊。
C04_EVa200_00050_BAYO	是啊，比起那些无聊的旅行，你能带给我更多乐趣吗？
C04_EVa200_00060_BAYO	看来你们侍奉的将领很优秀呢。\n我决不会辜负你们的决心！
C04_EV2040_00010_BET2	别害怕！\n现在不能裹足不前！
C04_EV2040_00020_BET2	敌军统帅就在前方。\n这里就交给这家伙，我们继续前进。
C04_EV2040_00030_BET2	都跟我来！
C04_EV2045_00010_BAYO	你的主人真厉害啊。\n嗯……我能够代替她吗？
C04_EVa20a_00020_BAYO	这笨拙的样子……总能让我想起某个人。
C04_EVa20a_00030_GIRL	好黑……
C04_EVa20a_00040_GIRL	好窄……
C04_EVa20a_00050_GIRL	好可怕！！
C04_EVa20a_00060_GIRL	好、好啊，蓓优妮塔。看来你没事呢。\n我刚好要把碍事的……
C04_EVa242_00010_GIRL	来啊来啊！
C04_EVa242_00020_GIRL	耶！
C04_EVa242_00030_GIRL	成功了！
C04_EV2050_00010_GIRL	说起来……
C04_EV2050_00020_GIRL	我还担心你会不会被传送到\n多重宇宙的夹缝里。
C04_EV2050_00030_GIRL	对了，你可能以为自己救了我，\n但刚才我并没有遇上什么危险……
C04_EV2050_00040_GIRL	其实我只是在等待反击的机会，\n看看要在什么时候给敌人来个致命一击。
C04_EV2050_00050_BAYO	你还是多担心一下自己吧。
C04_EV2050_00060_BAYO	第一课。\n不可掉以轻心。小猫咪，你可得记好了。
C04_EV2050_00070_GIRL	我、我都说了别这么叫我！
C04_EV2050_00080_GIRL	话说……你拿到那个了吗？
C04_EV2050_00095_GIRL	你、你干嘛！？
C04_EV2050_00090_GIRL	呼……“混沌的齿轮”原来真的存在啊。
C04_EV2050_00100_GIRL	如果假设正确，只要收集5个“混沌的齿轮”，\n并得到西格鲁兹博士的帮助，就能前往阿尔法宇宙……
C04_EV2050_00105_GIRL	啊……你……
C04_EV2050_00110_BAYO	虽然我不知道这东西有多贵重，\n但先由我来保管吧。
C04_EV2050_00120_BAYO	交给你我可不放心呢，小猫咪。
C04_EV2050_00130_GIRL	唔……你到底要让我说几遍！
C04_EV2050_00140_GIRL	我叫薇欧拉！\n薇！欧！拉！
C04_EV2050_00160_LUKA	这位小姐，你很生气嘛。
C04_EV2050_00170_LUKA	不过，想让她喊你的名字？\n那你得先做到独当一面才行。
CHAPTER/chapter04_ta
C04_TA0001_00010_BAYO	好了……那孩子现在在哪呢？
C04_TA0001_00020_BAYO	希望她没哭鼻子……
C04_TA0005_00010_BAYO	哎呀，我的魔力没办法满足你吗？
C04_TA0007_00010_BAYO	那么，这次要带我去哪个世界呢？
C04_TA0020_00010_BAYO	这敌人对你们来说太危险了，\n我来对付它吧。
C04_TA0035_00010_BAYO	真是个丑陋的大块头。
C04_TA0040_00010_BAYO	好像能听见什么……\n是什么声音？
C04_TA0050_00010_GIRL	块头大可不一定厉害！\n我一个人就能打倒你！
C04_TA0090_00010_BAYO	你刚才是怎么回事？\n该不会……
C04_TA0090_00020_GIRL	啊？
C04_TA0090_00030_GIRL	你、你别误会！\n我可不怕又黑又窄的地方，有什么问题吗！？
C04_TA0090_00040_GIRL	别说这些了，现在还是专心战斗吧！
C04_TA0070_00010_CSL1	
C04_TA0080_00010_CSL2	
C04_TA0090_00010_CSL3	
C04_TA0100_00010_CSL4	
C04_TA0120_00110_BAYO	我会让你后悔，\n刚刚没有乖乖被我干掉。
C04_TA0140_00010_BAYO	原来你们的根是连在一起的啊。
C04_TA0150_00010_BAYO	那我要是一口气击溃你们，你们承受得住吗？
CHAPTER/chapter05_ev
C05_EV2055_00010_GIRL	路卡……？
C05_EV2055_00020_LUKA	没错，我的名字就叫L、U、K、A……
C05_EV2055_00030_LUKA	哦？这位闹腾的小姐，\n我们的自我介绍环节是已经结束了吗？
C05_EV2055_00040_GIRL	啊？唔，不……
C05_EV2055_00045_LUKA	纯血之证？
C05_EV2055_00050_LUKA	你是……
C05_EV2055_00060_LUKA	好了，我要走了。\n得去查清那声音的来源……
C05_EV2055_00070_LUKA	小姐们，再见啦。
C05_EV2055_00070_BAYO	小猫咪，\n你能跟着那个男人吗？
C05_EV2055_00080_GIRL	咦！？就我一个人？
C05_EV2055_00090_BAYO	第二课。
C05_EV2055_00100_BAYO	你要学会为他人而战。\n那个男人可是绝佳的教材。
C05_EV2055_00110_BAYO	而且……
C05_EV2055_00120_GIRL	而且？
C05_EV2055_00130_BAYO	总之……拜托你了。
C05_EV2055_00140_GIRL	等、等等！
C05_EVa226_00010_GIRL	咦？等、等等啊！喂！开玩笑的吧！
C05_EVa227_00010_GIRL	唉，好热，还湿乎乎的，糟透了！
C05_EVa227_00020_GIRL	不行……\n我得赶快去找路卡！
C05_EVa227_00030_GIRL	别妨碍我！
C05_EV2060_00010_GIRL	路卡？你在那里吗？
C05_EV2060_00030_GIRL	刚才那是什么……！？
C05_EV2060_00040_GIRL	别来妨碍我！\n混蛋……放马过来吧！
C05_EVa228_00005_GIRL	永别了。
C05_EVa228_00010_GIRL	呼……糟了，好不容易快追上了……呜！
CHAPTER/chapter05_ta
C05_TA0110_00005_GIRL	可恶，这情况也太糟了。
C05_TA0110_00010_GIRL	该死的辛裘拉利提！
C05_TA0110_00020_GIRL	路卡应该没事吧……
C05_TA0120_00010_GIRL	路卡，等等我！
C05_TA0130_00010_GIRL	喂，拜托你了，等等我啊！
C05_TA0140_00010_GIRL	喂！我喊了这么久你没听见吗！\n不行，他完全听不见……
C05_TA0150_00010_ENZ2	哇……
C05_TA0150_00020_ENZ2	喂，没长眼睛啊！\n小心点！！
C05_TA0150_00030_ENZ2	你怎么回事，连道歉都不会吗！
C05_TA0150_00040_ENZ2	现在的年轻人也真是的……
C05_TA0160_00010_GIRL	唉……照这样下去，\n随时可能会掉进岩浆变成焦炭的。　
C05_TA0200_00010_GIRL	大事不好，我没带替换衣服过来！
C05_TA0201_00010_GIRL	这、这可怎么办啊！
C05_TA0203_00010_GIRL	哇！好烫烫烫烫！
CHAPTER/chapter06_ev
C06_EVa2a0_00010_BAYO	谢谢你出手帮忙。
C06_EVa2a0_00020_BET2	毕竟这孩子受你照顾了。\n我们上吧。
C06_EV2070_00020_BOS2	楔之力已是我的囊中之物。\n这个世界也即将走向注定的命运。
C06_EV2070_00030_BOS2	我已经不需要这具身体……
C06_EV2070_00040_BOS2	不过在丢弃它之前还是陪你玩玩吧。\n虽然我是打算之后再解决你的……好了，开始吧。
C06_EV2070_00050_BAYO	朵·欧·亚·蓓优妮塔
C06_EV2070_00060_BAYO	尼拉·达·康榭拉·奥德·阿纳纳埃尔
C06_EV2070_00070_BAYO	塔布斯·瑟·芭芭隆·佐纳可·萧菲·巴尔扎格
C06_EV2070_00075_BAYO	法芬·尼斯
C06_EV2070_00080_BAYO	陪它玩玩吧？
C06_EV2070_00090_BAYO	希望这次能让我玩得尽兴一些。
C06_EV2080_00010_BAYO	真替你高兴。\n像你这样的东西也能成为魔界的小点心呢。
C06_EV2080_00020_BOS2	统治者·夏娃·原型，我玩得很尽兴。\n这次就到这里吧。
C06_EV2080_00030_BOS2	我们总有一天会正式见面的。\n所以你没必要这么急着找我。
C06_EV2080_00040_BOS2	不过你也不会老实听话吧。\n那么，下次再见。
C06_EV2080_00050_BAYO	那是……？
CHAPTER/chapter06_ta
C06_TA0011_00010_BAYO	这是……武将的雕像？\n放一座我的雕像应该也不错吧？
C06_TA0012_00010_BAYO	没有经过允许就扑过来，\n也太不懂规矩了。
C06_TA0050_00010_BAYO	哦？看来是真不想让我继续前进呢。
C06_TA0052_00010_BAYO	好好一座塔被毁成这样……\n既然如此，不如让我好好利用一下吧？
C06_TA0060_00020_BAYO	离火山口越来越近了……\n齿轮该不会在那里吧？
C06_TA0070_00010_BAYO	哎呀，你自己送上门来了？\n这倒是省了我不少功夫。
C06_TA0080_00010_BAYO	泡这么烫的热水澡都没问题？\n看来我们合不来呢。
C06_TA0090_00010_BAYO	说起来，我这里也有个\n爱泡热水澡的孩子呢。
C06_TA0095_00010_NARR	统治者·夏娃，别害怕。\n死亡只是一个过程，而非结束。
C06_TA0095_00020_NARR	对你、对这个世界而言，都是如此。
C06_TA0095_00030_NARR	该死的是你。\n无论如何我都会守护这个世界！
C06_TA0100_00010_BAYO	看我把你射成马蜂窝！
C06_TA0110_00010_BET2	准备就绪。\n接下来，就让它见识一下这东西的厉害！！
CHAPTER/chapter07_ev
C07_EV3000_00020_GIRL	好痛……呜，混蛋……
C07_EV3000_00030_GIRL	我这狼狈样……蓓优妮塔要是看到了，不知道会说什么……
C07_EV3000_00040_GIRL	是刚才那头混蛋狼吗？
C07_EV3000_00050_GIRL	我得赶快找到路卡……！
C07_EV3010_00020_GIRL	该死！\n这片沙漠是跟我有仇吗！
C07_EV3010_00030_GIRL	唉，这是哪啊？
C07_EV3010_00040_GIRL	……不是吧！？\n小柴猫跑哪儿去了！
C07_EVa302_00020_GIRL	好痛……可恶！
C07_EVa302_00030_GIRL	我、我已经……撑不下去了……
C07_EVa302_00040_GIRL	怎么能死在这里啊！
C07_EVa302_00050_GIRL	小柴猫！？
C07_EVa302_00060_GIRL	快过来！
C07_EVa305_00010_GIRL	唉……你真让人操心……
C07_EVa306_00020_GIRL	我还以为……死定了……
C07_EVa306_00040_GIRL	小柴猫，谢谢你。
C07_EVa306_00050_GIRL	好，我又有力气了。\n路卡，等着我吧！
C07_EVa304_00010_GIRL	路卡！？
C07_EV3020_00010_GIRL	路卡，你没事吧！？
