CheckSaveData.msbt
CreateFile	正在创建{c[dc000d]}保存数据{c[000000]}，\n请稍等片刻。
CreateFileSuccess	已成功创建{c[dc000d]}保存数据{c[000000]}。
RepairData	{c[dc000d]}保存数据{c[000000]}已损坏。\n正在删除并重新创建，\n请稍等片刻。
ErrorOccured	发生{c[dc000d]}错误{c[000000]}。
CommonUI.msbt
DialogYes	是
DialogNo	否
DialogOK	OK
SaveInfoMessage	正在保存……
AccessInfoMessage	正在连接……
SkipText	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0跳过
MelonCommon.msbt
ComputerNum1	\x0e\x17\x01\0朋友1\x0f\x17\x01
ComputerNum2	\x0e\x17\x01\0朋友2\x0f\x17\x01
ComputerNum3	\x0e\x17\x01\0朋友3\x0f\x17\x01
ComputerNum4	\x0e\x17\x01\0朋友4\x0f\x17\x01
OtomoNum1	\x0e\x17\x01\0朋友1\x0f\x17\x01
OtomoNum2	\x0e\x17\x01\0朋友2\x0f\x17\x01
OtomoNum3	\x0e\x17\x01\0朋友3\x0f\x17\x01
OtomoNum4	\x0e\x17\x01\0朋友4\x0f\x17\x01
HelperNum1	\x0e\x17\x01\0玩家朋友1\x0f\x17\x01
HelperNum2	\x0e\x17\x01\0玩家朋友2\x0f\x17\x01
HelperNum3	\x0e\x17\x01\0玩家朋友3\x0f\x17\x01
HelperNum4	\x0e\x17\x01\0玩家朋友4\x0f\x17\x01
GemApple_purchase	是
GemApple_cancel	否
DialogYes	是
DialogNo	否
DialogOK	OK
NetworkConfirmDialogText	将进行交换道具的确认。\n要连接到{c[dc000d]}互联网{c[000000]}吗？
Disconnect1PJoyCon	{c[dc000d]}未能找到{c[000000]}控制{c[dc000d]}1P{c[000000]}的手柄。
ButtonGuide_01	\x0e\x04\x06\x022\0关闭
ButtonGuide_02	\x0e\x04\x06\x022\0返回
ButtonGuide_03	\x0e\x04\x07\x023\0人物简介
ButtonGuide_04	\x0e\x04\x08\x024\0选项
ButtonGuide_05	\x0e\x04\x07\x023\0切换姿势
ButtonGuide_06	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0操作说明
ButtonGuide_07	\x0e\x04\n\x02a\0前往防具
ButtonGuide_08	\x0e\x04\t\x02`\0前往武器
ButtonGuide_09	\x0e\x04\x08\x024\0试用
ButtonGuide_11	\x0e\x04\x07\x023\0说明
ButtonGuide_12	\x0e\x04\x07\x023\0强度
ButtonGuide_13	\x0e\x04\x08\x024\0说明
ButtonGuide_14	\x0e\x04\x08\x024\0报酬
ButtonGuide_15	{c[fe9a10]}\x0e\x04\x07\x023\0任务内容{c[000000]}
ButtonGuide_16	\x0e\x04\x08\x024\0图章
ButtonGuide_17	\x0e\x04\n\x02a\0辅助道具
ButtonGuide_18	\x0e\x04\x12\x02\x95\0/\x0e\x04\x11\x02\x94\0改变玩家人数
ButtonGuide_19	\x0e\x04\x08\x024\0退出
ButtonGuide_20	\x0e\x04\x07\x023\0重新开始
ButtonGuide_21	\x0e\x04\x05\x021\0查看
ButtonGuide_23	\x0e\x04\x07\x023\0全部使用
ButtonGuide_24	\x0e\x04\x06\x022\0取消
ButtonGuide_25	\x0e\x04\n\x02a\0更新列表
ButtonGuide_26	\x0e\x04\x18\x02Å\0查看旅人
MelonEquipArms.msbt
SwordA0	新手之剑
SwordB0	剑士之剑
SwordB1	疾风之剑
SwordC0	独角兽剑
SwordC1	绯红剑
SwordD0	黄金剑
SwordE0	白金英雄剑
SwordFn0	暗物质魔剑
SwordFn1	龙帝翁
SwordJk0	鱼锯
SwordN0	骑士剑
SwordN1	青金之剑
SwordN2	白鹰之剑
SwordN3	惊奇非凡剑
SwordN4	苍炎之剑
SwordN5	鲨鱼锯
SwordN6	深渊金属刃
SwordN7	异次元龙帝翁
SwordN8	冥王之斩闪冥蝶
SwordN9	星光剑
HammerA0	新手之槌
HammerB0	重战士之锤
HammerB1	兽锤
HammerC0	恐龙锤
HammerC1	独眼巨人锤矛
HammerD0	黄金锤
HammerE0	白金重锤子
HammerFn0	哇姆霸姆拳
HammerFn1	暗意向镜锤
HammerJk0	幸福小槌
HammerN0	英勇锤
HammerN1	青金之锤
HammerN2	白虎之锤
HammerN3	惊奇非凡锤
HammerN4	凝视者锤矛
HammerN5	花开小槌
HammerN6	深渊金属锤
HammerN7	D狂锤\x0e\x17\0\0・\x0f\x17\0意向 复仇
HammerN8	逆袭之锤\x0e\x17\0\0・\x0f\x17\0改
HammerN9	星光锤
BeamA0	新手之杖
BeamB0	魔法师之杖
BeamB1	巫师神杖
BeamC0	玫瑰神杖
BeamC1	星空之杖
BeamD0	黄金神杖
BeamE0	白金魔法神杖
BeamFn0	魔力绘画堕落锡安神杖
BeamFn1	魔力魔法洛亚神杖
BeamJk0	魔法少女之杖
BeamN0	术师神杖
BeamN1	青金之杖
BeamN2	白兔之杖
BeamN3	惊奇非凡神杖
BeamN4	克洛诺斯神杖
BeamN5	皇女神杖
BeamN6	深渊金属神杖
BeamN7	店主魔法洛亚神杖
BeamN8	魔噜酷之杖
BeamN9	星光神杖
DoctorA0	新手之烧瓶
DoctorB0	学士之烧瓶
DoctorB1	圣徒烧瓶
DoctorC0	海水玻璃瓶
DoctorC1	萨满玻璃瓶
DoctorD0	黄金玻璃瓶
DoctorE0	白金治愈玻璃瓶
DoctorFn0	啾啾烧瓶
DoctorFn1	塔狼蛛玻璃瓶
DoctorJk0	疯狂烧瓶
DoctorN0	医生烧瓶
DoctorN1	青金之烧瓶
DoctorN2	白猫头鹰之烧瓶
DoctorN3	惊奇非凡烧瓶
DoctorN4	治愈师之瓶
DoctorN5	魅惑烧瓶
DoctorN6	深渊金属烧瓶
DoctorN7	暗塔狼蛛玻璃瓶
DoctorN8	塞昆托霓雅玻璃瓶
DoctorN9	星光治愈玻璃瓶
MelonEquipArmsDescription.msbt
SwordA0	初出茅庐的剑士\n所装备的剑。\n就算碰到剑身也不会痛。
SwordB0	独当一面的剑士所使用的剑。\n虽然没有特殊的力量，\n但非常容易上手。
SwordB1	寄宿着风之力量的剑。\n如同羽毛一般轻盈，\n能够加快蓄力速度。
SwordC0	圣兽之剑。利用圣兽角的力量，\n能够提高蓄力速度\n与好友陨石的威力。
SwordC1	代表着熊熊斗志的剑。\n剑身犹如烈火般灼热，\n以高攻击力著称。
SwordD0	王国的古代英雄\n曾挥舞过的黄金剑。\n能够增强各种战斗能力。
SwordE0	寄宿着神之力的传说武器。\n透着白金光辉的利刃，\n能斩裂世间万物。
SwordFn0	据说这把剑\n属于黑暗剑士所有。\n传言他们潜伏于暗处，\n企图将世界封锁于黑暗中。
SwordFn1	仿造勇敢的四头龙\n头上的龙角所锻造的剑。\n龙帝亚本是一位\n心地善良的守护神。
SwordJk0	一拿在手上就会\n活蹦乱动的锯状武器。\n为了别让它闹腾，\n使用时还是小心为上。
SwordN0	被允许进行战斗的剑士\n所使用的剑。\n只要能取得这把剑，\n就是名独当一面的剑士了。
SwordN1	以湛蓝宝石之力\n提高攻击力的\n双刃剑。\n蓝色的光泽非常美丽。
SwordN2	犹如纯白雄鹰，\n以速度著称的剑。\n能够加快蓄力速度。
SwordN3	独角兽剑升级后\n变得七彩缤纷。\n更容易取得碎片，\n而且还很可爱。
SwordN4	据说是仿造传说之龙\n喷出的蓝色火焰\n锤炼而成的剑。
SwordN5	拥有锐利剑刃，\n会活蹦乱跳的锯状武器。\n比鱼锯更加锐利，\n拥有惊人的杀伤力。
SwordN6	用深海底部\n找到的罕见金属\n打造而成的利刃。\n能够增强各种能力。
SwordN7	剑上寄宿着\n来自异世界的龙帝亚之力。\n据说若由邪恶之人拿起此剑，\n则会招来灾祸。
SwordN8	依照不知从哪飞来的\n极乐蝶的模样\n所锻造的利剑。\n传说此剑甚至能使出巨大斩闪。
SwordN9	拯救了王国的勇者们\n秘密传承的梦幻武器。\n据说世界面临危机时便会显现。\n是这世上最强的利剑。
HammerA0	初出茅庐的重战士\n所装备的木槌，\n就算是新手也能用得顺手。
HammerB0	独当一面的重战士\n所装备的锤子。\n能拿起它就代表学成出师了。
HammerB1	贴着野兽的毛皮，\n风格狂野的锤子。\n能够提升好友陨石的威力。
HammerC0	利用远古生物的骨头\n打造而成的锤子。\n能够加快蓄力速度。
HammerC1	装饰有璀璨水蓝宝石，\n犹如巨大独眼的锤矛。\n能够加快蓄力速度。
HammerD0	古代英雄曾经挥舞的黄金锤。\n能够增强各种战斗能力。
HammerE0	寄宿着神之力的\n传说武器。\n据说只要那白金的锤头一挥，\n就能轻易粉碎大地。
HammerFn0	似乎是潜伏在地底深处的\n魔人的部分身躯。\n会给任何敌人\n一记强力的右钩拳。
HammerFn1	镜之国的邪恶之心的锤子。\n在金色的镜中国度里，\n流传着化解危机的\n4名英雄的故事。
HammerJk0	据说能够招来福气的小槌。\n只要一挥宝藏就会蜂拥而来……\n虽然办不到这种事情，\n但能够增加取得的碎片。
HammerN0	备受王国的锤子使用者喜爱，\n历史悠久的武器。\n虽然用了轻盈的素材，\n却能挥出沉重的一击。
HammerN1	带有湛蓝宝石\n不可思议力量的锤子。\n会让持有者的力量涌现，\n使出强力一击。
HammerN2	寄宿着\n纯白猛虎之力的锤子。\n不只能够增加攻击力，\n也能提高复活速度。
HammerN3	以七色石打造而成，\n是把色彩缤纷，\n令人啧啧称奇的锤子。\n更容易取得碎片。
HammerN4	仿造拥有魔力的独眼\n所制成的锤子。\n只要一瞪就能让对方\n动弹不得……的话就厉害了！
HammerN5	有如百花齐放般\n华丽的槌子。\n这把武器拥有旺盛的生命力，\n只要挥舞就能让花朵盛放。
HammerN6	以深海底部\n找到的罕见金属\n打造而成的锤子。\n能够增强各种能力。
HammerN7	据说是让世界堕入恐怖漩涡的\n黑暗之王的邪恶之锤。\n扭曲的黑镜之力\n会增加持有者的力量。
HammerN8	据说是大王\n曾经挥舞的巨锤。\n大王似乎是为了战胜宿敌，\n才使用这把武器。
HammerN9	拯救了王国的勇者们\n秘密传承的梦幻武器。\n据说世界面临危机时便会显现。\n是这世上最强的锤子。
BeamA0	初出茅庐的魔法师\n所装备的法杖。\n用朴素的木材打造而成。
BeamB0	独当一面的魔法师\n所使用的法杖。\n镶着能增强魔法力量的石头。
BeamB1	使用闪耀着紫色光芒的\n高质量魔石\n注入魔力的法杖。
BeamC0	法杖上装饰着\n永不枯萎的玫瑰。\n拥有治愈的力量。
BeamC1	蕴含宇宙奥秘的法杖。\n可藉由星之力\n增强好友陨石的威力。
BeamD0	蕴含古代英雄强大魔力的法杖。\n能够增强各种战斗能力。
BeamE0	寄宿着神之力的传说武器。\n这把杖所施展的魔法\n据说能够停止\n任何对手的时间。
BeamFn0	依照曾为绘画魔女所有的\n魔法画笔所制成。\n此画笔绘出的彩虹将化作道路，\n为英雄指明前进的方向。
BeamFn1	仿造来自远方的旅人——\n魔法洛亚所制成的法杖。\n想必他现在也在世上某处\n与遨翔天际的飞船旅行吧。
BeamJk0	魔法少女用可爱姿势\n挥舞的漂亮法杖。\n星光★闪耀\n转转圈圈铃！
BeamN0	受王宫雇用的魔法师\n所使用的法杖。\n硕大的红宝石\n能够增强使用者的魔力。
BeamN1	拥有湛蓝宝石\n不可思议力量的法杖。\n不只能提高攻击力，\n也能提高蓄力速度。
BeamN2	以纯白的兔子为原型\n所打造的魔法之杖。\n能够增强各种能力。
BeamN3	在最前端饰有\n世上罕见的七彩玫瑰，\n是把能够增强魔力的法杖。\n拥有七彩缤纷的外观。
BeamN4	能够操控时空的魔法之杖。\n据说拥有能够在时空中旅行的能力，
BeamN5	和美丽的魔法公主\n十分相配的华丽法杖。\n亮晶晶★钻石\n既高雅又珍贵！
BeamN6	以深海底部\n找到的罕见金属\n打造而成的法杖。\n能够增强各种能力。
BeamN7	虽然是杂货店祈求生意兴隆\n所打造的纪念品，\n但其实是把拥有隐藏力量，\n不为人知的强力法杖。
BeamN8	以想要将星球据为己有的\n魔噜酷为原型打造的法杖。\n只要握着这把法杖，\n就会有点想要恶作剧哦！
BeamN9	拯救了王国的勇者们\n秘密传承的梦幻武器。\n据说世界面临危机时便会显现。\n是这世上最强的法杖。
DoctorA0	初出茅庐的学士\n都会装备的\n普通烧瓶。
DoctorB0	独当一面的学士所使用的烧瓶。\n既轻便又耐用，\n因此受到许多人喜爱。
DoctorB1	装有圣水的烧瓶。\n能够缩短复活的咒文\n所需要的咏唱时间。
DoctorC0	拥有大海治愈力量的玻璃瓶。\n装满了寄宿着\n生命之力的水。
DoctorC1	异国术士所使用的玻璃瓶。\n能够加快复活速度。
DoctorD0	曾经治愈了古代英雄的黄金玻璃瓶。\n能够增强各种战斗能力。
DoctorE0	寄宿着神之力的\n传说武器。\n从瓶中涌出的秘药，\n能够治愈各种疾病与伤口。
DoctorFn0	以某位神秘少女为原型\n所打造的烧瓶。\n爱情的力量\n能够增强各种能力。
DoctorFn1	仿造傀儡魔法师\n所打造的玻璃瓶。\n据说侍奉之主始终未能\n领会他的一片心意。
DoctorJk0	装满了\n危险液体的烧瓶。\n有流言指出\n是由某间企业生产的。
DoctorN0	王国学士经常使用的烧瓶。\n不但拥有治愈的力量，\n也能够提升攻击力。
DoctorN1	注入湛蓝宝石\n不可思议力量的烧瓶。\n乃是提高了回复效果，\n擅长治愈的武器。
DoctorN2	仿造纯白的猫头鹰\n所打造的烧瓶。\n如果仔细观察，\n就能发现绘有猫头鹰的脸。
DoctorN3	以散发彩虹光芒的\n罕见玻璃\n打造而成的烧瓶。\n可以提高各种能力。
DoctorN4	大量吸收了\n森林所含有的翠绿能量，\n玻璃制的四角瓶。
DoctorN5	这个烧瓶内装满了\n能够让任何人\n对使用者着迷的液体。\n或许可以交到许多朋友？
DoctorN6	以深海底部\n找到的罕见金属\n打造而成的烧瓶。\n可以增强各种能力。
DoctorN7	仿造从黑镜诞生的\n另一名傀儡魔法师\n所打造的玻璃瓶。\n有着耀眼夺目的金发。
DoctorN8	仿造昔日支配天空之民的女王\n所打造的玻璃瓶。\n其对美丽的执着\n因为某面镜子而加速。
DoctorN9	拯救了王国的勇者们\n秘密传承的梦幻武器。\n据说世界面临危机时便会显现。\n是这世上最强的玻璃瓶。
MelonEquipCommon.msbt
LevelText1	DX
LevelText2	SDX
UpBaseEquipNameText	\x0e\x02\x06\0\x0e\x02\x07\0
ButtonText	\x0e\x02\x06\0\x0e\x02\x07\0
LoHeaderRarityText	稀有
UpBaseRarityText	稀有
UpFunction01	复活速度
UpFunction02	蓄力速度
UpFunction03	取得素材
MelonEquipHat.msbt
SwordA0	新手之兜帽
SwordB0	剑士之兜帽
SwordB1	疾风之兜帽
SwordC0	独角兽帽盔
SwordC1	绯红帽盔
SwordD0	黄金帽盔
SwordE0	白金英雄帽盔
SwordFn0	暗物质魔装
SwordFn1	龙帝翁帽盔
SwordJk0	鱼头帽
SwordN0	骑士帽盔
SwordN1	青金之兜帽
SwordN2	白鹰之兜帽
SwordN3	惊奇非凡帽盔
SwordN4	苍炎之兜帽
SwordN5	南洋鱼头帽
SwordN6	深渊金属帽盔
SwordN7	异次元龙帝翁帽盔
SwordN8	极乐之鳞羽冥蝶
SwordN9	星光帽盔
HammerA0	新手之头盔
HammerB0	重战士之头盔
HammerB1	兽头盔
HammerC0	恐龙头盔
HammerC1	独眼巨人头盔
HammerD0	黄金战帽
HammerE0	白金重战帽
HammerFn0	哇姆霸姆面罩
HammerFn1	暗意向镜胄
HammerJk0	幸福头巾
HammerN0	英勇头盔
HammerN1	青金之头盔
HammerN2	白虎之头盔
HammerN3	惊奇非凡头盔
HammerN4	凝视者头盔
HammerN5	花开头巾
HammerN6	深渊金属头盔
HammerN7	D狂胄\x0e\x17\0\0・\x0f\x17\0意向 复仇
HammerN8	逆袭之面罩\x0e\x17\0\0・\x0f\x17\0改
HammerN9	星光战帽
BeamA0	新手之帽子
BeamB0	魔法师之帽子
BeamB1	巫师帽
BeamC0	玫瑰帽
BeamC1	星空之帽子
BeamD0	黄金帽
BeamE0	白金魔法帽
BeamFn0	绘画堕落锡安帽
BeamFn1	魔法洛亚帽
BeamJk0	魔法少女造型
BeamN0	术师风帽
BeamN1	青金之帽子
BeamN2	白兔之风帽
BeamN3	惊奇非凡帽
BeamN4	克洛诺斯帽
BeamN5	皇女造型
BeamN6	深渊金属帽
BeamN7	店主魔法洛亚帽
BeamN8	魔噜酷之帽子
BeamN9	星光帽
DoctorA0	新手之头巾
DoctorB0	学士之头巾
DoctorB1	圣徒冠帽
DoctorC0	海水冠帽
DoctorC1	萨满冠帽
DoctorD0	黄金冠帽
DoctorE0	白金治愈面纱
DoctorFn0	啾啾头巾
DoctorFn1	塔狼蛛帽
DoctorJk0	疯狂脑壳
DoctorN0	医生冠帽
DoctorN1	青金之头巾
DoctorN2	白猫头鹰之头巾
DoctorN3	惊奇非凡冠帽
DoctorN4	治愈师之头巾
DoctorN5	魅惑眼镜
DoctorN6	深渊金属冠帽
DoctorN7	暗塔狼蛛帽
DoctorN8	塞昆托霓雅装饰面罩
DoctorN9	星光治愈面纱
MelonEquipHatDescription.msbt
SwordA0	初出茅庐的剑士\n所装备的兜帽。\n不要太期待它的防御能力。
SwordB0	独当一面的剑士所使用的兜帽。\n随风飘扬的赤红帽饰\n会给穿戴者带来勇气。
SwordB1	以飞羽为原型\n打造而成的轻巧兜帽。\n能够加快蓄力速度。
SwordC0	圣兽的帽盔。\n能够提高蓄力速度\n与好友陨石的威力。
SwordC1	代表着熊熊斗志的帽盔。\n犹如高高腾起的烈焰般\n守护穿戴者。
SwordD0	远古英雄的帽盔。\n闪烁着金黄色的光辉，\n能够增强\n各种战斗能力。
SwordE0	寄宿着神之力的\n传说防具。\n白金色的护甲\n决不会留下伤痕。
SwordFn0	仿造独眼魔剑士\n所打造的防具。\n看似头发的物体\n实际上好像是身体的一部分。
SwordFn1	寄宿着四头龙之力的帽盔。\n据说龙帝亚守护着\n某个古代文明的遗产。
SwordJk0	以一种躲在其他生物体内的鱼\n为原型所打造的防具。\n……这该不会是真正的鱼吧？
SwordN0	被允许进行战斗的剑士\n才能够拥有的帽盔。\n火红的颜色\n倍受强者们的喜爱。
SwordN1	以湛蓝宝石之力\n提高防御力的\n剑士用兜帽。\n蓝色的光泽非常美丽。
SwordN2	以纯白的老鹰羽毛为原型\n打造而成的兜帽。\n能够加快蓄力速度。
SwordN3	独角兽帽盔\n变得更加时髦。\n更容易取得碎片，\n而且还很可爱。
SwordN4	仿造蓝色火焰所打造的兜帽。\n摇曳的火焰沉静坚定地\n守护着穿戴者。
SwordN5	犹如鱼一般的防具。\n一开始可能会吓一跳，\n但想必很快就会\n发现它的优点。
SwordN6	用深海底部\n找到的罕见金属\n打造而成的帽盔。\n能够增强各种能力。
SwordN7	仿造另一头龙帝亚\n所打造的帽盔。\n受到不祥之冠的影响，\n力量失去控制。
SwordN8	模仿黄泉骑士所打造的防具。\n据说是呼应银河最强战士\n倾尽生命的呐喊而降临于世。
SwordN9	据说是在世界面临危机时\n便会出现的梦幻防具。\n犹如照亮黑夜的一缕希望之光，\n是这世上最强的帽盔。
HammerA0	初出茅庐的重战士\n所装备的头盔。\n做工稍微有点不可靠。
HammerB0	独当一面的重战士所使用的头盔。\n虽然没有特殊的力量，\n但性能已经足以应付战斗。
HammerB1	使用了手感优良的毛皮\n所制成的坚韧头盔。\n能够提升好友陨石的威力。
HammerC0	利用远古生物的骨头\n打造而成的头盔。\n能够加快蓄力速度。
HammerC1	将水蓝宝石装饰得\n犹如独眼般的头盔。\n能够加快蓄力速度。
HammerD0	为勇猛重战士\n所打造的黄金战帽。\n能够增强\n各种战斗能力。
HammerE0	寄宿着神之力的\n传说防具。\n据说白金色的大角\n能够弹开任何攻击。
HammerFn0	仿造哇姆霸姆岩石的脸孔\n打造而成的防具。\n虽然和本人相比小了很多，\n但其震撼力已十分足够。
HammerFn1	过去企图支配镜之国的人\n所装备的装甲。\n据说其邪恶的野心\n被一把利剑所粉碎。
HammerJk0	与满面微笑\n非常合适的招福头巾。\n只要戴上它，脸上就会出现\n和头巾相衬的胡子。
HammerN0	备受王国的大锤使用者喜爱，\n历史悠久的头盔。\n两只尖角与额上的宝石\n是勇气与决心的证明。
