langid:CF8B6E4B
14    {ts:0.9}５Ｆ{/ts}
240    {ts:0.9}１０Ｆ{/ts}
266    {ts:0.9}２５Ｆ{/ts}
A79    ＯＫ
A7C    On
D0C4    {ts:0.95}下載遊戲{/ts}
15509    {ts:0.8} ＮＥＷ！{/ts}
1595A    Off
254E70    {ts:1.1}ɓ 返回{/ts}
26F5B1    {ts:0.9}普通{/ts}
289A9E    {ts:0.9}專家{/ts}
29C19B    {tp:0.04}快點轉換心情{p}{p}下一個任務也拜託你囉{p}{clr:51E949}路易吉{clr:pop}！{/tp}
2D3754    POCS
2E15EB    {ts:0.9}等級：{/ts}
6F9CD2    {ts:0.85}時間總和{/ts}
A2D3AE    {tp:0.12}{ts:0.95}・・・{clr:51E949}路易吉{clr:pop}{p}{p}聽得到嗎？{/ts}{/tp}
A2D3AF    {tp:0.01}{ts:0.95}呵呵～！{p}{p}看來你總算{p}把{clr:A554D0}暗月碎片{clr:pop}取回了呀{p}謝謝囉！！{/ts}{/tp}
A2D3B0    {tp:0.04}{ts:0.95}・・・話說回來・・・{p}{p}真是一場{p}叫人手心冒汗的戰鬥・・・{p}你沒受傷吧？{p}{p}連我也不知道{p}還有那樣的鬼怪呢{/ts}{/tp}
A2D3B1    {tp:0.01}{ts:0.95}我也想趕快瞧瞧！{p}{p}馬上回到{clr:FF9754}實驗室基地{clr:pop}來！{/ts}{/tp}
1041D8B    獸紋夾克
1F7A5FA    {tp:0.12}{ts:0.95}如何，{clr:51E949}路易吉{clr:pop}？{/ts}{/tp}
1F7A5FB    {tp:0.12}{ts:0.95}我這兒嗎・・・{p}{p}昏昏沉沉打著瞌睡做美夢・・・{p}{p}・・・・・・・・・・・・・・・{p}{p}・・・・・・・・・・{p}{p}啊！{/ts}{/tp}
1F7A5FC    {tp:0.01}{ts:0.95}不是不是不是！{p}{p}我拼了老命在調查{p}{clr:A554D0}暗月碎片{clr:pop}的位置啦！{/ts}{/tp}
1F7A5FD    {tp:0.04}{ts:0.95}話說・・・{p}{p}找到{clr:51E949}奇諾比奧{clr:pop}了嗎？{p}{p}哦哦，是嗎{p}那真是不錯{p}{clr:FF9754}中庭{clr:pop}有{clr:71D2FF}傳送裝置{clr:pop}{p}{p}用它把{clr:51E949}奇諾比奧{clr:pop}{p}傳送過來！{p}拜託囉，{clr:51E949}路易吉{clr:pop}！{/ts}{/tp}
252E2A1    {ts:0.84}發電機室{/ts}
271F1FE    {ts:0.95}{clr:00CACB}E-3{clr:pop}　別錯過火車了～！{/ts}
3358A6A    霸騷靈
3807A88    {tp:0.04}{ts:0.95}好厲害哦，{clr:51E949}路易吉{clr:pop}！{p}{p}用{clr:71D2FF}鬼怪吸塵器{clr:pop}大顯身手！{p}{p}就連年輕時候的我{p}可能都沒你那樣乾淨俐落呀{p}真有你的！{p}{p}馬上回到{clr:FF9754}實驗室基地{clr:pop}來！{/ts}{/tp}
3B754A0    {ts:0.85}奇諾比奧帶來的照片{p}拍到聚集在鐵道區的害羞幽靈們{p}和被封印到畫裡的瑪利歐・・・{p}現在馬上前往鐵道區一趟！{/ts}
3D10C00    {tp:0.01}{ts:0.9} 調查實驗室{/ts}{/tp}
3D10C01    {tp:0.01}{ts:0.9} 調查會客室{/ts}{/tp}
3D10C02    {tp:0.01}{ts:0.9} 調查畫室{/ts}{/tp}
3D10C03    {tp:0.01}{ts:0.9} 調查秘密讀書房{/ts}{/tp}
3E32481    {tp:0.01}{ts:0.9} 調查樹苗實驗室{/ts}{/tp}
3E32482    {tp:0.01}{ts:0.9} 調查儲物室{/ts}{/tp}
3E32483    {tp:0.01}{ts:0.9} 調查風琴室{/ts}{/tp}
3E32485    {tp:0.01}{ts:0.9} 調查中庭{/ts}{/tp}
3EFFE16    {ts:0.85}　狩獵者高塔！{/ts}
407E1E4    {tp:0.01}{ts:0.9} 解開綠色鬼怪的封印{/ts}{/tp}
407E1E5    {tp:0.01}{ts:0.9} 解開紅色鬼怪的封印{/ts}{/tp}
407E1E6    {tp:0.01}{ts:0.9} 解開黃色鬼怪的封印{/ts}{/tp}
4137972    {ts:0.85}展示間獎勵{/ts}
4181F51    {tp:0.01}{ts:0.9} 捕捉所有鬼怪{/ts}{/tp}
4196E04    {tp:0.01}{ts:0.9} 尋找另一個奇諾比奧{/ts}{/tp}
4196E05    {tp:0.01}{ts:0.9} 尋找另一個奇諾比奧{/ts}{/tp}
44CBABF    {ts:0.85}勤勉之人{/ts}
45006D6    {ts:1.1}展示間正在準備中！{p}先把怨念宅邸的{p}第一個任務完成再說！！{/ts}
4A8FDD4    {tp:0.04}等你好久囉，{clr:51E949}路易吉{clr:pop}！{p}{p}那些難纏的鬼怪們{p}{p}真是非常有趣的研究對象{p}{p}可是我們還有{p}相當重要的事情非辦不可！{p}你知道是什麼吧？{/tp}
4A8FDD5    {tp:0.04}對{p}就是調查{clr:A554D0}暗月碎片{clr:pop}呀！{/tp}
4A8FDD6    {tp:0.01}好消息好消息！{p}{p}我正剛好查到{p}{clr:A554D0}碎片{clr:pop}的位置了哦{p}我單憑微弱的訊號{p}拚了老命進行計算{p}總算推算出{p}{clr:A554D0}碎片{clr:pop}的所在位置了哪！{p}我還是一樣這麼天才哪～{p}{p}都快要愛上我自己了唷{p}{p}呼嘿　嘿　嘿！{/tp}
4A8FDD7    {tp:0.04}然後那{p}{clr:A554D0}碎片{clr:pop}的位置呢{p}就在深谷另一頭的・・・{p}{p}{clr:FF9754}主研究室{clr:pop}呀{p}{p}{clr:A554D0}暗月碎片{clr:pop}就在{p}那間{clr:FF9754}主研究室{clr:pop}裡頭哦！{/tp}
4A8FDD8    {tp:0.04}只是哪・・・{p}{p}雖然我很想照慣例{p}用{clr:71D2FF}ＧＣ{clr:pop}把你傳送過去・・・{p}可是{clr:FF9754}主研究室{clr:pop}前的照相機{p}{p}不知道什麼原因{p}一點反應也沒有{p}・・・所以啦{p}{p}你必須靠自己的力量{p}橫越那座山谷！{/tp}
4A8FDD9    {tp:0.04}如果我沒記錯・・・{p}{p}在{clr:FF9754}地下轉運站{clr:pop}應該{p}有纜車的{clr:FF9754}乘車場{clr:pop}沒錯・・・{/tp}
4A8FDDA    {tp:0.04}嗯・・・{p}我想不起來呀{p}不好意思{p}你可以自己調查一下嗎？{/tp}
4A8FDDB    {tp:0.04}只要到{clr:FF9754}地下轉運站{clr:pop}去{p}必定會有一些線索！{/tp}
4A8FDDC    {tp:0.04}拜託你囉，{clr:51E949}路易吉{clr:pop}！{/tp}
4B1E2B0    {ts:0.84}地下迴廊{/ts}
4D6FA46    {ts:0.9}　紅金幣獎勵！{/ts}
4E24D2D    {tp:0.01}{ts:0.95}雙重勝利～！{/ts}{/tp}
4E24D2E    {tp:0.04}{ts:0.95}{clr:71D2FF}零件{clr:pop}和古代品種的鬼怪・・・{/ts}{/tp}
4E24D2F    {tp:0.01}{ts:0.95}２個同時得到{p}{p}真是太厲害了哪，{clr:51E949}路易吉{clr:pop}！{p}{p}快點回到{clr:FF9754}實驗室基地{clr:pop}來～！{/ts}{/tp}
50C336E    新遊戲
51DBAA1    {ts:0.8}樓層{/ts}
559496F    展示間合計
5819C2D    {ts:0.9}不要{/ts}
58DC1AA    {ts:0.84}叢林區{/ts}
60D210D    開始遊戲
63953AB    {ts:0.9}　展示間{/ts}
6530CA7    {ts:0.95}任何人{/ts}
