langid:95F1D726
14    {ts:0.9}５Ｆ{/ts}
240    {ts:0.9}１０Ｆ{/ts}
266    {ts:0.9}２５Ｆ{/ts}
A79    ＯＫ
A7C    On
D0C4    {ts:0.95}ダウンロードプレイ{/ts}
15509    {vs:-10}{ts:0.8}{p}　ＮＥＷ！{/ts}{/vs}
1595A    Off
254E70    {vs:-15}{ts:1.1}ɓ もどる{p}{/ts}{/vs}
26F5B1    {ts:0.9}ノーマル{/ts}
289A9E    {ts:0.9}エキスパート{/ts}
29C19B    {tp:0.04}さっさと{rb}気分{/rb}{rt}きぶん{/rt}を{rb}切{/rb}{rt}き{/rt}り{rb}替{/rb}{rt}か{/rt}えて{p}{p}{rb}次{/rb}{rt}つぎ{/rt}の{rb}依頼{/rb}{rt}いらい{/rt}もよろしくな{p}{clr:51E949}ルイージ{clr:pop}くん！{/tp}
2D3754    POCS
2E15EB    {ts:0.9}ランク：{/ts}
6F9CD2    {vs:-15}{ts:0.85}トータルタイム{/ts}{/vs}
A2D3AE    {tp:0.12}{ts:0.95}・・・{clr:51E949}ルイージ{clr:pop}くん{p}{p}{rb}聞{/rb}{rt}き{/rt}こえるか？{/ts}{/tp}
A2D3AF    {tp:0.01}{ts:0.95}ホッホーッ！{p}{p}ついに{clr:A554D0}ダークムーンのかけら{clr:pop}を{p}{rb}取{/rb}{rt}と{/rt}りもどしたようじゃのう{p}{rb}礼{/rb}{rt}れい{/rt}を{rb}言{/rb}{rt}い{/rt}うぞ！！{/ts}{/tp}
A2D3B0    {tp:0.04}{ts:0.95}しかし・・・{p}{p}{rb}手{/rb}{rt}て{/rt}に{rb}汗握{/rb}{rt}あせにぎ{/rt}る{rb}戦{/rb}{rt}たたか{/rt}い{p}じゃったな・・・{p}ケガはないかの？{p}{p}わしもあのようなオバケは{p}{rb}知{/rb}{rt}し{/rt}らなかったぞい{/ts}{/tp}
A2D3B1    {tp:0.01}{ts:0.95}さっそく　わしも{rb}見{/rb}{rt}み{/rt}てみたい！{p}{p}すぐ　{clr:FF9754}ベースラボ{clr:pop}にもどるんじゃ！{/ts}{/tp}
1041D8B    {vs:-12}アニマルジャケット{/vs}
1F7A5FA    {tp:0.12}{ts:0.95}どうじゃ、{clr:51E949}ルイージ{clr:pop}くん？{/ts}{/tp}
1F7A5FB    {tp:0.12}{ts:0.95}わしの{rb}方{/rb}{rt}ほう{/rt}はじゃな・・・{p}{p}うとうと{rb}居眠{/rb}{rt}いねむ{/rt}りで　いい{rb}夢{/rb}{rt}ゆめ{/rt}を・・・{p}{p}・・・・・・・・・・・・・・・{p}{p}・・・・・・・・・・{p}{p}はっ！{/ts}{/tp}
1F7A5FC    {tp:0.01}{ts:0.95}いやいやいや！{p}{p}{rb}必死{/rb}{rt}ひっし{/rt}に{clr:A554D0}ダークムーンのかけら{clr:pop}の{p}{rb}場所{/rb}{rt}ばしょ{/rt}を{rb}調{/rb}{rt}しら{/rt}べておったわ！{/ts}{/tp}
1F7A5FD    {tp:0.04}{ts:0.95}ところで・・・{p}{p}{clr:51E949}キノピオ{clr:pop}くんは{rb}見{/rb}{rt}み{/rt}つかったかの？{p}{p}おお、そうか{p}それはナイスじゃ{p}{clr:FF9754}{rb}中庭{/rb}{rt}なかにわ{/rt}{clr:pop}に{clr:71D2FF}{rb}転送{/rb}{rt}てんそう{/rt}{rb}装置{/rb}{rt}そうち{/rt}{clr:pop}がある{p}{p}それを{rb}使{/rb}{rt}つか{/rt}って　{clr:51E949}キノピオ{clr:pop}くんを{p}{rb}転送{/rb}{rt}てんそう{/rt}するのじゃ！{p}よろしくな、{clr:51E949}ルイージ{clr:pop}くん！{/ts}{/tp}
252E2A1    {vs:-12}{ts:0.84}{p}{rb}発電機室{/rb}{rt}はつでんきしつ{/rt}{/ts}{/vs}
271F1FE    {ts:0.95}{clr:00CACB}E-3{clr:pop}　{rb}汽車{/rb}{rt}きしゃ{/rt}に{rb}遅{/rb}{rt}おく{/rt}れるな～！{/ts}
3358A6A    {vs:-12}ドンポルタ{/vs}
3807A88    {tp:0.04}{ts:0.95}すごいぞ、{clr:51E949}ルイージ{clr:pop}くん！{p}{p}{clr:71D2FF}オバキューム{clr:pop}で{rb}大暴{/rb}{rt}おおあば{/rt}れじゃのう！{p}{p}{rb}若{/rb}{rt}わか{/rt}いころのわしでさえ　それほどの{p}キレは　なかったかもしれんわい{p}いい{rb}仕事{/rb}{rt}しごと{/rt}ぶりじゃ！{p}{p}{clr:FF9754}ベースラボ{clr:pop}にもどってくれ！{/ts}{/tp}
3B754A0    {ts:0.85}キノピオくんがもってきた{p}{rb}写真{/rb}{rt}しゃしん{/rt}には{rb}鉄道{/rb}{rt}てつどう{/rt}ゾーンにあつまる{p}テレサたちと{rb}絵{/rb}{rt}え{/rt}に{rb}閉{/rb}{rt}と{/rt}じ{rb}込{/rb}{rt}こ{/rt}められた{p}マリオが{rb}写{/rb}{rt}うつ{/rt}っていた・・・{p}すぐ{rb}鉄道{/rb}{rt}てつどう{/rt}ゾーンに{rb}向{/rb}{rt}む{/rt}かうんじゃ！{/ts}
3D10C00    {tp:0.01}{ts:0.9} ラボを{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3D10C01    {tp:0.01}{ts:0.9} {rb}応接間{/rb}{rt}おうせつま{/rt}を{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3D10C02    {tp:0.01}{ts:0.9} アトリエを{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3D10C03    {tp:0.01}{ts:0.9} {rb}秘密{/rb}{rt}ひみつ{/rt}の{rb}勉強部屋{/rb}{rt}べんきょうべや{/rt}を{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3E32481    {tp:0.01}{ts:0.9} {rb}苗木{/rb}{rt}なえぎ{/rt}ラボを{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3E32482    {tp:0.01}{ts:0.9} {rb}物置{/rb}{rt}ものおき{/rt}を{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3E32483    {tp:0.01}{ts:0.9} オルガンルームを{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3E32485    {tp:0.01}{ts:0.9} {rb}中庭{/rb}{rt}なかにわ{/rt}を{rb}調{/rb}{rt}しら{/rt}べる{/ts}{/tp}
3EFFE16    {ts:0.85}　ハンタータワー！{/ts}
407E1E4    {tp:0.01}{ts:0.9} {rb}緑{/rb}{rt}みどり{/rt}のオバケ{rb}封印{/rb}{rt}ふういん{/rt}をとく{/ts}{/tp}
407E1E5    {tp:0.01}{ts:0.9} {rb}赤{/rb}{rt}あか{/rt}のオバケ{rb}封印{/rb}{rt}ふういん{/rt}をとく{/ts}{/tp}
407E1E6    {tp:0.01}{ts:0.9} {rb}黄{/rb}{rt}き{/rt}のオバケ{rb}封印{/rb}{rt}ふういん{/rt}をとく{/ts}{/tp}
4137972    {vs:3}{hs:-3}{ts:0.85}ギャラリー{p}ボーナス{/ts}{/hs}{/vs}
4181F51    {tp:0.01}{ts:0.9} すべてのオバケをつかまえる{/ts}{/tp}
4196E04    {tp:0.01}{ts:0.9} もうひとりのキノピオをさがす{/ts}{/tp}
4196E05    {tp:0.01}{ts:0.9} もうひとりのキノピオをさがす{/ts}{/tp}
