album.msbt
armor.msbt
Fighter00	みならいのよろい
Fighter01	かわのよろい
Fighter02	せいどうのよろい
Fighter03	てつのよろい
Fighter04	ぎんのよろい
Fighter05	まほうのよろい
Fighter06	こうてつのよろい
Fighter07	こだいのよろい
Fighter08	ドラゴンのよろい
Fighter09	おうごんのよろい
Fighter10	せいなるよろい
Fighter11	えいゆうのよろい
Fighter12	でんせつのよろい
Fighter13	ヒーローのよろい
Fighter14	マッチョのよろい
Fighter15	ハートのよろい
Fighter16	みつばちのよろい
Fighter17	みずたまのよろい
Fighter18	ボロボロのよろい
Fighter19	ウールのよろい
Fighter20	たんけんかのよろい
Fighter21	かいがらのよろい
Fighter22	ネオンのよろい
Fighter23	ファンシーなよろい
Fighter24	むしゃのよろい
Fighter25	かいじゅうのよろい
Fighter26	ブロンズのよろい
Fighter27	バイキングのよろい
Fighter28	おおガラスのよろい
Fighter29	めいさいのよろい
Fighter30	うちゅうのよろい
Wizard00	みならいローブ
Wizard01	リネンローブ
Wizard02	レザーローブ
Wizard03	シルクのローブ
Wizard04	マジカルローブ
Wizard05	せいれいのローブ
Wizard06	かがやくローブ
Wizard07	くろまほうローブ
Wizard08	だいまほうローブ
Wizard09	マグマのローブ
Wizard10	まほうもじのローブ
Wizard11	えいゆうのローブ
Wizard12	でんせつのローブ
Wizard13	ヒーローのローブ
Wizard14	マッチョのローブ
Wizard15	ハートのローブ
Wizard16	ダウンジャケットローブ
Wizard17	みずたまのローブ
Wizard18	ボロボロローブ
Wizard19	ウールのローブ
Wizard20	ようきなローブ
Wizard21	ブレザーローブ
Wizard22	ファスナーローブ
Wizard23	クロスハートローブ
Wizard24	ピエロのローブ
Wizard25	きものローブ
Wizard26	セレブのローブ
Wizard27	ブリキのローブ
Wizard28	ヘビがらローブ
Wizard29	おどりこのローブ
Priest00	みならいのころも
Priest01	あさのころも
Priest02	かわのころも
Priest03	きぬのころも
Priest04	ひかりのころも
Priest05	せいじゃのころも
Priest06	しんぴのころも
Priest07	ナゾめいたころも
Priest08	さとりのころも
Priest09	せいなるころも
Priest10	さばきのころも
Priest11	えいゆうのころも
Priest12	でんせつのころも
Priest13	ヒーローのころも
Priest14	マッチョのころも
Priest15	ハートのころも
Priest16	ペンギンのころも
Priest17	みずたまのころも
Priest18	ボロボロのころも
Priest19	ウールのころも
Priest20	へいあんのころも
Priest21	フリフリレースのころも
Priest22	いのりのころも
Priest23	マトリョーシカのころも
Priest24	パンのころも
Priest25	ベルのころも
Priest26	むぎわらのころも
Priest27	ガラスのころも
Priest28	オバケのころも
Priest29	ブリキのころも
Thief00	みならいのしょうぞく
Thief01	かわのしょうぞく
Thief02	けがわのしょうぞく
Thief03	シルクのしょうぞく
Thief04	いしころしょうぞく
Thief05	すいえいのしょうぞく
Thief06	しおかぜのしょうぞく
Thief07	イナズマのしょうぞく
Thief08	ニンジャのしょうぞく
Thief09	こうてつのしょうぞく
Thief10	パンクのしょうぞく
Thief11	えいゆうのしょうぞく
Thief12	でんせつのしょうぞく
Thief13	ヒーローのしょうぞく
Thief14	マッチョのしょうぞく
Thief15	ハートのしょうぞく
Thief16	ガイコツのしょうぞく
Thief17	みずたまのしょうぞく
Thief18	ボロボロのしょうぞく
Thief19	ウールのしょうぞく
Thief20	かいじゅうのしょうぞく
Thief21	ヒップホップのしょうぞく
Thief22	アラビアンしょうぞく
Thief23	ヒヨコのしょうぞく
