0.msbt
ActionScore_AvoidKouraB	トゲゾーかいひ！
ActionScore_BattleBreakBalloon	ふうせんブレイク！
ActionScore_BattleEarlyClear	ナイスバトル！
ActionScore_BattleStrikeKart	たいあたり
ActionScore_BreakItemByItem	アイテムブレイク
ActionScore_BreakItemByItemGesso	ゲッソーげきたい！
ActionScore_BreakItemByItemKouraB	トゲゾーブレイク！
ActionScore_DashPanel	ダッシュプレート
ActionScore_FeverAction	フィーバーアクション
ActionScore_FeverGoal	フィーバーゴール！
ActionScore_GetCoin	コイン
ActionScore_Glide	グライドキープ
ActionScore_Goal1	1位ゴール！
ActionScore_Goal2	2位ゴール！
ActionScore_Goal3	3位ゴール！
ActionScore_Goal4	4位ゴール！
ActionScore_Goal5	5位ゴール！
ActionScore_Goal6	6位ゴール！
ActionScore_Goal7	7位ゴール！
ActionScore_Goal8	8位ゴール！
ActionScore_GoalBoost1	1位 ポイントブースト
ActionScore_GoalBoost2	2位 ポイントブースト
ActionScore_GoalBoost3	3位 ポイントブースト
ActionScore_GoalBoost4	4位 ポイントブースト
ActionScore_GoalBoost5	5位 ポイントブースト
ActionScore_GoalBoost6	6位 ポイントブースト
ActionScore_GoalBoost7	7位 ポイントブースト
ActionScore_GoalBoost8	8位 ポイントブースト
ActionScore_GuardItemByItem	アイテムガード
ActionScore_HitObjAccelRingMobsi	アクセルリング
ActionScore_HitObjAnchor3dsws	イカリ
ActionScore_HitObjBarrel	タル
ActionScore_HitObjBarrelBomb	タルばくだん
ActionScore_HitObjBarrelBombPropeller	タルばくだん
ActionScore_HitObjBasabasa	バサバサ
ActionScore_HitObjBattan	バッタン
ActionScore_HitObjBlockIce	アイスキューブ
ActionScore_HitObjBubble	バブル
ActionScore_HitObjCarBomb	ボムへいカー
ActionScore_HitObjCarBusRed	バス
ActionScore_HitObjCarBusWhite	バス
ActionScore_HitObjCarHatchbackGreen	くるま
ActionScore_HitObjCarHatchbackRed	くるま
ActionScore_HitObjCarMushroom	くるま
ActionScore_HitObjCarNormalBlue	くるま
ActionScore_HitObjCarNormalWhite	くるま
ActionScore_HitObjCarSmallTruck	トラック
ActionScore_HitObjCarSurf	トラック
ActionScore_HitObjCarSurfMobb	トラック
ActionScore_HitObjCarTruckRed	トラック
ActionScore_HitObjCarTruckWhite	トラック
ActionScore_HitObjCarTruckYellow	トラック
ActionScore_HitObjCarWiicm	くるま
ActionScore_HitObjChoropoo	チョロプー
ActionScore_HitObjCrab	カニ
ActionScore_HitObjCrashBox	きばこ
ActionScore_HitObjDokan	ドカン
ActionScore_HitObjDokanPackunSmall	パックンフラワー
ActionScore_HitObjDossun	ドッスン
ActionScore_HitObjDossunStar	スタードッスン
ActionScore_HitObjDurationKadomatsu	ハッピーニューイヤー！
ActionScore_HitObjDurationPumpkin	トリック オア トリート！
ActionScore_HitObjDurationPumpkinBig	トリック オア トリート！
ActionScore_HitObjDurationPumpkinFixed	トリック オア トリート！
ActionScore_HitObjDurationTreeX	メリークリスマス！
ActionScore_HitObjEggBig	おおきなタマゴ
ActionScore_HitObjFishBone	フィッシュボーン
ActionScore_HitObjFloat	うきわ
ActionScore_HitObjGoat	ヤギ
ActionScore_HitObjHanachan	ハナチャン
ActionScore_HitObjHeyhoCarpetGreen	そらとぶヘイホー
ActionScore_HitObjHeyhoCarpetRed	そらとぶヘイホー
ActionScore_HitObjHeyhoCarpetYellow	そらとぶヘイホー
ActionScore_HitObjHeyhoExplorerLightBlue	探検家ヘイホー
ActionScore_HitObjHeyhoExplorerRed	探検家ヘイホー
ActionScore_HitObjHeyhoExplorerYellow	探検家ヘイホー
ActionScore_HitObjHeyhoMobnm	ヘイホー（にんじゃ）
ActionScore_HitObjHeyhoMobnmAerial	ヘイホー（にんじゃ）
ActionScore_HitObjHeyhoSkateBlue	スケートヘイホー
ActionScore_HitObjHeyhoSkateRed	スケートヘイホー
ActionScore_HitObjHeyhoSnowBoard	スノボーへイホー
ActionScore_HitObjInkSphere	インク
ActionScore_HitObjIronBall	てっきゅう
ActionScore_HitObjKakiwariBush	かきわり
ActionScore_HitObjKakiwariKuribo	かきわり
ActionScore_HitObjKakiwariPackunFlower	かきわり
ActionScore_HitObjKakiwariTeresa	かきわり
ActionScore_HitObjKiller	マグナムキラー
ActionScore_HitObjKuribo	クリボー
ActionScore_HitObjLeafRed	おちば
ActionScore_HitObjPackunFlower	パックンフラワー
ActionScore_HitObjPackunFlowerInk	インクパックン
ActionScore_HitObjPackunSmall	パックンフラワー
ActionScore_HitObjPenguin	ペンギン
ActionScore_HitObjPillarIce	つらら
ActionScore_HitObjPillarStone	いわ
ActionScore_HitObjPoo	プー
ActionScore_HitObjPotGreen	ツボ
ActionScore_HitObjPotSnake	へびツボ
ActionScore_HitObjPukupuku	プクプク
ActionScore_HitObjPukupukuBeach	プクプク
ActionScore_HitObjPylonBlue	パイロン
ActionScore_HitObjPylonRed	パイロン
ActionScore_HitObjPylonYellow	パイロン
ActionScore_HitObjRock	いわゴロ
ActionScore_HitObjShellFish	アコヤガイ
ActionScore_HitObjSnowBall	ゆきだま
ActionScore_HitObjSnowman	ゆきだるま
ActionScore_HitObjStarRing	スターリング
ActionScore_HitObjStarRingPink	スターリング
ActionScore_HitObjStartGate3dsnbc	ゲートスピン！
ActionScore_HitObjStartGate3dsrrm	ゲートスピン！
ActionScore_HitObjStartGateAerial	ゲートスピン！
ActionScore_HitObjStartGateCmn	ゲートスピン！
ActionScore_HitObjStartGateMobnm	ゲートスピン！
ActionScore_HitObjStartGateMobt	ゲートスピン！
ActionScore_HitObjStartGateSimple	ゲートスピン！
ActionScore_HitObjStartGateSimpleAerial	ゲートスピン！
ActionScore_HitObjTableGcdc	テーブル
ActionScore_HitObjTrainMoba	れっしゃ
ActionScore_HitObjTrainMobhc	れっしゃ
ActionScore_HitObjTrainMobs	れっしゃ
ActionScore_HitObjTrainN64	れっしゃ
ActionScore_HitObjTramMoba	れっしゃ
ActionScore_HitObjWanwan	ワンワン
ActionScore_HitObjWanwanRolling	ワンワン
ActionScore_HitObjWarpTubeRing	スターリング
ActionScore_InterimRankBonus1	ラップ1位！
ActionScore_InterimRankBonus2	ラップ2位！
ActionScore_InterimRankBonus3	ラップ3位！
ActionScore_InterimRankBonus4	ラップ4位！
ActionScore_InterimRankBonus5	ラップ5位！
ActionScore_InterimRankBonus6	ラップ6位！
ActionScore_InterimRankBonus7	ラップ7位！
ActionScore_InterimRankBonus8	ラップ8位！
ActionScore_JumpAction	ジャンプアクション
ActionScore_JumpHalfPipe1	ハーフパイプ
ActionScore_JumpHalfPipe2	スペシャルトリック
ActionScore_JumpHalfPipeLongDash	スーパーハーフパイプ
ActionScore_MiniTurbo1	ミニターボ
ActionScore_MiniTurbo2	スーパーミニターボ
ActionScore_MiniTurbo3	ウルトラミニターボ
ActionScore_PressEnemy	ふみつぶし
ActionScore_Revenge	リベンジ
ActionScore_RocketStart1	ロケットスタート
ActionScore_RocketStart2	ロケットスタート
ActionScore_RocketStart3	ロケットスタート
ActionScore_RocketStart4	ロケットスタート
ActionScore_RocketStart5	ロケットスタート
ActionScore_SlipStream	スリップストリーム
ActionScore_StrikeFever	フィーバー で体当たり！
ActionScore_StrikeItem1	ミドリこうら HIT！
ActionScore_StrikeItem10	ボムへい HIT！
ActionScore_StrikeItem10P	ボムへい HIT！
ActionScore_StrikeItem11	ゲッソー HIT！
ActionScore_StrikeItem11P	ゲッソー HIT！
ActionScore_StrikeItem12	キラー HIT！
ActionScore_StrikeItem12P	キラー HIT！
ActionScore_StrikeItem13	ファイアボール HIT！
ActionScore_StrikeItem13P	ファイアボール HIT！
ActionScore_StrikeItem14	アイスボール HIT！
ActionScore_StrikeItem14P	アイスボール HIT！
ActionScore_StrikeItem15	ハンマー HIT！
ActionScore_StrikeItem15P	ハンマー HIT！
ActionScore_StrikeItem16	キラー HIT！
ActionScore_StrikeItem16P	キラー HIT！
ActionScore_StrikeItem17	ダッシュリング
ActionScore_StrikeItem17P	ダッシュリング＋
ActionScore_StrikeItem19	クッパこうら HIT！
ActionScore_StrikeItem19P	クッパこうら＋ HIT！
ActionScore_StrikeItem1P	ミドリこうら HIT！
ActionScore_StrikeItem2	アカこうら HIT！
ActionScore_StrikeItem20	ジャンボバナナ HIT！
ActionScore_StrikeItem20P	ジャンボバナナ＋ HIT！
ActionScore_StrikeItem21	ヨッシーのたまご HIT！
ActionScore_StrikeItem21P	ヨッシーのたまご＋ HIT！
ActionScore_StrikeItem22	スーパーベル HIT！
ActionScore_StrikeItem22P	スーパーベル＋ HIT！
ActionScore_StrikeItem23	キャサリンのたまご HIT！
ActionScore_StrikeItem23P	キャサリンのたまご＋ HIT！
ActionScore_StrikeItem27	ブーメラン HIT！
ActionScore_StrikeItem27P	ブーメラン HIT！
ActionScore_StrikeItem28	ハンマー HIT！
ActionScore_StrikeItem28P	ハンマー HIT！
ActionScore_StrikeItem29	スーパークラクション HIT！
ActionScore_StrikeItem29P	スーパークラクション HIT！
ActionScore_StrikeItem3	バナナ HIT！
ActionScore_StrikeItem31	カプセル HIT！
ActionScore_StrikeItem31P	カプセル＋ HIT！
ActionScore_StrikeItem36	スーパーこのは HIT！
ActionScore_StrikeItem36P	スーパーこのは＋ HIT！
ActionScore_StrikeItem3P	バナナ HIT！
ActionScore_StrikeItem41	ハート HIT！
ActionScore_StrikeItem41P	ハート＋ HIT！
ActionScore_StrikeItem48	きょだいキノコ で体当たり！
ActionScore_StrikeItem5	スーパースター で体当たり！
ActionScore_StrikeItem54	ギガボムへい HIT！
ActionScore_StrikeItem54P	ギガボムへい＋ HIT！
ActionScore_StrikeItem6	トゲゾーこうら HIT！
ActionScore_StrikeItem6P	トゲゾーこうら HIT！
ActionScore_StrikeItem7	サンダー HIT！
ActionScore_StrikeItem7P	サンダー HIT！
ActionScore_UseItem17	ダッシュリング
ActionScore_UseItem17P	ダッシュリング＋
ActionScore_UseItem18	シャボン
ActionScore_UseItem18P	シャボン＋
ActionScore_UseItem4	ダッシュキノコ
ActionScore_UseItem41	ハート
ActionScore_UseItem41P	ハート＋
ActionScore_UseItem4P	ダッシュキノコ
BtnCamera00_00000	180°
BtnHatenaBox00_00000	のこり
DLRaceGuide_AutoItem	オートアイテム！
DLRaceGuide_DriftLV1	まがりつづけると オートドリフト
DLRaceGuide_Fever	アイテム連打！
DLRaceGuide_Glide	下スライドで 上昇\r\n上スライドで 下降
DLRaceGuide_HasItem	上下スライドで 投げ分け
DLRaceGuide_JumpAction	オートで ジャンプアクション！
DLRaceGuide_KinokoShortCut	ダッシュキノコで スピードアップ！
DLRaceGuide_ManualDrift	左右スライドで ハンドル調整
DLRaceGuide_MiniTurbo	ドリフト解除で ミニターボ！
DLRaceGuide_TouchUpperDiaplay	画面下をタッチするのが\r\nオススメです
HundleButton_Drift	ドリフト
HundleButton_Steer	ハンドル
NumberOfSuperWin_0	1勝目！
NumberOfSuperWin_1	2連勝!!
NumberOfSuperWin_2	3連勝!!!
NumberOfSuperWin_Keep1	1勝キープ！
NumberOfSuperWin_Keep2	2連勝キープ！
OneHundredRaceRank_001	1st
OneHundredRaceRank_002	2nd
OneHundredRaceRank_003	3rd
OneHundredRaceRank_004	4th
OneHundredRaceRank_005	5th
OneHundredRaceRank_006	6th
OneHundredRaceRank_007	7th
OneHundredRaceRank_008	8th
OneHundredRaceRank_009	9th
OneHundredRaceRank_010	10th
OneHundredRaceRank_011	11th
OneHundredRaceRank_012	12th
OneHundredRaceRank_013	13th
OneHundredRaceRank_014	14th
OneHundredRaceRank_015	15th
OneHundredRaceRank_016	16th
OneHundredRaceRank_017	17th
OneHundredRaceRank_018	18th
OneHundredRaceRank_019	19th
OneHundredRaceRank_020	20th
OneHundredRaceRank_021	21st
OneHundredRaceRank_022	22nd
OneHundredRaceRank_023	23rd
OneHundredRaceRank_024	24th
OneHundredRaceRank_025	25th
OneHundredRaceRank_026	26th
OneHundredRaceRank_027	27th
OneHundredRaceRank_028	28th
OneHundredRaceRank_029	29th
OneHundredRaceRank_030	30th
OneHundredRaceRank_031	31st
OneHundredRaceRank_032	32nd
OneHundredRaceRank_033	33rd
OneHundredRaceRank_034	34th
OneHundredRaceRank_035	35th
OneHundredRaceRank_036	36th
OneHundredRaceRank_037	37th
OneHundredRaceRank_038	38th
OneHundredRaceRank_039	39th
OneHundredRaceRank_040	40th
OneHundredRaceRank_041	41st
OneHundredRaceRank_042	42nd
OneHundredRaceRank_043	43rd
OneHundredRaceRank_044	44th
OneHundredRaceRank_045	45th
OneHundredRaceRank_046	46th
OneHundredRaceRank_047	47th
OneHundredRaceRank_048	48th
OneHundredRaceRank_049	49th
OneHundredRaceRank_050	50th
OneHundredRaceRank_051	51st
OneHundredRaceRank_052	52nd
OneHundredRaceRank_053	53rd
OneHundredRaceRank_054	54th
OneHundredRaceRank_055	55th
OneHundredRaceRank_056	56th
OneHundredRaceRank_057	57th
OneHundredRaceRank_058	58th
OneHundredRaceRank_059	59th
OneHundredRaceRank_060	60th
OneHundredRaceRank_061	61st
OneHundredRaceRank_062	62nd
OneHundredRaceRank_063	63rd
OneHundredRaceRank_064	64th
OneHundredRaceRank_065	65th
OneHundredRaceRank_066	66th
OneHundredRaceRank_067	67th
OneHundredRaceRank_068	68th
OneHundredRaceRank_069	69th
OneHundredRaceRank_070	70th
OneHundredRaceRank_071	71st
OneHundredRaceRank_072	72nd
OneHundredRaceRank_073	73rd
OneHundredRaceRank_074	74th
OneHundredRaceRank_075	75th
OneHundredRaceRank_076	76th
OneHundredRaceRank_077	77th
OneHundredRaceRank_078	78th
OneHundredRaceRank_079	79th
OneHundredRaceRank_080	80th
OneHundredRaceRank_081	81st
OneHundredRaceRank_082	82nd
OneHundredRaceRank_083	83rd
OneHundredRaceRank_084	84th
OneHundredRaceRank_085	85th
OneHundredRaceRank_086	86th
OneHundredRaceRank_087	87th
OneHundredRaceRank_088	88th
OneHundredRaceRank_089	89th
OneHundredRaceRank_090	90th
OneHundredRaceRank_091	91st
OneHundredRaceRank_092	92nd
OneHundredRaceRank_093	93rd
OneHundredRaceRank_094	94th
OneHundredRaceRank_095	95th
OneHundredRaceRank_096	96th
OneHundredRaceRank_097	97th
OneHundredRaceRank_098	98th
OneHundredRaceRank_099	99th
OneHundredRaceRank_100	100th
PauseWindow00_00000	レース中の画面
PauseWindow00_00001	スタートをやりなおす
PauseWindow00_00002	ゲームをやめる
PostEffectType_DOF	ちょっとボケる
PostEffectType_DOF2	けっこうボケる
PostEffectType_Fisheye	魚眼カメラ
PostEffectType_GrayScale	白黒
PostEffectType_None	フィルター なし
PostEffectType_RadialBlur	ブラー
PostEffectType_Sepia	セピア
PostEffectType_Toon	コミック
PvpEntryWinCount_1	1勝中
PvpEntryWinCount_2	2連勝中
PvPForceFinish_AllGoal	順位が確定しました
PvPForceFinish_TimeDifference	１位と２０秒差がつきました
PvPRaceNumBelt_1	1st レース
PvPRaceNumBelt_10	10th レース
PvPRaceNumBelt_11	11th レース
PvPRaceNumBelt_2	2nd レース
PvPRaceNumBelt_3	3rd レース
PvPRaceNumBelt_4	4th レース
PvPRaceNumBelt_5	5th レース
PvPRaceNumBelt_6	6th レース
PvPRaceNumBelt_7	7th レース
PvPRaceNumBelt_8	8th レース
PvPRaceNumBelt_9	9th レース
PvPRaceNumBelt_Battle_1	1st バトル
PvPRaceNumBelt_Battle_10	10th バトル
PvPRaceNumBelt_Battle_11	11th バトル
PvPRaceNumBelt_Battle_2	2nd バトル
PvPRaceNumBelt_Battle_3	3rd バトル
PvPRaceNumBelt_Battle_4	4th バトル
PvPRaceNumBelt_Battle_5	5th バトル
PvPRaceNumBelt_Battle_6	6th バトル
PvPRaceNumBelt_Battle_7	7th バトル
PvPRaceNumBelt_Battle_8	8th バトル
PvPRaceNumBelt_Battle_9	9th バトル
PvPRaceNumBelt_Battle_Final	ファイナルバトル
PvPRaceNumBelt_Final	ファイナルレース
PvpResultWinCount_1	1勝！
PvpResultWinCount_2	2連勝!!
