0.msbt
ActionScore_AvoidKouraB	躲避刺刺龟壳！
ActionScore_BattleBreakBalloon	破坏气球！
ActionScore_BattleEarlyClear	精彩对战！
ActionScore_BattleStrikeKart	冲撞
ActionScore_BreakItemByItem	破坏道具
ActionScore_BreakItemByItemGesso	击退鱿鱿
ActionScore_BreakItemByItemKouraB	破坏刺刺龟壳！
ActionScore_DashPanel	冲刺板
ActionScore_FeverAction	狂热动作
ActionScore_FeverGoal	狂热完赛！
ActionScore_GetCoin	金币
ActionScore_Glide	持续滑翔
ActionScore_Goal1	获得第1名
ActionScore_Goal2	获得第2名
ActionScore_Goal3	获得第3名
ActionScore_Goal4	获得第4名
ActionScore_Goal5	获得第5名
ActionScore_Goal6	获得第6名
ActionScore_Goal7	获得第7名
ActionScore_Goal8	获得第8名
ActionScore_GoalBoost1	第1名 分数嘉奖
ActionScore_GoalBoost2	第2名 分数嘉奖
ActionScore_GoalBoost3	第3名 分数嘉奖
ActionScore_GoalBoost4	第4名 分数嘉奖
ActionScore_GoalBoost5	第5名 分数嘉奖
ActionScore_GoalBoost6	第6名 分数嘉奖
ActionScore_GoalBoost7	第7名 分数嘉奖
ActionScore_GoalBoost8	第8名 分数嘉奖
ActionScore_GuardItemByItem	道具防护
ActionScore_HitObjAccelRingMobsi	加速环
ActionScore_HitObjBarrel	木桶
ActionScore_HitObjBarrelBomb	木桶炸弹
ActionScore_HitObjBarrelBombPropeller	木桶炸弹
ActionScore_HitObjBasabasa	啪沙啪沙蝙蝠
ActionScore_HitObjBathBomb	浴盐球
ActionScore_HitObjBattan	砰砰
ActionScore_HitObjBeachBall	沙滩球
ActionScore_HitObjBlockIce	冰块
ActionScore_HitObjBoots	鞋子
ActionScore_HitObjBubble	火焰泡泡
ActionScore_HitObjCarBomb	炸弹兵车
ActionScore_HitObjCarBusRed	巴士
ActionScore_HitObjCarBusWhite	巴士
ActionScore_HitObjCarHanachan	花毛毛老大车
ActionScore_HitObjCarHatchbackGreen	汽车
ActionScore_HitObjCarHatchbackRed	汽车
ActionScore_HitObjCarMushroom	汽车
ActionScore_HitObjCarNormalBlue	汽车
ActionScore_HitObjCarNormalWhite	汽车
ActionScore_HitObjCarSmallTruck	卡车
ActionScore_HitObjCarSurf	卡车
ActionScore_HitObjCarSurfMobb	卡车
ActionScore_HitObjCarTruckRed	卡车
ActionScore_HitObjCarTruckWhite	卡车
ActionScore_HitObjCarTruckYellow	卡车
ActionScore_HitObjCarWiicm	汽车
ActionScore_HitObjChoropoo	黄鼹鼠
ActionScore_HitObjCrab	螃蟹
ActionScore_HitObjCrashBox	木箱
ActionScore_HitObjDokan	水管
ActionScore_HitObjDokanPackunSmall	吞食花
ActionScore_HitObjDossun	咚咚
ActionScore_HitObjDossunStar	星星咚咚
ActionScore_HitObjDuckToy	玩具鸭
ActionScore_HitObjDurationEasteregg	复活节快乐！
ActionScore_HitObjDurationEastereggBig	复活节快乐！
ActionScore_HitObjDurationKadomatsu	新年快乐！
ActionScore_HitObjDurationPumpkin	不给糖，就捣蛋！
ActionScore_HitObjDurationPumpkinBig	不给糖，就捣蛋！
ActionScore_HitObjDurationPumpkinFixed	不给糖，就捣蛋！
ActionScore_HitObjDurationTreeX	圣诞快乐！
ActionScore_HitObjFireBall	火焰球
ActionScore_HitObjFishBone	鱼骨头
ActionScore_HitObjFloat	游泳圈
ActionScore_HitObjFuzzy	刺毛怪
ActionScore_HitObjGoat	山羊
ActionScore_HitObjHanachan	花毛毛
ActionScore_HitObjHeyhoCarpetGreen	飞翔的嘿呵
ActionScore_HitObjHeyhoCarpetRed	飞翔的嘿呵
ActionScore_HitObjHeyhoCarpetYellow	飞翔的嘿呵
ActionScore_HitObjHeyhoExplorerLightBlue	探险家嘿呵
ActionScore_HitObjHeyhoExplorerRed	探险家嘿呵
ActionScore_HitObjHeyhoExplorerYellow	探险家嘿呵
ActionScore_HitObjHeyhoMobnm	嘿呵（忍者）
ActionScore_HitObjHeyhoMobnmAerial	嘿呵（忍者）
ActionScore_HitObjHeyhoSkateBlue	溜冰的嘿呵
ActionScore_HitObjHeyhoSkateRed	溜冰的嘿呵
ActionScore_HitObjHeyhoSnowBoard	滑雪的嘿呵
ActionScore_HitObjHulaHoop	呼啦圈
ActionScore_HitObjInkSphere	墨水
ActionScore_HitObjIronBall	铁球
ActionScore_HitObjJellyfish	发光水母
ActionScore_HitObjKakiwariBush	布景
ActionScore_HitObjKakiwariKuribo	布景
ActionScore_HitObjKakiwariPackunFlower	布景
ActionScore_HitObjKakiwariTeresa	布景
ActionScore_HitObjKiller	大炮弹刺客
ActionScore_HitObjKuribo	栗宝宝
ActionScore_HitObjKuriboFloatToy	玩具栗宝宝
ActionScore_HitObjLeafRed	落叶
ActionScore_HitObjPackunFlower	吞食花
ActionScore_HitObjPackunFlowerFire	火焰吞食花
ActionScore_HitObjPackunFlowerHone	枯骨吞食花
ActionScore_HitObjPackunFlowerInk	墨水吞食花
ActionScore_HitObjPackunSmall	吞食花
ActionScore_HitObjPenguin	企鹅
ActionScore_HitObjPillarIce	冰柱
ActionScore_HitObjPillarStone	岩石
ActionScore_HitObjPoo	扳手仔
ActionScore_HitObjPotGreen	壶
ActionScore_HitObjPotSnake	蛇壶
ActionScore_HitObjPukupuku	泡泡鱼
ActionScore_HitObjPukupukuBeach	泡泡鱼
ActionScore_HitObjPukupukuMecha	机器泡泡鱼
ActionScore_HitObjPylonBlue	交通锥
ActionScore_HitObjPylonRed	交通锥
ActionScore_HitObjPylonYellow	交通锥
ActionScore_HitObjRock	滚动岩石
ActionScore_HitObjRockVolcano	火山弹
ActionScore_HitObjSanbo	刺球丸子
ActionScore_HitObjShellFish	珍珠贝
ActionScore_HitObjSnowBall	雪球
ActionScore_HitObjSnowman	雪人
ActionScore_HitObjSoccerBall	足球
ActionScore_HitObjSpiderweb	蜘蛛网
ActionScore_HitObjStarRing	星星环
ActionScore_HitObjStartGate3dsnbc	转动门扉！
ActionScore_HitObjStartGate3dsrrm	转动门扉！
ActionScore_HitObjStartGateAerial	转动门扉！
ActionScore_HitObjStartGateCmn	转动门扉！
ActionScore_HitObjStartGateMobnm	转动门扉！
ActionScore_HitObjStartGateMobor2	转动门扉！
ActionScore_HitObjStartGateMobt	转动门扉！
ActionScore_HitObjStartGateSimple	转动门扉！
ActionScore_HitObjStartGateSimpleAerial	转动门扉！
ActionScore_HitObjTableGcdc	桌子
ActionScore_HitObjTrainMoba	列车
ActionScore_HitObjTrainMobhc	列车
ActionScore_HitObjTrainMobs	列车
ActionScore_HitObjTrainN64	列车
ActionScore_HitObjTramMoba	列车
ActionScore_HitObjWanwan	汪汪
ActionScore_HitObjWanwanRolling	汪汪
ActionScore_InterimRankBonus1	本圈第1名！
ActionScore_InterimRankBonus2	本圈第2名！
ActionScore_InterimRankBonus3	本圈第3名！
ActionScore_InterimRankBonus4	本圈第4名！
ActionScore_InterimRankBonus5	本圈第5名！
ActionScore_InterimRankBonus6	本圈第6名！
ActionScore_InterimRankBonus7	本圈第7名！
ActionScore_InterimRankBonus8	本圈第8名！
ActionScore_JumpAction	跳跃动作
ActionScore_JumpHalfPipe1	U池技巧
ActionScore_JumpHalfPipe2	特技
ActionScore_JumpHalfPipeLongDash	超级U池技巧
ActionScore_MiniTurbo1	迷你加速
ActionScore_MiniTurbo2	超级迷你加速
ActionScore_MiniTurbo3	究极迷你加速
ActionScore_PressEnemy	踩扁
ActionScore_Revenge	复仇
ActionScore_RocketStart1	火箭起步
ActionScore_RocketStart2	火箭起步
ActionScore_RocketStart3	火箭起步
ActionScore_RocketStart4	火箭起步
ActionScore_RocketStart5	火箭起步
ActionScore_SlipStream	滑流
ActionScore_StrikeFever	使用狂热冲撞！
ActionScore_StrikeItem1	绿龟壳 HIT！
ActionScore_StrikeItem10	炸弹兵 HIT！
ActionScore_StrikeItem10P	炸弹兵 HIT！
ActionScore_StrikeItem11	鱿鱿 HIT！
ActionScore_StrikeItem11P	鱿鱿 HIT！
ActionScore_StrikeItem12	炮弹刺客 HIT！
ActionScore_StrikeItem12P	炮弹刺客 HIT！
ActionScore_StrikeItem13	火球 HIT！
ActionScore_StrikeItem13P	火球 HIT！
ActionScore_StrikeItem14	冰球 HIT！
ActionScore_StrikeItem14P	冰球 HIT！
ActionScore_StrikeItem15	锤子 HIT！
ActionScore_StrikeItem15P	锤子 HIT！
ActionScore_StrikeItem16	炮弹刺客 HIT！
ActionScore_StrikeItem16P	炮弹刺客 HIT！
ActionScore_StrikeItem17	冲刺圆环
ActionScore_StrikeItem17P	冲刺圆环+
ActionScore_StrikeItem19	酷霸王龟壳 HIT！
ActionScore_StrikeItem19P	酷霸王龟壳+ HIT！
ActionScore_StrikeItem1P	绿龟壳 HIT！
ActionScore_StrikeItem2	红龟壳 HIT！
ActionScore_StrikeItem20	巨型香蕉皮 HIT！
ActionScore_StrikeItem20P	巨型香蕉皮+ HIT！
ActionScore_StrikeItem21	耀西蛋 HIT！
ActionScore_StrikeItem21P	耀西蛋+ HIT！
ActionScore_StrikeItem22	超级铃铛 HIT！
ActionScore_StrikeItem22P	超级铃铛+ HIT！
ActionScore_StrikeItem23	凯瑟琳蛋 HIT！
ActionScore_StrikeItem23P	凯瑟琳蛋+ HIT！
ActionScore_StrikeItem27	回旋镖 HIT！
ActionScore_StrikeItem27P	回旋镖 HIT！
ActionScore_StrikeItem28	锤子 HIT！
ActionScore_StrikeItem28P	锤子 HIT！
ActionScore_StrikeItem29	超级喇叭 HIT！
ActionScore_StrikeItem29P	超级喇叭 HIT！
ActionScore_StrikeItem3	香蕉皮 HIT！
ActionScore_StrikeItem31	胶囊 HIT！
ActionScore_StrikeItem31P	胶囊+ HIT！
ActionScore_StrikeItem36	超级树叶 HIT！
ActionScore_StrikeItem36P	超级树叶＋ HIT！
ActionScore_StrikeItem3P	香蕉皮 HIT！
ActionScore_StrikeItem41	爱心 HIT！
ActionScore_StrikeItem41P	爱心+ HIT！
ActionScore_StrikeItem48	使用巨大蘑菇冲撞！
ActionScore_StrikeItem5	使用无敌星冲撞！
