0.msbt
ActionScore_AvoidKouraB	避開刺刺龜殼！
ActionScore_BattleBreakBalloon	破壞氣球！
ActionScore_BattleEarlyClear	打得漂亮！
ActionScore_BattleStrikeKart	衝撞
ActionScore_BreakItemByItem	道具破壞
ActionScore_BreakItemByItemGesso	擊退魷魷！
ActionScore_BreakItemByItemKouraB	破壞刺刺龜殼！
ActionScore_DashPanel	衝刺板
ActionScore_FeverAction	狂熱動作
ActionScore_FeverGoal	狂熱抵達終點！
ActionScore_GetCoin	金幣
ActionScore_Glide	持續滑翔
ActionScore_Goal1	取得第1名！
ActionScore_Goal2	取得第2名！
ActionScore_Goal3	取得第3名！
ActionScore_Goal4	取得第4名！
ActionScore_Goal5	取得第5名！
ActionScore_Goal6	取得第6名！
ActionScore_Goal7	取得第7名！
ActionScore_Goal8	取得第8名！
ActionScore_GoalBoost1	第1名 分數嘉獎
ActionScore_GoalBoost2	第2名 分數嘉獎
ActionScore_GoalBoost3	第3名 分數嘉獎
ActionScore_GoalBoost4	第4名 分數嘉獎
ActionScore_GoalBoost5	第5名 分數嘉獎
ActionScore_GoalBoost6	第6名 分數嘉獎
ActionScore_GoalBoost7	第7名 分數嘉獎
ActionScore_GoalBoost8	第8名 分數嘉獎
ActionScore_GuardItemByItem	道具防護
ActionScore_HitObjAccelRingMobsi	加速環
ActionScore_HitObjAnchor3dsws	船錨
ActionScore_HitObjBarrel	木桶
ActionScore_HitObjBarrelBomb	木桶炸彈
ActionScore_HitObjBarrelBombPropeller	木桶炸彈
ActionScore_HitObjBasabasa	啪沙啪沙蝙蝠
ActionScore_HitObjBattan	砰砰
ActionScore_HitObjBlockIce	冰塊
ActionScore_HitObjBubble	火焰泡泡
ActionScore_HitObjCarBomb	炸彈兵車
ActionScore_HitObjCarBusRed	巴士
ActionScore_HitObjCarBusWhite	巴士
ActionScore_HitObjCarHatchbackGreen	汽車
ActionScore_HitObjCarHatchbackRed	汽車
ActionScore_HitObjCarMushroom	汽車
ActionScore_HitObjCarNormalBlue	汽車
ActionScore_HitObjCarNormalWhite	汽車
ActionScore_HitObjCarSmallTruck	卡車
ActionScore_HitObjCarSurf	卡車
ActionScore_HitObjCarSurfMobb	卡車
ActionScore_HitObjCarTruckRed	卡車
ActionScore_HitObjCarTruckWhite	卡車
ActionScore_HitObjCarTruckYellow	卡車
ActionScore_HitObjCarWiicm	汽車
ActionScore_HitObjChoropoo	黃鼴鼠
ActionScore_HitObjCrab	螃蟹
ActionScore_HitObjCrashBox	木箱
ActionScore_HitObjDokan	水管
ActionScore_HitObjDokanPackunSmall	吞食花
ActionScore_HitObjDossun	咚咚
ActionScore_HitObjDossunStar	星星咚咚
ActionScore_HitObjDurationKadomatsu	新年快樂！
ActionScore_HitObjDurationPumpkin	不給糖就搗蛋！
ActionScore_HitObjDurationPumpkinBig	不給糖就搗蛋！
ActionScore_HitObjDurationPumpkinFixed	不給糖就搗蛋！
ActionScore_HitObjDurationTreeX	聖誕快樂！
ActionScore_HitObjEggBig	巨大的蛋
ActionScore_HitObjFishBone	魚骨頭
ActionScore_HitObjFloat	游泳圈
ActionScore_HitObjGoat	山羊
ActionScore_HitObjHanachan	花毛毛
ActionScore_HitObjHeyhoCarpetGreen	飛翔的嘿呵
ActionScore_HitObjHeyhoCarpetRed	飛翔的嘿呵
ActionScore_HitObjHeyhoCarpetYellow	飛翔的嘿呵
ActionScore_HitObjHeyhoExplorerLightBlue	探險家嘿呵
ActionScore_HitObjHeyhoExplorerRed	探險家嘿呵
ActionScore_HitObjHeyhoExplorerYellow	探險家嘿呵
ActionScore_HitObjHeyhoMobnm	嘿呵（忍者）
ActionScore_HitObjHeyhoMobnmAerial	嘿呵（忍者）
ActionScore_HitObjHeyhoSkateBlue	溜冰的嘿呵
ActionScore_HitObjHeyhoSkateRed	溜冰的嘿呵
ActionScore_HitObjHeyhoSnowBoard	滑雪的嘿呵
ActionScore_HitObjInkSphere	墨水
ActionScore_HitObjIronBall	鐵球
ActionScore_HitObjKakiwariBush	布景
ActionScore_HitObjKakiwariKuribo	布景
ActionScore_HitObjKakiwariPackunFlower	布景
ActionScore_HitObjKakiwariTeresa	布景
ActionScore_HitObjKiller	大炮彈刺客
ActionScore_HitObjKuribo	栗寶寶
ActionScore_HitObjLeafRed	落葉
ActionScore_HitObjPackunFlower	吞食花
ActionScore_HitObjPackunFlowerInk	墨水吞食花
ActionScore_HitObjPackunSmall	吞食花
ActionScore_HitObjPenguin	企鵝
ActionScore_HitObjPillarIce	冰柱
ActionScore_HitObjPillarStone	岩石
ActionScore_HitObjPoo	扳手仔
ActionScore_HitObjPotGreen	壺
ActionScore_HitObjPotSnake	蛇壺
ActionScore_HitObjPukupuku	泡泡魚
ActionScore_HitObjPukupukuBeach	泡泡魚
ActionScore_HitObjPylonBlue	交通錐
ActionScore_HitObjPylonRed	交通錐
ActionScore_HitObjPylonYellow	交通錐
ActionScore_HitObjRock	滾動岩石
ActionScore_HitObjShellFish	珍珠貝
ActionScore_HitObjSnowBall	雪球
ActionScore_HitObjSnowman	雪人
ActionScore_HitObjStarRing	星星環
ActionScore_HitObjStarRingPink	星星環
ActionScore_HitObjStartGate3dsnbc	旋轉起點門！
ActionScore_HitObjStartGate3dsrrm	旋轉起點門！
ActionScore_HitObjStartGateAerial	旋轉起點門！
ActionScore_HitObjStartGateCmn	旋轉起點門！
ActionScore_HitObjStartGateMobnm	旋轉起點門！
ActionScore_HitObjStartGateMobt	旋轉起點門！
ActionScore_HitObjStartGateSimple	旋轉起點門！
ActionScore_HitObjStartGateSimpleAerial	旋轉起點門！
ActionScore_HitObjTableGcdc	桌子
ActionScore_HitObjTrainMoba	列車
ActionScore_HitObjTrainMobhc	列車
ActionScore_HitObjTrainMobs	列車
ActionScore_HitObjTrainN64	列車
ActionScore_HitObjTramMoba	列車
ActionScore_HitObjWanwan	汪汪
ActionScore_HitObjWanwanRolling	汪汪
ActionScore_HitObjWarpTubeRing	星星環
ActionScore_InterimRankBonus1	本圈第1名！
ActionScore_InterimRankBonus2	本圈第2名！
ActionScore_InterimRankBonus3	本圈第3名！
ActionScore_InterimRankBonus4	本圈第4名！
ActionScore_InterimRankBonus5	本圈第5名！
ActionScore_InterimRankBonus6	本圈第6名！
ActionScore_InterimRankBonus7	本圈第7名！
ActionScore_InterimRankBonus8	本圈第8名！
ActionScore_JumpAction	跳躍動作
ActionScore_JumpHalfPipe1	U池技巧
ActionScore_JumpHalfPipe2	特技
ActionScore_JumpHalfPipeLongDash	超級U池技巧
ActionScore_MiniTurbo1	迷你加速
ActionScore_MiniTurbo2	超級迷你加速
ActionScore_MiniTurbo3	究極迷你加速
ActionScore_PressEnemy	踩扁
ActionScore_Revenge	復仇
ActionScore_RocketStart1	火箭起步
ActionScore_RocketStart2	火箭起步
ActionScore_RocketStart3	火箭起步
ActionScore_RocketStart4	火箭起步
ActionScore_RocketStart5	火箭起步
ActionScore_SlipStream	滑流
ActionScore_StrikeFever	使用狂熱衝撞！
ActionScore_StrikeItem1	綠龜殼 HIT！
ActionScore_StrikeItem10	炸彈兵 HIT！
ActionScore_StrikeItem10P	炸彈兵 HIT！
ActionScore_StrikeItem11	魷魷 HIT！
ActionScore_StrikeItem11P	魷魷 HIT！
ActionScore_StrikeItem12	炮彈刺客 HIT！
ActionScore_StrikeItem12P	炮彈刺客 HIT！
ActionScore_StrikeItem13	火焰球 HIT！
ActionScore_StrikeItem13P	火焰球 HIT！
ActionScore_StrikeItem14	冰球 HIT！
ActionScore_StrikeItem14P	冰球 HIT！
ActionScore_StrikeItem15	鎚子 HIT！
ActionScore_StrikeItem15P	鎚子 HIT！
ActionScore_StrikeItem16	炮彈刺客 HIT！
ActionScore_StrikeItem16P	炮彈刺客 HIT！
ActionScore_StrikeItem17	衝刺圓環
ActionScore_StrikeItem17P	衝刺圓環+
ActionScore_StrikeItem19	庫巴龜殼 HIT！
ActionScore_StrikeItem19P	庫巴龜殼+ HIT！
ActionScore_StrikeItem1P	綠龜殼 HIT！
ActionScore_StrikeItem2	紅龜殼 HIT！
ActionScore_StrikeItem20	巨型香蕉皮 HIT！
ActionScore_StrikeItem20P	巨型香蕉皮+ HIT！
ActionScore_StrikeItem21	耀西蛋 HIT！
ActionScore_StrikeItem21P	耀西蛋+ HIT！
ActionScore_StrikeItem22	超級鈴鐺 HIT！
ActionScore_StrikeItem22P	超級鈴鐺+ HIT！
ActionScore_StrikeItem23	凱瑟琳蛋 HIT！
ActionScore_StrikeItem23P	凱瑟琳蛋+ HIT！
ActionScore_StrikeItem27	迴旋鏢 HIT！
ActionScore_StrikeItem27P	迴旋鏢 HIT！
ActionScore_StrikeItem28	鎚子 HIT！
ActionScore_StrikeItem28P	鎚子 HIT！
ActionScore_StrikeItem29	超級喇叭 HIT！
ActionScore_StrikeItem29P	超級喇叭 HIT！
ActionScore_StrikeItem3	香蕉皮 HIT！
ActionScore_StrikeItem31	膠囊 HIT！
ActionScore_StrikeItem31P	膠囊+ HIT！
ActionScore_StrikeItem36	超級樹葉 HIT！
ActionScore_StrikeItem36P	超級樹葉+ HIT！
ActionScore_StrikeItem3P	香蕉皮 HIT！
ActionScore_StrikeItem41	愛心 HIT！
ActionScore_StrikeItem41P	愛心+ HIT！
ActionScore_StrikeItem48	使用巨大蘑菇衝撞！
ActionScore_StrikeItem5	使用無敵星衝撞！
ActionScore_StrikeItem54	龐大炸彈兵 HIT！
ActionScore_StrikeItem54P	龐大炸彈兵+ HIT！
ActionScore_StrikeItem6	刺刺龜殼 HIT！
ActionScore_StrikeItem6P	刺刺龜殼 HIT！
ActionScore_StrikeItem7	閃電 HIT！
ActionScore_StrikeItem7P	閃電 HIT！
ActionScore_UseItem17	衝刺圓環
ActionScore_UseItem17P	衝刺圓環+
ActionScore_UseItem18	肥皂泡
ActionScore_UseItem18P	肥皂泡+
ActionScore_UseItem4	衝刺蘑菇
ActionScore_UseItem41	愛心
ActionScore_UseItem41P	愛心+
ActionScore_UseItem4P	衝刺蘑菇
BtnCamera00_00000	180°
BtnHatenaBox00_00000	剩餘
DLRaceGuide_AutoItem	自動道具！
DLRaceGuide_DriftLV1	持續轉彎就能自動漂移。
DLRaceGuide_Fever	連續使用道具！
DLRaceGuide_Glide	向下滑動是上升，\r\n向上滑動則是下降。
DLRaceGuide_HasItem	透過上下滑動來決定投擲方向。
DLRaceGuide_JumpAction	自動做出跳躍動作！
DLRaceGuide_KinokoShortCut	使用衝刺蘑菇提升速度！
DLRaceGuide_ManualDrift	透過左右滑動調整方向盤。
DLRaceGuide_MiniTurbo	解除漂移就能進行迷你加速！
DLRaceGuide_TouchUpperDiaplay	推薦點觸畫面下方。
HundleButton_Drift	漂移
HundleButton_Steer	方向盤
NumberOfSuperWin_0	第1勝！
NumberOfSuperWin_1	2連勝!!
NumberOfSuperWin_2	3連勝!!!
NumberOfSuperWin_Keep1	保持1勝！
NumberOfSuperWin_Keep2	保持2連勝！
OneHundredRaceRank_001	1st
OneHundredRaceRank_002	2nd
OneHundredRaceRank_003	3rd
OneHundredRaceRank_004	4th
OneHundredRaceRank_005	5th
OneHundredRaceRank_006	6th
OneHundredRaceRank_007	7th
OneHundredRaceRank_008	8th
OneHundredRaceRank_009	9th
OneHundredRaceRank_010	10th
OneHundredRaceRank_011	11th
OneHundredRaceRank_012	12th
OneHundredRaceRank_013	13th
OneHundredRaceRank_014	14th
OneHundredRaceRank_015	15th
OneHundredRaceRank_016	16th
OneHundredRaceRank_017	17th
OneHundredRaceRank_018	18th
OneHundredRaceRank_019	19th
OneHundredRaceRank_020	20th
OneHundredRaceRank_021	21st
OneHundredRaceRank_022	22nd
OneHundredRaceRank_023	23rd
OneHundredRaceRank_024	24th
OneHundredRaceRank_025	25th
OneHundredRaceRank_026	26th
OneHundredRaceRank_027	27th
OneHundredRaceRank_028	28th
OneHundredRaceRank_029	29th
OneHundredRaceRank_030	30th
OneHundredRaceRank_031	31st
OneHundredRaceRank_032	32nd
OneHundredRaceRank_033	33rd
OneHundredRaceRank_034	34th
OneHundredRaceRank_035	35th
OneHundredRaceRank_036	36th
OneHundredRaceRank_037	37th
OneHundredRaceRank_038	38th
OneHundredRaceRank_039	39th
OneHundredRaceRank_040	40th
OneHundredRaceRank_041	41st
OneHundredRaceRank_042	42nd
OneHundredRaceRank_043	43rd
OneHundredRaceRank_044	44th
OneHundredRaceRank_045	45th
OneHundredRaceRank_046	46th
OneHundredRaceRank_047	47th
OneHundredRaceRank_048	48th
OneHundredRaceRank_049	49th
OneHundredRaceRank_050	50th
OneHundredRaceRank_051	51st
OneHundredRaceRank_052	52nd
OneHundredRaceRank_053	53rd
OneHundredRaceRank_054	54th
OneHundredRaceRank_055	55th
OneHundredRaceRank_056	56th
OneHundredRaceRank_057	57th
OneHundredRaceRank_058	58th
OneHundredRaceRank_059	59th
OneHundredRaceRank_060	60th
OneHundredRaceRank_061	61st
OneHundredRaceRank_062	62nd
OneHundredRaceRank_063	63rd
OneHundredRaceRank_064	64th
OneHundredRaceRank_065	65th
OneHundredRaceRank_066	66th
OneHundredRaceRank_067	67th
OneHundredRaceRank_068	68th
OneHundredRaceRank_069	69th
OneHundredRaceRank_070	70th
OneHundredRaceRank_071	71st
OneHundredRaceRank_072	72nd
OneHundredRaceRank_073	73rd
OneHundredRaceRank_074	74th
OneHundredRaceRank_075	75th
OneHundredRaceRank_076	76th
OneHundredRaceRank_077	77th
OneHundredRaceRank_078	78th
OneHundredRaceRank_079	79th
OneHundredRaceRank_080	80th
OneHundredRaceRank_081	81st
OneHundredRaceRank_082	82nd
OneHundredRaceRank_083	83rd
OneHundredRaceRank_084	84th
OneHundredRaceRank_085	85th
OneHundredRaceRank_086	86th
OneHundredRaceRank_087	87th
OneHundredRaceRank_088	88th
OneHundredRaceRank_089	89th
OneHundredRaceRank_090	90th
OneHundredRaceRank_091	91st
OneHundredRaceRank_092	92nd
OneHundredRaceRank_093	93rd
OneHundredRaceRank_094	94th
OneHundredRaceRank_095	95th
OneHundredRaceRank_096	96th
OneHundredRaceRank_097	97th
OneHundredRaceRank_098	98th
OneHundredRaceRank_099	99th
OneHundredRaceRank_100	100th
PauseWindow00_00000	比賽中的畫面
PauseWindow00_00001	重新開始
PauseWindow00_00002	放棄
PostEffectType_DOF	輕度散景效果
PostEffectType_DOF2	重度散景效果
PostEffectType_Fisheye	魚眼鏡頭
