glossary.msbt
gl_799	酷霸王蛋糕
hsmg_common.msbt
hsmg_tlp_start	START!
hsmg_tlp_count	[0]
hsmg_tlp_go	GO!
hsmg_tlp_finish	FINISH!
hsmg_tlp_chaname	[0]
hsmg_tlp_win	WIN!
hsmg_tlp_wins	WINS!
hsmg_tlp_draw	DRAW!
hsmg_tlp_newrecord	新纪录！
hsmg_tlp_newrecord_alone	新纪录！
hsmg_tlp_round	第[0]回合
hsmg_tlp_round_final	最终回合
hsmg_tlp_perfect	完美！
hsmg_timer_countdown	[0]:[1].[2]
hsmg_timer_countup	[0]:[1].[2]
hsmg_courserecord	[0]
hsmg_courserecord_endless	[0]
hsmg_courserecord_m	[0]{size[3c00]}m{size[6400]}
hsmg_courserecord_point_m	[0].[1]m
hsmg_courserecord_degree	[0]°
hsmg_courserecord_timer_countup	[0]:[1].[2]
hsmg_newrecord	[0]
hsmg_newrecord_m	[0]{size[3c00]}m{size[6400]}
hsmg_newrecord_point_m	[0].[1]m
hsmg_newrecord_degree	[0]°
hsmg_newrecord_timer	[0]:[1].[2]
hsmg_newrecord_alone	[0]
hsmg_status_2digit	[0]
hsmg_status_2digit_coin	[0]
hsmg_status_3digit_m	[0]{size[3c00]}m{size[6400]}
hsmg_status_3digit_percent	[0]{size[3c00]}％{size[6400]}
hsmg_status_4digit_degree	[0]°
hsmg_status_point_1_m	[0].[1]{size[3c00]}m{size[6400]}
hsmg_status_point	[0].[1]
hsmg_status_point_2_m	[0].[1]{size[3c00]}m{size[6400]}
hsmg_status_rank	[0]
hsmg_status_rank_small	[0]
hsmg_status_user_name	[0]
hsmg_rank_ui	[0]
hsmg431_tlp_ctrl00	获得80分以上！
hsmg501_tlp_ctrl00	率先获得[0]分！
hsmg601_tlp_win_condition00	3分钟内争取获得高分！
hsmg601_tlp_win_condition01	最快获得[0]分！
hsmg602_tlp_win_condition00	消除★争取获得高分！
hsmg602_tlp_win_condition01	比对手消除更多的方块！
hsmg603_tlp_win_condition01	比对手消除更多的球！
hsmg402_MGctrlGuide	 制作雪球（连按）
